,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
0,npm1a,4.782697736564574,pfn1,5.258711639740526,zgc:174153,5.16529736456982,krt4,4.3541751620514395,id1.1,5.549697584785543,tpm4a,3.672612649820091,si:ch211-152c2.3,3.6326498914666545,nusap1,6.220133477973472,elavl3,3.5018397993199906,pmp22a,3.7017225058792276
1,ncl,4.632952278420866,krt4,4.30272362819537,ctslb,4.851734924912449,krt5,3.924941839810721,si:ch211-193l2.4,5.118760975440875,akap12b,3.356415479840524,cldnb,2.9843982160017175,cdk1,5.9710281626915735,si:ch211-193l2.7,2.7825413782595456,slc1a3a,3.5370353971607105
2,snu13b,4.624805269122453,cfl1l,3.5330259077664152,zgc:174855,4.840433089286269,cyt1,3.5857435148351575,her2,4.589135124647275,serpinh1b,3.1115272903463818,stm,2.9275567909481945,ube2c,5.872360111723978,myt1a,2.64160735229056,npm1a,3.4283577226117985
3,aldob,4.263999158771402,TMSB15A,3.371494745454337,he1a,4.633624853248128,krt92,3.3856202418286587,si:ch211-193l2.3,4.498962806997545,mfap2,2.7333035813905617,sparc,2.8606753363886663,mki67,5.761171403442436,tuba1a,2.6255489694002403,marcksl1b,3.2760329055036954
4,paics,3.9670692559735463,cyt1,3.3190809903031426,si:dkey-26g8.5,4.572468677886685,cyt1l,3.3296414690845224,si:ch211-193l2.7,4.483293939524261,krt18,2.7255156243691183,ptmaa,2.788154909480232,top2a,5.247884472510277,tp53inp2,2.506639698295929,serpinh1b,3.039194755491535
5,hspb1,3.9072977551315065,cldni,3.252593265683158,si:dkey-269i1.4,4.173408512262072,krt17,3.150220200194358,sox3,4.475184077170531,qkia,2.6003958685117654,atp1b1a,2.587072472104103,cenpf,5.202332622202049,vim,2.3772347509535363,fabp3,3.011079256585788
6,si:dkey-102m7.3,3.7065136843598454,actb1,3.2295485388961476,ctslb.1,3.899055456629073,anxa1c,2.8946052084694065,her4.1,4.446134417588835,jun,2.5912786059476574,epcam,2.476488978922048,kpna2,5.143071592673451,nova2,2.3551754764693897,ncl,2.7353880210747343
7,pcna,3.2506316450799533,apoeb,3.09814753818216,si:dkey-269i1.4.1,3.631161873113481,krt18,2.812846193538627,her15.1,4.36496177502734,cd81a,2.5215195887646416,cd9b,2.4384708812393594,plk1,5.102682511693833,tubb5,2.3522455077011766,atp1b3a,2.724353434391902
8,eif4a1a,3.171473160720593,ywhaz,2.684063859764867,si:dkey-239j18.3,3.3074267811316287,si:ch211-195b11.3,2.7033908063133945,her15.2,4.23958913936137,actb1,2.3931674504339258,six1b,2.3855339533604707,si:ch211-69g19.2,5.099602848655333,hes6,2.279727986420117,snu13b,2.6489620096126036
9,mdka,3.08032741531283,myl12.1,2.5711699737151807,tram1,3.225796920035027,KRT23,2.684890800318231,pcna,4.122486494959924,myl12.1,2.340643491928194,oc90,2.3015740561498714,aspm,5.064524661466886,si:ch211-193l2.8,2.2080210609345374,actb1,2.5477980046189312
10,apoeb,3.077193546522026,pak2a,2.5623443874108807,calr3b,2.9164796861653377,krt97,2.356692814815072,si:ch211-193l2.5,4.108168126930537,cxcl12b,2.308661299608415,si:ch211-243g18.2,2.242062372116611,cdc20,4.830956231363501,dla,2.194510407624142,qkia,2.535389114970658
11,dynll1,3.0656559533320675,cnn2,2.530034945486963,he1b,2.8763972581686454,krt8,2.233134200219729,mdka,3.911276809743757,zgc:92066,2.281203055913487,f11r.1,2.1951352251127387,tuba8l,4.2106917252003955,tmeff1b,2.030092305712251,junba,2.5045078869182107
12,her9,2.835349323374415,zgc:153867,2.4305728723133093,cd63,2.599787244613585,zgc:175088,2.208105528387172,her4.2,3.8945496617456845,cnn2,2.237485681839147,her6,2.183123233858247,histh1l,3.6378921558184723,si:ch211-193l2.6,2.02193882313744,myl12.1,2.4241932543766858
13,foxp4,2.7680024487317394,myl6,2.278790194297677,ssr4,2.411432761886023,lye,2.1281160273096633,her12,3.8256568666589996,ssr3,2.2253744207824724,cldn7b,2.1645953125300825,hsp70l,2.3283791447513176,tuba1c,1.9961750342041502,si:ch211-286o17.1,2.315711603815093
14,kiaa0101,2.752550925771759,epcam,2.087394508983295,fkbp11,2.2911906293061843,icn2,2.075865814997309,cldn5a,3.5805130690686267,zgc:153867,2.173085999792917,zgc:92066,2.156242714631988,foxp4,2.2051641980386023,rtn1a,1.8231336507947238,eif4a1a,2.3068212202932274
15,hmgb1b,2.673844406950405,zgc:158343,2.0519725490288616,ssr2,2.231198879578911,agr1,1.959586195902595,rrm2.1,3.574507420040832,sec61g,2.091637241628254,cldna,2.1189311359910956,fosab,2.02226287722871,her4.1,1.8133978686553014,si:dkey-102m7.3,2.2786235601805824
