,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
0,GDF3,1.0396261115780903,LYRM1,2.552735031880563,KRT4,1.4162896045238684,TA,2.336758913757362,NANOS3,1.236983114078389,SI:DKEY-28A3.2,1.2990022178804042,SI:CH211-242H13.4,1.2204170706210058,CHD,1.1958621591399399,PRDM14,0.8995784318789226,PHLDA3,1.368749750420238
1,RHEBL1,1.0261855129743795,AGRP2,2.212752999246288,KRT18,1.409603331316701,EVE1,2.0719176249490197,TDRD7A,1.189802504565083,FTR36,1.16901618153447,OTUD4,1.148098644531962,SI:DKEY-261M9.17,1.1869369934468297,SI:CH1073-80I24.3,0.8885567863341459,MDM2,1.2174227773785005
2,SI:DKEY-15H14.4,1.0185127094070041,RAPGEF6,2.1738928033260145,LYE,1.3815295802798733,WNT11,1.9179751466755601,HSP90AA1.2,1.1132498691986699,HS3ST3B1B,1.164443986105771,PRKRIP1,1.0805409532273813,HIST2H3C,0.9778472766366608,SI:CH211-139K8.4,0.8566487385765178,SI:CH211-260E23.9,1.034274902698569
3,SI:CH211-190K17.31,1.002832171930074,CABZ01084942.1,2.1723690640275843,KRT92,1.3709169572633824,CDX4,1.8137164894441813,DND1,1.0430871965090496,JAG1B,1.1032351289957054,HSP90AB1,1.0000956639619958,ZIC3,0.9735826246261027,FP236812.1,0.8164330462153946,CTSH,0.9950253449925957
4,MKRN4,0.995857649047837,MYO3A,2.138885776942938,MID1IP1A,1.3514515402080158,ZNF703,1.732344733415096,ACTL7A,1.0408935711614726,SI:DKEY-186O21.1,1.0827357047974258,PPIB,0.9920632581563532,ADMP,0.9518361738897593,PCDH18B,0.8130836749878249,FOXO3B,0.992708714169857
5,NCALDA,0.9828477949834259,SI:CH73-195I19.3,2.0790044237591108,KRT5,1.347885859400026,TPBGA,1.5178849470714106,BTG4,1.0210766941563143,TNFAIP8L2A,1.0725014252678078,SI:DKEY-153M14.1,0.9765502514485468,ZGC:153405,0.8783209478868743,SI:DKEY-188C14.4,0.8102605975178637,RBL2,0.9812268668552337
6,BZW1A,0.9796085261141043,ANO9A,2.0184189937013,CLDNE,1.3474470532112734,SP5A,1.503686264688809,FHDC3,0.9526806660080324,KCNK4,1.0613575378566773,SI:DKEY-23A13.15,0.9756519241355153,SI:DKEY-108K21.14,0.8637316763461393,SOX2,0.7902983791234169,APLNRB,0.9794299958629153
7,BX005448.2,0.9750045078258165,ZGC:171775,1.8964294847911711,SI:CH211-125O16.4,1.3310739010133341,AXIN2,1.4964844297183877,SI:DKEY-11O15.10,0.9415172703833588,NRXN1B,1.036226316767237,EIF5,0.9685836355783157,FOXD3,0.8449559995534228,SI:DKEY-95P16.2,0.7442007738676167,SESN3,0.9668304639283097
8,P4HB,0.9676794125251669,TOP1,1.8470758767051905,CEBPB,1.3257989656336882,MSX1B,1.4765243400212928,CA15B,0.9224382040968079,CNNM1,1.03459057655736,SI:DKEY-23A13.4,0.9643408479774765,FOXD5,0.8441076732946546,MAP2K6,0.7417600367286784,BCL2L14,0.8973598044968897
9,BX640584.2,0.9520955864183628,DIABLOA,1.8012911196607089,ZGC:101000,1.3240383837961076,MIXL1,1.3598303788616612,SKA2,0.9036570769268842,GRB7,1.021252381717464,SI:CH211-117M22.2,0.9638472963701396,GBGT1L4,0.8303642409166918,UBA52,0.7414142574256308,CASP8,0.8670558397419063
