,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4
0,OTUD4,1.249531858937266,LYRM1,2.547379212419167,KRT4,1.5154260574529126,TA,2.317524464759696,SI:RP71-45K5.2,1.1721852123854823
1,SI:CH1073-159D7.7,1.2248083907480483,AGRP2,2.206165368117485,KRT92,1.4384705253255066,EVE1,2.0754863820520257,TDRD7A,1.118424612583165
2,SI:CH211-113A14.16,1.218795021582093,RAPGEF6,2.161983390340009,KRT18,1.4362287674103849,WNT11,1.9433458915660657,BTG4,1.1094345725307893
3,SI:DKEY-23A13.4,1.1688714027112095,ANO9A,2.1381018953711717,LYE,1.434017438019246,CDX4,1.807010043444308,DDIT4,1.0499737027460812
4,PPIB,1.163929607624771,CABZ01084942.1,2.1227534447980236,KRT5,1.432603886073515,ZNF703,1.7288898446457008,RPAIN,1.032016991971646
5,ZGC:158463,1.1631838714786416,MYO3A,2.1003361298191754,KRT97,1.4143097734801007,AXIN2,1.4972375082249612,SI:DKEY-11O15.10,1.0220119186613636
6,SI:DKEY-234I14.20,1.160302479338043,SI:CH73-195I19.3,2.049718766943545,MID1IP1A,1.4019231456545966,TPBGA,1.489421352089563,CLDNG,1.0040499763055932
7,SI:CH73-1A9.3,1.136330516922407,ZGC:171775,1.9252803324579317,CLDNE,1.3969707676773024,SP5A,1.4845697274922962,ZGC:56231,0.9887529560535044
8,SI:CH211-242H13.4,1.129190336831289,TOP1,1.853827086370523,KRT8,1.3635758082962472,MSX1B,1.4562866598683062,HSP90AA1.2,0.9813916773240023
9,SI:DKEY-153M14.1,1.120521564459047,ZGC:173587,1.8215135918813947,ZGC:101000,1.3520765151720897,MIXL1,1.3138022737694965,SI:DKEY-163F14.5,0.9706929252540998
10,DUT,1.1114288653736324,DIABLOA,1.8089926472088635,SI:CH211-125O16.4,1.3385112084139656,GBX1,1.280859818440948,SLC25A25A,0.9516469230465834
11,SI:DKEY-23A13.15,1.1095279914095533,FNIP1,1.7758548833626524,CEBPB,1.3294829955537333,ZNF503,1.2187716864555256,SI:DKEY-1D7.3,0.940590993538089
12,SI:DKEY-16M19.4,1.1093587455740626,HNRNPA0B,1.77167336024941,ZNF185,1.3157006553035702,IM:7138239,1.1729778092499026,ZGC:77112,0.9327162435203419
13,RPL12,1.107613496460022,NME2A,1.646956528944884,EPS8L1,1.3109841806832283,DLD,1.1643577217455556,LSM14B,0.9191375845360537
14,SI:CH211-222L21.1,1.0979363453343445,GPRC5BB,1.5821454886056392,CLDN23,1.2874709418630388,ATP1B3A,1.1137545274002048,MID1IP1L,0.8966110394291141
15,SI:DKEY-122C11.4,1.0975666310700718,HUWE1,1.540369776446101,FTR83,1.2752164395219983,ZIC2A,1.0783852035076167,NANOS3,0.8850388915066782
16,SI:DKEY-95P16.2,1.0890107027088356,NRXN1B,1.5238879383591724,ZGC:193505,1.2705382704146913,NHSL1B,1.0675038902288374,LPCAT4,0.8777267717754984
17,SI:CH211-147G21.5,1.0884751413555127,KLHL22,1.50476360527992,MGLL,1.2307995270029954,APOC1,1.0504074580857363,FHDC3,0.8720232417339245
18,SI:DKEY-53F14.4,1.088048530183735,CPE,1.4617557470259719,KLF17,1.2304017513523646,VED,1.0478956003375521,PGK1,0.8718917048489101
19,SI:CH211-272F15.5,1.0861777375050443,PON1,1.4293584408175926,EVPLA,1.2265166294457903,PRICKLE1B,1.0197090219947154,NEK2,0.8684303585217052
20,KIAA0101,1.0794153078484163,CYR61L2,1.3546983277703666,FA2H,1.220511594387635,HES6,1.0170350606490373,BCL2L10,0.8626897822686375
21,SI:DKEY-206L1.3,1.075106380076095,SETD2,1.2769449086638487,FTR82,1.2118272287741267,HER1,1.0015709601816976,CTH1,0.8616342375152871
22,SI:CH211-195B11.4,1.0722664226165068,CABZ01001464.1,1.2592893742081959,CLDNB,1.2104563064711176,MSX3,0.9878551832987795,SLBP2,0.8516609943515548
23,ELAVL1,1.0697626537844003,PCNT,1.2548838993843991,SI:DKEYP-67A8.4,1.2069047111188544,SZL,0.9820041510602766,CA15B,0.849458988071234
24,FTL,1.0678150094587877,POLR2A,1.2494509431521823,FUT9B,1.1729337399606594,ARL4AB,0.9523619898650941,RAD18,0.8440972487252728
25,TSR2,1.0669184692729206,MLXIP,1.2315688204871997,CYT1L,1.1722519942795653,SP5L,0.9453983352385664,ACTL7A,0.844076830757052
26,SI:DKEY-261M9.17,1.0651398127943992,SI:DKEYP-79B7.4,1.225343229909188,GRHL3,1.1696899044023965,LEF1,0.9446371009019053,SI:DKEYP-114G9.1,0.8389041766848885
27,SI:CH211-7C8.2,1.0641030764344093,CHD7,1.2239318853446874,ZGC:153911,1.1647994916573117,WNT8A,0.9130627809525191,CIARTA,0.8385180520060525
28,RPL6,1.063995621612932,ZNF1057,1.215799001441831,PERP,1.162118741206847,SI:DKEY-27I16.2,0.8999270931093053,PATL2,0.82631245387635
29,SI:CH211-194E1.8,1.063429691120424,SI:CH211-241E1.5,1.2037043622388974,CYT1,1.1489963429914045,SI:DKEY-149I7.2,0.8979077488726669,BMI1B,0.8113587169494517
