,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
0,OTUD4,1.251368805857477,LYRM1,2.547062331954671,KRT4,1.5086733411896887,TA,2.356767980375507,SI:RP71-45K5.2,1.147978455249373,SI:DKEY-28A3.2,1.117101744172737
1,SI:CH73-1A9.3,1.2401982414590402,AGRP2,2.2056994424800536,KRT5,1.4300683775797103,EVE1,2.1007749581234876,BTG4,1.117322255060296,KCNK4,1.0431699311876024
2,PPIB,1.2144792380408564,RAPGEF6,2.1482622190278406,KRT92,1.4281984968716384,WNT11,1.950557001087134,DDIT4,1.0668379305131626,FTR36,1.0424549541690267
3,SI:CH211-222L21.1,1.2108251018244502,CABZ01084942.1,2.124875470941421,KRT18,1.4267414601278883,CDX4,1.836329953460662,SI:DKEY-11O15.10,1.020963322857845,HS3ST3B1B,1.032759143266771
4,KIAA0101,1.2050590264768732,MYO3A,2.091176883964049,LYE,1.4158095637633166,ZNF703,1.754771530137649,RPAIN,0.9911780099583254,JAG1B,1.030127361815751
5,SI:DKEY-16M19.4,1.200093532036653,ANO9A,2.0889593092238297,KRT97,1.4061331852666168,AXIN2,1.5233163828289116,HSP90AA1.2,0.9822634198194682,NRXN1B,1.0028721679575148
6,SI:DKEY-23A13.4,1.186981651444194,SI:CH73-195I19.3,2.0473243969682673,CLDNE,1.3925491271430905,SP5A,1.5186854088952306,TDRD7A,0.9815686360433145,SI:CH211-171H4.5,0.9730257024652278
7,SI:DKEY-95P16.2,1.1839551068818035,ZGC:171775,1.9093682443735767,MID1IP1A,1.3823520643338556,TPBGA,1.5123391826404806,CLDNG,0.9617671407432978,SI:DKEY-186O21.1,0.9711114765746479
8,SI:CH211-113A14.16,1.1799907179331186,TOP1,1.849617633988689,KRT8,1.360961525645232,MSX1B,1.4780384283538461,ZGC:56231,0.9512705690315327,RHD,0.9528583363512468
9,FTL,1.178019916074878,ZGC:173587,1.8219621452241932,SI:CH211-125O16.4,1.3498611940019891,MIXL1,1.3401804717737233,ZGC:77112,0.9509682342758582,TNFAIP8L2A,0.9520347898368282
10,RPL6,1.1668086921157497,DIABLOA,1.8086277642087127,ZGC:101000,1.3472127222586265,GBX1,1.307422560790551,SLC25A25A,0.9503463870797014,RYR1A,0.9444530063566333
11,ZGC:158463,1.1601579571394784,FNIP1,1.7894760831251817,ZNF185,1.3348852035875876,ZNF503,1.249763629331601,SI:DKEY-163F14.5,0.9430182824812539,GRB7,0.9432588597788671
12,TSR2,1.1598949015291165,HNRNPA0B,1.781679520437845,CEBPB,1.3283952924961209,IM:7138239,1.1919143397245748,SI:DKEY-1D7.3,0.9299769234843202,CPE,0.9240206202342452
13,GTF2H5,1.1591920576950892,NME2A,1.6101503421069585,EPS8L1,1.322911087699485,DLD,1.1767163886303509,LSM14B,0.893879979408511,CNNM1,0.9218811260642333
14,DUT,1.1585411443126128,GPRC5BB,1.5876608588876098,CLDN23,1.2967427589167235,ATP1B3A,1.132441193909163,MID1IP1L,0.8766615341100926,SI:DKEY-48G21.5,0.9063400032387479
15,ALDOB,1.1560222770013513,HUWE1,1.5174475480436092,FTR83,1.2685477354006518,ZIC2A,1.111742781883884,NANOS3,0.8718875479816264,SI:CH211-178N15.1,0.8966610629299239
16,SI:CH211-195B11.4,1.1481610392868686,KLHL22,1.386971519612404,FA2H,1.2554224502166016,NHSL1B,1.09557648264834,CIARTA,0.8680175226019626,LAMC1,0.8904606867815683
17,RPS17,1.1439312823584664,NRXN1B,1.3748230544324447,EVPLA,1.254360676062341,PRICKLE1B,1.0494550506595672,CTH1,0.8650439278502826,NCOA7,0.8846328937619788
18,HMGB2A,1.1294093401454786,PON1,1.3659400394923842,ZGC:193505,1.250019133635548,APOC1,1.034156438068804,BCL2L10,0.8641115025988475,ZNF644B,0.870864483729169
19,SI:DKEY-153M14.1,1.1272637810531525,CPE,1.326028423255925,KLF17,1.247673843736494,VED,1.0191034404502544,PGK1,0.8624349242048053,HSD17B2,0.8671578194443369
20,RPL21,1.1246357105671805,CABZ01001464.1,1.2851520915836596,MGLL,1.2466283959358624,HES6,1.0130519593545833,NEK2,0.8491244470214915,PDLIM5A,0.8615545750012239
