,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6
0,GDF3,1.1083097576827072,LYRM1,2.534581103983592,KRT4,1.4640187146370602,TA,2.3441422362550814,TDRD7A,1.2184155382253852,SI:DKEY-28A3.2,1.1728378280185876,OTUD4,1.178823239824913
1,RHEBL1,1.082761193145943,AGRP2,2.1954611692269954,KRT18,1.4323354463164584,EVE1,2.090345068616835,NANOS3,1.1747335112306976,JAG1B,1.091868614170934,SI:CH211-242H13.4,1.162508084758057
2,CR391944.1,1.0389028656683343,RAPGEF6,2.14266289742717,LYE,1.4205184190046358,WNT11,1.9346118243563915,BTG4,1.1463005946992941,FTR36,1.0854213498227296,PRKRIP1,1.0852141198546557
3,ALDOB,1.0388393058606455,CABZ01084942.1,2.1127208226350596,KRT92,1.4143523640999747,CDX4,1.8135927441755713,HSP90AA1.2,1.1054431673746983,HS3ST3B1B,1.084279220936035,SI:DKEY-153M14.1,1.0176293076281175
4,NCALDA,1.0283081406605552,MYO3A,2.1001738099138225,MID1IP1A,1.3944582310318658,ZNF703,1.746340569697446,ACTL7A,1.067846416258219,KCNK4,1.0687048591025794,HSP90AB1,1.00997368317464
5,SI:CH211-195B11.4,1.0088554999455255,ANO9A,2.0848993919692735,KRT5,1.3915701819873474,TPBGA,1.5207886301355238,CA15B,1.0467359022075788,TNFAIP8L2A,1.0173359491567977,SI:DKEY-23A13.4,1.0033002821948867
6,RGS3B,1.0066974969979843,SI:CH73-195I19.3,2.063667969899389,KRT97,1.3810248330743653,SP5A,1.518200632325723,CLDNG,1.0441569134326698,SI:DKEY-186O21.1,1.0022439463548185,SI:DKEY-108K21.12,0.9999107711525642
7,CR450785.2,0.9914443273870159,ZGC:171775,1.8886523992814332,CLDNE,1.3762439621636828,AXIN2,1.5034799792761586,MID1IP1L,1.037707786616289,CNNM1,0.9956940932618086,SI:CH211-117M22.2,0.9933506642849763
8,BZW1A,0.9890901379964263,TOP1,1.823532654774669,ZGC:101000,1.3676050245820983,MSX1B,1.4737279065509254,SI:DKEY-163F14.5,0.9696689480704608,GRB7,0.9848624165593806,PPIB,0.9763898839936591
9,RAC1A,0.9887177245649984,ZGC:173587,1.8180802710941641,SI:CH211-125O16.4,1.362768596739204,MIXL1,1.3343719957819713,ZGC:158852,0.9664458324170067,NRXN1B,0.9795310106707893,SI:DKEY-23A13.15,0.968937100281587
10,BX640584.2,0.988594638031063,HNRNPA0B,1.8046524269739794,KRT8,1.3450573948539624,GBX1,1.2979155874943054,SI:RP71-45K5.2,0.9646317681186841,RHD,0.9611411024631076,ZGC:158463,0.9500979768041552
11,SI:DKEY-199M13.4,0.9872418690857023,DIABLOA,1.8027382875616964,CEBPB,1.341417782053731,ZNF503,1.2431017690613078,DND1,0.9182006611452137,SI:CH211-171H4.5,0.9527552070320728,STM,0.9493342939025605
12,BX901907.2,0.9794188540382737,FNIP1,1.7765385602611141,EPS8L1,1.3268425396713355,IM:7138239,1.1884637987015507,FHDC3,0.9062227228614241,CPE,0.9508575867492451,GTF2H5,0.9449233190480165
13,SI:DKEY-156K2.3,0.9781657852983976,NME2A,1.6032623169441707,ZNF185,1.3035984006016856,DLD,1.131855558554362,RPAIN,0.8952440754420373,LAMC1,0.932567097110634,DUT,0.9444185437867891
14,SEPT12,0.9770473931678987,GPRC5BB,1.5946616470162962,CLDN23,1.288266078446414,ZIC2A,1.1070675780374495,DDX4,0.8927210202041435,SI:CH211-178N15.1,0.9237082322071609,KIAA0101,0.94248506441522
15,PRMT1,0.9766801660552376,HUWE1,1.5155530657883594,ZGC:193505,1.275386063863946,NHSL1B,1.092191650228413,SLC25A25A,0.8881455707910488,PARP6A,0.9064434137161067,SI:CH211-113A14.16,0.9340401774130588
16,SI:DKEY-95P16.2,0.9742939670956724,KLHL22,1.3799607223495798,FTR83,1.2571521514606845,ATP1B3A,1.0742467403835951,SI:DKEY-261J4.3,0.8745098439691474,HSD17B2,0.9060413531467819,SI:CH211-194E1.8,0.9247976415385862
17,SI:CH211-190K17.31,0.9738794618928136,NRXN1B,1.371596816755048,KLF17,1.255081380700711,APOC1,1.0399234998801778,SI:DKEY-11O15.10,0.873723710043935,NCOA7,0.9058108771354847,FTL,0.9225970100587245
18,SI:DKEY-15H14.4,0.9602582587969304,CPE,1.3402107287887601,EVPLA,1.24057421874396,PRICKLE1B,1.0251494669450183,SKA2,0.8683062980092979,RYR1A,0.9053999729791737,EIF5,0.9146751054979393
19,SKP2,0.95379874021882,PON1,1.3289610767972315,FA2H,1.2363390535618701,HES6,1.021512651212769,BMI1B,0.8589998513630012,SI:DKEY-58J15.10,0.9021668418002866,RPL12,0.9130560488603316
20,ZIC2B,0.9477029833211931,CABZ01001464.1,1.2926585141107394,CLDNB,1.218940300280151,VED,1.019516811326266,NEK2,0.8378026989638291,SYNGAP1A,0.9010413832708682,U1,0.912584032795361
21,SLC38A3B,0.944672010984068,CYR61L2,1.2556485547529919,MGLL,1.215276529574847,HER1,1.0012275096303531,ZGC:56231,0.8335683259478743,PDLIM5A,0.8881532174876011,SI:DKEYP-3B12.10,0.9103153033870611
22,SI:CH1073-80I24.3,0.9435915007162258,ZNF1057,1.2275092518154145,FTR82,1.2125008266652846,MSX3,0.979994713777637,MAP7,0.8333067035267856,RNF213,0.8774048875885717,SI:DKEY-234I14.20,0.9088364006769921
23,SSBP3B,0.9411127715028044,SI:CH73-46J18.5,1.2229593234380884,SI:DKEYP-67A8.4,1.2088113512180203,SZL,0.9641138870950121,MAP1LC3C,0.8278044528639037,CR361561.2,0.8734209675992551,CLIP4,0.9066591487066632
24,BX324155.1,0.9385963843886904,SETD2,1.211797667094747,FUT9B,1.2081283219103116,SP5L,0.9604370325451299,ZGC:77112,0.8232487867768432,CSF1RB,0.8649846108844542,CDKN1BB,0.8967054835302071
25,SI:DKEY-30F3.2,0.9358003640175099,MLXIP,1.2027960351139273,GRHL3,1.199237583558022,LEF1,0.9587179729814713,PGK1,0.819201664339398,ZNF644B,0.8600518936076763,SI:CH1073-159D7.7,0.8964909687261835
26,SOX3,0.9350828718937452,ZNF1068,1.2025622801489035,PLEKHF1,1.1799121182470405,ARL4AB,0.9407022968004913,CTH1,0.8169250849824039,BX546500.1,0.8512224289074662,SI:DKEY-261M9.17,0.8939905527847211
