,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7
0,GDF3,1.0552153777414803,LYRM1,2.5643370387956628,KRT4,1.4617897906074926,TA,2.3256160043041456,TDRD7A,1.2632375317141458,SI:DKEY-28A3.2,1.1954709381725166,OTUD4,1.231762420660646,SOX2,1.1035650502377707
1,SI:DKEY-15H14.4,1.039355717233026,AGRP2,2.2137290284428963,KRT18,1.4363704512335649,EVE1,2.0540496788937888,NANOS3,1.2339208526899679,JAG1B,1.099363593068151,SI:CH211-242H13.4,1.1405755935957926,PRDM14,1.0366641233188836
2,RHEBL1,1.0117382556212087,RAPGEF6,2.1656391575944425,KRT92,1.4307014803247997,WNT11,1.9260798354922088,ACTL7A,1.1182552691768983,HS3ST3B1B,1.094255654024458,PRKRIP1,1.1247801875138226,ZIC3,0.9374771369183283
3,SI:CH211-190K17.31,1.0012190709951057,CABZ01084942.1,2.140284823656375,LYE,1.3986006165477851,CDX4,1.8078375320287974,BTG4,1.0926538366833263,FTR36,1.085620941889991,SI:DKEY-153M14.1,1.0588587319386766,PCDH18B,0.8560336335072152
4,MKRN4,0.9912494901120003,MYO3A,2.11625771244078,KRT5,1.3852800775407053,ZNF703,1.7326120230599484,CA15B,1.0830871385601875,KCNK4,1.0500628134356003,SI:DKEY-108K21.12,1.0412279168430032,MCM6,0.8225098195073935
5,BZW1A,0.9836750734216316,SI:CH73-195I19.3,2.0830929652705077,MID1IP1A,1.38058076825508,TPBGA,1.5232891099522496,DND1,0.9880063618874853,CNNM1,1.0154354288736114,HSP90AB1,1.0409760115828202,SLC38A5B,0.8214728454458907
6,NCALDA,0.9604972117845829,ANO9A,2.0499518831142147,ZGC:101000,1.373781771250184,SP5A,1.5062895499031776,MID1IP1L,0.9562354718214885,SI:DKEY-186O21.1,1.0093750855165327,SI:CH211-117M22.2,1.03752744101093,ADMP,0.8136769460169644
7,P4HB,0.9562182919435283,ZGC:171775,1.9034955909402655,CLDNE,1.3713497979829077,AXIN2,1.4946056561847827,CLDNG,0.9344404429223861,TNFAIP8L2A,1.0032195828880441,PPIB,1.0359510989973415,SP5L,0.7700692950482444
8,ZNF1060,0.9485320404909753,TOP1,1.8430304327912501,KRT97,1.3692263814903813,MSX1B,1.4617650195111067,SLC25A25A,0.9127164193328193,GRB7,0.9973138299515842,SI:DKEY-23A13.4,1.0343116079452783,FP236812.1,0.761850141665886
9,BX640584.2,0.9390652260882479,DIABLOA,1.8176766988760429,SI:CH211-125O16.4,1.3632915047372856,MIXL1,1.3370160080960332,BMI1B,0.9082391208464795,NRXN1B,0.997160869848405,SI:DKEY-23A13.15,0.9960556271874587,SEPT12,0.7569495235033096
10,ZNF1040,0.9220456303030025,FNIP1,1.7856379579947357,CEBPB,1.3440464465834683,GBX1,1.2842310829151409,HSP90AA1.2,0.9055584491496077,CPE,0.9696515096902077,GTF2H5,0.9931064440365721,SLC38A3B,0.7547566961425348
11,CR450785.2,0.913728035774834,HNRNPA0B,1.7797555015926436,KRT8,1.3382260122352558,ZNF503,1.2332356387693602,SI:DKEY-11O15.10,0.9034179708012349,SYNGAP1A,0.960695280073264,ZGC:158463,0.9907202013350256,CABZ01070258.1,0.7425309199898982
