,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8
0,GDF3,1.0705312486104293,LYRM1,2.561325776254524,KRT4,1.4490972543758824,TA,2.331681174293737,TDRD7A,1.2735547591331486,SI:DKEY-28A3.2,1.1961109128021064,OTUD4,1.2212831087295386,SOX2,1.0758707325864636,PHLDA3,1.3113121796396316
1,SI:DKEY-15H14.4,1.0686587412420312,AGRP2,2.2078826216048553,KRT18,1.4236934941874249,EVE1,2.0565889088616536,NANOS3,1.2651644945115925,HS3ST3B1B,1.0963259235840626,SI:CH211-242H13.4,1.126930018147915,PRDM14,1.0632814597145874,MDM2,1.2207505192546573
2,RHEBL1,1.0456021523847872,RAPGEF6,2.170330374333243,KRT92,1.4108095902433453,WNT11,1.9333718275553116,ACTL7A,1.1354198107779578,FTR36,1.0859230612408501,PRKRIP1,1.118976373440027,ZIC3,0.9048165388806055,CTSH,1.0136198988016516
3,SI:CH211-190K17.31,1.0407281278104847,CABZ01084942.1,2.1507092075503014,LYE,1.3953153222381947,CDX4,1.8109620339627381,CA15B,1.0921285222755124,JAG1B,1.0841689495912565,SI:DKEY-153M14.1,1.0475423076811594,PCDH18B,0.8494121646613321,FOXO3B,0.990398994854495
4,MKRN4,1.0227587863339864,MYO3A,2.1193500709356883,CLDNE,1.367608668439291,ZNF703,1.7417020719482241,BTG4,1.082092497834403,KCNK4,1.0606692380215321,HSP90AB1,1.0331804001963747,ADMP,0.8286155024607327,SI:CH211-260E23.9,0.9761127388108632
5,NCALDA,1.0211928523318248,SI:CH73-195I19.3,2.090184346263891,KRT5,1.3674128507690742,TPBGA,1.5290669168185238,DND1,1.0095348261556938,SI:DKEY-186O21.1,1.0171960844755545,SI:DKEY-108K21.12,1.0327435589855172,SLC38A5B,0.8126548012184128,RBL2,0.9675399891797571
6,BZW1A,1.0120580221308542,ANO9A,2.0401073762822945,MID1IP1A,1.3626843488535862,SP5A,1.5101705740979108,MID1IP1L,0.9192276139043702,TNFAIP8L2A,1.0056117215134308,SI:CH211-117M22.2,1.0285543754886777,FP236812.1,0.7983481955137283,SESN3,0.9544670575356331
7,P4HB,0.9989413214286504,ZGC:171775,1.9047337337259918,ZGC:101000,1.3526593571071186,AXIN2,1.5024611028888357,SI:DKEY-11O15.10,0.9188555030465482,NRXN1B,1.0040438319942147,PPIB,1.0280863419309314,MCM6,0.7945308040818282,APLNRB,0.9442684605430596
8,ZNF1060,0.9850322366233424,TOP1,1.843928601467881,KRT97,1.3398834734274037,MSX1B,1.4664608512052741,DDX4,0.917792917305426,GRB7,0.9940005540154252,SI:DKEY-23A13.4,1.0264621563825476,SP5L,0.7776683288443798,CASP8,0.9202239195740441
9,BX005448.2,0.9844707836448716,DIABLOA,1.811666071939882,SI:CH211-125O16.4,1.337234596023051,MIXL1,1.3472997127750614,SKA2,0.9126978065557552,CNNM1,0.9819468962119098,GTF2H5,0.9856162486856792,LFNG,0.7433878882801999,BCL2L14,0.866077991707849
10,BX640584.2,0.9709355703469242,FNIP1,1.793504403517318,CEBPB,1.3366252339920188,GBX1,1.2951506068092251,BMI1B,0.9107295979190896,CPE,0.9724185903612317,SI:DKEY-23A13.15,0.9830290767962049,SLC38A3B,0.7393094631074314,ZGC:64022,0.8306981042574197
