,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
0,ANO9A,2.231134673788847,LYRM1,4.554289677557571,SI:CH73-195I19.3,3.3458825004251977,AGRP2,3.1796518344831215,RAPGEF6,3.9268464350577426,MYO3A,4.117662175384688,CABZ01084942.1,1.93932282559861,DIABLOA,1.1960007148798093,GPRC5BB,1.8837493993151515,FNIP1,1.686452719143418
1,NME2A,1.3216032211623019,HNRNPA0B,0.9433185353670848,SI:DKEY-247I3.6,0.7043911514353163,STK26,0.8517875410642628,ZGC:171775,1.1338639873160898,LAMA1,0.7971576399264062,DIABLOA,1.0634043314948438,KLF17,0.8021301870578494,HNRNPA0B,1.1510568887052979,ZGC:173587,1.5578249854727333
2,TOP1,0.9134259962317353,TOP1,0.7581068447046219,SI:CH211-160O17.6,0.7005745832838588,RRBP1B,0.7018459932524486,ANO9A,0.792850033407742,HNRNPA0B,0.7415636137081739,ZGC:173587,0.9832152777329412,KLHL22,0.7997638536976074,CPE,0.756124119360625,CABZ01084942.1,1.179974293201079
3,PON1,0.8277670004121316,TA,0.732285734176639,TTC7B,0.655181376188635,JAG1B,0.6697963901221204,SUCO,0.7798514271197271,OVOL1,0.6646576218362421,VPS13A,0.8301455673123648,ANO9A,0.7352791555281463,CABZ01084942.1,0.7534555338386519,NRXN1B,1.1790128090717855
4,CAMSAP2A,0.745602269185721,PCNT,0.6950546467676232,UGCG,0.6490188173790479,UTP20,0.6560717401487551,ZNF1057,0.674178855757373,TAOK1A,0.6251648055364273,FOXD5,0.7559208975149755,PRRC2A,0.7340972345757709,SI:DKEY-186O21.1,0.7195963219577093,IL6ST,1.0045009461416898
5,JAKMIP2,0.7160331280285201,NME2A,0.6677767860155555,FNIP1,0.6366824043850574,NCOR2,0.6266005079729036,PAFAH1B1B,0.6191854725941524,SI:DKEY-261M9.17,0.6185514466150903,B3GNT8,0.7155453144714566,BMP4,0.7156796807815062,RNF213,0.7146885458777286,SLC38A5B,0.9536152851013004
6,MIDN,0.710544620044786,ALDH9A1A.2,0.6604798560906583,SLC44A1B,0.6347130613067192,MED13A,0.6212391238254386,RAB35,0.6101633742885887,GBP3,0.6054627997220733,HISTH1L,0.6919943113127967,SI:DKEY-253D23.9,0.7029634530759882,SFT2D1,0.7133575981962562,GPRC5BB,0.8436765413866483
7,RALBP1,0.6960054571379505,TNFAIP8L2A,0.6152747455936958,HUWE1,0.6329651744663684,IL6ST,0.6210340991602359,CLDN23,0.5969153148734578,ZNF1099,0.6001710312711417,GTF2H5,0.6695815352976507,SI:CH211-212K5.1,0.6887147132017967,ZGC:171775,0.6987977762212273,ACTL7A,0.8029394711898866
8,EVE1,0.6904260605469764,SI:DKEY-261M9.11,0.5786572739818951,MED13A,0.627412727939386,ZGC:171759,0.6105942335831132,ZNF710A,0.5862594406805014,APLNRA,0.5941349124292725,ZGC:171775,0.6648344689492908,KRT96,0.686359535017815,CEP350,0.6704949472571743,SI:DKEY-247I3.6,0.7042647117988087
9,KLHL22,0.6871975613685517,JAKMIP2,0.5732831767500698,RHD,0.6238118718213653,DIABLOA,0.6099455778637131,ZNF1125,0.5852780981676404,PON1,0.5840143311071094,ZNF703,0.6600657081993642,PCNT,0.6816993578204147,ARID1AB,0.6643385180326228,OTUD4,0.6791095302720117
10,SCARNA6,0.6870760039745808,CYR61L2,0.5676343934697063,ABCA5,0.6134445507117664,WDR62,0.6023830272655223,MLXIP,0.5550753292171015,ANKHD1,0.5650915369891404,NCOA7,0.6576765334810091,ZNF999,0.6723242542074287,ZGC:86764,0.6641805692337663,ZNF1064,0.6714351271044755
11,MLXIP,0.6755142326050435,AGAP1,0.5540239581131846,PCM1,0.6095805858903791,SYNGAP1A,0.5995161349192069,HSD17B14,0.5539240609774508,ABCA5,0.5643707035218433,HIST2H3C,0.6418007414623481,RBBP8NL,0.664696507547388,DEGS2,0.6383698884496735,SI:CH211-223A21.3,0.6455640817633747
12,DDX4,0.6751166392046626,ZGC:101000,0.5122470780890729,PGAM1A,0.6042753902197943,ZGC:162969,0.5910615416262154,SI:DKEY-247I3.6,0.5514030271584397,ZNF1035,0.5540142896233022,TRIM45,0.6408373902759574,PONZR5,0.6637972363399072,SPTBN1,0.6326246357770674,CR388042.3,0.6437243170901572
