,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4
0,ANO9A,1.5167413570293182,LYRM1,4.51759741886241,MYO3A,4.052817271285981,RAPGEF6,2.240523729170757,SI:CH73-195I19.3,3.1153997739518773
1,ZGC:173587,1.3574579858050022,HNRNPA0B,1.0612409141640935,HNRNPA0B,0.8438859680657941,ZGC:171775,1.4161963291162851,FNIP1,1.0171718500605527
2,DIABLOA,1.3502504336964283,TOP1,0.8970759144847945,LAMA1,0.7859051093486995,CABZ01084942.1,1.416116548757777,SI:DKEY-247I3.6,0.8136476582086598
3,KLHL22,1.2278309488283004,AGRP2,0.8491857513015162,RAPGEF6,0.7239443200046527,AGRP2,1.1355458052758793,SI:CH211-160O17.6,0.7597497544163937
4,PON1,1.205039494230872,PCNT,0.7597476288883804,SI:DKEY-261M9.17,0.6616521376428782,GPRC5BB,0.8782983614241066,ZNF1057,0.688644990715143
5,NRXN1B,1.1501049568787276,TA,0.7226805176734333,RIPK4,0.6468026943713598,HNRNPA0B,0.8329068187316688,HUWE1,0.6718807984096103
6,CABZ01084942.1,1.1026937317600667,NME2A,0.7202827811232535,OVOL1,0.6430275362802975,IL6ST,0.7290557184912071,UGCG,0.6626024727492158
7,SI:CH211-168H21.2,1.0912784128036301,MYLK4B,0.6517259433301641,TAOK1A,0.6394911563399155,ZGC:173587,0.7196527603953523,RHD,0.6410780291603497
8,AGRP2,1.0612017778097904,SI:DKEY-261M9.11,0.6225289486257805,PON1,0.6145780985369609,ZNF1080,0.6973638345946045,GADD45BA,0.6362240726966757
9,MKI67,0.993236411254204,ALDH9A1A.2,0.6190718320087579,APLNRA,0.611631873637462,WNT11,0.6902058707013708,TTC7B,0.6191027178207081
10,DDX4,0.9929305373752007,TNFAIP8L2A,0.6078888471892743,GBP3,0.6036817428599675,NFKBIL1,0.6860281689102269,ABCA5,0.6100017905302152
11,HUWE1,0.9839800988984807,CYR61L2,0.5925833618544994,AXIN2,0.5888366259759814,NDUFA6,0.6854620699270391,SLC44A1B,0.6067588810063023
12,SI:DKEY-149I7.2,0.9779871715334213,CSF1RB,0.5609474317239079,ABCA5,0.5854785237790745,MYLK4B,0.6767020594944009,MED13A,0.6066033115269969
13,SI:DKEYP-115E12.6,0.9741203105857961,ESRP1,0.5545399093302862,ZNF1099,0.5784159439562155,ACTL7A,0.6714522700593423,FTR82,0.6054174984624757
14,FTR76,0.9731369194802656,AGAP1,0.54747824434721,TOP1,0.5783811570518336,SI:DKEY-108K21.12,0.6668972856684974,SI:CH211-125O16.4,0.5916643565235596
15,POLR2A,0.97244713508164,VPS13A,0.5397609155206445,MLXIP,0.5776383576441971,AL627305.1,0.6638938695141089,NANOS3,0.5867740140500585
16,SNAI2,0.9675382117248715,JAKMIP2,0.5378660550993534,KMT2CA,0.5747738142929586,ZNF1057,0.6630816549964815,CYR61L2,0.5860544941782703
17,KLF17,0.9649876168892817,SETD2,0.537822071172209,AP2A1,0.5726402681319138,SI:CH211-196P9.1,0.6582778621827924,PGAM1A,0.5783891567142361
18,ITSN2B,0.9633652305531033,SI:DKEY-122C11.4,0.5364116654096508,CERS2B,0.5639973815950869,SI:CH211-130H14.6,0.6477120402536255,SI:CH211-185A18.2,0.5717444671139645
19,AKAP17A,0.962455590545472,SI:DKEYP-75B4.7,0.5321784067282063,ANKHD1,0.5633163002479309,WDR62,0.64233925190437,PLEKHF1,0.5715120445382693
20,UBR5,0.9611801428702476,MAP2,0.5235306269734536,CCDC186,0.5490214201568022,SI:DKEY-261J4.5,0.6353636810333959,HCK,0.5713186950573704
21,HIRIP3,0.9583004816017732,ZNF1031,0.5104745410286146,LAMC1,0.5490121520395851,EPS8L1,0.6301859489598962,CLDNE,0.5689454619855157
22,SLC35A4,0.9564491658441647,SI:DKEY-6D5.4,0.506333891673855,TSTA3,0.5450865534417695,TFAP2C,0.6277164765007872,SI:CH211-235I11.3,0.5650544864179997
23,CHD7,0.9436779902596752,DNAJC6,0.5058416248414319,PGPEP1,0.5432763397762049,B3GNT5A,0.627341161605788,SNAPC5,0.5613875358739104
24,ZNF999,0.9407738687556462,NEDD4A,0.5055679737404232,CNIH4,0.5378574155212761,ZNF1070,0.6210605730740276,PCM1,0.561179171268359
25,HCFC1A,0.9316438131237788,ZNF1044,0.504037851319893,COPZ2,0.5368264697823059,SUCO,0.6115609366822905,DNAI2,0.5606807672974053
26,ZNF292B,0.9301423554317223,NEURL1AB,0.49682313169518827,SI:CH73-234I15.2,0.5238382065946527,PTGFR,0.604313612010842,HNRNPA0B,0.556503816108078
27,CDK13,0.9273124522275126,HUWE1,0.49571820902779123,TRIB3,0.5189270179576783,SI:DKEY-234I14.20,0.6032128378691937,ZNF1125,0.5550537808213292
28,PCDH1B,0.918346135555566,MCHR2,0.49082498727713986,PKNOX1.1,0.5127025789576966,RAB35,0.6022224132262618,SI:DKEY-269O24.6,0.5536445635912889
29,CNOT1,0.9155685590831323,GBP3,0.4901886120662159,SPS2,0.5107931692166269,CSF1RB,0.5988146842938156,CHD6,0.5520151016920608
