,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
0,AGRP2,1.9760609646818794,LYRM1,4.452490322126048,MYO3A,4.050613942362917,RAPGEF6,3.589872362429541,SI:CH73-195I19.3,3.1277179333034826,ANO9A,2.0173198501555816
1,CABZ01084942.1,1.9048753544931945,HNRNPA0B,0.9827336519924956,HNRNPA0B,0.8380477112313918,ZGC:171775,1.2716590750674606,FNIP1,0.9922428766822953,PON1,1.0327576234766855
2,DIABLOA,1.2087544035794868,TOP1,0.858342269606155,LAMA1,0.8124597684371859,ANO9A,0.7963397484782959,SI:DKEY-247I3.6,0.7806259333687428,KLHL22,1.0278078674035405
3,ZGC:173587,1.1873512411521678,AGRP2,0.7840282445229753,OVOL1,0.6586234914927999,SUCO,0.7620058637294378,SI:CH211-160O17.6,0.7326545291385901,KLF17,0.8820559657034731
4,GPRC5BB,1.0865876691157348,PCNT,0.7799595608242074,SI:DKEY-261M9.17,0.6549875309825555,ZNF1057,0.7605544999901744,HUWE1,0.6721373117818398,SI:DKEY-253D23.9,0.8268778079483629
5,ZGC:171775,1.0026131229763215,NME2A,0.7570533718190564,TAOK1A,0.6419765773265176,RAB35,0.7433259761701183,UGCG,0.6603805163756474,SI:CH211-212K5.1,0.8166144226521143
6,TOP1,0.9942672942417555,TA,0.7168048046910109,TOP1,0.6403378686165354,HSD17B14,0.6800851215135215,TTC7B,0.6592641331653347,ZGC:173587,0.8077242360612311
7,IL6ST,0.9381983327634376,SI:DKEY-261M9.11,0.6144309644467136,GBP3,0.6258921111878767,ZNF1125,0.6762059244735494,SLC44A1B,0.6344108185515929,DIABLOA,0.8062433960680913
8,CPE,0.9158070832500353,TNFAIP8L2A,0.6125476603635505,ABCA5,0.6076124318703986,CLDN23,0.6532077366231807,PCM1,0.6330459802898627,DDX4,0.793863859415704
9,CSF1RB,0.9088007708947281,ALDH9A1A.2,0.6071740759687952,ZNF1099,0.5948664443586433,ZNF710A,0.6179215086020132,RHD,0.6259450480159563,NRXN1B,0.7888441015053923
10,CLDN11B,0.8551773239190762,CYR61L2,0.5924214750875013,RIPK4,0.5902687117485343,RBBP8NL,0.6149583001220484,ABCA5,0.6145988771947853,ETS2,0.7492066861819457
11,CLUHA,0.8442766097045419,JAKMIP2,0.5737473512253916,APLNRA,0.5855321281564684,PAFAH1B1B,0.5875531743549788,MED13A,0.610051886923832,SZL,0.7434394001861923
12,ZNF292B,0.8167318174948687,AGAP1,0.5580716997999216,AXIN2,0.579136482655382,TFAP2C,0.5822135162546787,NANOS3,0.6058322157157853,HUWE1,0.7432368761829827
13,MKI67,0.80102875855767,SETD2,0.5537496055099721,PON1,0.5767719017118261,CHD8,0.5729408278726988,FTR82,0.6015322700220915,KMT2CA,0.7375315921887409
14,SI:DKEY-149I7.2,0.7969240836043037,CSF1RB,0.5460852367655694,ANKHD1,0.5666547119110197,ARID3A,0.5717797390595817,TOP1,0.5993006192727764,MIDN,0.7236661538074814
15,BTG4,0.7891413498811702,MAP2,0.5424688807415983,CERS2B,0.563745716467894,SI:DKEY-247I3.6,0.5641970113083253,SI:CH211-235I11.3,0.5960443845888657,SLC35A4,0.7225385069970254
16,NFKBIL1,0.7856680555380989,VPS13A,0.5412663671808122,KMT2CA,0.5634567631356494,SI:CH211-279M15.1,0.5622169324816529,GADD45BA,0.5952346248104753,MAP3K4,0.7213721754904766
17,CTDSPL2A,0.7832185189629117,SI:DKEY-122C11.4,0.5365346161654088,ZNF1035,0.5571427041620081,MAPKBP1,0.5579372121479066,CYR61L2,0.5903603639059769,ZNF999,0.7127020968375161
18,NCOA7,0.7827367535511819,SI:DKEYP-75B4.7,0.5361302100498782,MLXIP,0.5533350166880043,ZC3H18,0.557389213635558,ZNF1057,0.5866868128650826,HSD17B12A,0.7067630781101579
19,MED13A,0.7798922090601733,NEDD4A,0.5240143583637988,TRIB3,0.550779828228561,CDKN1BB,0.5505237785299412,PGAM1A,0.5862864950604338,SI:CH211-168H21.2,0.7055278395386689
20,SI:CH211-168H21.2,0.7779424752633275,GBP3,0.5218721650498833,COPZ2,0.5476746950495798,MLXIP,0.5503328456397737,DNAI2,0.5862280806180945,FKBP15,0.6944942906018151
21,UBAP2B,0.7774370418413691,ZNF1031,0.514197318162843,CFD,0.5466676514599288,MCM6,0.543584740591005,SULT6B1,0.5839061803967586,CDK13,0.6941090247855758
22,SI:CH211-178N15.1,0.7714325438742675,ESRP1,0.5110366812023108,LAMC1,0.5412940983900595,PCDH18B,0.5397631305006566,HNRNPA0B,0.5784237185449556,U1,0.6875466881927206
23,ACTL7A,0.7657361996703137,ZNF1044,0.5083643656058672,PPIL1,0.5341236110203704,CLDNE,0.539174054645972,CLDNE,0.5658103878222696,SNAI2,0.6865125120176445
