,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6
0,GPRC5BB,2.023051631236583,LYRM1,4.4503458216192895,MYO3A,4.0338007948619365,AGRP2,2.3255460946872923,SI:CH73-195I19.3,3.0838411739998848,RAPGEF6,3.6193395236757304,ANO9A,1.856877454466117
1,HNRNPA0B,1.1261478169055124,HNRNPA0B,0.9634981257475926,LAMA1,0.7975665170898429,CABZ01084942.1,1.684863352289373,FNIP1,1.0316058009322857,ZGC:171775,1.2552566918194457,PON1,1.1092609473938821
2,CABZ01084942.1,0.8777990258438011,TOP1,0.847536408959245,HNRNPA0B,0.7972656788616771,ZGC:173587,1.1305402180590156,SI:DKEY-247I3.6,0.7921889827010454,ANO9A,0.7903637910406833,KLHL22,1.040934188690725
3,ZGC:171775,0.8017393171338386,AGRP2,0.841081177366655,OVOL1,0.6655282770641133,DIABLOA,1.0893158524325741,SI:CH211-160O17.6,0.7369407723119951,SUCO,0.7387017948768553,ZGC:173587,1.0037338932245372
4,CPE,0.7741042023508988,PCNT,0.7816651826987622,SI:DKEY-261M9.17,0.6591050048840879,IL6ST,0.8867840734402341,HUWE1,0.7051923765819073,ZNF1057,0.7088250610415578,DIABLOA,0.9570388138585897
5,SFT2D1,0.7499794983942073,NME2A,0.7576859447817811,TAOK1A,0.6371601053912872,BTG4,0.8858570336701074,TTC7B,0.6617761925003256,RAB35,0.6703201213681099,NRXN1B,0.9093200529698727
6,SI:DKEY-186O21.1,0.7445210955034798,TA,0.723191215344015,TOP1,0.6323951260857757,NCOA7,0.8103511516036136,UGCG,0.6589920280219321,HSD17B14,0.6537434167735862,DDX4,0.8792066064966093
7,RGCC,0.7321028982778462,SI:DKEY-261M9.11,0.6276900271375908,GBP3,0.6222468563453988,CLUHA,0.7127785691587429,SLC44A1B,0.6532223183814291,CLDN23,0.6508681258670261,KLF17,0.8669096851129523
8,CEP350,0.7196166383254263,ALDH9A1A.2,0.6130444045133194,ABCA5,0.6094165402822969,TOP1,0.710613591966008,RHD,0.6277916976630116,ZNF1125,0.6446488228880541,SI:CH211-212K5.1,0.8196913002752052
9,ARID1AB,0.7192266198409816,TNFAIP8L2A,0.6041987129529317,ZNF1099,0.596862829540561,ZNF703,0.7069019044278271,PCM1,0.6263730893016951,RBBP8NL,0.6364650890270906,SI:CH211-168H21.2,0.7866627315676432
10,TOP1,0.6919245020398511,CYR61L2,0.588905769596011,PON1,0.5961196887356712,ZGC:171775,0.6985516299774757,PGAM1A,0.6124632276619945,ZNF710A,0.6199477745989943,SZL,0.780583288852314
11,RNF213,0.6897398463440662,JAKMIP2,0.5654315018241095,APLNRA,0.5949250379536809,FOXD5,0.6662989564921561,FTR82,0.6051014330393781,SI:DKEY-247I3.6,0.6107887587158579,SI:DKEY-253D23.9,0.7765440257092454
12,SPTBN1,0.6820872421639669,AGAP1,0.5514572097602346,ANKHD1,0.5744974760817155,SI:DKEY-234I14.20,0.6644913868448387,MED13A,0.6015186347307461,PAFAH1B1B,0.6068112961434163,ETS2,0.7542259944746683
