,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8
0,DIABLOA,1.1786086857647236,LYRM1,4.489190282975236,MYO3A,4.112682371352317,SI:CH73-195I19.3,3.1684470842259183,CABZ01084942.1,2.0334175654133904,RAPGEF6,3.7767277103345216,GPRC5BB,2.064664020130353,ANO9A,2.1993850857033523,AGRP2,2.9430407560797325
1,ANO9A,0.7952491579177118,HNRNPA0B,1.0196403402330991,HNRNPA0B,0.8000745049013858,FNIP1,1.0416164113566173,ZGC:173587,1.1433725567261293,ZGC:171775,1.2335586151724205,HNRNPA0B,1.1392944200370823,NME2A,1.384847433674225,NRXN1B,1.1406064871687167
2,PRRC2A,0.7818159702173278,TOP1,0.8694733645498915,LAMA1,0.7897211320323466,SI:DKEY-247I3.6,0.8018359189301641,DIABLOA,1.0367318178215195,ANO9A,0.7720332283410276,CABZ01084942.1,0.8434154351252218,FNIP1,1.004880357246929,IL6ST,0.9335265565939417
3,KLF17,0.7798118196005929,NME2A,0.7944508887677276,OVOL1,0.6582014315322575,SI:CH211-160O17.6,0.7312482858102417,VPS13A,0.8357258692751923,SUCO,0.7502780025956826,CPE,0.7474760735677551,TOP1,0.8858898514454844,JAG1B,0.810638191650039
4,BMP4,0.736468053217056,AGRP2,0.7076085727195056,SI:DKEY-261M9.17,0.6541688205666275,HUWE1,0.6883757022977853,FOXD5,0.7675500056137177,ZNF1057,0.6734424795067634,SFT2D1,0.7386108039025924,ZGC:173587,0.8216330871329963,RRBP1B,0.7432322049106496
5,KLHL22,0.7274345524849998,PCNT,0.6950401378119929,GBP3,0.6310297055935211,UGCG,0.6609990177991458,ZNF703,0.7459356021322784,ZGC:173587,0.6416330958147854,RNF213,0.7303041123463903,PON1,0.7925106119078109,STK26,0.7396615897439748
6,KRT96,0.7175745902892342,TA,0.6797485698025254,TAOK1A,0.6295022538422956,TTC7B,0.6526236488157141,ZGC:171775,0.7321177601603942,CLDN23,0.6262343168522474,SI:DKEY-186O21.1,0.72197273960631,KLHL22,0.7685295886500951,PGAM1A,0.7041839691261033
7,SI:CH211-212K5.1,0.7089725294750819,SI:DKEY-261M9.11,0.6224963573708361,APLNRA,0.615351324631473,SLC44A1B,0.6439781730645745,NCOA7,0.7302543285106027,RAB35,0.6258814395055116,CEP350,0.7078357700993179,SCARNA6,0.7434644633314046,DIABLOA,0.6950062987248639
8,PCNT,0.6950782812664076,TNFAIP8L2A,0.6019280863004308,ABCA5,0.5935314067773875,GADD45BA,0.6323900564442805,B3GNT8,0.7130465046239604,PAFAH1B1B,0.6203048472561961,ZGC:171775,0.6995571983322447,MLXIP,0.733494851326299,UTP20,0.6924714121551279
9,ZNF999,0.6885226597014104,CYR61L2,0.5822042551189154,PON1,0.5904360940487524,RHD,0.6222113067262811,TRIM45,0.6684291846374997,ZNF1125,0.6125535454574423,ARID1AB,0.6727303090322794,CAMSAP2A,0.7319525398866704,FNIP1,0.6763911448448717
10,SI:DKEYP-115E12.6,0.684069904441083,ALDH9A1A.2,0.5816451996186879,AXIN2,0.5876650488881786,PGAM1A,0.6193344448877213,HISTH1L,0.6531460483662864,HSD17B14,0.6019715796161943,RGCC,0.6555072781053024,JAKMIP2,0.7192343045767493,ZGC:171759,0.6714153320026345
11,SI:DKEY-253D23.9,0.6838251093030338,JAKMIP2,0.5638138926026253,ZNF1099,0.5851198124732377,NANOS3,0.6120335494529532,BTG4,0.6486320685440973,SI:DKEY-247I3.6,0.5967877886967707,DEGS2,0.6527075568477751,RALBP1,0.7133441158115349,HSD17B2,0.6597764499940004
12,SZL,0.6819585230919936,MYLK4B,0.5578406996671794,TOP1,0.5830026260553658,PCM1,0.6104335007304041,GTF2H5,0.6470505199783557,ZNF710A,0.5943834006295929,ZGC:86764,0.6450316097493214,ANO9,0.6866021885620448,ZGC:173587,0.6238466397063454
13,RBBP8NL,0.6802787836379351,CSF1RB,0.5447310231048915,ANKHD1,0.5802562155240881,FTR82,0.59278469111992,RDH10A,0.635917255442614,MLXIP,0.5816130072427246,GRB7,0.6388468155412173,DDX4,0.6683642305975473,ZGC:162969,0.6224929303755569
14,HSP90AA1.2,0.6790378393532696,AGAP1,0.530849799727054,MLXIP,0.56659266240491,SI:CH211-235I11.3,0.591844610965196,ZGC:163077,0.6353297766589839,SI:CH211-196P9.1,0.5772774498086085,RAB35,0.6338480639310965,MIDN,0.6584018360410475,SI:DKEY-176F19.6,0.618275143146839
15,PON1,0.669346946729627,SI:DKEY-122C11.4,0.5222131828711328,ZNF1035,0.5626682530373669,MED13A,0.5854549438061633,MLXIP,0.633596977807164,ZGC:163077,0.5637183742659775,SPTBN1,0.6230240003219765,EVE1,0.6390790740036537,KRT5,0.6182149140809763
16,PLEKHD1,0.6654263516688113,MAP2,0.5162159904848632,LAMC1,0.5567789892982915,SULT6B1,0.5806895405722011,ACTL7A,0.633298363521295,PON1,0.555802846334265,FAM13A,0.6221937029185544,KRT4,0.6239046768248637,TRIM16,0.6109936936339524
17,POLR2A,0.6573040800325658,SETD2,0.5153189345393875,KMT2CA,0.5544509558484245,ABCA5,0.5793418445303918,HER7,0.6280413893703217,TFAP2C,0.555012745257835,SI:CH211-267E7.11,0.6179712289172684,WDR77,0.6188628415299587,BTG4,0.6052219797728615
18,SLC44A1B,0.6550780632404648,ESRP1,0.5087348831330655,GOLGA4,0.5498625455664745,ZNF1057,0.5791969707887521,TOP1,0.6280116775279594,RBBP8NL,0.5492766752291286,TCF3B,0.6138617354595484,PAN2,0.6066837410566408,ADD3B,0.5946053157122293
19,HUWE1,0.6533355888544581,KLHL8,0.495564225595476,RIPK4,0.5498583067436353,SI:DKEY-269O24.6,0.5743142564441523,RBM27,0.6243123227635233,ZC3H18,0.5451564969014477,TNFAIP8L2A,0.6056520360373273,SI:DKEYP-79B7.4,0.6001801960979659,NCOR2,0.5850239630864394
20,PONZR5,0.6531083758374666,VPS13A,0.49476279775625404,CFD,0.5475094576202714,DNAI2,0.5671048976672833,SI:DKEY-47K16.4,0.6237816212856423,ARID3A,0.5299481347154448,ITSN2B,0.6007918156998492,RGCC,0.5989298913201464,SI:DKEY-13I19.8,0.5844988325159719
