,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
0,GDF3,1.0396261722626199,LYRM1,2.5527352281638223,KRT4,1.4162896366639566,TA,2.3367589559040045,NANOS3,1.236983094972298,SI:DKEY-28A3.2,1.2990022356273365,SI:CH211-242H13.4,1.2204171027206112,CHD,1.1958621899856492,PRDM14,0.899578492532019,PHLDA3,1.3687497718300037
1,RHEBL1,1.0261855842046947,AGRP2,2.21275316969765,KRT18,1.4096033621102617,EVE1,2.0719176632375587,TDRD7A,1.1898024960659441,FTR36,1.1690162036301297,OTUD4,1.1480987618722622,SI:DKEY-261M9.17,1.1869370595461495,SI:CH1073-80I24.3,0.8885567056605467,MDM2,1.2174227967047664
2,SI:DKEY-15H14.4,1.0185127443369133,RAPGEF6,2.1738929693766127,LYE,1.381529609219843,WNT11,1.9179751844988375,HSP90AA1.2,1.1132499210006144,HS3ST3B1B,1.1644440204179294,PRKRIP1,1.0805410470232295,HIST2H3C,0.9778473279426089,SI:CH211-139K8.4,0.8566487098565143,SI:CH211-260E23.9,1.0342749142733372
3,SI:CH211-190K17.31,1.0028322075791682,CABZ01084942.1,2.1723692391478147,KRT92,1.370916989103321,CDX4,1.8137165242018598,DND1,1.0430871834295967,JAG1B,1.1032351387093087,HSP90AB1,1.0000957501642116,ZIC3,0.9735826283832745,FP236812.1,0.8164330867238725,CTSH,0.9950253582376734
4,MKRN4,0.995857679469328,MYO3A,2.1388859463662078,MID1IP1A,1.3514515664176652,ZNF703,1.7323447675411976,ACTL7A,1.0408935696489499,SI:DKEY-186O21.1,1.0827357260012411,PPIB,0.9920633569556938,ADMP,0.9518361791597223,PCDH18B,0.8130837108259656,FOXO3B,0.9927087286485782
5,NCALDA,0.9828478382436103,SI:CH73-195I19.3,2.079004588589531,KRT5,1.3478858870146695,TPBGA,1.517884982480926,BTG4,1.0210767136847554,TNFAIP8L2A,1.0725014363084278,SI:DKEY-153M14.1,0.9765503550566698,ZGC:153405,0.8783209881763142,SI:DKEY-188C14.4,0.8102605691780185,RBL2,0.9812268802596844
6,BZW1A,0.9796085857770441,ANO9A,2.0184191274631256,CLDNE,1.3474470831882643,SP5A,1.5036862870602392,FHDC3,0.9526806973101252,KCNK4,1.0613575621607534,SI:DKEY-23A13.15,0.9756519990821096,SI:DKEY-108K21.14,0.8637317286282169,SOX2,0.7902983780151104,APLNRB,0.9794300141854161
7,BX005448.2,0.9750045015040496,ZGC:171775,1.8964296320914418,SI:CH211-125O16.4,1.3310739288900917,AXIN2,1.496484468093908,SI:DKEY-11O15.10,0.9415173080918148,NRXN1B,1.0362263367283766,EIF5,0.9685837162525552,FOXD3,0.8449560078603083,SI:DKEY-95P16.2,0.744200651265148,SESN3,0.9668304785208527
8,P4HB,0.9676794555283508,TOP1,1.8470760209930643,CEBPB,1.3257989943627988,MSX1B,1.476524368036975,CA15B,0.9224382103388721,CNNM1,1.0345905751290703,SI:DKEY-23A13.4,0.964340951975023,FOXD5,0.8441076999666735,MAP2K6,0.7417599639729033,BCL2L14,0.8973598172764905
9,BX640584.2,0.9520956436135541,DIABLOA,1.8012912541410755,ZGC:101000,1.3240384132569962,MIXL1,1.359830404562288,SKA2,0.9036571026844011,GRB7,1.0212524102862002,SI:CH211-117M22.2,0.9638473853209993,GBGT1L4,0.8303642778808356,UBA52,0.7414141581543618,CASP8,0.8670558527714629
10,ZNF1060,0.9466775869429984,FNIP1,1.7728917622083644,KRT97,1.3131463666355387,GBX1,1.2884376194398697,ANKRD12,0.8870014586338515,CPE,1.004968567634231,GTF2H5,0.9557180528475283,SI:DKEY-23A13.15,0.8276439711636778,SI:DKEY-108K21.27,0.7276724775731936,TP53INP1,0.8168701709322345
11,SI:DKEY-30F3.2,0.929369612777298,HNRNPA0B,1.7669794587168077,KRT8,1.3026812014067028,ZNF503,1.2258556934541114,CLDNG,0.8702395660977955,HSD17B2,0.9986696804301624,SI:DKEY-108K21.12,0.9522040434328726,FOXB1A,0.8123174320333778,SLC38A3B,0.7240917020728299,ZGC:64022,0.7973646137823981
12,CR391944.1,0.9133757070879093,ZGC:173587,1.7510776757258153,EPS8L1,1.2986815889369374,IM:7138239,1.1584055823783643,BMI1B,0.8575883219930518,SYNGAP1A,0.9676413263428155,SI:DKEY-234I14.20,0.9392094208438315,SI:CH211-113A14.10,0.8060781963967771,SI:CH211-222L21.1,0.7196383400691819,SESN1,0.7737838696427146
13,BX324155.1,0.913033739114893,NME2A,1.6453369059360996,CLDN23,1.2668314798309182,DLD,1.0995286043266341,BOKB,0.8497434546222,RHD,0.9608666431151807,RPL12,0.9247607049890271,SI:CH211-113A14.24,0.8016732539485982,LHX5,0.715412528568173,CDKN1A,0.7455944304882219
14,CR450785.2,0.910772583406566,GPRC5BB,1.6370996496188157,ZNF185,1.2614034057950627,ZIC2A,1.0750047960131517,MAP7,0.8188032108767714,SI:CH211-171H4.5,0.9585341381288051,STM,0.9233205488393759,AMOTL2A,0.7672619237091814,H2AFX,0.6989039933207616,SLC4A2A,0.7377982090778472
15,ZNF1040,0.908994500541998,HUWE1,1.441132268572,FA2H,1.2575794966469565,NHSL1B,1.0576455605677264,SLC25A25A,0.8123066302679556,RNF213,0.9520654177546937,FTL,0.9110180450242438,ENSDART00000129497,0.7508140923571526,ADD3B,0.6945865281562519,EXO5,0.731095006823062
16,RAC1A,0.8993350692172883,CABZ01001464.1,1.3381836000562963,ZGC:193505,1.2484722089395444,ATP1B3A,1.0309725392128404,MID1IP1L,0.8082093649545901,SI:DKEY-58J15.10,0.945360052045072,SI:CH211-194E1.8,0.9079741412600643,DACT2,0.7371401852583052,SLC38A5B,0.691320387456786,PLEKHN1,0.7268971815558743
17,WEE2,0.8917089709454005,PON1,1.3358106900647322,FTR83,1.2324443060327965,APOC1,1.0270303581576137,OTX1B,0.796775025418026,BX546500.1,0.9232556294758603,KIAA0101,0.9048372857274765,FSCN1A,0.7280303719337923,FAUA,0.6846867189996785,IGF2A,0.7026539873036699
18,FAM78BB,0.8862245332034873,KLHL22,1.333334554399262,MGLL,1.2309063481596212,HES6,1.02293906948833,CHD6,0.7887917835408663,SI:CH211-178N15.1,0.9171146922792165,DUT,0.9033157816198433,IER2,0.70828018653192,POLR3GLA,0.6798318507927549,E2F7,0.6775270761424951
19,ADGRE10,0.8841299772466592,NRXN1B,1.303194447309151,EVPLA,1.21637749326741,PRICKLE1B,1.0193893511896215,SI:DKEY-261J4.3,0.779213603340298,JAKMIP2,0.914380165172173,ZGC:158463,0.9028633662703759,TDGF1,0.7063710497023463,SI:DKEY-16M19.4,0.679607409285118,SI:DKEY-204L11.1,0.6722870911808639
20,ZNF986,0.8806370650118682,CPE,1.2714535183096036,SI:DKEYP-67A8.4,1.208428109771186,HER1,1.0045500487056582,RGS14A,0.7750046485435168,CAMSAP2A,0.9073712226145784,U1,0.8837851916124978,SI:CH211-113A14.15,0.6786184687137526,MCM6,0.6790586765466582,RASL11B,0.6696687503089057
