,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11
0,BX005448.2,1.0441291662546957,LYRM1,2.4691176891529842,KRT4,1.4176385009034658,TA,2.2839157060888433,NANOS3,1.3578885005851677,SI:CH211-242H13.4,1.3759677789056022,SI:DKEYP-3B12.7,0.932578723827714,CHD,1.8259480492579934,SI:CH1073-80I24.3,1.0599733763940307,SI:DKEY-28A3.2,1.255589707728727,SI:DKEY-261M9.17,1.3980366294290671,PHLDA3,1.3809833141300478
1,BX324155.1,0.9919435457805916,MYO3A,2.151202123336711,KRT18,1.3903722882104244,EVE1,2.063926067063788,TDRD7A,1.268801273217043,SI:DKEY-234I14.20,0.9685234407206981,SI:DKEY-261M9.17,0.8863870745205543,FOXD3,1.381654516904652,SI:CH211-139K8.4,0.9802891124361109,CAMSAP2A,1.1233502640387543,HIST2H3C,1.3557238310849156,MDM2,1.188482945005947
2,SI:DKEY-1D7.3,0.963468854117047,AGRP2,2.1396210198350114,CLDNE,1.3519133672523485,WNT11,1.9192150351344643,HSP90AA1.2,1.1460285903029264,RNASEP_NUC,0.8983925074076797,SI:CH211-113A14.10,0.8540524263004029,ADMP,1.3246266487670875,SI:DKEY-188C14.4,0.937060928385106,JAG1B,1.1055426075198291,SI:CH211-113A14.10,1.30610779666631,SI:CH211-260E23.9,1.0718832581905953
3,SI:DKEY-15H14.4,0.9516841339291549,RAPGEF6,2.1273451415033944,MID1IP1A,1.3516387279960844,CDX4,1.789494918786428,DND1,1.0623414016062276,SI:DKEY-48G21.5,0.8955786407213207,SI:DKEY-261M9.15,0.8292943688551663,ZIC3,1.0053107183642662,PRDM14,0.851697241337815,SYNGAP1A,1.09098011886021,SI:CH1073-159D7.7,1.2447115740507522,FOXO3B,1.0131618535158315
4,GDF3,0.9153303900174662,SI:CH73-195I19.3,2.0708278570129166,KRT5,1.3511887566958682,ZNF703,1.7442532317402957,ACTL7A,1.0157004794429858,SI:DKEYP-55H4.2,0.841657751523192,KIAA0101,0.828503653934977,CDH2,0.9512040053056323,SI:DKEY-95P16.2,0.8355009382713409,BX546500.1,1.084363899685112,SI:DKEY-108K21.14,1.2238500881587062,CTSH,0.9964573778425477
5,BIRC5B,0.912162749714273,CABZ01084942.1,2.063861623755106,LYE,1.351007428774816,TPBGA,1.490882315388187,CA15B,0.9745227129426158,PGAM1A,0.8205622457182615,SI:DKEYP-3B12.6,0.8223364458062212,GSC,0.9440185662515024,APOEB,0.8276812697392006,CNNM1,1.0677411002972355,ZGC:153405,1.2036237570008774,APLNRB,0.9962607619121783
6,SI:CH211-190K17.31,0.8963081603557113,ANO9A,2.0629909909523874,KRT92,1.3441681379618213,AXIN2,1.4905007385278848,BTG4,0.9626921178273471,PPIB,0.8054256451028924,OTUD4,0.8197416947337322,FOXB1A,0.9407255982736218,SI:CH211-222L21.1,0.8276382593274447,PLECA,1.0583940295750744,SI:CH211-113A14.15,1.1875058032323171,RBL2,0.971370612609782
7,SI:DKEYP-114G9.1,0.8879991562679055,ZGC:171775,1.8260322220914718,ZGC:101000,1.3127145245699032,SP5A,1.4766279839928962,SI:DKEY-11O15.10,0.9065899922471106,EIF5,0.7827021858214471,SI:CH211-117M22.2,0.8139328495254058,PRICKLE1A,0.9381132702889692,MAP2K6,0.8257958347598748,HS3ST3B1B,1.0436937902069963,SI:CH211-113A14.24,1.1846185349601401,SESN3,0.9314472602391608
8,SI:DKEY-30F3.2,0.8600263317279966,TOP1,1.7942393240285042,KRT97,1.3082088145559052,MSX1B,1.465723584329881,BOKB,0.8733811547609723,SI:CH1073-190K2.1,0.7350819992007259,CLIP4,0.7920060082956571,NOTO,0.9041252399044201,POLR3GLA,0.8205078116791072,HSD17B2,1.014496243518738,SI:DKEY-23A13.15,1.0973033616080905,BCL2L14,0.9001054069270273
9,P4HB,0.8441447678425014,FNIP1,1.7821849412961073,SI:CH211-125O16.4,1.2996451669562412,MIXL1,1.3386811890646801,SKA2,0.8442375520397662,EPCAM,0.7343780983567895,HSP90AB1,0.7738727616334077,FOXD5,0.8762308981091566,UBA52,0.7985223796415678,SLC7A8A,0.9963691703661257,SI:DKEY-108K21.21,1.0895973449414122,CASP8,0.8695889443161157
