,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15
0,GATA2A,1.1324660772075412,LYRM1,2.694472955464433,KRT18,1.313924703689561,TA,2.434689734324534,NANOS3,1.6099691791632602,SI:CH211-242H13.4,1.3436723841216116,SI:DKEYP-3B12.7,0.9393883044942432,CHD,1.5358381069983267,SI:DKEY-95P16.2,0.8025294278696399,SI:DKEY-28A3.2,1.186403520757219,SI:DKEY-261M9.17,1.6841326605746476,PHLDA3,1.3852493092484897,HSP90AA1.2,1.8248236225811887,TELO2,0.7522846740663603,RHEBL1,1.134902271310946,SI:DKEY-11O15.10,0.9323544867901894
1,SZL,1.1152987739094968,MYO3A,2.4234825707349783,KRT4,1.3119880260403733,EVE1,2.1364247550927287,DND1,1.514834619373159,SI:DKEY-234I14.20,1.0081208385768152,KIAA0101,0.873100158203917,ADMP,1.3534546399585285,SI:DKEY-16M19.4,0.780397978070644,BX546500.1,1.1079425418372555,HIST2H3C,1.4083350655535738,MDM2,1.1703869328422223,HSP70.3,1.223327539469457,AFP4,0.7157416243149929,GDF3,1.007467349623694,SI:DKEY-199K11.6,0.9162510483938762
2,BMP4,1.0788986763118449,RAPGEF6,2.376727126863495,CLDNE,1.2921840103131665,WNT11,1.9700453316584365,TDRD7A,1.3624901044538305,SI:DKEY-48G21.5,0.952403267325324,PRKRIP1,0.8302384459414008,FOXD3,1.3385699680003849,ENSDART00000172356,0.775915232726461,PLECA,1.0699132996446175,SI:CH211-113A14.10,1.3863795752484382,SI:CH211-260E23.9,1.0882980534249593,HSP70.1,0.8892592580087267,SLC3A2B,0.6971410957904027,NCALDA,0.9865519264626602,CNOT4B,0.908636892961177
3,APOC1,1.0531382458588432,SI:CH73-195I19.3,2.3602909225772435,KRT5,1.2834243071305935,CDX4,1.864216871837979,ACTL7A,1.3402743266943768,RNASEP_NUC,0.9152319685552696,HSP90AB1,0.8206765804705877,ZIC3,1.260779493751906,SI:CH211-195B11.4,0.7647327451694441,JAG1B,1.0540564906330423,SI:DKEY-23A13.15,1.1902685720571282,APLNRB,1.0319506158316845,CABZ01080568.1,0.8045918824066689,SLC7A8A,0.6656454158849885,P4HB,0.9813812404510432,LLGL1,0.8913559099010858
4,BMP7A,0.9841450893892971,CABZ01084942.1,2.3194329566759566,MID1IP1A,1.276552181452997,ZNF703,1.820706229257676,DDX4,1.161652251373002,SI:DKEYP-55H4.2,0.8355577684797654,OTUD4,0.8109098178529016,PRICKLE1A,0.9803130622306565,SI:CH1073-80I24.3,0.7634693953963559,SYNGAP1A,1.0455296440767436,SI:CH211-113A14.24,1.1757454014956847,FOXO3B,1.0084819529801436,HSP70.2,0.7691994020372569,SRRD,0.6623030604538287,SI:DKEY-15H14.4,0.9735676463345762,SI:DKEY-234L24.10,0.8358329740721789
5,FOXI1,0.9404860564979237,AGRP2,2.2797224377519814,LYE,1.271693387594406,AXIN2,1.5492965042082152,CA15B,1.1048936905710744,PGAM1A,0.8277875375771329,SI:DKEYP-3B12.6,0.8084677028365693,FOXD5,0.919800344879028,SI:DKEYP-3B12.10,0.7484987291264917,CNNM1,1.0385389492062826,ZGC:153405,1.1723560154964907,CTSH,0.9895160764558009,ADGRE10,0.6951296608161495,TSG101A,0.6621764979468593,BIRC5B,0.9565944895319646,DIP2BA,0.8333796959838049
6,ARID1AB,0.914879022124203,TOP1,2.1149110912518574,KRT92,1.255949772138231,SP5A,1.5073289283505142,RGS14A,1.0008685185957595,SI:CH1073-190K2.1,0.7885236112677334,PSMA4,0.7514755418097729,SESN3,0.9108036329694819,SI:DKEYP-3B12.12,0.7484249557756872,HS3ST3B1B,1.0104096601328083,ZGC:165555,1.085455530895848,RBL2,0.9809772647571152,SERPINH1B,0.6922999744717745,SI:CH211-117I10.10,0.6572186406950495,SI:DKEY-199M13.4,0.9556314625677742,CIARTA,0.8227719596561884
7,CBFA2T2,0.912284824144993,ZGC:171775,2.0628859738901175,CLDN23,1.2487550685594497,TPBGA,1.4926179715041228,GRA,0.917896121995793,EIF5,0.7820051828521248,STM,0.7500228404058491,FZD8A,0.8690036484065632,MAP2K6,0.7370690291303483,CPE,0.9693639594320438,ENSDART00000129497,1.0842231197210939,SESN3,0.9028473266631736,HSPA4A,0.6373155524344578,FGF17,0.6443960401216576,BZW1A,0.9460900596800305,DDIT4,0.8223460905623639
8,TFAP2C,0.9044496808619856,ANO9A,2.0555521801278136,EPS8L1,1.2363204710685771,MSX1B,1.4825812807748584,ICE1,0.8070191693202465,SI:CH211-268B13.3,0.755605140284743,CLIP4,0.7451472366842048,ZEB1A,0.8642432625789086,SI:CH211-113A14.16,0.7256234888294499,HSD17B2,0.9563478178825304,SI:CH211-113A14.15,1.0787948959867715,BCL2L14,0.897323439649167,SI:DKEY-221L21.2,0.609703444475493,RAB3IL1,0.6397465159118861,MKRN4,0.9238702280403708,MAP7,0.8189848245181
9,IPO9,0.8778536925911385,DIABLOA,2.043244579128364,CEBPB,1.2307297891163054,MIXL1,1.3988477190797617,BTG4,0.7291306820823905,PPIB,0.7469359593617508,RPS17,0.7431566016983673,CST3,0.8454012099432996,SI:CH211-222L21.1,0.7162992744390839,SI:DKEY-186O21.1,0.9489981741527668,SI:DKEY-108K21.14,1.0546445614088062,CASP8,0.8571483201403525,TMEM205,0.6045785773803501,HNF4A,0.6287364605938044,SI:CH211-190K17.31,0.91856029348539,ZGC:77112,0.8133683022813304
