,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16
0,GATA2A,1.2797541104199366,LYRM1,2.5680499900644054,KRT4,1.2501268611266811,TA,2.392776192648374,NANOS3,1.563543052303898,SI:CH211-242H13.4,1.3375779758767643,SI:DKEYP-3B12.7,1.0904209530665785,CHD,1.548364906115029,SI:DKEY-95P16.2,0.778978389749737,PHLDA3,1.4078254428488672,SI:DKEY-261M9.17,1.647397036853397,DDIT4,0.9312969441017855,BZW1A,1.1766123654475649,FTH1B,0.6964215647838953,HSP90AA1.2,1.8246880847508478,SLC7A8A,1.5410515160521465,SI:DKEY-28A3.2,1.2701409461756747
1,BMP4,1.220427359928818,MYO3A,2.3125190062037495,FA2H,1.243984421250862,EVE1,2.079281489790762,TDRD7A,1.394563508793728,SI:DKEY-234I14.20,0.9284140456953965,SI:DKEYP-3B12.6,1.0046143545016337,ADMP,1.384287580463373,PRDM14,0.7775939160756888,MDM2,1.193492427800238,HIST2H3C,1.3590000056731493,BX324155.1,0.8847493804842245,GDF3,1.115731159074253,TELO2,0.6928846363005687,HSP70.3,1.1931292711072452,AFP4,1.4750922340360701,JAG1B,1.1747769034593218
2,SZL,1.1732973932387532,RAPGEF6,2.283034048035712,KRT18,1.2424141428626252,WNT11,1.9648481971117904,DND1,1.3823545943819293,SI:DKEY-48G21.5,0.8979958380506639,KIAA0101,0.8929725061872239,FOXD3,1.3343656607304866,SI:CH1073-80I24.3,0.7488887153094511,SI:CH211-260E23.9,1.1107922631075267,SI:CH211-113A14.10,1.3165472128870028,EGLN3,0.8800279515637082,P4HB,1.096343340951522,SI:CH211-235I11.3,0.6725355432433577,HSP70.1,0.855885501340853,CAMSAP2A,1.4244519244439682,SYNGAP1A,1.0741553480022306
3,APOC1,1.1242777576089655,CABZ01084942.1,2.2197042184195124,CLDNE,1.2361812116867712,CDX4,1.8226597756707756,ACTL7A,1.3375936975498075,SI:CH1073-190K2.1,0.8603731730908303,OTUD4,0.8697466784960309,ZIC3,1.2569169510639828,SOX2,0.739449493188143,APLNRB,1.053600961551191,SI:DKEY-23A13.15,1.140322603035953,SI:DKEY-1D7.3,0.8298359970334913,PPIB,1.03723596656545,SI:CH211-117I10.10,0.6716992631444754,CABZ01080568.1,0.8110147287255642,CTSLL,1.3545795275991812,HSD17B2,1.0510589028953097
4,BMP7A,1.104364103317964,SI:CH73-195I19.3,2.2072035609272658,KRT5,1.2146073627194052,ZNF703,1.7859800635002214,DDX4,1.1170332362112163,ZNF1125,0.8344920513409967,HSP90AB1,0.8318890959240572,PRICKLE1A,0.876895034203476,SI:DKEYP-3B12.12,0.7269636486469518,FOXO3B,1.0141841271022944,ENSDART00000129497,1.0943553371054096,RHEBL1,0.8177168809076734,RHEBL1,0.9963900381808389,SRRD,0.6636401436523154,HSP70.2,0.7635640763137853,SLC3A2B,1.2019541208106401,CPE,1.003038762778564
5,FOXI1,1.0270010847527344,AGRP2,2.1945967576983465,KRT92,1.2109666380363504,SP5A,1.5131230268528666,CA15B,1.0670822117445444,RNASEP_NUC,0.8113088337913447,CLIP4,0.8186785934109146,FOXD5,0.867491056189729,ENSDART00000172356,0.7255446412413349,RBL2,0.9986443826041773,SI:CH211-113A14.24,1.0825590667982643,CR391944.1,0.807193297242725,FAM78BB,0.96262167032055,RAB3IL1,0.6410689323662978,HSPA4A,0.67300597739124,ABCA1B,1.1348515090766056,NRXN1B,0.9934233888193861
6,TFAP2C,0.9934699574082179,ZGC:171775,2.023796688123757,EPS8L1,1.2105912238789507,AXIN2,1.4998667257640061,GRA,0.9519515114242761,CPN1,0.8106738561983373,PRKRIP1,0.8155837513860774,FZD8A,0.8534303557800186,SI:CH211-195B11.4,0.7178497948521856,CTSH,0.9964284652324165,ZGC:165555,1.0646008742145145,SI:DKEY-199M13.4,0.7736464968925996,BIRC5B,0.9258316034953097,TSG101A,0.6375536887198837,SERPINH1B,0.6512309358931939,NR0B2A,1.0562370563763992,CNNM1,0.9779154660325432
7,CBFA2T2,0.9894785811711456,TOP1,1.9865523393197453,LYE,1.1990077518168998,TPBGA,1.4776812699814057,RGS14A,0.9386528219451062,SI:DKEY-122C11.4,0.7886592708024995,SI:CH211-113A14.16,0.8073651452011621,FOXB1A,0.8523075716407115,SI:DKEY-122C11.4,0.6969570125465555,SESN3,0.915197418480162,ZGC:153405,1.0376669575185984,SI:CH211-190K17.31,0.763252379169509,MKRN4,0.9236495919815959,SLC9A8,0.6286394378663949,SI:DKEY-146C18.5,0.6403529603596779,MTP,0.9992743088811152,FTR36,0.9287937220562614
8,PCM1,0.9627836704373223,DIABLOA,1.9064386019364565,MID1IP1A,1.1981807992465072,MSX1B,1.446621405879736,ICE1,0.7844422962534805,CR388042.3,0.785498399221962,SI:DKEY-23A13.4,0.795426316505903,SESN3,0.8485299615256218,SI:CH73-110P20.1,0.6968611911743269,BCL2L14,0.908903055321858,SI:DKEY-261M9.15,0.9653050600023733,SI:DKEY-15H14.4,0.7538666957566408,RBM4.3,0.8991582809199048,WDTC1,0.6135662217241289,ZNF1031,0.6365897561124996,SI:DKEY-238D18.15,0.8906743956425505,KCNK4,0.9251510090570363
9,CLUHA,0.9455766224817922,ANO9A,1.8691796861225367,KRT97,1.180222270914467,MIXL1,1.3831417643810127,BTG4,0.7747508493319218,PGAM1A,0.7289768372761948,SI:CH211-113A14.10,0.7851709797882236,ZEB1A,0.8020679495335552,SI:DKEY-16M19.4,0.6865893142259547,CASP8,0.8767239759795123,SI:CH1073-159D7.7,0.9300093177240047,CR450785.2,0.753403099876437,TSR2,0.889535265622431,KIF18A,0.603495885607618,TMEM205,0.6207542518868144,HNF4A,0.85341570626237,SI:DKEY-186O21.1,0.9250873287009068
