,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18,Module 19,Weights 19
0,SI:CH211-139K8.4,1.1655093417720448,LYRM1,2.503371207434784,KRT18,1.3171400604922132,TA,2.3869160211200553,EGLN3,1.3483375490037723,SI:CH211-242H13.4,1.4163914515426954,SI:DKEYP-3B12.7,0.9125311494080481,CHD,1.7914713819352803,ENSDART00000172356,1.1083954211250115,SPAW,0.9021015503801679,SI:DKEY-261M9.17,1.4543553383254568,PHLDA3,1.4212252147925415,BZW1A,1.0866981595646017,FTH1B,0.6895609399503024,HSP90AA1.2,1.8935404782264444,NANOS3,1.5487031221388041,BX546500.1,1.186743623763977,CAMSAP3,0.8262887434246546,CLUHA,0.7224982740304366,BMP4,1.2965211497399525
1,PRDM14,1.1118867108998784,MYO3A,2.298526112630398,MID1IP1A,1.310513586351897,EVE1,2.1125804523813843,DDIT4,1.1543295453710953,RNASEP_NUC,0.9588695510129011,SI:DKEYP-3B12.6,0.8198151663669656,FOXD3,1.3726663893189002,SI:DKEYP-3B12.10,1.0768223453005112,SI:DKEY-1D7.3,0.6592019828513119,HIST2H3C,1.1879499301368537,MDM2,1.1867113878443298,GDF3,1.0816457135872393,TELO2,0.6666266371077141,HSP70.3,1.2941464570531709,DND1,1.4170587454500718,SI:DKEY-28A3.2,1.0278539522525227,EVPLA,0.8040312459351593,SI:DKEYP-3B12.7,0.7182861927146721,GATA2A,1.275914633923717
2,SI:DKEY-188C14.4,1.109012440686194,RAPGEF6,2.188993835372325,KRT4,1.2838907037568639,WNT11,1.9861795696313531,GBGT1L4,0.745929704746245,SI:DKEY-48G21.5,0.9308736885832213,KIAA0101,0.8050043755428368,ADMP,1.2913192392126136,ZGC:158463,1.0169420205751916,SI:DKEY-238D18.15,0.6355588319618086,SI:CH211-113A14.10,1.1623233748136979,SI:CH211-260E23.9,1.1167814013128292,P4HB,0.9954086895619119,SI:CH211-235I11.3,0.6598097828932967,HSP70.1,0.9048799381602318,TDRD7A,1.371257620565081,SYNGAP1A,1.0187894215833517,SI:CH211-69B7.6,0.7905009958198204,MYT1A,0.7165136718380909,SZL,0.9947991842750536
3,EFNB2A,1.0011099306993014,SI:CH73-195I19.3,2.1874168875894777,KRT92,1.267235317479788,CDX4,1.8630656125970861,BX324155.1,0.7444787209805864,SI:DKEY-234I14.20,0.922641710608304,CLIP4,0.7925152042784042,ZIC3,1.0256408796974759,SI:CH1073-159D7.7,1.0157894888934467,SLC7A8A,0.6249443536127284,SI:DKEY-23A13.15,1.0317252254099454,APLNRB,1.0606708202991555,RHEBL1,0.9777001928365856,SRRD,0.6347235503317803,CABZ01080568.1,0.8440112415339796,ACTL7A,1.2610930824817137,CAMSAP2A,1.0073468963133299,AIM1B,0.7729880353209868,SI:DKEYP-3B12.6,0.701514573466238,FOXI1,0.9639707607469966
4,LHX5,0.9810431916141799,AGRP2,2.1658557291775513,ZGC:101000,1.2559252078448966,ZNF703,1.8221850703755522,BX901974.1,0.7350723231745957,PGAM1A,0.905176689007534,PRKRIP1,0.7458394170668408,NOTO,0.9085669651482755,ZGC:113984,1.0065110687729262,ACO2,0.623784012668085,ENSDART00000129497,1.0302620146871408,FOXO3B,1.0467570076092454,FAM78BB,0.8904923124237824,FBXO30A,0.6307028425773994,HSP70.2,0.8275797211266408,CA15B,1.0760824254308035,PLECA,0.9249246855268437,JAG1B,0.7183306879908551,SI:CH211-208F21.2,0.6931512968652568,PRKAR1AA,0.9570203758181959
5,PCDH18B,0.9056367878058773,CABZ01084942.1,2.122740872786188,CLDNE,1.2552523721856945,AXIN2,1.5966390139882467,BX005448.2,0.6665115413276018,CPN1,0.807454847827588,SLC35A4,0.7394159412338107,FOXB1A,0.9073682503561291,SI:DKEY-108K21.21,0.9879713537335142,NFYC,0.607297592551814,SI:CH211-113A14.24,0.9566896292397535,CTSH,1.0252878811422483,SKP2,0.8690791703300675,KIF18A,0.621919165090188,SERPINH1B,0.6831565226230827,DDX4,1.0752780919759057,SLC7A8A,0.9109248575958114,PLECA,0.6833021408461741,BX000364.1,0.6862916355448145,TFAP2C,0.9361724968098774
6,SOX2,0.8869640891031494,ANO9A,2.0697271703948594,LYE,1.254189820707302,SP5A,1.577769953250137,SI:CH1073-190K2.1,0.6392128578291307,SI:DKEYP-55H4.2,0.7682043813760016,RPL27,0.7340223751382108,PRICKLE1A,0.8951537697191622,SI:CH73-36P18.2,0.9684213928520072,ZNF1136,0.5969068959037647,ZGC:153405,0.9506442185540002,RBL2,0.9973747775912869,MKRN4,0.8690573657236869,TSG101A,0.6211536628464427,ADGRE10,0.651247186029461,GRA,0.9460629884958487,HSD17B2,0.9001310486015972,DSPA,0.6792410042708245,ULK1B,0.6608118628765876,BMP7A,0.9333615089108324
7,SLC38A5B,0.8847039911396865,FNIP1,1.8622305824195569,KRT5,1.2421965951757248,TPBGA,1.5143213587195743,SI:DKEY-199M13.4,0.6333659648759383,SI:CH1073-190K2.1,0.746525325109055,HSP90AB1,0.7298615584345968,FOXD5,0.8560792573656649,SI:CH211-113A14.16,0.9671399188292504,AFP4,0.5933523852058858,ZGC:165555,0.9019272951785059,SESN3,0.9499228842516536,RBM4.3,0.8582239894991387,SLC9A8,0.6171119359415762,HSPA4A,0.5956792735163439,RGS14A,0.9267542268544242,HS3ST3B1B,0.8986262060469594,MCHR2,0.6734620321293779,CBFA2T2,0.6038146205463847,APOC1,0.9250531316786271
8,LAMA1,0.8837186415627414,ZGC:171775,1.8399591743202615,CEBPB,1.2381571252603505,MSX1B,1.4795564029481,ZNF1063,0.6305052150526803,EIF5,0.7424050653537623,SI:DKEY-23A13.4,0.7157637570103711,GSC,0.8419440961581064,ZGC:171759,0.9403250287130572,BX005448.2,0.5853694779142005,SI:CH211-113A14.15,0.8546942365408631,BCL2L14,0.9264913077995007,BIRC5B,0.8415322890780821,SI:CH211-117I10.10,0.6070766277031729,CU655961.2,0.5822304167326219,ICE1,0.7873239717150262,SI:DKEY-186O21.1,0.891670724785572,VPS13A,0.6438294317653332,FP236812.1,0.5986031677040359,WWP2,0.892443718436121
9,FZD7A,0.8715647305685321,TOP1,1.7949901613108903,KRT8,1.2116566062839456,MIXL1,1.3951608627366217,ZGC:173702,0.6258559372775822,PPIB,0.7369490298720413,SI:DKEY-261M9.15,0.7093462949828078,IER2,0.8089969983133902,FP236812.2,0.9330195313513995,NR0B2A,0.5842798139324819,SI:DKEY-108K21.14,0.8348449118661941,CASP8,0.8909060249848444,SI:DKEY-6D5.4,0.839432877680785,RAB3IL1,0.6057146000286234,HSP70L,0.5668887630697843,BTG4,0.7850765263663219,TNFAIP8L2A,0.8876750614498964,NRXN1B,0.6407268141450867,SI:CH211-113A14.26,0.5908131743958775,PCM1,0.8842236539637006
10,MIDN,0.8570122045797056,DIABLOA,1.7702125367085335,CLDN23,1.2106829188924342,GBX1,1.3184116660082523,MCL1B,0.6168191269929827,CR388042.3,0.7059073030861793,SI:CH211-194E1.8,0.706044708252635,CDH2,0.7787167938877609,SI:DKEYP-3B12.12,0.9322772354393881,ASB11,0.5751848959479986,SI:DKEY-261M9.15,0.8313268476438002,TP53INP1,0.8877139898421773,NCALDA,0.838625361178297,WDTC1,0.6031445188192984,SI:DKEY-146C18.5,0.5396624176763551,SI:DKEY-11O15.10,0.7758834158378743,JAG1B,0.8680930602248516,ZNF185,0.6354710880392669,LIN52,0.5580437513702589,INSM1B,0.7949800369626225
11,OTX1A,0.8449680898976887,NME2A,1.769971309018111,EPS8L1,1.2094036284420193,ZNF503,1.2634456284021025,PGAM1A,0.612758311586244,EPCAM,0.7026151650772787,NNR,0.6930784319242775,FZD8A,0.7732598666575357,CNIH4,0.9263032962864419,KRCP,0.5691336963964383,HIST1H4D,0.7517030409081682,SESN1,0.8334676670270642,PPIB,0.8315354066156628,SI:DKEY-93M18.3,0.5818070080271749,SI:RP71-45K5.2,0.5367794298210968,SKA2,0.7488603196127878,CPE,0.8592262390439994,SI:DKEY-234L24.10,0.6129822764050034,SI:CH1073-416D2.4,0.5534901202511827,FTR36,0.7809358874227665
