,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6
0,GDF3,1.108309754998264,LYRM1,2.534581101973779,KRT4,1.4640187135404938,TA,2.344142233768561,TDRD7A,1.2184155371769647,SI:DKEY-28A3.2,1.1728378276546771,OTUD4,1.1788232448387739
1,RHEBL1,1.0827611904176189,AGRP2,2.195461167467104,KRT18,1.4323354451592287,EVE1,2.090345066396425,NANOS3,1.1747335101660958,JAG1B,1.0918686139110398,SI:CH211-242H13.4,1.1625080900508267
2,CR391944.1,1.038902863035559,RAPGEF6,2.1426628957585736,LYE,1.4205184178876074,WNT11,1.9346118221650421,BTG4,1.146300594034704,FTR36,1.0854213494768523,PRKRIP1,1.0852141248509821
3,ALDOB,1.0388393033782592,CABZ01084942.1,2.1127208209393395,KRT92,1.4143523630165584,CDX4,1.8135927422297278,HSP90AA1.2,1.105443166867641,HS3ST3B1B,1.0842792208271463,SI:DKEY-153M14.1,1.0176293119069537
4,NCALDA,1.0283081382797021,MYO3A,2.100173808360941,MID1IP1A,1.394458229896234,ZNF703,1.7463405678097568,ACTL7A,1.06784641536981,KCNK4,1.0687048588108317,HSP90AB1,1.009973687693936
5,SI:CH211-195B11.4,1.008855497740708,ANO9A,2.084899390429255,KRT5,1.3915701809205314,TPBGA,1.520788628422083,CA15B,1.046735901313526,TNFAIP8L2A,1.017335948532708,SI:DKEY-23A13.4,1.003300286438247
6,RGS3B,1.0066974940822488,SI:CH73-195I19.3,2.0636679683810533,KRT97,1.3810248320018532,SP5A,1.518200630603065,CLDNG,1.0441569129076917,SI:DKEY-186O21.1,1.002243946118015,SI:DKEY-108K21.12,0.9999107753787797
7,CR450785.2,0.9914443250497381,ZGC:171775,1.8886523977569747,CLDNE,1.376243961107189,AXIN2,1.503479977598621,MID1IP1L,1.0377077860597415,CNNM1,0.9956940931337939,SI:CH211-117M22.2,0.9933506685771067
8,BZW1A,0.9890901357771213,TOP1,1.8235326533162877,ZGC:101000,1.3676050234468633,MSX1B,1.473727904977791,SI:DKEY-163F14.5,0.9696689475620995,GRB7,0.9848624163200993,PPIB,0.9763898880009797
9,RAC1A,0.988717722283057,ZGC:173587,1.8180802697150102,SI:CH211-125O16.4,1.3627685955822895,MIXL1,1.3343719942821934,ZGC:158852,0.9664458318916165,NRXN1B,0.9795310104677479,SI:DKEY-23A13.15,0.9689371043922508
10,BX640584.2,0.9885946357428644,HNRNPA0B,1.804652425659346,KRT8,1.3450573937906856,GBX1,1.2979155860818126,SI:RP71-45K5.2,0.9646317676232979,RHD,0.9611411024427889,ZGC:158463,0.950097980621651
11,SI:DKEY-199M13.4,0.9872418660565998,DIABLOA,1.802738286153994,CEBPB,1.3414177809554033,ZNF503,1.2431017677370668,DND1,0.9182006602053465,SI:CH211-171H4.5,0.9527552070011827,STM,0.9493342979676648
12,BX901907.2,0.9794188515157048,FNIP1,1.776538559016361,EPS8L1,1.326842538637009,IM:7138239,1.1884637973878909,FHDC3,0.9062227223089425,CPE,0.9508575864605847,GTF2H5,0.9449233231543209
13,SI:DKEY-156K2.3,0.978165782767497,NME2A,1.603262315729362,ZNF185,1.3035983996161689,DLD,1.131855557294628,RPAIN,0.8952440750000646,LAMC1,0.9325670968155509,DUT,0.944418547795655
14,SEPT12,0.9770473907201835,GPRC5BB,1.594661645802618,CLDN23,1.2882660774520172,ZIC2A,1.1070675769097478,DDX4,0.8927210196688949,SI:CH211-178N15.1,0.9237082319496515,KIAA0101,0.9424850685001404
15,PRMT1,0.9766801635935168,HUWE1,1.515553064703705,ZGC:193505,1.2753860628574671,NHSL1B,1.0921916488929508,SLC25A25A,0.8881455701969003,PARP6A,0.9064434135521713,SI:CH211-113A14.16,0.9340401812774916
16,SI:DKEY-95P16.2,0.9742939649564646,KLHL22,1.3799607214024694,FTR83,1.2571521504873626,ATP1B3A,1.0742467392218251,SI:DKEY-261J4.3,0.8745098434285978,HSD17B2,0.9060413529202856,SI:CH211-194E1.8,0.9247976456000422
17,SI:CH211-190K17.31,0.9738794596002226,NRXN1B,1.3715968158484546,KLF17,1.2550813797413864,APOC1,1.0399234989209976,SI:DKEY-11O15.10,0.8737237095610254,NCOA7,0.9058108770345642,FTL,0.9225970139733233
18,SI:DKEY-15H14.4,0.960258256621433,CPE,1.340210727911892,EVPLA,1.2405742177112178,PRICKLE1B,1.025149465748646,SKA2,0.8683062975640311,RYR1A,0.9053999730511044,EIF5,0.9146751094884071
19,SKP2,0.9537987380380316,PON1,1.3289610757163017,FA2H,1.2363390525139155,HES6,1.0215126501553924,BMI1B,0.8589998508286629,SI:DKEY-58J15.10,0.9021668416609193,RPL12,0.9130560526807884
20,ZIC2B,0.9477029809602561,CABZ01001464.1,1.2926585130893058,CLDNB,1.2189402993050251,VED,1.0195168103655943,NEK2,0.8378026984877616,SYNGAP1A,0.9010413831264936,U1,0.9125840369924414
21,SLC38A3B,0.9446720086092399,CYR61L2,1.2556485539108089,MGLL,1.2152765286474654,HER1,1.0012275084840452,ZGC:56231,0.8335683255263612,PDLIM5A,0.8881532173048297,SI:DKEYP-3B12.10,0.9103153071590815
22,SI:CH1073-80I24.3,0.9435914981766789,ZNF1057,1.2275092509546188,FTR82,1.212500825668822,MSX3,0.9799947127115055,MAP7,0.8333067030163651,RNF213,0.8774048873615284,SI:DKEY-234I14.20,0.9088364044063769
23,SSBP3B,0.9411127691221969,SI:CH73-46J18.5,1.2229593224731061,SI:DKEYP-67A8.4,1.2088113502670121,SZL,0.9641138860822853,MAP1LC3C,0.8278044524909767,CR361561.2,0.8734209673172608,CLIP4,0.9066591527831269
24,BX324155.1,0.9385963812766197,SETD2,1.2117976661863181,FUT9B,1.2081283209496056,SP5L,0.9604370315000366,ZGC:77112,0.8232487864630991,CSF1RB,0.8649846106124589,CDKN1BB,0.8967054873464035
25,SI:DKEY-30F3.2,0.9358003617317135,MLXIP,1.2027960342193176,GRHL3,1.1992375826015083,LEF1,0.9587179719295972,PGK1,0.8192016638599393,ZNF644B,0.8600518937017206,SI:CH1073-159D7.7,0.8964909725021699
26,SOX3,0.9350828697651998,ZNF1068,1.2025622792796606,PLEKHF1,1.1799121173046052,ARL4AB,0.9407022957895467,CTH1,0.8169250845060845,BX546500.1,0.8512224287222774,SI:DKEY-261M9.17,0.893990556297489
27,SI:CH211-170D8.2,0.9318687634637229,CHD7,1.201704057964282,CYT1L,1.1770455631896655,WNT8A,0.9006433699979182,CLDND,0.8125718353678101,GRNAS,0.8488193700165592,SI:CH211-113A14.10,0.8868540973612989
28,SI:CH211-271G18.4,0.9300236912617416,SI:CH211-241E1.5,1.1980843597545225,ZGC:153911,1.1677117517571833,LAMB1A,0.8955386465343885,LPCAT4,0.7992276869712261,JAKMIP2,0.8398687453065765,SI:CH211-272F15.5,0.8860970926860383
29,SOX2,0.9280002985628351,POLR2A,1.1883034178671397,HSD17B14,1.1467180371443537,VENT,0.8946975639914017,ANKRD12,0.7987036369642684,PHYHIP,0.8392920662226926,TOP1L,0.87493652204445
