,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8
0,GDF3,1.0705312021392315,LYRM1,2.561325512273787,KRT4,1.4490971904385157,TA,2.331681043823422,TDRD7A,1.2735546672182674,SI:DKEY-28A3.2,1.1961108013969717,OTUD4,1.2212829639258227,SOX2,1.0758706452722255,PHLDA3,1.3113121299378772
1,SI:DKEY-15H14.4,1.0686586949801058,AGRP2,2.2078823945053347,KRT18,1.423693431116603,EVE1,2.0565887941229244,NANOS3,1.2651644041254697,HS3ST3B1B,1.0963258194753782,SI:CH211-242H13.4,1.126929878438017,PRDM14,1.0632813850366567,MDM2,1.2207504773243243
2,RHEBL1,1.0456021070335766,RAPGEF6,2.1703301515408353,KRT92,1.410809527355754,WNT11,1.933371719700804,ACTL7A,1.1354197272792967,FTR36,1.0859229586973835,PRKRIP1,1.118976238491211,ZIC3,0.9048164654451677,CTSH,1.0136198651637032
3,SI:CH211-190K17.31,1.0407280833618542,CABZ01084942.1,2.15070898826533,LYE,1.3953152615115771,CDX4,1.8109619325378883,CA15B,1.0921284420939357,JAG1B,1.0841688540667194,SI:DKEY-153M14.1,1.047542181621641,PCDH18B,0.8494120944639566,FOXO3B,0.9903989599050794
4,MKRN4,1.0227587448716322,MYO3A,2.119349852533196,CLDNE,1.367608608495319,ZNF703,1.741701976149683,BTG4,1.082092413038865,KCNK4,1.0606691380282496,HSP90AB1,1.0331802759287958,ADMP,0.8286154417309193,SI:CH211-260E23.9,0.9761127030126944
5,NCALDA,1.0211928101790666,SI:CH73-195I19.3,2.0901841325170363,KRT5,1.3674127900847788,TPBGA,1.5290668327046508,DND1,1.0095347554340435,SI:DKEY-186O21.1,1.017195989748826,SI:DKEY-108K21.12,1.0327434381025,SLC38A5B,0.8126547358748171,RBL2,0.9675399510797656
6,BZW1A,1.0120579785089936,ANO9A,2.040107162276726,MID1IP1A,1.3626842883856995,SP5A,1.5101704860886065,MID1IP1L,0.9192275401087799,TNFAIP8L2A,1.0056116273460276,SI:CH211-117M22.2,1.0285542518804793,FP236812.1,0.7983481382149241,SESN3,0.9544670248416779
7,P4HB,0.9989412808129957,ZGC:171775,1.9047335380967159,ZGC:101000,1.352659296031662,AXIN2,1.5024610207712226,SI:DKEY-11O15.10,0.918855435533889,NRXN1B,1.0040437432646638,PPIB,1.0280862176616028,MCM6,0.7945307311295097,APLNRB,0.9442684228431186
8,ZNF1060,0.985032195983208,TOP1,1.8439284128588795,KRT97,1.3398834128842867,MSX1B,1.4664607696282832,DDX4,0.9177928464712062,GRB7,0.994000460593531,SI:DKEY-23A13.4,1.0264620340070256,SP5L,0.7776682671367388,CASP8,0.9202238885535968
9,BX005448.2,0.9844707481727467,DIABLOA,1.8116658850723475,SI:CH211-125O16.4,1.3372345355198056,MIXL1,1.3472996372990858,SKA2,0.9126977355966355,CNNM1,0.9819468057597838,GTF2H5,0.9856161267551626,LFNG,0.7433878272956866,BCL2L14,0.8660779597391307
10,BX640584.2,0.9709355310235273,FNIP1,1.7935042197993225,CEBPB,1.3366251747505709,GBX1,1.295150534612234,BMI1B,0.910729529421244,CPE,0.9724185023370945,SI:DKEY-23A13.15,0.9830289616394265,SLC38A3B,0.7393093951941033,ZGC:64022,0.8306980765597559
11,CR450785.2,0.9651291942201916,HNRNPA0B,1.7679984201538517,KRT8,1.3248465549401232,ZNF503,1.2282395817349465,HSP90AA1.2,0.9066996602904462,RHD,0.9594042614058517,ZGC:158463,0.9791517418516081,OTX1A,0.7375978536538264,FOXI1,0.8290504481487376
12,SI:DKEY-30F3.2,0.9628586654305861,ZGC:173587,1.763873684614352,EPS8L1,1.3174906672964033,IM:7138239,1.1745181248970709,SLC25A25A,0.9030158515079058,SYNGAP1A,0.9578120782549734,EIF5,0.967599933318078,SEPT12,0.7242341154022519,IGF2A,0.7861762781781441
13,BX324155.1,0.9470101889102369,NME2A,1.6409290733826363,ZNF185,1.2938921020426777,DLD,1.1384933296662418,CLDNG,0.9027698237606446,SI:CH211-171H4.5,0.9574095233050519,STM,0.9564483570191987,PKDCCB,0.7143230010374033,TP53INP1,0.7740400450553315
14,CR391944.1,0.9440459823166536,GPRC5BB,1.6269981903007587,CLDN23,1.2771511010500094,ZIC2A,1.0848861435096047,ZGC:158852,0.8792683876936486,SI:CH211-178N15.1,0.9196145662984573,FTL,0.9558635156083157,SI:CH1073-80I24.3,0.714111503413136,EXO5,0.7411875988347323
15,ZNF1040,0.927801888444975,HUWE1,1.4619079122656187,ZGC:193505,1.264385633188478,NHSL1B,1.0666158609151273,FHDC3,0.862753889438528,LAMC1,0.9186396672202052,SI:CH211-194E1.8,0.9550630080628177,LHX5,0.7137528214563823,SESN1,0.7378287774148651
16,FAM78BB,0.9214849410769982,KLHL22,1.35929863393245,FTR83,1.2522454058289343,ATP1B3A,1.0444727171936834,SI:RP71-45K5.2,0.8403794184595585,SI:DKEY-58J15.10,0.9123367006211934,DUT,0.953915305921855,H2AFX,0.7079553146440513,PLEKHN1,0.7291098813091464
17,ADGRE10,0.9206167882989559,NRXN1B,1.3517972410744834,FA2H,1.2368303672526733,PRICKLE1B,1.0274675433145277,ANKRD12,0.8341253167602612,HSD17B2,0.9061461964993887,KIAA0101,0.9508723091469125,PCDH1B,0.707312283275531,RASL11B,0.7261148934833231
18,RAC1A,0.9204389158443487,PON1,1.3341418981758844,EVPLA,1.2358874297909506,HES6,1.0080456604010488,BOKB,0.8124362347638392,NCOA7,0.8971766244920981,RPL12,0.9493419886133833,CABZ01070258.1,0.7049324745357803,SLC4A2A,0.7120524774013403
