,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15
0,CABZ01084942.1,0.9934968035518769,LYRM1,4.873397551551736,CABZ01084942.1,0.9203973806487621,RAPGEF6,4.222736076601067,MYO3A,4.278048049247387,ANO9A,2.2179208823076673,FNIP1,1.9844692899955478,SI:CH73-195I19.3,4.0732341681952775,AGRP2,1.5888123043798597,NRXN1B,1.1679004612689121,GPRC5BB,1.7746728292984082,ZGC:171775,2.5151352551877366,AGRP2,1.9123030448557718,ANO9A,1.4385191514568203,CABZ01084942.1,1.7427159448461977,NME2A,0.9293897994906467
1,DIABLOA,0.9204920622726356,AGRP2,1.0705223419292946,IL6ST,0.8687864438721958,AGRP2,0.881305052005132,NME2A,1.1112191597771839,IL6ST,0.7630817314909024,WNK4B,1.1524767052255118,ANO9A,1.183289539717259,FNIP1,1.5679869343995105,KLHL22,0.9155643743589144,NME2A,1.3506982667159353,DIABLOA,1.705136514225373,HNRNPA0B,1.2768299976104998,HNRNPA0B,0.8523965505865371,NCOA7,0.8386639312809485,PON1,0.9108412672489482
2,SP5A,0.8786327220099541,EVE1,0.7139605041311946,KLHL22,0.768428517769278,ZGC:173587,0.7533799307692177,VPS13A,0.6893214246536101,ZAR1L,0.7080640735167341,TOP1,1.0601310097571837,HNRNPA0B,0.7134691911393531,TOP1,1.3974336007343893,RBBP8NL,0.8081160268823806,NRXN1B,1.1301814694288999,RNF220B,0.8886083635771973,CABZ01084942.1,1.0454928226675007,GBP3,0.7824177391849914,FTR83,0.7966843836903736,TAOK3A,0.7499106843672152
3,GBP3,0.7273306259698372,NUDT4A,0.5978970154434775,SI:DKEY-234L24.10,0.7530886606703683,SI:DKEYP-67A8.4,0.6829457644682277,DIABLOA,0.6766312795989232,TOP1,0.6900726808337165,HUWE1,1.0095497028748504,GPRC5BB,0.6454671675193172,SFT2D1,0.7653134478460908,ZGC:173587,0.7405209472456324,WNT11,0.944803379196247,SLC44A1B,0.7447097541274946,KLHL22,0.7973257142796387,EVPLA,0.7194841877331286,ZGC:171775,0.7067505915026613,CDX4,0.7094271948142662
4,HUWE1,0.7216338969346644,PLEKHN1,0.5853028710716578,SI:CH211-235I11.3,0.7503354024613614,BX927193.1,0.6040075234389686,POLR3K,0.6208602095525555,WEE2,0.6551190248803375,SCARNA6,0.9502818968859927,SRCAP,0.6414122059373075,CHD6,0.7306849509344452,ARID3A,0.6755395143897636,ZGC:173587,0.8614502968302418,SI:DKEY-261M9.11,0.6653631453398389,SI:CH211-242H13.4,0.7204125641875253,KRT96,0.6967667949643758,SRCAP,0.7063387106664216,ZNF1082,0.6932979431468277
5,RDH10A,0.6852795974040086,SZL,0.584229719847748,DIABLOA,0.731142190033905,LAMA1,0.5815230017725332,HNRNPA0B,0.5677632227298485,SLC38A5B,0.612740737423876,TNFAIP8L2A,0.8128591342308195,ARHGEF10LB,0.6089900810908278,FA2H,0.6895824116607542,HS3ST3B1B,0.6545586136831326,POLA1,0.73877246371463,JAG1B,0.6321909501403644,ZNF1125,0.6602685366299841,GLT8D1,0.6693063751922497,NFKBIL1,0.6633801749236489,BMP2B,0.6264759650203597
6,EVE1,0.6534464225441814,NME2A,0.5695086365222224,MLXIP,0.7167121295271345,TIAM1B,0.5528781512272972,ZNF1070,0.5677040386667314,APOC1,0.6097955608554415,TAOK1A,0.7895140922204601,JAKMIP2,0.5953874728097955,NRXN1B,0.677965512961299,PDXDC1,0.6527819336107288,DDX4,0.7107026249635622,ACTL7A,0.6280110886086574,SI:CH211-160O17.6,0.6360953306903773,PCNT,0.6461451560795451,ZGC:152652,0.6359329740520271,SI:CH211-242H13.4,0.6204517961717149
7,SI:DKEY-261M9.17,0.6512528730049453,SETD2,0.55107410994481,TRIM45,0.7126648410973924,GRHL3,0.5406419821511428,CABZ01117603.1,0.5580714922371929,KLHL8,0.607053306508617,SI:CH211-103E16.4,0.7685841534010394,B4GALT7,0.5903064395846972,SI:CH211-268B13.3,0.6678374074774902,KRT96,0.6400341719093166,CYR61L2,0.7006449674425403,FKBP7,0.6138779509706548,SI:CH211-217K17.9,0.6161165761671615,KCNK4,0.6417782609430366,BMP7A,0.6093093093664824,PPIB,0.614093771965547
8,SI:CH211-276C2.4,0.6276401920171734,SRSF5B,0.5389118748125663,ATG2A,0.6733774614401886,XRN1,0.5233809815557229,SI:CH211-196H16.12,0.533264828763716,TNNI2A.2,0.6064167134381572,SYNGAP1A,0.7086822738959334,CHD6,0.5838296324176384,AK3,0.6427444979422594,SOX2,0.6384582377212984,ATP6V1D,0.6415476017116767,SI:DKEYP-3B12.6,0.59672570039188,VPS13A,0.5735848479932849,SI:CH1073-190K2.1,0.6390015129819775,ZNF1031,0.6059647788140998,SI:CH211-194I10.5,0.6098295905369259
9,SI:DKEY-234I14.20,0.6248590888768775,SESN3,0.5292247804211463,PON1,0.6605652633657209,SZL,0.5186368376688301,CABZ01009880.1,0.5280473994066242,KLF17,0.586085786578984,MGLL,0.6963236795221542,TAOK3A,0.5671164640665675,KLHL22,0.629684096823934,RN7SK,0.6378720602340302,SCOCB,0.6397248493342962,CAMSAP2A,0.5924987152659401,RBM27,0.5589402519748967,PON1,0.610453391832904,ZNF319,0.6051979447451858,ZGC:112977,0.5967105734278936
