,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15
0,GATA2A,1.1995922451829026,LYRM1,2.583809455546047,KRT18,1.345793302533424,TA,2.400853933821312,SI:CH211-242H13.4,1.3694492208580336,BX546500.1,1.20631334847392,SI:DKEYP-3B12.7,0.9358019299583381,CHD,1.5246068107427404,SI:DKEY-95P16.2,0.8029628374177302,PHLDA3,1.3811301067416082,SI:DKEY-261M9.17,1.668913209030999,RHEBL1,1.0898980523719284,HSP90AA1.2,1.8188057491355543,TELO2,0.7416215394198546,NANOS3,1.5713159421623923,CAMSAP3,0.8688883743796079
1,BMP4,1.1598856367867354,MYO3A,2.305250197624067,KRT4,1.3414939339457979,EVE1,2.1060877391192077,SI:DKEY-234I14.20,0.998858931381894,CAMSAP2A,1.0598239803503622,KIAA0101,0.9073973524388246,ADMP,1.3885072933310445,SI:CH1073-80I24.3,0.7958793239800076,MDM2,1.1681957625640675,HIST2H3C,1.4295579105159693,GDF3,0.98177267592614,HSP70.3,1.1909165976271596,SRRD,0.6645223185755524,TDRD7A,1.3820915156537206,AIM1B,0.8643282229397569
2,SZL,1.1263430535522092,RAPGEF6,2.268039311628254,MID1IP1A,1.3337788048085049,WNT11,1.9451615588661917,SI:DKEY-48G21.5,0.9545277838814531,SI:DKEY-28A3.2,1.02781207853218,PRKRIP1,0.8894365043155152,FOXD3,1.3055364584303206,SI:DKEY-16M19.4,0.766383410663624,SI:CH211-260E23.9,1.0854241577774488,SI:CH211-113A14.10,1.3350344301553763,SI:DKEY-199M13.4,0.9781561988181776,HSP70.1,0.8716748510431055,SI:CH211-117I10.10,0.6608589732211434,DND1,1.3643093072507961,JAG1B,0.846446497475726
3,APOC1,1.1209762908030176,SI:CH73-195I19.3,2.2257471190890015,KRT5,1.3198104739458256,CDX4,1.8362806824898388,RNASEP_NUC,0.8765663461084433,SLC7A8A,1.0190161934619173,OTUD4,0.8847446837075633,ZIC3,1.290473565009602,SI:CH211-195B11.4,0.7437132535734677,APLNRB,1.0194867680122754,SI:DKEY-23A13.15,1.1543331981243399,SI:DKEY-15H14.4,0.9585914938968383,CABZ01080568.1,0.7947265335049188,AFP4,0.6591234042084706,ACTL7A,1.3010835138859418,SI:CH211-69B7.6,0.8185550555083996
4,BMP7A,1.0809757210724462,CABZ01084942.1,2.221260328702837,CLDNE,1.3076378138777403,ZNF703,1.7974631629847881,SI:DKEYP-55H4.2,0.8482362390248398,SYNGAP1A,1.0178479649843981,HSP90AB1,0.8555971742057954,FZD8A,0.9387130031554943,MAP2K6,0.7423904457918831,FOXO3B,1.0133146744898933,SI:CH211-113A14.24,1.1439344286513848,NCALDA,0.9502965742188167,HSP70.2,0.7630284851111088,TSG101A,0.6557704087843454,DDX4,1.1275107524323635,EVPLA,0.7833655169645648
5,CLUHA,1.0217424699000628,AGRP2,2.2015209311166752,ZGC:101000,1.2987762085353445,AXIN2,1.5004359096320794,PGAM1A,0.8436428430565883,PLECA,0.950888678999035,SI:DKEYP-3B12.6,0.8126442345100423,PRICKLE1A,0.8834617585700781,ENSDART00000172356,0.7307689677875668,CTSH,0.9987691535405296,ZGC:153405,1.1433494640742516,P4HB,0.9350768717363228,ADGRE10,0.6718432897623797,FTH1B,0.6419411946030581,CA15B,1.0579168418810836,DSPA,0.7276279485628514
6,FOXI1,0.9672168720919979,ZGC:171775,2.0123657123875924,LYE,1.2912319685917713,SP5A,1.4818469083313341,SI:CH1073-190K2.1,0.8158064087857758,HS3ST3B1B,0.92703068478524,RPS17,0.8024750549520735,FOXD5,0.8731492344114378,SI:DKEYP-3B12.12,0.7126109838519876,RBL2,0.9966970657258366,ENSDART00000129497,1.0661392434221149,BZW1A,0.9189916649453916,HSPA4A,0.6652737913231336,RAB3IL1,0.6383744787323056,RGS14A,0.9585352676169062,MCHR2,0.7105955079543265
7,TFAP2C,0.9645996738238525,TOP1,1.9796876310067695,KRT92,1.2725533150623385,TPBGA,1.47463971275805,SI:CH211-268B13.3,0.8079122719413444,SI:DKEY-186O21.1,0.8794073413832748,STM,0.8012258331744103,SESN3,0.8399574095228358,SI:CH211-222L21.1,0.7008228753195441,SESN3,0.9082813728711207,ZGC:165555,1.0564297272873742,BIRC5B,0.9090162489556994,SERPINH1B,0.6604280318079879,SI:CH211-235I11.3,0.6348992282257541,GRA,0.8956608707093713,VPS13A,0.7005981759074279
8,CBFA2T2,0.9494113015520107,DIABLOA,1.9490608584641498,KRT97,1.2635245624318003,MSX1B,1.4588365092014806,SI:DKEY-97L11.1,0.7314304643073227,JAG1B,0.8718970902082723,SI:CH211-113A14.16,0.7939071281349828,ZEB1A,0.8198346822583281,POLR3GLA,0.69120737025863,BCL2L14,0.8831729191506674,SI:DKEY-108K21.14,1.0532283213543394,SI:CH211-190K17.31,0.900811092675831,SI:DKEY-146C18.5,0.6131347020408594,WDTC1,0.6247124447459269,BTG4,0.8908205810457529,NRXN1B,0.6838825530174483
9,PCM1,0.9399495546766353,ANO9A,1.8998803601750958,KRT8,1.2519108301037751,MIXL1,1.3717483695526331,EIF5,0.7306513118873079,NRXN1B,0.8596343968814246,SI:DKEY-23A13.4,0.7915578336008814,TDGF1,0.8167326126849508,SI:ZFOS-44A5.1,0.6794064156900717,TP53INP1,0.8639918815109424,SI:CH1073-159D7.7,1.0133442611119874,MKRN4,0.8981401439361758,ZNF1031,0.6023895069397439,SLC3A2B,0.6221629593752676,SKA2,0.8066030745189112,CPE,0.652933401666502
10,ARID1AB,0.9367510109924307,FNIP1,1.81459847285005,CLDN23,1.2498845033284736,GBX1,1.313929287937698,CPN1,0.729349656995314,CPE,0.8569738674639827,PSMA4,0.7821427385708064,PRDM14,0.8099330792380811,SI:DKEYP-3B12.10,0.6790683246490739,CASP8,0.8614860154719479,SI:CH211-113A14.15,1.0059230011518188,SI:DKEY-156K2.3,0.8979088564472868,SI:RP71-45K5.2,0.5923179204592389,FGF17,0.6207715253253058,ICE1,0.7781030344790364,PLECA,0.6520623688133929
11,IPO9,0.9047111848381527,NME2A,1.7563692874499388,CLDNB,1.2452537788056421,ZNF503,1.231744318958785,SI:DKEY-19C16.12,0.7233648493969513,HSD17B2,0.8540261133185126,CLIP4,0.7815769640985419,FOXB1A,0.8094229199441161,SI:CH211-130H14.6,0.6790577616229577,SESN1,0.8046424193373303,SI:DKEY-261M9.15,1.0036758322003254,SI:DKEY-30F3.2,0.8900842063366902,TMEM205,0.5920575724692181,ZGC:113425,0.6081455468568426,SI:DKEY-11O15.10,0.7698967425280128,ZNF185,0.6474798174240656
12,CAPRIN2,0.8981348694307978,GPRC5BB,1.7473523383858478,EPS8L1,1.2437753993165441,DLD,1.1551327818740567,SI:DKEY-193H7.5,0.7155384743469673,CNNM1,0.8502238048160474,SI:CH211-117M22.2,0.7755860448416226,TCF7L1A,0.776698420148564,SI:CH211-113A14.16,0.6721593855380407,CDKN1A,0.7814986050140456,SI:DKEY-261M9.11,0.8745388550512401,CR391944.1,0.878211799002013,SI:DKEY-221L21.2,0.5695479595267028,SLC7A8A,0.6015283951183226,OTX1B,0.7631955598360061,SI:DKEY-234L24.10,0.6463680433686743
13,UBR5,0.8838622181422479,HNRNPA0B,1.746413483715062,CEBPB,1.2283534343453921,APOC1,1.1436297645087943,SI:DKEY-5I16.2,0.7065079712677821,TNFAIP8L2A,0.8495598799403298,TMEM258,0.7748807211139249,NOTO,0.77327598154806,FP236812.1,0.6702794078490029,ZGC:64022,0.7584436649917848,SI:DKEY-108K21.21,0.8693589642678257,PRMT1,0.862673595875453,KAZALD2,0.5647337721802838,SI:DKEY-93M18.3,0.5993559884338645,NEK2,0.7599229137393972,CNNM1,0.6408245035183193
14,VED,0.8793875620053749,ZGC:173587,1.5209219465736357,SI:CH211-125O16.4,1.205930477947079,ZIC2A,1.1367339827461815,SI:DKEY-122C11.4,0.7037896628600472,SI:CH211-171H4.5,0.8350656464460955,SI:DKEY-261M9.15,0.7722669654489372,LFNG,0.7730677498218577,KRT97,0.6663228391901588,SLC4A2A,0.7272309791207189,GBGT1L4,0.8389953516508313,SKP2,0.8570227100764655,UGCG,0.5626881562275154,SLC9A8,0.596743832474728,BMI1B,0.7591894364380156,CABZ01064859.1,0.6244730141960042
15,KIF20A,0.8624758879346014,PON1,1.5001534679338469,SI:DKEYP-67A8.4,1.1799544394674535,VED,1.1210211440874955,CR388042.3,0.7021252817583211,NFKBIL1,0.8337689205946613,SI:CH211-194E1.8,0.7667063232834403,CST3,0.7571726437625879,CNIH4,0.6654328005795149,EXO5,0.7242134239250069,HIST1H4D,0.7918922431580457,CR450785.2,0.8567723125021615,ZNF1060,0.5524300965016199,FBXO30A,0.5934257636170547,BOKB,0.7353156992928858,PPL,0.6065692335420477
16,BAMBIA,0.8407264004671345,CABZ01001464.1,1.4129186292808658,MGLL,1.1571864074257545,IM:7138239,1.1090822278630075,CR812792.1,0.6994584214876004,GBP3,0.8326546184124216,SI:CH211-272F15.5,0.76661851091787,CDH2,0.7439662991740528,SOX2,0.6630759366775978,SNX11,0.6862818808985468,TRIM105,0.7651178786863634,RAC1A,0.8365983402566063,TAOK3A,0.551950182901295,SI:DKEY-1D7.3,0.5844980904093432,WDR62,0.7137131459087334,RHD,0.5986099384224443
17,MAP3K1,0.8331456690892829,KLHL22,1.39092160297686,FUT9B,1.145454210626547,NHSL1B,1.0328148118451823,IFI30,0.695384113425586,KCNK4,0.8243352865707986,GTF2H5,0.758648232969939,GSC,0.7317828429335799,PFKFB4B,0.6576206745956302,SI:DKEY-204L11.1,0.6854777659517526,BX324216.1,0.7198630617656702,SI:DKEYP-114G9.1,0.8362208058733014,SI:DKEY-261J4.3,0.5484874230026766,KIF18A,0.5820555565008313,TRIM35-29,0.7125255343172195,SI:CH211-276A17.5,0.5977199439298272
18,LRRC8C,0.8202093131655425,SI:CH211-241E1.5,1.3231454616594667,GRHL3,1.1424522061802849,ATP1B3A,0.9876253868531844,SI:DKEY-211G8.5,0.6907695446627494,SCOCB,0.8193837219979948,SI:DKEY-151G10.6,0.7532153874745132,FSCN1A,0.7310589166678735,UBA52,0.6492926686912313,SI:CH211-239D6.2,0.6763616631737538,SI:DKEY-146C18.5,0.7131624455836694,ZGC:91910,0.8232919975485576,CLDND,0.548049746458287,HNF4A,0.5753687414767373,ZGC:158852,0.7050370482826647,TRIM25L,0.5936193107191713
19,HIST1H2BA,0.8200383592704938,NRXN1B,1.2931203106791378,FA2H,1.1344618558470727,HES6,0.981836337351827,ZNF1125,0.6851429640170651,GRB7,0.8163028017361,RPL35,0.7492005016968236,NET1,0.7195955930424124,SI:CH73-110P20.1,0.6492319386325389,IGF2A,0.6736547854204212,SI:DKEYP-14F10.3,0.708105047555125,BX640584.2,0.8184009802508172,ZGC:56231,0.5469659013016288,METTL22,0.5736785304921137,KLF2B,0.7040711584012934,RNF220B,0.5931499463130522
20,KRCP,0.8170947360768208,DDC,1.2692688978389124,ZGC:193505,1.1341969819815028,HER1,0.980181981307245,PPIB,0.6827864824860936,JAKMIP2,0.8110087452347912,SI:CH211-113A14.10,0.7484591454726304,AMOTL2A,0.7191901200886779,ZGC:158463,0.6487346177158844,BCL3,0.663496890606077,SI:CH211-113A14.18,0.7056365005768482,SI:DKEY-1D7.3,0.810372071157484,ERCC8,0.5356381194147938,MAL,0.5631190647493863,CLDNG,0.7015717829126176,TMEM8C,0.5907906136834851
21,VENT,0.8051778218974233,ZNF1068,1.2678937641607448,ZGC:153911,1.1084585272193683,SZL,0.9794604538845579,FXYD6,0.677097968973478,BAALC,0.7945516110148674,FTL,0.7457832859525663,LRIG3,0.7150723675600098,GNL3,0.6459165991895605,PLEKHN1,0.6631466280264532,SI:CH211-113A14.26,0.6973261177041878,WEE2,0.8102174426252106,BTG4,0.523265621013136,SI:DKEYP-117H8.4,0.5625574070264905,MID1IP1L,0.6770414800623091,ESRP1,0.5894598485450798
22,KAZALD2,0.8041788300315432,SI:CH211-168H21.2,1.2536606131907033,PLEKHF1,1.1065414518013799,PRICKLE1B,0.974903709516376,TMED9,0.6746260874052793,KCTD5,0.7821903371704593,RPL39,0.7447032473865633,SOX2,0.6836866757340218,H2AFX,0.6439176683047045,E2F7,0.6486336752916086,SI:CH211-113A14.16,0.6596047174489673,BX324155.1,0.8088043213963979,SI:DKEY-11O15.10,0.523128960029045,CECR1A,0.5604749411267536,CHD6,0.6768653444908033,FA2H,0.576749485370812
