,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
0,SPAW,0.8929473767751185,LYRM1,2.3965061625386976,KRT18,1.3493776021810713,TA,2.361886697888849,NANOS3,1.5365918867222297,SI:CH211-242H13.4,1.3758480533373443,SI:DKEYP-3B12.7,0.91568878758651,CHD,1.5482326116989955,FP236812.2,1.0615295503029367,BX546500.1,1.2378104166462285,SI:DKEY-261M9.17,1.4869003280098754,PHLDA3,1.3731583341023483,SI:CH1073-80I24.3,1.0324284029609583,FTH1B,0.7172195343531729,HSP90AA1.2,1.747035873381531,EGLN3,1.3283291328979558,SI:CH211-69B7.6,0.8500392426583074,LYRM1,0.82466280246367,MYT1A,0.7835388415809782
1,SI:DKEY-1D7.3,0.7302449785001911,MYO3A,2.0736316964170354,MID1IP1A,1.3192358907264303,EVE1,2.0904749658458743,TDRD7A,1.3919419118723806,RNASEP_NUC,0.9483140523143273,CLIP4,0.829494276992477,ADMP,1.4095563450766986,SI:DKEY-108K21.21,1.0331504689240303,CAMSAP2A,1.1866590513964117,HIST2H3C,1.1646435140211038,MDM2,1.1534773620833823,SI:CH211-139K8.4,0.906795618883273,SI:CH211-235I11.3,0.6696227874847485,HSP70.3,1.192483102529287,DDIT4,1.1546605258814902,AIM1B,0.8033718927883865,RYR1A,0.7745500542953622,CLUHA,0.7578339359253128
2,BX005448.2,0.6413045693872242,AGRP2,2.052670557603692,KRT4,1.3167922426125456,WNT11,1.9279176216488998,DND1,1.3755565104891956,SI:DKEY-234I14.20,0.9439503710926168,SI:DKEYP-3B12.6,0.8266040606241044,FOXD3,1.3260756356490404,ENSDART00000172356,1.0286378286449633,SI:DKEY-28A3.2,1.0285886932885275,SI:CH211-113A14.10,1.1073085688444697,SI:CH211-260E23.9,1.079156105457793,RHEBL1,0.9027535025192392,TELO2,0.6517593758093847,HSP70.1,0.8603835538478195,BX324155.1,0.7597763790290624,CAMSAP3,0.7807275333267568,TTNA,0.7525820634246834,SI:DKEYP-3B12.6,0.7453565283013315
3,SI:DKEY-238D18.15,0.6183452654605558,RAPGEF6,2.0369117694452434,KRT92,1.3044678893111117,CDX4,1.8340516614000715,ACTL7A,1.3180039621717037,PGAM1A,0.9126452484253019,KIAA0101,0.825485281056782,ZIC3,1.1139785653582754,SI:DKEYP-3B12.10,0.9872014008911572,HS3ST3B1B,0.9851814703272107,SI:DKEY-23A13.15,1.046992509628891,APLNRB,1.0180731897031325,GDF3,0.8906512780445786,SLC9A8,0.6480352294570745,CABZ01080568.1,0.7912143481577902,BX901974.1,0.7422117405299641,EVPLA,0.7402826125637535,RAPGEF6,0.7406478650236559,SI:DKEYP-3B12.7,0.7402127753401212
4,ACO2,0.6182722112027571,SI:CH73-195I19.3,2.0013713557259045,KRT5,1.2930874737905753,ZNF703,1.77569945642569,DDX4,1.099410046526922,SI:DKEY-48G21.5,0.9126370470320194,SLC35A4,0.7861612549961596,CDH2,0.9382134612860831,SI:CH1073-159D7.7,0.9804682621324352,SLC7A8A,0.9817741873451619,ENSDART00000129497,0.9942817333940458,FOXO3B,1.0025012063103984,SI:DKEY-188C14.4,0.8650194986615419,SI:CH211-117I10.10,0.6432460157849008,HSP70.2,0.7805931916589665,GBGT1L4,0.7191609871187842,DSPA,0.7242806096235314,AGRP2,0.737366902200132,SZL,0.7386201001325361
5,KRCP,0.6039502109710896,CABZ01084942.1,1.998451044096625,CLDNE,1.2855601385841862,TPBGA,1.522071670339842,CA15B,1.0346697756776755,PPIB,0.8379130977469228,PRKRIP1,0.7627469204008581,NOTO,0.9232126743812064,ZNF995,0.9795431903684341,SYNGAP1A,0.9352628517626154,ZGC:153405,0.919673628553713,CTSH,0.9823448400191452,SI:DKEY-16M19.4,0.8430044056163541,SRRD,0.6356636479344594,ADGRE10,0.6575367862999681,BX005448.2,0.7097813571437608,JAG1B,0.6909285076089111,NRXN1B,0.7274400274312467,CBFA2T2,0.7303204007575013
6,ZNF1136,0.598258297279398,ANO9A,1.912280737051552,LYE,1.2697772438417398,AXIN2,1.5121678208041403,RGS14A,0.9178656089673517,SI:DKEYP-55H4.2,0.8039180722478254,HSP90AB1,0.7613108114913628,PRICKLE1A,0.9174730828927932,SI:DKEY-97L11.1,0.9628538564409947,HSD17B2,0.9162191514217519,ZGC:165555,0.9115642024921846,RBL2,0.950581765559069,RGCC,0.8403596372860541,KIF18A,0.6252674066048469,HSPA4A,0.6559764461226194,SI:CH1073-190K2.1,0.6822495003943844,MCHR2,0.6880503941896183,CABZ01084942.1,0.7131158691504671,FOXI1,0.7145025913634528
7,ZNF995,0.596017686693806,ZGC:171775,1.7659874086400345,ZGC:101000,1.2623786145348885,SP5A,1.4899288742906882,GRA,0.9126321078442229,EIF5,0.7712445662922068,SI:DKEY-261M9.15,0.7567995705411146,CST3,0.8717419706313299,ZGC:158463,0.9197745400973205,PLECA,0.9018379408367696,SI:CH211-113A14.24,0.8929838637478061,SESN3,0.899608401481326,SI:CH211-222L21.1,0.8261469750141045,RAB3IL1,0.6226765220123835,SERPINH1B,0.6189543242877478,MCL1B,0.6641459847949712,PLECA,0.6807772273923942,MYO3A,0.7078094546643143,APOC1,0.6773442180554858
8,NFYC,0.5946879967852677,TOP1,1.7453129787489816,CEBPB,1.2392594595562638,MSX1B,1.4767533145241671,BTG4,0.8228889137840996,CDKN1BB,0.7522141724533447,SI:DKEY-23A13.4,0.7504869611198226,FOXD5,0.860536453325805,SI:DKEY-47K16.4,0.906624761262614,RNF213,0.8710212602800745,SI:DKEY-261M9.15,0.8526829005547261,BCL2L14,0.8974265499253156,BZW1A,0.8206852362324448,FBXO30A,0.6133395981080769,CU655961.2,0.5641373568741093,PGAM1A,0.6610612126664227,NRXN1B,0.6485197435469303,UPK1A,0.6899740332849763,SI:CH211-208F21.2,0.6765661927141194
9,SI:DKEY-7J22.4,0.5939300746688112,FNIP1,1.7146330155326563,KRT97,1.2385391472750114,MIXL1,1.3686014632438976,OTX1B,0.7892517004209366,EPCAM,0.7155595305323762,OTUD4,0.7463863919813435,FOXB1A,0.8409590166794897,SI:CH73-36P18.2,0.9017569629402914,JAKMIP2,0.8617500843977629,SI:CH211-113A14.15,0.8380398505347739,TP53INP1,0.8552729463259923,SI:DKEY-95P16.2,0.8123470224077054,TSG101A,0.6097001697417166,SI:DKEY-146C18.5,0.5608535685882967,BIRC5B,0.6500448332233959,MYLK4B,0.6283656639275519,CPE,0.6851270524704473,SMAD9,0.6361118887505394
