,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18,Module 19,Weights 19
0,APOC1,1.2626985749730857,LYRM1,2.408755327842438,KRT18,1.352037095260079,TA,2.404185562342613,EGLN3,1.3257845106644774,SI:CH211-242H13.4,1.4113535615358446,SI:DKEYP-3B12.7,0.9268126186561852,ADMP,1.428043434334239,ENSDART00000172356,1.0523470088497744,SPAW,0.9034542318364491,SI:DKEY-261M9.17,1.4510429313442124,PHLDA3,1.4213461833935874,BZW1A,1.2016689667114568,FTH1B,0.6931711212450373,HSP90AA1.2,1.7837506155112577,NANOS3,1.583677628798556,SI:CH211-69B7.6,0.8858963193813887,BX546500.1,1.255260094291784,CLUHA,0.7476405646994674,RYR1A,0.7226401097429805
1,SI:CH211-139K8.4,1.246909609529873,MYO3A,2.138833612955172,KRT92,1.3210761202092385,EVE1,2.1717339179500734,DDIT4,1.1726985929229847,RNASEP_NUC,0.9419088687994843,SI:DKEYP-3B12.6,0.8449422644644663,CHD,1.2390677867888769,SI:DKEYP-3B12.10,0.9883407491195371,SI:DKEY-1D7.3,0.709164341035228,HIST2H3C,1.191411366221442,MDM2,1.199796863509154,GDF3,1.1466269548731614,SI:CH211-235I11.3,0.670959113585353,HSP70.3,1.217648605240872,DND1,1.4104553371342785,AIM1B,0.7980070170647405,CAMSAP2A,1.092059959398918,SI:DKEYP-3B12.7,0.7219500924462146,LYRM1,0.7195111338430135
2,SI:DKEY-188C14.4,1.198178610568034,RAPGEF6,2.093852035751089,MID1IP1A,1.320985959677556,WNT11,1.9833349519818473,BX324155.1,0.753291072972534,SI:DKEY-48G21.5,0.9274542947723318,KIAA0101,0.831321634077434,ZIC3,1.22127097467644,SI:CH1073-159D7.7,0.9603965255585007,BX005448.2,0.6497417778029692,SI:CH211-113A14.10,1.171663322910874,SI:CH211-260E23.9,1.12939068240244,P4HB,1.083655797089063,TELO2,0.6666218518091989,HSP70.1,0.8574924084231914,TDRD7A,1.373442016527037,CAMSAP3,0.790182811962917,SI:DKEY-28A3.2,1.0693070309931967,SI:DKEYP-3B12.6,0.7091902728750737,SI:CH211-276A17.5,0.6817862532148021
3,FOXI1,1.0519974132108878,SI:CH73-195I19.3,2.0781649167780265,KRT4,1.3076588621899137,CDX4,1.8927775822608364,GBGT1L4,0.7381379805103533,SI:DKEY-234I14.20,0.8779148874142969,CLIP4,0.8312875413807256,FOXD3,1.1948783430523464,SI:CH73-36P18.2,0.9525406739321985,SI:DKEY-238D18.15,0.6293860558203506,ENSDART00000129497,1.032044011609526,APLNRB,1.06465024343722,FAM78BB,1.032970156607361,FBXO30A,0.6378836678766676,CABZ01080568.1,0.8183959240225185,ACTL7A,1.2553640597125832,EVPLA,0.7886031673640983,SYNGAP1A,0.9615862438536359,MYT1A,0.7090884924683679,TTNA,0.6693023402875753
4,TFAP2C,1.0445029119724505,AGRP2,2.0646374668525467,CLDNE,1.2896632719020338,ZNF703,1.8401126369950773,BX901974.1,0.7255177997456171,CPN1,0.823356801141803,SLC35A4,0.7705954606045312,PRICKLE1A,1.054676727018494,ZGC:113984,0.9506276281323511,NFYC,0.6171715261541959,SI:DKEY-23A13.15,1.0264245724653271,FOXO3B,1.0389709264602336,RHEBL1,1.0270638633848181,SRRD,0.6356348291563083,HSP70.2,0.7989669246704527,DDX4,1.1090506649822727,PLECA,0.7285472280083585,HS3ST3B1B,0.9401440993908629,SI:CH211-208F21.2,0.6770003971554678,RAPGEF6,0.6430116346612363
5,BMP4,1.0184091214714437,CABZ01084942.1,2.0359453341890332,KRT5,1.288844753196611,AXIN2,1.6111060251189628,BX005448.2,0.6886241013319042,PGAM1A,0.8200075542893158,PRKRIP1,0.7580800740892351,SOX2,1.0429624018665062,SI:DKEYP-3B12.12,0.942183821931926,ACO2,0.6163290880799879,SI:CH211-113A14.24,0.9670691391062717,CTSH,1.013124409473439,SKP2,0.9762939924728563,KIF18A,0.6335195713524326,HSPA4A,0.6799372585365775,CA15B,1.103943884208235,DSPA,0.7106684383635201,PLECA,0.9307073731181726,BX000364.1,0.6739653773572423,AGRP2,0.6361184256183362
6,RGCC,0.9527030091111758,ANO9A,2.0306386104854366,LYE,1.278518860545472,TPBGA,1.5196788109648558,SI:CH1073-190K2.1,0.6787876521158656,SI:CH1073-190K2.1,0.8051288078641934,RPL27,0.7525026432131822,CDH2,1.015423794491271,ZGC:171759,0.9251589963573282,KRCP,0.6007977901698692,ZGC:153405,0.9663200891680239,RBL2,0.9879363384941422,MKRN4,0.974809917093872,TSG101A,0.6145312220232727,SERPINH1B,0.620911430603044,GRA,0.9511660096320137,JAG1B,0.69776839264888,SLC7A8A,0.9070442900191807,ULK1B,0.6701608276002524,CPE,0.6247952842074617
7,GATA2A,0.9506462735455394,FNIP1,1.8148072291606392,ZGC:101000,1.2715912201657438,SP5A,1.5114199316875556,MCL1B,0.6323929613276837,CR388042.3,0.7548533501658492,SI:DKEY-23A13.4,0.7448689013698154,PRDM14,0.9919937421512204,ZGC:158463,0.9240771991552686,SI:DKEY-261J4.3,0.5913206125206873,ZGC:165555,0.9172877491517765,SESN3,0.9526637863426337,NCALDA,0.9668289392226265,SLC9A8,0.6124328878503477,ADGRE10,0.5893485023802233,RGS14A,0.9215494215844576,MCHR2,0.6910308640414348,PHYHIP,0.8776708788050007,CBFA2T2,0.6409139716530993,NRXN1B,0.6240252497546666
8,LAMA1,0.9365692791107187,ZGC:173587,1.774147973732814,KRT97,1.259186531275353,MSX1B,1.5083211439058783,ZNF1063,0.6070115688819965,EIF5,0.7267714170116039,HSP90AB1,0.7447191430049551,SI:CH211-139K8.4,0.9392201847401795,FP236812.2,0.9165606155083226,ZNF995,0.5841228873115948,SI:DKEY-108K21.14,0.8686124870316183,BCL2L14,0.9302700826927927,SI:DKEY-6D5.4,0.9620625218280354,WDTC1,0.6110936440923015,CU655961.2,0.5773096133523993,BTG4,0.797105163661104,ZNF185,0.6436936653780948,HSD17B2,0.876440621822416,SMAD9,0.5951281813524681,UPK1A,0.6194193953424844
9,CRABP2B,0.9263938903486718,ZGC:171775,1.7186485295629739,KRT8,1.2414121400050673,MIXL1,1.4135315869572538,BX324179.3,0.6063965772471841,ZNF1125,0.7252292812614929,SI:DKEY-261M9.15,0.7313218055308618,SI:DKEY-188C14.4,0.9329774370081767,FP236812.1,0.9111575820896176,AFP4,0.5835234492558983,SI:CH211-113A14.15,0.8515978026534168,CASP8,0.8767159646522852,BIRC5B,0.9546925070848855,RAB3IL1,0.6055370654821866,SI:DKEY-146C18.5,0.5707184293291462,SI:DKEY-11O15.10,0.7721054047953569,MYLK4B,0.6309186457499569,FTR36,0.8617001340526297,SI:CH211-113A14.26,0.5931657263590513,CHD,0.619204617243345
10,APOEB,0.8984899818316264,TOP1,1.708964535489605,EPS8L1,1.2325310959650106,GBX1,1.3358498164113028,SI:DKEY-199M13.4,0.5897181035635517,VGLL4L,0.7137744341914898,SI:CH211-194E1.8,0.7284654576028688,SP5L,0.9104597715366178,CNIH4,0.906926791886979,BX324155.1,0.5803455376638756,SI:DKEY-261M9.15,0.8451833141447979,TP53INP1,0.8744108516735454,PPIB,0.9427491477511379,SI:CH211-117I10.10,0.6043102111232428,MYCN,0.5673836661425976,ICE1,0.7707436462809651,NRXN1B,0.6280364218535912,RNF213,0.8557077166729997,FP236812.1,0.5926091067507471,CABZ01084942.1,0.610643538399911
11,VED,0.8944125864702697,DIABLOA,1.6885572779599536,CEBPB,1.2253858311069539,APOC1,1.262493258292147,EAF2,0.5867821728103053,NUDT4A,0.6868588563810876,NNR,0.7189977115796187,SLC38A5B,0.8887685935458786,SI:CH211-113A14.16,0.9069256351547688,SI:DKEY-56M15.3,0.5730569581579391,TRIM105,0.7591465223918396,SESN1,0.8407481812891316,RBM4.3,0.9412256170467496,SI:DKEY-93M18.3,0.5960242662848106,UGCG,0.5626227852623615,OTX1B,0.7537089787940724,SI:CH211-217K17.9,0.5977471803255326,SI:DKEY-186O21.1,0.853386366247121,SZL,0.5464223385677026,ADAM15,0.5972677855290672
12,BAMBIA,0.8635263782227415,HNRNPA0B,1.680493499620566,CLDN23,1.221152411238502,ZNF503,1.2314887859190147,ZGC:173702,0.5865539537740836,EPCAM,0.684287236739575,RPL39,0.7093272836326872,ZEB1A,0.8416410331832441,SI:DKEY-47K16.4,0.8946676812438256,ZNF1136,0.5709108341704209,SI:CH1073-159D7.7,0.7568228155390114,ZGC:64022,0.8286686836980436,SI:DKEY-15H14.4,0.883635521123685,METTL22,0.5828278646648938,TULP3,0.5521093440591904,KLF2B,0.7411624311804047,CPE,0.5909693788896405,JAKMIP2,0.8502617299463608,LIN52,0.5429693305851031,MYO3A,0.5954235210358841
13,KAZALD2,0.8602431434270598,NME2A,1.6627122012196505,SI:CH211-125O16.4,1.2150951871029403,DLD,1.1940082139078398,RPAIN,0.5835461562238531,SI:DKEYP-55H4.2,0.6746898500284774,SI:CH211-113A14.16,0.706466250490538,KIF26AB,0.8209668340250629,ZGC:173652,0.894532522081916,SLC7A8A,0.5687010458754315,SI:DKEY-261M9.11,0.7505572167458867,CDKN1A,0.8191443007818121,TSR2,0.877912536963358,ZGC:113425,0.5793970547349622,ZGC:77112,0.551317103281073,SKA2,0.7290063030905022,VPS13A,0.5838100269576794,TNFAIP8L2A,0.8398129751997615,WDR77,0.5389877575643266,NME2A,0.5802813136694136
