,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
0,CABZ01084942.1,2.213767015333245,LYRM1,4.423864063662931,RAPGEF6,4.014133236761472,AGRP2,2.4749783872748314,SI:CH73-195I19.3,3.5431959218668676,FNIP1,2.697546220751287,MYO3A,3.781090211970488,ZGC:173587,0.9613351232826022,DIABLOA,1.6993418328494412,ANO9A,2.4496874741008976
1,KLHL22,0.9801009915044989,CHD6,0.834860910193533,HNRNPA0B,1.0110865064426486,SI:DKEY-261M9.17,0.9337895671661289,NRXN1B,0.8960722055260163,CABZ01084942.1,1.1974852049455438,GPRC5BB,1.0995356951667987,LAMA1,0.8237763402061329,TOP1,1.665131865549157,NRXN1B,1.4128493461798348
2,CPE,0.9324909483782733,NCOA7,0.6409582441009147,ZGC:173587,0.9321175400501178,SI:CH211-241E1.5,0.8832254294668864,CHD6,0.7876127273078767,ZGC:171775,1.160500516772473,DIABLOA,0.6718434108154121,ZGC:173702,0.7592109543826516,HNRNPA0B,0.8935963372363082,KLHL22,0.9933260901273889
3,SI:DKEY-16P19.1,0.8794568778507232,KIF18A,0.6202029469007123,ZGC:171775,0.7636577566097292,POLA1,0.773109036387402,ZGC:173587,0.7051806014808522,NR6A1B,0.8489397237460193,ARL13A,0.6653719213184459,KRT96,0.7344154802759864,AGRP2,0.8246402272844235,TA,0.8922519552389918
4,PAFAH1B1B,0.7646569673542222,TOP1,0.6100994762315829,SLC38A5B,0.7455097692162495,ZGC:171775,0.7462712492514578,NME2A,0.65220591213433,WNT11,0.825541369595394,PITHD1,0.6623004697236374,HUWE1,0.6997697237896988,EPHA2A,0.8110309124907422,SI:DKEY-28A3.2,0.8394168789353955
5,KCNK4,0.7444166353510151,NEK2,0.6010459980437018,CYR61L2,0.6342972462078074,NME2A,0.7090457016973674,ULK1B,0.6274177167870142,AGRP2,0.7734979161827036,AGAP1,0.6474120494872397,SP5A,0.6853616660503032,SI:DKEYP-3B12.7,0.7905230465175112,PCNT,0.8325193540773914
6,PON1,0.7175290624745708,MAP3K4,0.5935217222315526,GPRC5BB,0.6223917581969214,CSF1RB,0.7087738544391288,WDR21,0.6121333751860167,CHD,0.7199573512230085,ZGC:171775,0.6415041717190245,IL6ST,0.6625478915520827,SFRP1A,0.7574866303773786,GBP3,0.6667179493935934
7,LRP5,0.7133126528855113,SI:CH211-194E1.8,0.5737495898612548,EVI5B,0.6189188566025215,ZNF185,0.657900363677288,KLF2B,0.6105534053392601,SI:DKEY-58J15.10,0.7175025130376511,HIST2H3C,0.623128527116509,ALDH9A1A.2,0.656258814892963,GATA2A,0.7267868186121583,SI:CH211-178N15.1,0.657075786429402
8,LAMA1,0.7103532163983798,SLC44A1B,0.5605738597332388,JAKMIP2,0.6071723129208025,GPRC5BB,0.6566929958597751,SI:CH211-171H4.5,0.6051504585000964,ACTL7A,0.7088452262366536,SI:CH211-260E23.9,0.6136712469916464,CPE,0.6550073863891862,HIST2H3C,0.7070250967977175,SI:DKEY-48G21.5,0.647412443699157
9,NME2A,0.7020303270855783,HUWE1,0.5560697705392255,STK26,0.6057901929294182,MED13A,0.6566332249745552,PLEKHD1,0.6017494234061185,TNS3.2,0.636754837538015,RALBP1,0.5767179550486402,LPCAT4,0.6518527646164121,SI:CH211-185A18.2,0.6817614323903773,SMARCD3A,0.6306417270802507
10,CDC37,0.6848773036373849,KLF17,0.5511217444081656,PTGS2B,0.6055244736044334,RBBP8NL,0.6534594886513658,MCHR2,0.6009288161544881,POLA1,0.6267067811011432,NFKBIL1,0.5706751559880681,ZNF1099,0.6436648111152443,GOLGA4,0.6728376357415797,GRB7,0.6250450492998916
11,TAOK3A,0.678495034550069,SI:CH211-235I11.3,0.5503850986613013,AGRP2,0.5857565045444543,WASH1,0.6441038262179779,MLXIP,0.5956955211405274,CR318603.2,0.6235189943809178,FSCN1A,0.5661248325776498,SULT6B1,0.6369936122562584,DUSP6,0.6706020712462731,CU655961.2,0.6189847327581803
12,CC2D2A,0.6672791279071587,DCTN4,0.544096768670327,SI:CH211-69B7.6,0.5807863163508761,SETD2,0.6417753318525552,LFNG,0.5779650508605483,PGAM1A,0.6169753506646773,BIRC5B,0.562067770160215,CAMSAP2A,0.6224462543646269,BDP1,0.6617455307631589,ESRP1,0.6042140394411777
13,CHD7,0.6455055781245346,CENPE,0.5414060427643218,PON1,0.5770269931748491,LYRM1,0.6404669306085428,CABZ01093075.1,0.5776905433326291,KCTD5,0.6169117924760926,HMGA1B,0.5499549676365554,TDRD7A,0.6206127345946094,APITD1,0.6569245499802557,TRIM25L,0.6037899209545358
14,SZL,0.6370765211847172,SI:CH211-130H14.6,0.5318856454221387,SI:CH211-242H13.4,0.5690435673952188,IL6ST,0.6309549485981965,CRABP2B,0.5727387327579482,SCARNA6,0.6121302373143871,SI:CH211-235I11.3,0.5497641908693114,ACTL7A,0.6187773702881463,DDX4,0.651915834714017,SI:DKEY-7J22.4,0.5819228745134972
15,SI:DKEY-176F19.6,0.6293550141910602,FNIP1,0.5224018662810102,SI:DKEY-19C16.12,0.5591329071613595,ACTL7A,0.625401083023604,JAKMIP2,0.5593444972357433,PRPF8,0.6095486872699813,PON1,0.5493142025140227,B3GNT5A,0.6100010733574287,RBBP8NL,0.6389663077782538,SI:DKEY-269O24.6,0.5705823779805853
16,ZNF1044,0.6247956926460584,ZGC:173702,0.5186257768310232,TAOK3A,0.5547471655233045,IRX7,0.6230391054592989,KMT2CA,0.5548548611661465,FA2H,0.5973315308474233,SI:CH73-46J18.5,0.5203973014246706,DACT2,0.6042759234778249,ZGC:158463,0.6376468185080287,KRT97,0.5669295215364453
17,IFI30,0.5992097390922734,TBX6L,0.5038180813591215,TOP1,0.5484962334393853,PONZR5,0.6097328708335442,SI:CH1073-317D10.1,0.5541042462033939,ZGC:173587,0.5955864741673195,SI:DKEYP-79B7.4,0.5180614698796188,HNRNPA0B,0.5998397061307296,AIM1B,0.6376447661080042,CEP350,0.5659835840124235
18,SI:CH211-125O16.4,0.5985795381480509,AXIN2,0.4955480281977476,ELOVL1A,0.545468343699579,SI:CH211-117M22.2,0.6051104124388512,SLC16A10,0.5481632668746668,PRKAR2B,0.5778105543982177,KLHL22,0.5080873052952019,HMHA1B,0.5993949637224385,ANO9A,0.6316420862109401,SI:CH211-279M15.1,0.5647173218325782
