,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10
0,CABZ01084942.1,1.2434965189002478,LYRM1,4.612480632155478,SI:CH73-195I19.3,3.2605411167551175,RAPGEF6,3.935339549694899,MYO3A,3.782139604029113,ZGC:171775,1.7560755962426586,AGRP2,2.0312184476081327,GPRC5BB,1.6252304768319759,ANO9A,2.0699345744684536,DIABLOA,1.9778803791372734,FNIP1,1.0411190389605764
1,NRXN1B,0.9805708110433083,AGRP2,0.9379162138931132,ANO9A,1.1839737434776887,AGRP2,0.9091738339886959,NME2A,1.2474636340489567,TOP1,1.3118086986127382,FNIP1,1.5472917835687843,NME2A,1.3358875945547248,AGRP2,1.0098099061297552,CABZ01084942.1,1.6381413464125762,TNFAIP8L2A,0.8743554985707718
2,NFKBIL1,0.9244998976430516,CABZ01084942.1,0.7745847873105755,HNRNPA0B,1.0980410686032243,ZGC:173587,0.7536781934284601,DIABLOA,0.7781475844072449,SI:CH73-195I19.3,0.8690926970563423,TOP1,1.2693668705620913,NRXN1B,1.1157646353059634,IL6ST,0.8704237040443782,ZGC:171775,1.2320291186668952,PON1,0.8617149317911262
3,NCOA7,0.8744744078204822,CABZ01001464.1,0.6836085928210729,EVPLA,0.7762382081203966,SI:DKEYP-67A8.4,0.6621614538955458,VPS13A,0.7657247613286496,ACTL7A,0.8633912105307738,SFT2D1,0.8522875685737057,ZGC:173587,0.9455846364489949,ZAR1L,0.8183019680733822,RNF220B,0.8281208769887407,SLC44A1B,0.7735654265629749
4,ZGC:173587,0.8192808818492636,EVE1,0.6806213751245535,CPE,0.7534555000738692,FTR36,0.6405605266398244,HNRNPA0B,0.7464155029274951,HSP90AA1.2,0.6991608585720892,FA2H,0.8332807281847814,WNT11,0.9053809329219792,LYRM1,0.7962802145225869,KLHL22,0.763673185470146,TAOK1A,0.7628054299268202
5,RBBP8NL,0.8175519601279984,SZL,0.6212425733016248,LYRM1,0.7356347900304564,BX927193.1,0.6221674983077121,GBP3,0.711514608547093,KAZALD2,0.679069640700546,ALOX5B.3,0.7169607553632806,CYR61L2,0.7405923303145237,CHD,0.7000754023391151,SP5A,0.7411744419732549,TOP1,0.7359793411243669
6,POLR2A,0.8063233149449048,NUDT4A,0.5709303159339914,VPS13A,0.6604131739751774,DEGS2,0.5902648610756941,POLR3K,0.6539278341587709,SI:CH73-275M14.1,0.6785901241248165,KLHL22,0.713321175030957,POLA1,0.7344719922054851,UPK1A,0.6954773023516444,SI:DKEY-23A13.15,0.6632825467068565,SI:CH211-103E16.4,0.7341955336474857
7,KLHL22,0.8045871415694176,SESN3,0.5455051251630576,KCTD5,0.6557345336252554,TIAM1B,0.5821188960926397,ADGRL2A,0.6223362706293655,TAOK1A,0.6721271224451344,NRXN1B,0.7083242240084056,AGAP1,0.7153182457223166,KLF17,0.6564432594108627,HNRNPA0B,0.6567469632602225,GLT8D1,0.7177211363842524
8,LAMA1,0.773285289478558,TOP1,0.5390415877012332,SRCAP,0.6269714065895388,KRT97,0.5767624401253474,BMP7A,0.6110428691820966,ZNF644B,0.6682250495840215,AK3,0.6915419764155211,SCOCB,0.7065038670168631,TOP1,0.6403060678874903,SI:DKEY-188I13.8,0.6464460050051324,SCARNA6,0.7077932447327537
9,FTR83,0.7454226305017702,PLEKHN1,0.5359603046093857,MKNK2A,0.6036825864309385,GATA2A,0.5705830697032979,ZNF1070,0.6008161674522071,APLNRA,0.6619438667246214,EPPK1,0.6645750486604458,CCDC106B,0.694645330234901,ATP1B3A,0.6390802112366709,ITSN2B,0.6249430235852983,WNK4B,0.7073887993277189
10,TAOK3A,0.6982366072761793,SETD2,0.5271269955831988,CABZ01084942.1,0.5928667819364146,XRN1,0.5643836925018813,SI:CH211-196H16.12,0.5931799745914983,ZGC:112977,0.6534163639492788,SI:CH211-268B13.3,0.6602517208904807,DDX4,0.6860008946007806,SI:DKEY-122C11.4,0.6202447851968965,SLC16A10,0.6127337675257217,SLC35E1,0.6977763225069601
11,SI:DKEY-13M3.1,0.6785672555471051,GADD45BB,0.5235065218943598,ABCA1B,0.5759445123153607,GRHL3,0.5628309320067995,CABZ01117603.1,0.5870963627596069,SRCAP,0.6433527268456669,CHD6,0.6359851326832596,ATP6V1D,0.6365057804279248,TNNI2A.2,0.6144378592782868,SDC3,0.607970430911242,SI:DKEY-199K11.6,0.6971439077604754
12,SFRP1A,0.677056303210066,CYR61L2,0.5177812934466647,KRT4,0.5701087224246356,SZL,0.5558041300860275,EPPK1,0.5679740289275023,PGPEP1,0.6411663639089242,ELOVL1A,0.6285887429871585,PERP,0.599987894762688,WASH1,0.613538579555333,GBP3,0.5899374464812848,MAL,0.6813630229529691
13,RN7SK,0.6652215612585319,VENT,0.5158698089849988,CR450793.1,0.5583951288432135,PALLD,0.5545661565111676,CABZ01009880.1,0.5625325120917053,ZGC:173587,0.6396998983777772,ZNF1065,0.6258241630986313,SI:DKEY-95P16.2,0.5973967450347952,LRP5,0.6079600618983035,ZNF1031,0.5898858603395032,SI:DKEY-23A13.15,0.6352052304842541
14,CLDN11B,0.6404366383615453,PRICKLE1A,0.5135386288473197,PCDH1B,0.5544656472846821,EXD3,0.5527693790408577,ZNF1064,0.5330259147464119,TPBGA,0.6383791802328206,FTH1B,0.6016373403168961,SETD2,0.5955615989110427,SP5L,0.6071470317888019,LAMB1A,0.5853788575113393,HUWE1,0.6283841302312387
15,SI:CH211-242H13.4,0.6300958911130379,SI:DKEY-58J15.10,0.5134659719569814,ATXN7L2A,0.5503230089735577,WRN,0.5451548491439256,NDUFB8,0.5277560469847884,SLBP2,0.6304278650760499,ITSN2B,0.5894939340534033,SUCO,0.5874559316988984,SLC38A5B,0.6051061888232588,SI:DKEY-60A16.4,0.5844061613447522,FTR36,0.6160049055933895
16,CDKN1BB,0.6222528237253014,PRPF8,0.5002164042469326,KRT8,0.5479823166909054,LAMA1,0.5419944938799106,MAP7,0.5273336013239558,FTR83,0.6273579508779012,CLDNB,0.5766026173564438,CR391944.1,0.5861689824453715,VPS72,0.5978218484940616,FTR76,0.582491978374879,RBM27,0.6156947186218176
17,COLEC12,0.6133596397181652,APAF1,0.49294076353831046,SI:CH1073-190K2.1,0.547968115723702,HIRIP3,0.5291381258833073,MMP17B,0.5240870684158754,PCNT,0.6092492879705722,ZIC3,0.5759293101476969,ZGC:193505,0.5846338966523833,WEE2,0.5886216634074108,CNNM1,0.5771660770309576,SI:DKEY-154B15.1,0.606210376050466
18,SI:CH73-110P20.1,0.6126515404178724,ZIC3,0.49211513944896934,GPRC5BB,0.5369014158603317,PRKAR1AA,0.5213612056439354,ENSDART00000172356,0.5239407021494253,STARD14,0.600632823540824,BX323023.2,0.5651068915183278,SI:CH1073-205C8.3,0.5840802645819076,CLDNG,0.5885709379552494,SI:CH211-276C2.4,0.5763068590110265,SFT2D1,0.592877708262199
19,TRIM25L,0.612054996229883,NCOA7,0.4888230456392436,ANO9,0.5344234320795395,TUBA1A,0.519670081817228,UHRF1,0.5151275992922576,ANO9A,0.599918116825727,ZCCHC7,0.5606717222169065,PLEKHM1,0.5808407012686957,RASGEF1BA,0.5881253129529604,FKBP7,0.5731306682832807,MAP3K1,0.5907412078510602
20,TSG101A,0.6005626724734894,CERS2B,0.4884351836441815,ATG2A,0.5315010607939412,HUWE1,0.5164419155440946,ZGC:173705,0.5128464679603786,HUWE1,0.597654706398718,PLECA,0.5554766998389564,CLINT1A,0.5788862071271638,SI:CH211-269I23.2,0.582167157503712,KRT4,0.5662227567534944,DEGS2,0.5884705223004997
21,CEP350,0.59790829738122,SI:DKEY-199K11.6,0.48765760156695603,ZBTB33,0.5234889157107242,DDIT4,0.5139204872315334,CYR61L2,0.5104920613072492,PHYHIP,0.5962876544611796,KRT18,0.5530443985466283,MAP3K4,0.5724906985471987,BMP4,0.5795449735734037,ZNF292B,0.5659896829580208,PPRC1,0.5834826411958967
22,FTR82,0.594114978982971,SRSF5B,0.47844308204242414,WDR62,0.5232223542364446,SLC44A1B,0.5090267607422628,AGRP2,0.5010471455446738,SLC44A1B,0.5945477982207631,HSPE1,0.549336583841187,RBBP8NL,0.5713988231128255,SI:DKEY-11O15.10,0.5708803991600194,PHKG1A,0.5621992960155626,GATA3,0.5829733581984221
23,CHD7,0.5926147800894566,PRICKLE1B,0.4765553848508942,PSMD10,0.5231913714238275,SNAI2,0.5076940651716388,MAP3K1,0.500097310909737,SI:DKEY-16P19.1,0.5909774794556761,SI:DKEY-235D18.5,0.5409631728003711,FAM134C,0.5697654559750879,APOC1,0.570636629405456,CAMSAP2A,0.5607650525821251,FOXD5,0.5719333059411754
