,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12
0,CABZ01084942.1,1.0621477219736022,LYRM1,4.7125212394097495,SI:CH73-195I19.3,3.8116785123417856,RAPGEF6,4.169501200497995,GPRC5BB,1.574438695149119,FNIP1,2.012258411036808,CABZ01084942.1,1.0241384388123107,MYO3A,3.9611645622711698,TAOK3A,0.8643922180955422,ZGC:171775,2.0281973806531424,ZGC:171775,1.1456118799490331,CABZ01084942.1,1.3494602506249311,ANO9A,2.046940528091832
1,HNRNPA0B,0.9855795258620422,AGRP2,0.9606564691374733,ANO9A,1.5533685151090164,AGRP2,0.7689730490524012,NME2A,1.5133067056671123,AGRP2,1.9833620797746965,SI:DKEY-261M9.17,0.7999563429152217,NME2A,1.2809222936271423,NANOS3,0.8528341906645669,DIABLOA,1.977782361220842,TOP1,0.9006276809582164,FTR83,0.9951106625891668,IL6ST,0.8261959587569624
2,KLHL22,0.8834410752745934,EVE1,0.7578149930688498,HNRNPA0B,0.9980218277353908,ZGC:173587,0.6555464499430326,NRXN1B,1.0150766730132026,TOP1,1.3441242959626256,FNIP1,0.7709448554368613,POLR3K,0.6777104890898985,CLDN11B,0.8073394884654005,CABZ01084942.1,1.0627963775543943,HUWE1,0.846970887121044,NCOA7,0.9270143918597825,AGRP2,0.7928410232800472
3,KRT5,0.8660578408073067,NUDT4A,0.5745067288565471,GPRC5BB,0.8060332829084975,SI:DKEYP-67A8.4,0.6508578804351485,WNT11,0.8959005605933323,SFT2D1,0.8303890371407012,IL6ST,0.7529657614329505,VPS13A,0.6655941796411713,RBBP8NL,0.7903575343904005,RNF220B,0.8655491336464785,NCKAP5L,0.815394424673593,SRCAP,0.7755186732830975,ZAR1L,0.7826871487805686
4,HUWE1,0.7501086086394683,SZL,0.5642916150606492,EVPLA,0.7042286389820969,BX927193.1,0.5998339417119833,ZGC:173587,0.8172759857445052,FA2H,0.7232820397037996,SP5A,0.751230238595191,CABZ01117603.1,0.6161643071218869,PON1,0.7766822060223599,KLHL22,0.7237629201563327,TAOK1A,0.7655116290474075,ZGC:171775,0.7653912773693462,CHD,0.7545557576927171
5,NFKBIL1,0.6905618915294597,SRSF5B,0.5473489943939206,SRCAP,0.6534078956830561,DEGS2,0.5847232001900683,POLA1,0.7477682763547732,SI:CH211-268B13.3,0.7209572139960434,TNFAIP8L2A,0.7324400883648373,BMP7A,0.6038697770718384,SI:CH211-242H13.4,0.7700415368072213,CCDC186,0.7071496753849215,DIP2BA,0.7604410026341606,NFKBIL1,0.7208111421337402,TOP1,0.6974942901389464
6,TNFAIP8L2A,0.6570133208534461,SETD2,0.5464897563033,VPS13A,0.6052525336705199,FTR36,0.5703498783989157,SCOCB,0.7219420294608606,AK3,0.6944441010450917,SI:DKEY-23A13.15,0.7205946327025952,ADGRL2A,0.6009068910683627,NRXN1B,0.7296297113725947,SI:CH211-217K17.9,0.7039634774457572,SI:CH211-103E16.4,0.7418431732900704,CABZ01001464.1,0.7075694913678787,KLF17,0.6717696412402216
7,CPE,0.6553168437593065,HS3ST3B1B,0.5402501128534111,ATXN7L2A,0.5945976634835523,GRHL3,0.5683109595472668,ATP6V1D,0.7156142035119074,ALOX5B.3,0.6776776741085969,SLC44A1B,0.719267258335425,DIABLOA,0.5893370995820065,SI:DKEY-43F9.4,0.7217185303994215,FKBP7,0.6533708950497242,PCNT,0.7357225254014591,ZGC:173587,0.6807234113320982,UPK1A,0.6561935585901413
8,UGCG,0.6500748609697579,CABZ01001464.1,0.5277480554951464,MKNK2A,0.5850880580389464,PALLD,0.5645061738957844,DDX4,0.6875545218371387,CHD6,0.6331726063404551,SI:DKEY-199K11.6,0.6832122943655632,HNRNPA0B,0.5858188184395424,KLHL22,0.6666541088021973,SI:DKEYP-3B12.6,0.6509456909329214,ANO9A,0.7347360094157129,SI:CH73-110P20.1,0.6601438158762875,ATP1B3A,0.6451057264411617
9,PAN2,0.6421474308479785,PLEKHN1,0.5217670542885039,PCDH1B,0.5671024895643701,TIAM1B,0.5518880628739496,AGAP1,0.683080981296127,NRXN1B,0.610788146328031,NR6A1B,0.6601451459407448,SI:CH211-196H16.12,0.5843549081366558,ZGC:173587,0.661587326195901,FZD7A,0.6365930196394701,ACTL7A,0.718350669301716,LAMA1,0.6593495738566246,SLC38A5B,0.6330550082284887
