,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13
0,NRXN1B,1.1635001373434748,LYRM1,4.7476548511206005,SI:CH73-195I19.3,3.78622557593965,RAPGEF6,4.064178988277425,PON1,1.007354575943731,CABZ01084942.1,1.6908631271560735,CABZ01084942.1,1.503861435938257,MYO3A,4.118589147061875,AGRP2,2.0236140756549146,ZGC:171775,2.3115617770683587,GPRC5BB,1.6495491578112986,FNIP1,1.877927448316153,ANO9A,2.182292538584511,ANO9A,1.3420007185982075
1,KLHL22,1.0760362610263094,AGRP2,1.054445724000959,ANO9A,1.2918874726643366,AGRP2,1.1305079565355793,NME2A,0.8024494382690496,DIABLOA,1.1970274860485908,NCOA7,0.9071252814425976,NME2A,1.1182556294461234,FNIP1,1.64909536890739,DIABLOA,1.7672211308646146,NME2A,1.3612217234243293,WNK4B,1.1190037379362225,AGRP2,0.8452888134389946,HNRNPA0B,0.8816190499220589
2,ZGC:173587,0.8182906607449535,EVE1,0.725333049986168,GPRC5BB,0.7962705903303543,ZGC:173587,0.7944410088791242,TAOK3A,0.7606818854179526,HNRNPA0B,1.0706802400423059,FTR83,0.8688193313815393,DIABLOA,0.8172971851765476,TOP1,1.4139364907296852,RNF220B,0.965563467524232,NRXN1B,1.0520623341363766,HUWE1,1.0155425228350992,IL6ST,0.7933745766284201,GBP3,0.8228008996648984
3,RBBP8NL,0.7769148169419521,SZL,0.6135572264746153,ZGC:171775,0.7179709198532551,SI:DKEYP-67A8.4,0.6825109568366478,ZNF1082,0.7159693131279061,SP5A,1.0636201513892953,ZGC:171775,0.7686725687796526,VPS13A,0.755732196006561,SFT2D1,0.8422724891263224,SLC44A1B,0.7688570757609451,WNT11,0.870465767783244,SCARNA6,0.9322905557863316,ZAR1L,0.749616573425111,KRT96,0.7566744809302528
4,RN7SK,0.7049698991714038,NME2A,0.6010895706319703,HNRNPA0B,0.6967700171243817,LAMA1,0.6567809311884676,CDX4,0.6769562124721332,KLHL22,0.8928302276752493,SRCAP,0.7201435712249945,AGRP2,0.721842509135715,FA2H,0.7577831659577609,SI:DKEY-261M9.11,0.7000841109753478,ZGC:173587,0.8483924568805582,TNFAIP8L2A,0.8736670343671175,TOP1,0.654099530500846,GLT8D1,0.7004325156356331
5,KRT96,0.6997608559809733,NUDT4A,0.6001271294744238,SRCAP,0.6472781019382217,BX927193.1,0.6120006446639266,BMP2B,0.6427135021831056,SI:DKEY-60A16.4,0.817733450975527,NFKBIL1,0.677859697521018,HNRNPA0B,0.6952549626710258,CHD6,0.7262021861151363,CAMSAP2A,0.6989440036097123,POLA1,0.747180372076315,TOP1,0.8161618064012717,WEE2,0.6374684950425301,KCNK4,0.692737984094308
6,HS3ST3B1B,0.6936769404042628,SETD2,0.5835437587672981,ARHGEF10LB,0.6443141788442471,GRHL3,0.5756738749142377,ZGC:112977,0.602023403430267,TBX6L,0.7640646877796345,DIABLOA,0.6747063140361221,GBP3,0.6167402456706377,SI:CH211-268B13.3,0.7018567916964484,FKBP7,0.6503523023971144,AGAP1,0.7000824372023603,TAOK1A,0.7881240813986384,SLC38A5B,0.6241158063192358,EVPLA,0.6775117578133083
7,PDXDC1,0.6843359777093875,PLEKHN1,0.5668918517333555,ACTL7A,0.640094371509711,CPE,0.5527232518367671,PPIB,0.5955824609400605,CPE,0.7609570849922427,ZGC:152652,0.6399853857293639,POLR3K,0.6118139220892491,AK3,0.6959961607361256,SI:DKEYP-3B12.6,0.63869895274034,SCOCB,0.6847570809253218,SI:CH211-103E16.4,0.726675350305909,LYRM1,0.6148525423997255,PCNT,0.6586647058959563
8,SOX2,0.6264355344005968,SRSF5B,0.5538895479459184,TAOK1A,0.6220654684261326,TIAM1B,0.5459970754632112,CCDC106B,0.5914839324450266,SI:CH73-195I19.3,0.7140220233391519,BMP7A,0.6346392529017378,SI:CH211-196H16.12,0.5931796066166206,EPPK1,0.6582824113082445,TTNA,0.6353918494515611,CYR61L2,0.6734705421377635,SYNGAP1A,0.7022669393650466,TNNI2A.2,0.6104645768654641,SI:CH1073-190K2.1,0.6443101779291435
9,SI:DKEY-13M3.1,0.6233617883416169,SESN3,0.5344277253170638,JAKMIP2,0.6214442520381037,SZL,0.5449239197052688,IRX7,0.5910183070836456,IL6ST,0.6860199968785561,SI:DKEY-58J15.10,0.6239821450409513,ADGRL2A,0.5928741912021489,NRXN1B,0.6563202828854114,CCDC186,0.5976591648367299,DDX4,0.6700080256286994,CABZ01084942.1,0.6974074809131968,KLF17,0.604415791643326,SI:DKEY-186O21.1,0.6344191917115233
10,PRCC,0.6202208914230767,HS3ST3B1B,0.5263292081999997,B4GALT7,0.6011463415076277,KCNK4,0.5312495688032081,IL6ST,0.5867289292538482,GBP3,0.6850339591751982,LAMA1,0.6231044313978059,CABZ01009880.1,0.592601845067368,ELOVL1A,0.6271433077998432,RYR1A,0.5770652308601715,CCDC106B,0.6410726027732636,MGLL,0.6964979628889437,APOC1,0.5999257212217983,UTP20,0.6281893879636382
11,CLUHA,0.6195318931140817,CYR61L2,0.5171781758773997,CHD6,0.6008951379793493,TA,0.5208535198066863,SI:CH211-242H13.4,0.5841696799466841,SI:CH211-276C2.4,0.658744402070238,ZNF319,0.6200454863236343,ZNF1070,0.5818231007384176,ALOX5B.3,0.6206358867671202,FZD7A,0.575091006949786,ATP6V1D,0.6229424328573344,PPL,0.6494036312413866,CHD,0.5983772444690731,RBBP8NL,0.622002728744336
12,ARID3A,0.6161370825802668,TRIM45,0.5008314173619357,CAMSAP3,0.5686762226085723,DDIT4,0.5134702967559654,CPE,0.5755546997197643,AKAP17A,0.6525017495927621,CABZ01093075.1,0.6177753064852853,CABZ01117603.1,0.5733359997640469,KLHL22,0.6109101419023414,ACTL7A,0.5613724616707854,SNX11,0.618199049419108,FTR36,0.642098009553297,ABCA5,0.5936533623614613,RRAGA,0.6209483345048696
13,SCPEP1,0.6098104232684677,ZIC3,0.493037445212809,TAOK3A,0.5472793399791446,FTR36,0.5065993169973652,SI:CH211-194I10.5,0.5730533682243699,NFKBIL1,0.6306745389219843,ANKRD30B,0.5901930240865138,BMP7A,0.5271385224671867,PLECA,0.6107636769032274,EML2,0.5597077338052993,PPL,0.593390597247411,CRABP2B,0.6169373905057111,SI:DKEY-11O15.10,0.5700673102585934,PON1,0.6084390129062405
14,ZNF1044,0.5871768116482208,SI:CH211-217K17.9,0.4898285694487113,TOP1,0.5423630558268592,WRN,0.5042702210183755,KLF2B,0.5708813059958309,PDIA3,0.6277682973456677,KIF18A,0.588861204148392,MAP7,0.5172648330850099,FTH1B,0.5988153325385979,OTUD4,0.5456436799875415,CLINT1A,0.5921972809234031,MAL,0.5934027358611277,LRP5,0.5579035108436867,ZNF1057,0.5974047715188981
