,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17
0,NRXN1B,1.2100186738921201,LYRM1,4.885203926324776,RAPGEF6,4.285327708500992,AGRP2,1.8185814420918505,TOP1,1.2257070079820398,ANO9A,2.2875492180665637,CABZ01084942.1,1.522563236638348,SI:CH73-195I19.3,3.9544128750189618,HNRNPA0B,1.3543409843733694,FNIP1,1.9380653947232855,CAMSAP2A,1.0613926949053316,ZGC:171775,2.6373197648597677,MYO3A,4.423599664969716,PON1,1.154447855859063,CR318603.2,0.8888096392958833,CABZ01084942.1,1.6096854859144851,GPRC5BB,2.520417314403074,FNIP1,1.9728527494538108
1,KLHL22,0.8918886940702753,AGRP2,0.9811519603222562,AGRP2,1.0015961016611223,CABZ01084942.1,1.4646282373766735,PCNT,1.019059158217118,TOP1,0.8781766766811097,ZGC:171775,0.9421631962494199,ANO9A,1.3928685563438399,ANO9A,1.2013041059012701,AGRP2,1.7701950057377343,DIABLOA,0.9669698375142122,DIABLOA,1.467357779357619,NME2A,0.9445888825420503,TAOK3A,0.9105295578411301,SI:CH211-53F16.1,0.728105822015339,DIABLOA,1.2082482292692243,NRXN1B,1.3993364647349227,HUWE1,1.2016405222297908
2,SI:DKEY-13M3.1,0.7321633500975123,EVE1,0.6406158271877055,SI:DKEYP-67A8.4,0.6954782158478668,HNRNPA0B,0.9522944758869873,MAP2,0.9125740306342492,IL6ST,0.7196613264019573,NCOA7,0.8572790293609597,JAKMIP2,0.6428240773382051,EVPLA,0.8790250464035909,TOP1,1.3918312536132318,SI:CH211-241E1.5,0.8496148574507493,RNF220B,0.8350372369319404,VPS13A,0.6615188604112153,SI:CH211-242H13.4,0.7333826343446136,TRIM25L,0.698582482551569,IL6ST,0.976480056429726,NME2A,0.9399392949089486,WNK4B,0.8736792579623055
3,KRT96,0.6966115510983385,NUDT4A,0.5767287716862127,ANO9A,0.6818069676866754,SI:CH211-242H13.4,0.8715857784956124,TPBGA,0.7607463402911806,SLC38A5B,0.6855650416592691,CABZ01001464.1,0.7733743942283887,B4GALT7,0.6390397280161628,ZGC:173856,0.7611413817599579,SFT2D1,0.7895667897095436,NR6A1B,0.6720739815770795,SLC44A1B,0.6707482381136816,DIABLOA,0.6250467817707439,CCDC106B,0.6725234658122233,ABI1B,0.6635558675830077,KLHL22,0.9160349424469405,WNT11,0.8947516706859464,FTR36,0.8456309244073246
4,PRCC,0.68536468803291,PLEKHN1,0.5623620382991564,ZGC:173587,0.6430683371161238,KLHL22,0.7013162537040375,SI:DKEY-85K7.7,0.7213979511630682,ZAR1L,0.6456246041206025,FTR83,0.737509972859242,SRCAP,0.6261334101827268,NME2A,0.7149575391946997,CHD6,0.7032439628513976,NME2A,0.6644426426516913,PHYHIP,0.633108903668506,CABZ01117603.1,0.6223050356649426,DNAJC6,0.6612197739975978,ERLIN2,0.6343667513529884,SP5A,0.8896104094020271,ZGC:173587,0.7326358000044636,SCARNA6,0.8010383547985067
5,RBBP8NL,0.6832121970527836,SESN3,0.5586361882396391,TIAM1B,0.6212257359596093,LAMA1,0.6837133584608024,ZNF1057,0.6887378304593275,CHD,0.6282956026197202,ZGC:173587,0.7071459343050223,HNRNPA0B,0.6068577607631928,SI:CH1073-190K2.1,0.6973185012961867,FA2H,0.7006310450773915,BDP1,0.6352793016649425,ACTL7A,0.6299507911759517,POLR3K,0.5902113120337227,SI:DKEY-43F9.4,0.6531946808720772,SCOCB,0.6312614371776154,SI:DKEY-234L24.10,0.8000867334457962,ZGC:171775,0.6523126427358837,TAOK1A,0.7780573426007675
6,SI:DKEY-261M9.17,0.6775150111799567,CYR61L2,0.5443047442414022,BX927193.1,0.5999235853348671,ZNF1125,0.6308452906981314,SLC44A1B,0.6798719111140262,APOC1,0.6094604109405918,SRCAP,0.6629582379163752,TOP1,0.5984547730475496,GBP3,0.6643002180597665,SI:CH211-268B13.3,0.6777083498514515,CNNM1,0.6296889783200278,SI:CH73-167F18.3,0.6297947997357835,ADGRL2A,0.5831293625709688,SI:CH211-194I10.5,0.634382030413224,ZGC:173587,0.614701762409839,SI:DKEY-23A13.15,0.7111800261265219,CCDC106B,0.6501147383305619,TNFAIP8L2A,0.7588903532459861
7,NFKBIL1,0.628095911929045,CABZ01001464.1,0.5352190476142792,DDIT4,0.5695943361933997,SI:DKEY-152P16.6,0.609091660588597,EPS8L1,0.6757977678160437,LYRM1,0.6041693413390836,SI:CH73-110P20.1,0.6200724787838438,ZBTB33,0.5777116247103488,GADD45GA,0.6558318269567704,AK3,0.6526710513504236,CPDA,0.6238897639673022,JAG1B,0.6051968396956828,AGRP2,0.5584152671408492,KLF2B,0.6244247439299903,NET1,0.5911663550343765,AKAP17A,0.6813325292699949,ZNF644B,0.6283778552624839,MGLL,0.7242537395861117
8,ARID3A,0.6226558076392447,SETD2,0.5301721190635836,XRN1,0.5232677702054476,TNFAIP8L2A,0.5728685518368226,ZNF1082,0.6605950924661134,WEE2,0.5949375048096872,DCTN4,0.6189299439738869,ARHGEF10LB,0.5679328312111857,MAP3K1,0.6534457808900881,FTH1B,0.6306002477592026,TOLLIP,0.6192724999277126,FKBP7,0.5987365832197722,ZNF1070,0.5505326058958945,BMP2B,0.6228873814971924,PTGS2A,0.5818714648602881,MLXIP,0.6774958173830425,MAP3K4,0.6102234725608111,SYNGAP1A,0.6783501999961858
9,ANKRD12,0.6007829805134783,SZL,0.525188991897147,SESN3,0.5096136671694316,SI:CH211-160O17.6,0.565511873473119,ZNF644B,0.6421683200323342,SNAI2,0.5927520276613087,NFKBIL1,0.6180093759002518,CHD6,0.5656182035401722,CSF1RB,0.6374020383122714,HMGA1B,0.6222034952339021,ATCAYB,0.5961906271616757,SI:DKEYP-3B12.6,0.5971119609142355,SI:CH211-196H16.12,0.5159410495672918,CU655961.2,0.6224155005770904,SPRY2,0.5811846168791316,SI:CH211-235I11.3,0.6609546798779409,CYR61L2,0.6088569414740408,PPL,0.617667106159287
