,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
0,CR318603.2,1.0069247929800653,LYRM1,4.9494561533620525,SI:CH73-195I19.3,4.108489807212024,RAPGEF6,4.36737017412842,MYO3A,4.531783913906057,FNIP1,1.5507073732770817,HNRNPA0B,1.5528912770646652,CABZ01084942.1,1.9717834767532343,DIABLOA,1.2940266252004087,TOP1,1.4789474411940624,TAOK3A,1.022567813533355,NME2A,1.0564538044655165,GPRC5BB,2.381879042139445,ZGC:171775,2.411149369694131,ANO9A,0.6942717799235003,NRXN1B,0.9247613295487241,FNIP1,1.8270731252075028,AGRP2,2.255268866662517,ANO9A,2.0497338339147464
1,ABI1B,0.7338318169497035,AGRP2,0.7590383344834796,ANO9A,1.0421734252227657,ZGC:173587,0.6954673954837384,NME2A,0.7156590074370153,AGRP2,0.9021020739812089,NME2A,1.0970736892911213,ZGC:171775,1.0426558753483501,CABZ01084942.1,1.029631869470582,ANO9A,1.379008107663248,SI:CH211-242H13.4,0.9487884793265914,CAMSAP2A,0.8734049537753243,NRXN1B,1.1737831273601267,DIABLOA,1.2850068218580342,ARID3A,0.6685985555418118,RNASEP_NUC,0.674572119862316,WNK4B,1.0583150878208798,CABZ01084942.1,1.3176517861835078,IL6ST,0.9224318477015027
2,SI:CH211-69B7.6,0.6932022779420459,EVE1,0.7086358359445784,HNRNPA0B,0.825938864339141,AGRP2,0.6633150294444504,CABZ01117603.1,0.57821265803394,NRXN1B,0.8338926827919052,EVPLA,0.9122233579126152,NCOA7,0.7209558811978326,SP5A,0.9260163444076858,PCNT,0.8445636147384488,PON1,0.8723133596590039,HUWE1,0.7913409129186532,WNT11,1.0379624428910719,SLC44A1B,0.7182538427936241,KLHL22,0.6271688362134147,AGRP2,0.6640427208778409,SCARNA6,0.9334583981339108,SI:CH211-242H13.4,0.8190821364046635,TOP1,0.8500839692914115
3,SPRY2,0.6325069216705549,NME2A,0.6163405501367132,SRCAP,0.6531576414139002,SI:DKEYP-67A8.4,0.6540819463137887,VPS13A,0.5304913703739706,DIABLOA,0.7873983447975211,PON1,0.6814903548088522,SRCAP,0.6740524421812532,SI:DKEY-23A13.15,0.7337616949936714,LRP6,0.7429993936827162,ZNF1084,0.7527291226328627,ZNF1057,0.7808436667964945,NME2A,0.828735637327782,RNF220B,0.6968401405145107,NRXN1B,0.6235092388292888,CLDN11B,0.6512943976813891,HUWE1,0.8940630256583217,SP5A,0.6590656437698595,CHD,0.7845682066589698
4,SCOCB,0.6262229869198684,SESN3,0.5735679134475008,MKNK2A,0.5606207645277084,ANO9A,0.6308929595758836,WNT11,0.5205613864823972,FTH1B,0.7755300032811031,ENSDART00000129497,0.6782315657714721,CABZ01001464.1,0.6660047752553027,TBX6L,0.6928308524221182,AGRP2,0.6891693257873331,RBBP8NL,0.7190328991658135,SI:CH211-276A17.5,0.745547247436529,TRIM105,0.7376906497169188,CAMSAP2A,0.6777112608907339,PCM1,0.6085860699561794,MAPKBP1,0.643901989637441,TNFAIP8L2A,0.8076573343254115,ZNF1125,0.6520585880669307,UPK1A,0.7090649660784573
5,SI:CH211-53F16.1,0.6244961394495826,NUDT4A,0.5571332798992531,CPE,0.560560268875901,BX927193.1,0.6149306820995314,POLR3K,0.5148309468063088,TOP1,0.7729841274347365,RAB34B,0.6526781265509262,DIABLOA,0.66283789469414,SI:DKEY-234L24.10,0.6704037982906945,MAP2,0.6733360870315662,CR318603.2,0.6631261182265699,SI:DKEY-16P19.1,0.6808197876157205,ATP6V1D,0.687558558703131,ACTL7A,0.6584121367138503,FTR82,0.5828700729904166,ALDH9A1A.2,0.6161589619976054,FTR36,0.7779062790393632,SI:DKEY-152P16.6,0.6212926210023103,AGRP2,0.6589094997612368
6,GDF3,0.6033872469026119,SETD2,0.5417664539207572,LYRM1,0.5463909644963584,TIAM1B,0.5993891873810357,ZNF1070,0.5129913061278238,JAG1B,0.7602278393142832,RBM27,0.6342120626915818,CABZ01066717.2,0.6519027257518649,SLC44A1B,0.6587007813461365,CYT1L,0.6717998451263867,CLDN11B,0.6131104321008802,EPS8L1,0.6345831419967298,MAP3K4,0.6769592009367854,HUWE1,0.6449008048830072,PHYHIP,0.576629913697688,KRT96,0.6066532485527982,SI:CH211-103E16.4,0.770461854318747,OVOL1,0.5869206160333649,SP5L,0.6290342190930075
7,ERLIN2,0.600564528031504,SRSF5B,0.5390020648318196,EVPLA,0.5446668444113975,DDIT4,0.5411353876683921,PEX1,0.511243612857498,TA,0.7012659517829088,MAP3K1,0.6323796956500167,LAMC1,0.6081709668582688,ATCAYB,0.6473239549419078,TPBGA,0.6641594466604761,SI:DKEY-43F9.4,0.6023498558601245,NDUFB8,0.6324965547574111,BDP1,0.6769452031128982,SI:DKEY-261M9.11,0.6350894613732525,NFKBIL1,0.5710284076131298,CPE,0.5909980595293408,TAOK1A,0.7560415331471588,HUWE1,0.5676703902926011,ZAR1L,0.6218358955623504
8,BTG4,0.5710278480593113,PLEKHN1,0.533699830631096,B4GALT7,0.5222938859658866,XRN1,0.5381893120279223,ENSDART00000172356,0.4986121714060876,FAM13A,0.6874091586617239,ZGC:173856,0.6310252378561767,CHD8,0.6026500780830595,SI:CH211-125O16.4,0.6380804510244265,HSP90AA1.2,0.6557934103242387,DNAJC6,0.5845565827434901,WEE2,0.6143101335129705,ZGC:173587,0.6637339410017188,CCDC186,0.593423879135746,FTR83,0.5670669295659044,KCNK4,0.5908025154034956,SYNGAP1A,0.7402151446950215,ABCA1B,0.5622430217540126,WEE2,0.59169394418756
9,TRIM25L,0.5689040310750584,CABZ01001464.1,0.5304563487231317,SI:CH211-113A14.10,0.5176057056623976,KRT97,0.5012616533900864,GBP3,0.4847155577524046,ALOX5B.3,0.6434431783219651,SLC2A12,0.6168205107814781,DCTN4,0.5998007942277614,SI:CH211-241E1.5,0.6173258958806198,ZGC:171775,0.6235758902312135,CCDC106B,0.5837474882385687,LAMA1,0.5997224006392652,ZGC:171775,0.6625738710380021,PGPEP1,0.5690505677874289,ZGC:153911,0.558325468865182,FA2H,0.5889310950359138,TOP1,0.7354749276393778,SYNGAP1A,0.5533944473220096,SI:CH211-223A21.3,0.5803020141614346
10,SI:DKEY-60A16.4,0.5683252036054445,VENT,0.5251380109307242,FOXD5,0.5166111001368009,MDM2,0.49742229459840326,IGF2BP1,0.47964486877712736,VPS13A,0.6360055604034401,IL6ST,0.5988233901654475,GBGT1L4,0.5985233912877181,CLIC3,0.5984481824207297,FA2H,0.6167527145750202,IL6ST,0.5811548742930717,SI:DKEYP-2E4.3,0.5970567352617016,SH3GL1B,0.6489035736581882,TTNA,0.5638784275611851,LSM14B,0.5574470066952457,ZGC:173587,0.5876314674392249,SLC35E1,0.6443922916809912,SZL,0.5438258484654623,LRP5,0.5789411212131561
11,RHD,0.561284090041167,ZIC3,0.492921382915504,BX324155.1,0.5143118305010552,PALLD,0.49658273054554797,ZGC:173705,0.47669323980509015,POLA1,0.6326519549874942,CABZ01009880.1,0.5902989334276877,FTR83,0.5904200334930049,CNNM1,0.5977812193693823,MYCN,0.586461786177477,POLR2A,0.5770460230595399,TRIM25L,0.5943043129848281,CYR61L2,0.6312953597546577,ZNF185,0.5598084460099989,PGPEP1,0.5554707625662144,MAP2,0.5634149189190674,MGLL,0.6242523031402214,ACTR3,0.5361354077726758,KLF17,0.5776735932808124
12,HSD17B2,0.551335082361704,CERS2B,0.4922144524412501,UTP20,0.5131590968846234,LAMA1,0.49644295749035483,ZGC:101000,0.4715963328101241,ZNF1065,0.6192560039720636,EPPK1,0.5802198000422152,TMEM131,0.5737141457180115,TOLLIP,0.5866201990455793,B3GNT5A,0.5839323421630256,TSG101A,0.5663615003835106,TWF1,0.5940978965278497,CCDC106B,0.5982183570263887,SI:CH73-167F18.3,0.5577253695905029,KRT96,0.5467614785633201,PRCC,0.5624176547774026,MAL,0.6079404728255635,BX324179.3,0.5318259862871211,SI:CH211-221J21.3,0.5522914110533571
