,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6
0,CABZ01084942.1,1.4589142986898096,LYRM1,4.279337885856161,RAPGEF6,3.780268494396378,MYO3A,3.708600654645611,AGRP2,1.9867331930863295,ANO9A,1.8720688098613005,SI:CH73-195I19.3,3.148174191075907
1,CPE,1.1570090618368056,FNIP1,1.140196306780247,ANO9A,1.0708289856258104,GPRC5BB,1.2053743218625688,DIABLOA,1.9865408985528241,FNIP1,1.5375837642287973,NRXN1B,0.8391110719524456
2,LAMA1,1.0893205670088228,CHD6,0.7717602430862557,HNRNPA0B,1.0183248211603055,ZGC:171775,0.7463180692588461,TOP1,1.336208876911745,NRXN1B,1.1734849249857169,ANO9A,0.7799584496250476
3,KLHL22,1.0197628982630418,HUWE1,0.665141919503457,ZGC:173587,0.928436493132909,DIABLOA,0.7063487174914923,HNRNPA0B,1.035948755362887,CABZ01084942.1,1.0075749878402827,TOP1,0.7603604593050995
4,NME2A,0.9439375312254911,NCOA7,0.6079221044731996,SLC38A5B,0.8624504657812954,ARL13A,0.6722099920669704,ZGC:171775,0.9526679531950673,NR6A1B,0.7826810486470746,CHD6,0.7246608474482221
5,ZGC:173587,0.933121277790963,KIF18A,0.6037734867254595,GPRC5BB,0.7668999308884561,PITHD1,0.6520067331684936,AIM1B,0.8016657725748251,AGRP2,0.7723840419297653,ZGC:173587,0.6726196534679045
6,IL6ST,0.9250703658709021,ZGC:173702,0.6025395190709727,SI:CH211-242H13.4,0.6471283009166782,AGAP1,0.6516188800800615,DUSP6,0.7705608687115976,BAALC,0.7554383237781375,CABZ01084942.1,0.6662276655468856
7,SETD2,0.8780052698512201,NEK2,0.5970982314712886,EVI5B,0.6389116336030753,HIST2H3C,0.6098624209332958,RBBP8NL,0.7564995659883299,TA,0.7177177134945814,CRABP2B,0.6648879852415848
8,PAFAH1B1B,0.8716912582512895,DCTN4,0.5918840770243575,CYR61L2,0.636911379395727,NFKBIL1,0.5804087417389827,EPHA2A,0.7423677477909175,KLHL22,0.7037170941256587,ULK1B,0.6585757152483549
9,KCNK4,0.8097245630965403,MAP3K4,0.5839683716108264,SI:CH211-178N15.1,0.6296392962602892,SI:CH211-260E23.9,0.5772803986033195,GOLGA4,0.7331861858392466,ZGC:64022,0.7030665457055392,KMT2CA,0.6367537442256512
10,PPIG,0.806648504539757,OTUD4,0.5740647039151571,JAKMIP2,0.6111719470592196,KLHL22,0.5733090104567576,SFRP1A,0.7085245001404186,RRBP1B,0.6979676382709378,CABZ01093075.1,0.6293549414099971
11,SULT6B1,0.7939156838877235,SI:CH211-235I11.3,0.5700056550044105,FTR36,0.5969714521686273,RALBP1,0.5726203164919228,GATA2A,0.6955360728141062,WNT11,0.6854012072738676,TTLL4,0.6256444157331171
12,TCERG1A,0.7872053869206663,KLF17,0.5655206270476211,PON1,0.5776487954224732,BIRC5B,0.564618704939889,APITD1,0.6896551942298553,MGLL,0.6792362792974389,SLC44A1B,0.6240216775478468
13,SERPINE2,0.7810167063476875,SLC44A1B,0.5654877603801596,SFT2D1,0.5643630632651485,SI:CH73-46J18.5,0.5632983468826277,SI:CH1073-159D7.7,0.6832755964020347,SI:DKEY-28A3.2,0.673311669620917,NME2A,0.6192723956137963
