,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7
0,CABZ01084942.1,2.389513581921289,LYRM1,4.274522249260034,RAPGEF6,3.872063466554869,SI:CH73-195I19.3,3.199351072678942,MYO3A,3.702726508616777,ANO9A,2.222361948964093,AGRP2,2.0802447947826885,IL6ST,1.0168638623094877
1,KLHL22,1.0447936349965272,FNIP1,1.2082251044265986,HNRNPA0B,1.0142381137287568,NRXN1B,0.849371753824975,GPRC5BB,1.1725729941756717,NRXN1B,1.3750360786178972,DIABLOA,1.9832929378676991,ZGC:173587,0.9567285417156685
2,SI:DKEY-16P19.1,0.9080523578052568,CHD6,0.7517058928923808,ZGC:173587,0.9324511069128869,CHD6,0.7890131534356881,DIABLOA,0.7616272544236556,FNIP1,1.2142479105549624,TOP1,1.1881948418001729,LAMA1,0.8910896620719984
3,CPE,0.8143387260889642,HUWE1,0.6407999031920972,SLC38A5B,0.8250805430782616,ZGC:173587,0.7233670998948549,ZGC:171775,0.7475911280184366,TA,0.7949875083867793,HNRNPA0B,0.9808778660550629,PCNT,0.8542574252123778
4,TOP1,0.7744877579883723,KIF18A,0.6054678450452058,ANO9A,0.7861207611620108,ULK1B,0.6796230226800539,ARL13A,0.6652437588152071,NR6A1B,0.7764465213024867,ZGC:171775,0.9462976036692937,CPE,0.8381910572765243
5,PAFAH1B1B,0.7566960625388188,MAP3K4,0.5859204048142241,GPRC5BB,0.7081811024205131,CRABP2B,0.6632446071966007,PITHD1,0.6489757772572761,AGRP2,0.7760390038203906,AIM1B,0.7790427663383159,CAMSAP2A,0.8057021428827702
6,ZGC:171775,0.7498779167814797,DCTN4,0.5846841370896774,CYR61L2,0.6566821156705693,TOP1,0.6620979133269115,AGAP1,0.6467906537566188,SI:DKEY-28A3.2,0.7562909651383721,RBBP8NL,0.7676466079732903,SETD2,0.7856784746384446
7,CC2D2A,0.7377731231322593,NEK2,0.5832495214878443,EVI5B,0.6472558317583761,ANO9A,0.6469864147284357,HIST2H3C,0.62548053648988,KLHL22,0.7442045624476211,DUSP6,0.7610512398494182,NME2A,0.7566836935303884
8,CDC37,0.7114044403028906,ZGC:173702,0.5750529599299515,JAKMIP2,0.6328280324851058,CABZ01093075.1,0.6345001448704566,SI:CH211-260E23.9,0.6006524621745645,BAALC,0.7353901727183073,EPHA2A,0.7439826578315893,HUWE1,0.7473796214599931
9,KCNK4,0.7070652480994946,SI:CH211-235I11.3,0.57408761696306,PON1,0.6309971456602063,TTLL4,0.6305055653675948,KLHL22,0.5848670745185213,SMARCD3A,0.705517849466399,GOLGA4,0.7022330350559864,ACTL7A,0.7419004300845455
10,RAB34B,0.6934746087232561,OTUD4,0.5717453613717715,ZGC:171775,0.6274898555272884,NME2A,0.6271125307389054,NFKBIL1,0.5749400313369533,WNT11,0.7004850760118996,GATA2A,0.6877764877502472,KRT96,0.7321663156224116
11,LRP5,0.6855697198721085,NCOA7,0.570285930606326,TAOK3A,0.6112347649328262,NCOA7,0.624770534853822,SI:DKEYP-79B7.4,0.570683079554758,SI:DKEY-48G21.5,0.6596287145829375,SI:CH1073-159D7.7,0.6843957636781756,CYT1L,0.7293963811462703
12,PON1,0.6793425070690899,PGAM1A,0.5561611367021001,SI:CH211-242H13.4,0.6027328774364445,WDR21,0.6171838979541497,RALBP1,0.5676388397402423,CU655961.2,0.6572037758775928,APITD1,0.6814175589527571,CSF1RB,0.7113673167743415
13,SI:CH211-212K5.1,0.6706034157343648,KLF17,0.552189764828129,SI:CH211-178N15.1,0.5865547298849147,KMT2CA,0.602341981372004,BIRC5B,0.565340892350523,TRIM25L,0.656676659845642,ZGC:158463,0.6656480163341917,JAG1B,0.7065788389151398
14,SI:DKEY-149I7.2,0.6664023757540835,SI:CH211-194E1.8,0.5480130979666038,FTR36,0.5697379063821146,SLC44A1B,0.600638435623712,SI:CH73-46J18.5,0.5642956617354359,PCNT,0.6557474376441653,SFRP1A,0.6596909201444935,EPPK1,0.7046716529146888
15,TAOK3A,0.6590179168761541,SLC44A1B,0.5444043455672585,STK26,0.5612364544318461,MLXIP,0.5996029909812098,FSCN1A,0.554396383228282,MGLL,0.6553936281951981,BDP1,0.6583590686142767,PKDCCB,0.6996573833707631
16,PPL,0.6514897334235366,CENPE,0.543552041058333,CHD7,0.5540074209201358,OCLNA,0.589089308847963,PON1,0.5444365029414994,RRBP1B,0.6538876107931126,GMDS,0.6533525605964011,SERPINE2,0.6923897326396411
17,SI:DKEY-176F19.6,0.6412255030583641,RBM27,0.5426020721969222,RGS3B,0.5502095904111152,MCHR2,0.587728046360113,SI:DKEY-63J12.4,0.5338285624883092,CABZ01084942.1,0.6354862126643335,NEDD4A,0.6468544099091634,DDIT4,0.6884333319538808
