,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8
0,CABZ01084942.1,2.208280673128565,LYRM1,4.3919011808618835,RAPGEF6,3.997200677979058,SI:CH73-195I19.3,3.319721208733942,MYO3A,3.719290358019758,AGRP2,2.1708853722173056,ANO9A,2.037239741462307,FNIP1,2.590556980086795,ZGC:173587,1.0622566200053611
1,KLHL22,0.9625516235060056,CHD6,0.8516236462914726,HNRNPA0B,1.038527810529436,NRXN1B,0.8638956181449137,GPRC5BB,1.092059727319126,DIABLOA,1.8152654891430886,NRXN1B,1.1981313867361383,ZGC:171775,1.1299547021585437,LAMA1,0.9141673649554923
2,CPE,0.9118787917833526,NCOA7,0.6416382857568308,ZGC:173587,0.8830345916646826,ANO9A,0.8227772228608403,DIABLOA,0.7620116032750024,TOP1,1.1320670197089997,TA,0.9542211156687576,CABZ01084942.1,1.0778182564686563,HUWE1,0.7406264437545123
3,SI:DKEY-16P19.1,0.9004720298604086,KIF18A,0.6270268973662669,SLC38A5B,0.7735743390197131,CHD6,0.6772916238988458,ZGC:171775,0.6907787295622093,HNRNPA0B,0.8747157298082606,PCNT,0.9295032605204352,WNT11,0.8931506639974685,IL6ST,0.7385046143939308
4,KCNK4,0.7568982226548008,NEK2,0.5938070689179175,ANO9A,0.7497186550356817,ZGC:173587,0.6687338935641912,AGAP1,0.6612261303446024,RBBP8NL,0.8347802580934426,SI:DKEY-28A3.2,0.8583153588365894,NR6A1B,0.8424570238807789,ZGC:173702,0.7160809132727276
5,PAFAH1B1B,0.7537712764627775,MAP3K4,0.5823935715935719,GPRC5BB,0.6628334960144726,ULK1B,0.656021635438349,ARL13A,0.654804982630505,ZGC:171775,0.7987289477860742,KLHL22,0.8280963547313877,AGRP2,0.7946945981697295,ACTL7A,0.7052684991951701
6,LRP5,0.7391837747507827,SI:CH211-194E1.8,0.5712070054264441,ZGC:171775,0.6536767364620285,KMT2CA,0.6346068820660049,PITHD1,0.6492519399854241,DUSP6,0.7289702091715782,ESRP1,0.8081403842505769,ACTL7A,0.6857173783000294,SULT6B1,0.6711202840023386
7,PON1,0.7313490106977297,HUWE1,0.5711747906851067,CYR61L2,0.6370866493051138,CRABP2B,0.6327297464683304,HIST2H3C,0.6385618506675876,AIM1B,0.7238580219245101,MGLL,0.739542120753571,CHD,0.6741296632844472,CPE,0.6672450298967479
8,NME2A,0.7304856075879957,SI:CH211-235I11.3,0.5592548421297976,JAKMIP2,0.6370450225367623,MLXIP,0.6219211761164772,SI:CH211-260E23.9,0.6197522914699394,EPHA2A,0.7033529954734898,AGRP2,0.7260090500375938,PRPF8,0.6600971080665688,CAMSAP2A,0.6659026029738965
9,CDC37,0.7175203975925243,FNIP1,0.5581740059975726,EVI5B,0.6354789966512833,TOP1,0.6205951890633883,NFKBIL1,0.5893423808221572,GATA2A,0.6846738482709878,SI:DKEY-48G21.5,0.7106101351208393,SI:DKEY-58J15.10,0.6393505920842989,KRT96,0.6607014002607577
10,LAMA1,0.6942800872478903,SLC44A1B,0.5561482803942284,PON1,0.6192084878421223,CABZ01093075.1,0.6169717731347667,RALBP1,0.5747350397927926,SI:CH1073-159D7.7,0.6723939462797558,RAB35,0.6752196888386903,CR318603.2,0.63389918505906,SI:DKEY-193H7.5,0.6501302389634256
11,CC2D2A,0.6908713720086861,CENPE,0.5507811246863755,TAOK3A,0.5956231201380223,KLF2B,0.6157738550862549,FSCN1A,0.5666023752318291,GMDS,0.6693515637914788,WASH1,0.6692231391682325,PGAM1A,0.626374889478161,CYT1L,0.6470555724310485
12,TAOK3A,0.6874606524922839,DCTN4,0.5490769976001115,SI:CH211-242H13.4,0.5933272350749866,MCHR2,0.6099892640353313,BIRC5B,0.5579276000736189,GOLGA4,0.6613074777694322,EGLN1B,0.6551870022272662,FA2H,0.6121587522285993,SETD2,0.6433285946155495
13,CHD7,0.6793716476922865,KLF17,0.5464668559517282,PTGS2B,0.5692030819615315,PLEKHD1,0.6081562086545911,PON1,0.5521946359336762,ZGC:158463,0.6568189722944738,CSF1RB,0.6533058764417079,KCTD5,0.6082626893003338,ZNF1099,0.628452351483743
14,TOP1,0.675493077797502,ZGC:173702,0.5402989350457911,SI:DKEY-19C16.12,0.5631266537568965,SLC16A10,0.5855266244500276,SI:DKEYP-79B7.4,0.5426523099481491,DDX4,0.6445859539936859,CU655961.2,0.6483965464771152,POLA1,0.6080934227334663,SP5A,0.6246977354808502
15,SI:DKEY-176F19.6,0.6458304440718597,SI:CH211-130H14.6,0.5357438622258611,SI:CH211-178N15.1,0.5616586026138005,JAKMIP2,0.5849460945850016,HMGA1B,0.5408461922406141,APITD1,0.6411114191669532,BX323023.2,0.648233196729785,SCARNA6,0.6021181245684813,EPPK1,0.6227915293031185
16,SI:CH211-125O16.4,0.6338986083185896,ITSN2B,0.5117576987290943,CDK13,0.5554587980289609,SLC44A1B,0.5840503470817503,SI:CH211-235I11.3,0.5408122867698745,BDP1,0.6378751255948377,CEP350,0.6480435367268506,TNS3.2,0.5849721789320981,EVPLA,0.6208396221601006
17,POLR2A,0.6320916701204616,TOP1,0.5093992635112431,RGS3B,0.548463364054184,WDR21,0.5765653067802353,SI:CH73-46J18.5,0.5407120788229386,SFRP1A,0.6349496164304531,RRBP1B,0.6342421657846062,BAALC,0.5723436921460487,ZNF999,0.616837498990571
18,IFI30,0.6307917657677309,HAS2,0.5046495015659214,FTR36,0.5466849282975279,OCLNA,0.5737064850548997,KCNK4,0.5130735018340922,SI:CH211-113A14.8,0.6248131952936778,SI:DKEY-93M18.3,0.6071554019611495,ZGC:173587,0.5677196979478154,COPZ2,0.6166895013908191
19,LPAR2B,0.6275919383798351,CYT1,0.4990079122984942,STK26,0.5454131119742293,SI:CH211-171H4.5,0.5686582233939327,AMOTL2A,0.512728742482808,PRRC2A,0.6242484869784904,CNNM1,0.6066962090511628,ELOVL1A,0.5572806793953355,PKDCCB,0.616096054372148
20,TNFAIP8L2A,0.6237176072790978,RBM27,0.4987105846373548,CHD7,0.5403528015808555,TTLL4,0.5645164001867751,CHD8,0.5121566679654787,SI:ZFOS-44A5.1,0.6238189013828251,ANKRD12,0.5988920930649986,FTR82,0.5567679573118716,B3GNT5A,0.6153227557702694
