,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10
0,BX005448.2,1.051358286826025,LYRM1,2.485702898377644,KRT4,1.4112883797007112,TA,2.281598426023468,NANOS3,1.276506689857253,SI:DKEY-28A3.2,1.3887767231508965,SI:CH211-242H13.4,1.2217959281618078,CHD,1.8114096132204975,SI:CH1073-80I24.3,1.0530011124556036,PHLDA3,1.373102268110408,SI:DKEY-261M9.17,1.3882257141664303
1,SI:DKEY-15H14.4,1.0066837596788187,MYO3A,2.1887414050051213,KRT18,1.4013915251166313,EVE1,2.0713158172800754,TDRD7A,1.2298700464531198,JAG1B,1.1998081764129271,PRKRIP1,1.024999236436707,FOXD3,1.3353085950011556,SI:CH211-139K8.4,0.9957814159051888,MDM2,1.193132655314966,HIST2H3C,1.3054407488026427
2,GDF3,1.0017929222059863,AGRP2,2.1343843045432407,LYE,1.3847035226212563,WNT11,1.9252836524499548,HSP90AA1.2,1.1482471518602755,HS3ST3B1B,1.1842996357202569,PPIB,0.9401558328722485,ADMP,1.305115285532932,SI:DKEY-188C14.4,0.9425562276856195,SI:CH211-260E23.9,1.0472898852524002,SI:CH211-113A14.10,1.2780397188682981
3,SI:CH211-190K17.31,0.9888862618482223,RAPGEF6,2.1301705930851265,KRT92,1.367457588928228,CDX4,1.7962846709419866,DND1,1.0328184910756413,NRXN1B,1.1298309651522256,HSP90AB1,0.9023850116591611,CDH2,1.005858041225591,PRDM14,0.8543509717710341,FOXO3B,0.992219197439569,SI:CH1073-159D7.7,1.2447453550937142
4,BX324155.1,0.9800719422935029,SI:CH73-195I19.3,2.0906469502593454,MID1IP1A,1.3582864583009298,ZNF703,1.746331169143744,ACTL7A,1.0120273985995734,SI:DKEY-186O21.1,1.1281548829284518,GTF2H5,0.9006748692801687,ZIC3,0.9659960659058517,SI:CH211-222L21.1,0.8251509854585022,CTSH,0.9865973958541394,SI:DKEY-108K21.14,1.2200842512083008
5,NCALDA,0.9727327895902455,CABZ01084942.1,2.065418118437888,CLDNE,1.3422920006289616,AXIN2,1.4976803748518666,BTG4,1.0110625279085723,HSD17B2,1.098004321712259,OTUD4,0.8997452099533967,FOXB1A,0.9501967466693289,MAP2K6,0.8245449031938045,APLNRB,0.9813160531801794,ZGC:153405,1.1796207764370696
6,SI:DKEY-30F3.2,0.9483991351074232,ANO9A,2.061716823564145,KRT5,1.339027133193873,SP5A,1.4863548068719263,CA15B,0.9481297056344999,CPE,1.09222591444374,EIF5,0.8725061271846816,GSC,0.9421138634361891,UBA52,0.8244641335269502,RBL2,0.9705159017416113,SI:CH211-113A14.15,1.1778168997576477
7,RHEBL1,0.9350508171208153,ZGC:171775,1.8297212572066086,ZGC:101000,1.3280877470335137,TPBGA,1.4851909061931696,SI:DKEY-11O15.10,0.9476874007805008,SYNGAP1A,1.0846959567300691,FTL,0.8673811105598892,PRICKLE1A,0.9223159740140363,RPS15A,0.7883531818253051,SESN3,0.9455501101395138,SI:CH211-113A14.24,1.1520023551153846
8,MKRN4,0.9333879998660265,FNIP1,1.8064683909870585,SI:CH211-125O16.4,1.3217738093935139,MSX1B,1.4706419425861403,SKA2,0.8857254810891779,CNNM1,1.0755961237013447,STM,0.8442543036596696,FOXD5,0.8946624160346869,APOEB,0.7830648672801602,BCL2L14,0.8866346979132367,SI:DKEY-108K21.21,1.1259512318050418
9,CR391944.1,0.9317318279158467,TOP1,1.7844633761219508,CEBPB,1.319770469795442,MIXL1,1.3461007745777607,FHDC3,0.8755022042030896,BX546500.1,1.073016370049556,RPL12,0.834272794551185,IER2,0.8689267752446208,SI:DKEY-95P16.2,0.7799287827209064,CASP8,0.8669618884008093,SI:DKEY-23A13.15,1.09968113301643
10,ZNF1060,0.9152006823136556,ZGC:173587,1.7415752488711833,KRT97,1.3167121147827374,GBX1,1.2714497693888693,CLDNG,0.855865326796205,CAMSAP2A,1.057160728623189,SI:DKEY-234I14.20,0.8338955637590658,NOTO,0.8497913537937852,POLR3GLA,0.7715226321486489,TP53INP1,0.8340935012313636,ZGC:165555,1.0184389705041272
