,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11
0,NCALDA,1.077091265683462,LYRM1,2.487598356012046,KRT18,1.352788771239361,TA,2.2927846048651714,NANOS3,1.2826243633591337,SI:DKEY-28A3.2,1.4050714003241,SI:CH211-242H13.4,1.2334631632477389,CHD,1.7904360767577323,SI:CH1073-80I24.3,1.0636948623362763,AFP4,1.0030625764372216,SI:DKEY-261M9.17,1.4065336614534893,PHLDA3,1.3772301813361092
1,RHEBL1,1.043073352953196,MYO3A,2.1747795574407696,CLDNE,1.3414210268384037,EVE1,2.0750855379996054,HSP90AA1.2,1.1892874834267602,JAG1B,1.2125287544190684,PRKRIP1,1.0216130622270085,FOXD3,1.3418115375072606,SI:CH211-139K8.4,0.9746856002034894,SLC7A8A,0.9799177076445348,HIST2H3C,1.3175485498901227,MDM2,1.1864992362614417
2,GDF3,1.0321605151432318,AGRP2,2.14007321709852,KRT4,1.3372517686241636,WNT11,1.9319843588957812,TDRD7A,1.159283535308062,HS3ST3B1B,1.1898228128219692,PPIB,0.9212070326252896,ADMP,1.3216486505982736,SI:DKEY-188C14.4,0.9189042992999191,SLC3A2B,0.9205941284454612,SI:CH211-113A14.10,1.296779544796538,SI:CH211-260E23.9,1.0526290697129101
3,SI:CH211-190K17.31,1.0320347537291183,RAPGEF6,2.132018267201183,KRT5,1.3191805100188398,CDX4,1.8079852516741493,DND1,1.0201761033682082,NRXN1B,1.1482613796926353,OTUD4,0.916080065172127,CDH2,0.9920479210018878,UBA52,0.8368950183302158,HNF4A,0.8400459959139079,SI:DKEY-108K21.14,1.2421005513707624,FOXO3B,0.992491764889423
4,CR391944.1,1.0212818050013117,SI:CH73-195I19.3,2.085669365637073,KRT92,1.3138645260516193,ZNF703,1.756436045534169,BTG4,1.0062438537384908,SI:DKEY-186O21.1,1.1308644013431175,HSP90AB1,0.9098909653094253,ZIC3,0.9582817453857799,SI:CH211-222L21.1,0.8288966283735066,CTSLL,0.7866746802293607,SI:CH1073-159D7.7,1.2364137713424104,CTSH,0.9901543990678136
5,SI:DKEY-15H14.4,1.0109072708082893,CABZ01084942.1,2.060503163405158,LYE,1.3129367025533891,AXIN2,1.4954298481047645,ACTL7A,0.9940801758901843,HSD17B2,1.1051056293540702,GTF2H5,0.8915384850489855,GSC,0.9483099981393022,PRDM14,0.8161317210726681,SPAW,0.7649185934328547,SI:CH211-113A14.15,1.1876006909475574,APLNRB,0.9852284691586652
6,SI:DKEY-30F3.2,1.0006943774185315,ANO9A,2.053425582814478,MID1IP1A,1.2892818657147262,SP5A,1.489067229518381,CA15B,0.9446839865691806,CPE,1.0930186436343754,EIF5,0.8731468100297083,FOXB1A,0.9301236230620047,MAP2K6,0.8081823711095847,ANXA1A,0.7472442249331503,ZGC:153405,1.1789705105253787,RBL2,0.9713702265599664
7,BX005448.2,0.9761541785301083,ZGC:171775,1.8328677062783474,EPS8L1,1.2789587834296974,TPBGA,1.4817590385070054,SI:DKEY-11O15.10,0.9421525808138334,SYNGAP1A,1.0825051770146816,FTL,0.8463667679078442,PRICKLE1A,0.9088500009951543,RPS15A,0.8023789517084625,FBP1B,0.6573168124575718,SI:CH211-113A14.24,1.164437838817351,SESN3,0.9390998926140312
8,BX324155.1,0.9705485941379344,FNIP1,1.801887624854389,ZNF185,1.254572708100172,MSX1B,1.4740470597660276,FHDC3,0.8772788058766762,CNNM1,1.071413448153641,SI:DKEY-48G21.5,0.8441596090719304,FOXD5,0.8827331391604909,RPS2,0.7894968396381918,FGF17,0.6553441611566132,SI:DKEY-108K21.21,1.1249887636350555,BCL2L14,0.8904325213811598
9,BIRC5B,0.9679473123749167,TOP1,1.784624066093722,KRT8,1.2490585566522854,MIXL1,1.3553610565417118,SKA2,0.8717641596426347,BX546500.1,1.0638314915214757,SI:DKEY-234I14.20,0.8382300688820697,IER2,0.8707605044249132,PSMA4,0.7722200884639686,TELO2,0.6493062286633828,SI:DKEY-23A13.15,1.0825178172472119,CASP8,0.8668095880806347
10,BX640584.2,0.9644207178520701,ZGC:173587,1.7394121879357631,FA2H,1.247816736671981,GBX1,1.2745895549420188,CLDNG,0.8569142149555882,CAMSAP2A,1.0483498918739143,STM,0.8360970635304418,NOTO,0.8545610604767356,APOEB,0.7717928745061242,SI:DKEY-238D18.15,0.6391845570359879,ZGC:165555,1.0316989743530078,TP53INP1,0.8257764001582545
11,P4HB,0.957263843491189,DIABLOA,1.725748222651341,CEBPB,1.245062699422379,ZNF503,1.2215307642966768,BOKB,0.8463479234697182,FTR36,1.0441019839160819,U1,0.8302466852063038,ZEB1A,0.8180802280956059,POLR3GLA,0.7613955254698562,CABZ01002768.2,0.6365502876906299,SI:DKEY-261M9.11,0.9894668370152256,SESN1,0.7908155282555837
12,BZW1A,0.9554019411453532,HNRNPA0B,1.6994738220401113,ZGC:101000,1.244247812881324,DLD,1.1756532761235021,KLF2B,0.8454625717503351,GRB7,1.0333461987487707,RPL12,0.827486520520487,DACT2,0.7999852636444669,PCDH18B,0.7523084797452729,SI:DKEY-1D7.3,0.6334933571744777,FP236812.2,0.9791004297641713,ZGC:64022,0.7771974015831447
13,CR450785.2,0.9511111091470839,NME2A,1.6094646925452167,CLDN23,1.2426337930132818,IM:7138239,1.1437394128670408,ANKRD12,0.829210161471858,KCNK4,1.0078505380169556,KIAA0101,0.8153329101965732,FZD8A,0.7866374965328825,SLC38A3B,0.7424147533489779,MAL,0.6210460827362709,BX324216.1,0.9248556325065371,CDKN1A,0.7607313220450727
14,MKRN4,0.9443537683242827,GPRC5BB,1.6029534883269532,KRT97,1.2344271569671175,APOC1,1.1072264005592292,OTX1B,0.8114050527641088,SCOCB,0.9942199561863523,CDKN1BB,0.8130523022122136,DDX4,0.7663983767651843,SI:DKEY-95P16.2,0.7420851952231369,SI:DKEY-206L1.2,0.6156979662744007,SI:DKEY-261M9.15,0.9146521755422043,SLC4A2A,0.7304651768106346
15,WEE2,0.9301918497611966,HUWE1,1.426436903446823,SI:CH211-125O16.4,1.2139919432103319,ATP1B3A,1.0821655450357541,ZGC:56231,0.8017315109792683,KCTD5,0.9893539391122732,RNASEP_NUC,0.8124245685964014,GRA,0.7379659589708264,HSPB1,0.7404434884822526,SI:DKEY-85K7.7,0.6110134440902387,SI:CH73-36P18.5,0.9058386251788363,EXO5,0.7249873155174233
16,SI:DKEY-156K2.3,0.9230675142952914,PON1,1.3908823078020767,MGLL,1.2013199772260719,ZIC2A,1.0672557977024122,BMI1B,0.7977039980411973,SI:CH211-171H4.5,0.9867853424073397,SI:DKEYP-3B12.7,0.8058798580929196,CST3,0.7181744346119706,FAUA,0.739741903226474,SRRD,0.6021263552620272,ENSDART00000172356,0.9042955908000632,IGF2A,0.6981195789936274
17,ZNF1040,0.9121525724306434,CABZ01001464.1,1.3137495251598568,ZGC:193505,1.188925316563158,VED,1.0608507159962894,MID1IP1L,0.7964254336656001,NFKBIL1,0.9836616975902606,SI:CH211-117M22.2,0.8058265193949264,ETS2,0.7016420918216228,FZD7A,0.7372295742855399,MTP,0.600747812311026,HIST1H4D,0.8929732568790081,PLEKHN1,0.6893736061477488
18,ZNF986,0.8957150581414568,SETD2,1.241495839963934,EVPLA,1.1864240623607594,SP5L,1.054275434118666,RGS14A,0.7840337258701503,SI:DKEY-58J15.10,0.980583274796644,SI:CH211-194E1.8,0.8026930827666993,SP5L,0.6943266921106412,RPL35,0.7338603007614204,RAB3IL1,0.5969154639300955,ZNF995,0.8879116747070096,SI:DKEY-204L11.1,0.6705251185276848
19,FAM78BB,0.8834308389358778,KLHL22,1.2321068291617912,CLDNB,1.167696876136978,HES6,1.0516815420995758,DDX4,0.77908757851792,PLECA,0.9668881425334156,SI:DKEY-23A13.15,0.8019699529566934,TDGF1,0.6919424961707425,ZGC:109934,0.7230203041354755,SI:DKEY-206L1.3,0.5940254390754538,SI:DKEY-261M9.12,0.8831522544114876,E2F7,0.6667550606879181
20,RAC1A,0.8748253816650057,CYR61L2,1.228721539233504,FTR83,1.165134000853546,NHSL1B,1.048673865420396,CHD6,0.7764612023149339,TNFAIP8L2A,0.9661252915629335,SI:DKEY-23A13.4,0.7960350741977957,FAM13A,0.6671431987892618,LSM8,0.7198505619286785,FTH1B,0.5911759928906006,SI:DKEYP-14F10.3,0.8829312413531999,SI:CH211-239D6.2,0.6564696446725931
21,SI:DKEY-199M13.4,0.8735557275272255,SI:CH211-241E1.5,1.2124051607613877,FUT9B,1.1609756764685701,PRICKLE1B,1.0244552472760322,ZGC:158852,0.7594429552467639,JAKMIP2,0.9657716363894454,SI:CH211-7C8.2,0.7905447367804634,AMOTL2A,0.6447355526706737,SI:DKEY-16M19.4,0.7193378743165978,TSG101A,0.587033841706428,ZGC:158463,0.881851590767397,SNX11,0.6503349943392644
22,THY1,0.8707834532524644,PCNT,1.2065413094860757,PLEKHF1,1.1422365364472815,HER1,0.9937021824004918,SLC25A25A,0.7555964702583574,GBP3,0.9602614897600211,TOP1L,0.7805555116959052,SOX2,0.640597162791068,SOX2,0.7146243004916024,ZGC:152652,0.582614856527029,SI:DKEYP-3B12.10,0.8597587734775931,ISG15,0.6471633074277456
23,OCLNA,0.8696386736861829,SI:DKEYP-79B7.4,1.188105995711316,GRHL3,1.1390115185501655,MSX3,0.9838295462204814,BCL2L10,0.7445467407405892,RHD,0.9333770727531964,CLDND,0.7777041170461488,RASGEF1BA,0.6396616758671023,ADD3B,0.7125633616450993,FTR82,0.5633303255617209,TM4SF19,0.8487491329044656,BCL3,0.6448845781948389
24,MAF1,0.8693862937868043,POLR2A,1.1756043240807048,PERP,1.1266986932067136,ARL4AB,0.9582861338114051,RAD18,0.7216932085911449,UPK1A,0.9283367090483973,CLIP4,0.7725523217565936,KIF26AB,0.6182104153935077,NNR,0.7111224079821071,SI:CH211-117I10.10,0.5569972981171507,OTUD4,0.8454282018674404,RASL11B,0.6432518438726432
25,ZNF1060,0.8677736289960197,NRXN1B,1.1660220465085436,SI:DKEYP-67A8.4,1.1182686872476888,SZL,0.9447251917507166,RPAIN,0.7202859676943245,RNF213,0.9192699743682207,EPCAM,0.7699605878006877,SESN3,0.6138503317008026,RPLP1,0.7109070274694842,NR0B2A,0.5429506257947394,ZGC:163040,0.8412989896567661,LNX1,0.6262437150482063
26,SKP2,0.8635877161703185,ASPM,1.1626443353758604,ZGC:153911,1.115273039302086,LEF1,0.9351538744214344,RRBP1B,0.7192280083753754,BAALC,0.9180941645861536,C1QB,0.7697758507523014,NET1,0.6107418817537078,GNL3,0.7107392761351433,FZD7A,0.542881432097001,SI:CH211-113A14.16,0.8380972030729954,FOXI1,0.6250357166916622
27,SI:CH211-271G18.4,0.8552807146354537,MLXIP,1.1594719047012711,STYK1,1.1032595257314064,ZNFL2A,0.9351187134035078,FKBP8,0.717487792819813,RNF220B,0.9057732750306733,SI:DKEY-153M14.1,0.7651050275541318,HIGD1A,0.6105264758964074,SI:DKEY-108K21.27,0.7103216015806891,WDTC1,0.5425828733805202,SI:DKEY-97L11.1,0.8374404429479847,RGS20,0.6170552286254397
28,ASB11,0.8520068440795631,ZNF1068,1.1522850264459543,ELOVL1A,1.102120814838351,WNT8A,0.9043779704298895,SI:RP71-45K5.2,0.7154140085399923,ARID3A,0.9011121987954496,SNRPD3,0.7519067055316887,LRIG3,0.6082275255477414,H2AFX,0.7096065101942404,CABZ01117575.1,0.5387809048397338,SI:CH73-36P18.2,0.8370328603941954,RPS27.2,0.6169410384724123
29,DDX17,0.849586290844907,CPE,1.145775173703661,CYT1,1.0936683580181081,LAMB1A,0.891866557222409,NCOR2,0.7138304735007956,NR6A1B,0.8998115796412268,SI:DKEY-13I19.8,0.7491140788738335,CABZ01084942.1,0.6025890658819892,RPL26,0.7095962503865825,KLF17,0.5369359956474583,ZGC:173652,0.8315780303808575,GADD45AA,0.5795290241932548
