,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12
0,GATA2A,1.3000723325264514,LYRM1,2.661539562214994,KRT4,1.3421880411411937,TA,2.3666956675327664,NANOS3,1.434690616579164,SI:DKEY-28A3.2,1.3858426099405634,SI:CH211-242H13.4,1.3912829910291473,ADMP,1.207608137451829,SI:DKEYP-3B12.6,1.0197437086975136,PHLDA3,1.3878450905074973,SI:DKEY-261M9.17,1.6214806247041864,RHEBL1,1.3045676015276464,SLC7A8A,1.0834184763625077
1,SZL,1.2232171789685027,CABZ01084942.1,2.3613644735209047,KRT92,1.333829792845295,EVE1,2.10856094155681,HSP90AA1.2,1.1782520584518743,CNNM1,1.1132158242653654,SI:DKEY-234I14.20,0.9706291063652029,PRDM14,1.2046363786229146,OTUD4,1.0014465022265886,MDM2,1.1676667930145321,HIST2H3C,1.363298074965365,GDF3,1.2304484246880691,AFP4,1.0714542206116313
2,BMP4,1.127244283239414,AGRP2,2.3372915982888367,KRT18,1.328041037789986,WNT11,1.960013741393464,TDRD7A,1.1631682419233587,JAG1B,1.1067031532288925,SI:DKEY-48G21.5,0.9267165368566712,ZIC3,1.183034980105991,SI:CH211-113A14.16,0.9906580985785625,SI:CH211-260E23.9,1.0971061239877795,SI:CH211-113A14.10,1.270299169222358,BZW1A,1.163941090416863,SLC3A2B,1.0533208889994472
3,BMP7A,1.1172847387416132,MYO3A,2.305045612378645,CLDNE,1.3240854682420449,CDX4,1.8320182801476055,DND1,1.0502496887913304,HS3ST3B1B,1.0931525605807475,RNASEP_NUC,0.91032659806704,SOX2,1.0208553215099856,SI:DKEYP-3B12.10,0.9505850952843625,APLNRB,1.027684696754066,SI:DKEY-23A13.15,1.1545061610889595,NCALDA,1.117128964111094,SPAW,0.9237227386844168
4,APOC1,1.0994409108695262,RAPGEF6,2.297036895279891,KRT5,1.321099845929675,ZNF703,1.7922784936787879,BTG4,1.0070433054225165,SYNGAP1A,1.0552218705268381,PGAM1A,0.8191282159624681,LFNG,1.0103016365390358,SI:DKEY-23A13.4,0.9450334223282073,FOXO3B,1.017755616276533,ZGC:153405,1.1543129596765174,P4HB,1.1052677169188339,CTSLL,0.8817665334329925
5,TFAP2C,1.0499029256922123,SI:CH73-195I19.3,2.2429322874509108,EPS8L1,1.292146613904532,AXIN2,1.5632269571232096,CA15B,0.9961650654595867,SI:DKEY-186O21.1,1.0266643825229225,PPIB,0.7957010999189135,FOXD3,0.9945478090388788,SI:DKEY-153M14.1,0.9038291677155258,RBL2,0.9974311612608695,SI:DKEY-108K21.14,1.1469456332544459,FAM78BB,1.064441686638397,HNF4A,0.8187205396078471
6,KIF20A,1.0106670451268494,ZGC:171775,2.0597242581091417,EVPLA,1.279103527092567,TPBGA,1.4877659462096893,ACTL7A,0.9856956091680553,NRXN1B,1.0255565205765838,EIF5,0.7878378554104627,PRICKLE1A,0.95539116458732,H2AFX,0.9002754025657098,CTSH,0.9852242940622467,SI:CH211-113A14.24,1.0991197010011673,MKRN4,1.0579168562574834,ANXA1A,0.7890864936203108
7,FOXI1,1.0036069618634451,TOP1,2.010864912682705,KRT97,1.2698991478043133,SP5A,1.4796845185323941,SI:DKEY-11O15.10,0.9544768052361524,CAMSAP2A,0.9969898438602576,SI:CH1073-190K2.1,0.7790251958107005,CHD,0.9518578166406431,SI:CH1073-159D7.7,0.8933280357802277,SESN3,0.921259295069172,ENSDART00000129497,1.0516001419297965,SI:CH211-190K17.31,1.054762235154431,SI:DKEY-238D18.15,0.7526772411512468
8,CBFA2T2,0.9770320756984849,ANO9A,1.9985267213215105,FA2H,1.2552578698903605,MSX1B,1.4471807838891677,SKA2,0.8943538937052949,BX546500.1,0.9933917642276721,EPCAM,0.7644224922839536,TIAM1B,0.9239864112010658,ZGC:158463,0.8919961543774835,BCL2L14,0.901226170079485,ZGC:165555,1.0289105372301743,SI:DKEY-15H14.4,1.0472105935865639,ABCA1B,0.7379586516360657
9,ARID1AB,0.9569227536028722,DIABLOA,1.9388555505885092,MID1IP1A,1.251692898864687,MIXL1,1.3742231910427065,CLDNG,0.8373074808251277,HSD17B2,0.9875184446587808,CLDND,0.7598249220024024,SP5L,0.8873693194223028,KIAA0101,0.8913329068028661,TP53INP1,0.8948490120110414,SI:CH1073-159D7.7,1.0153469821630234,SKP2,1.037365367980264,FGF17,0.7311282807544028
10,BAMBIA,0.9153853077410304,FNIP1,1.8368295743971668,ZNF185,1.241924651043937,GBX1,1.3184117952913375,BOKB,0.8321021051539095,FTR36,0.982404832941675,SI:DKEYP-55H4.2,0.7597564863271762,SLC38A5B,0.8780687926233305,PRKRIP1,0.8798070148739251,CASP8,0.8591381438135743,SI:DKEY-261M9.15,0.9695476422268542,CR391944.1,1.0343829872257424,FBP1B,0.7243888795562772
11,PCM1,0.9147333065788881,NME2A,1.822913129083395,LYE,1.237807270960116,ZNF503,1.2510870689959435,FHDC3,0.8295781064308398,PLECA,0.9774925619956428,PRKRIP1,0.7595144560251745,PCDH18B,0.8724492478430422,SI:CH211-113A14.10,0.869660717050947,SESN1,0.8175974050145327,SI:CH211-113A14.15,0.9619064876807998,BX640584.2,1.0120820100431394,NR0B2A,0.7051101806328143
12,KLF2B,0.9096550718419915,GPRC5BB,1.756313952904839,MGLL,1.2325969404199753,ZIC2A,1.1407563925214934,BMI1B,0.8292518500847903,SI:CH211-171H4.5,0.954045317285965,CPN1,0.7225767142309035,OTX1A,0.8705495552876291,SI:DKEYP-3B12.7,0.8646596586134434,CDKN1A,0.7898933455943288,SI:DKEY-261M9.11,0.898862699646766,RBM4.3,1.0059524776270037,CST3,0.681503997690374
13,SFRP1A,0.9028980355175709,HNRNPA0B,1.6947887763243934,CLDN23,1.2249692415768416,IM:7138239,1.1343586050579935,ZGC:56231,0.8039123032992437,CPE,0.9458739364986818,SI:DKEY-13I19.8,0.7221327385374189,PKDCCB,0.855052609129299,HSP90AB1,0.8630647475660425,ZGC:64022,0.7374627273773607,SI:DKEY-108K21.21,0.8670687761396622,SI:DKEY-30F3.2,1.0022774077320151,CHD,0.6775668820177263
14,VED,0.8997895232280099,ZGC:173587,1.6155217918008742,ZGC:101000,1.2243544890100875,DLD,1.1172446205880844,DDX4,0.8007356820963765,GRB7,0.9275227755141094,ZGC:173742,0.7192635053206866,FZD8A,0.8517337539348434,CLIP4,0.8627349805213143,SLC4A2A,0.7237536758779809,GBGT1L4,0.803501989279284,ZNF986,1.0020572784522261,SI:DKEY-85K7.7,0.6740872091850982
15,VENT,0.89570780412746,PON1,1.454483313868464,KRT8,1.2177421438139135,APOC1,1.1097803009649803,SLC25A25A,0.7913947500020464,KCNK4,0.9222847589744482,GTF2H5,0.7100849718143288,CDH2,0.822611075318973,RPL39,0.8517588352638581,EXO5,0.7220751409445862,HIST1H4D,0.783805355302607,WEE2,0.9962880908409967,MTP,0.6388185996414494
16,UBR5,0.8793766720903106,KLHL22,1.4128339799198926,SI:CH211-125O16.4,1.2169011289428184,NHSL1B,1.0981716437749824,RGS14A,0.7848716512868658,TNFAIP8L2A,0.9180541486307415,CDKN1BB,0.6967796469022683,SI:CH211-139K8.4,0.8097623581378867,PSMA4,0.8366612304946207,SNX11,0.698426858957595,SI:DKEYP-14F10.3,0.7437515121476228,BIRC5B,0.9794412227641913,CABZ01117575.1,0.6237848406288605
17,ZNF995,0.878050388966579,CABZ01001464.1,1.3781497800191553,CEBPB,1.1958230065662896,SP5L,1.0582413737103564,MID1IP1L,0.7791135255069782,NFKBIL1,0.9003488467621606,IFI30,0.6894252954627816,EFNB2A,0.8015210689008658,U1,0.8309465400886358,SI:DKEY-204L11.1,0.6905932300181746,BX324216.1,0.7277082440460875,ADGRE10,0.9754121469435193,TSG101A,0.6192489581718501
18,LFNG,0.8771105293730797,SI:CH211-241E1.5,1.353507531775633,FUT9B,1.1881041908136116,VED,1.0353586306262592,CHD6,0.7691183711427594,RHD,0.8687020572418419,EMC6,0.687035792956573,SI:DKEY-188C14.4,0.7957804068849774,RPS17,0.8294202673903749,IGF2A,0.6741471808638935,SI:DKEY-146C18.5,0.7176619841553513,SI:DKEY-16M19.4,0.9721349877344466,MAL,0.6114033987017153
19,CLUHA,0.8742951682354853,NRXN1B,1.346120063170335,FTR83,1.1823746147843208,ATP1B3A,1.0102896832743804,OTX1B,0.766402194193718,SCOCB,0.8671569828191427,FXYD6,0.6853847283692684,ZEB1A,0.7930499709621794,ZGC:113984,0.8263951984980848,E2F7,0.6738991980366721,TRIM105,0.7144156918633355,PRMT1,0.9720200174133451,CABZ01002768.2,0.6032888072616445
20,BMP2B,0.8592192059783739,SI:CH211-168H21.2,1.2923986000915701,SI:DKEYP-67A8.4,1.1691167408114194,HES6,0.9881661241236949,ZGC:158852,0.7551548660588677,CABZ01009880.1,0.8611957121633897,GSTO2,0.6799119108406246,KIF26AB,0.7889726946715774,RPL35,0.8201761853523556,SI:CH211-239D6.2,0.6708207043724496,SI:CH211-113A14.18,0.7139637996007213,RAC1A,0.9706731937222184,SOX32,0.5973450556813499
21,KAZALD2,0.8539514204335046,DDC,1.2882770246682738,ZGC:193505,1.1564315045460858,HER1,0.978586802597127,ANKRD12,0.7537821215500542,KCTD5,0.8587402514588791,DUT,0.6781044952352863,CERS2B,0.7887271322075149,UBA52,0.8193468947174076,BCL3,0.6593909217944021,SI:CH73-36P18.5,0.712568123523838,CR450785.2,0.9695850513112564,TELO2,0.5916432067643995
22,MAP3K1,0.8503736067116154,CYR61L2,1.2814422839715958,CYT1L,1.1517555274084266,PRICKLE1B,0.975725908908797,SI:RP71-45K5.2,0.7531635898827208,SI:DKEY-58J15.10,0.8579591405418073,FTL,0.6726018878161483,MCM6,0.7866583127328916,RPL27,0.8190668338448155,PLEKHN1,0.659162116732254,SI:CH211-113A14.26,0.6712649914276595,SI:DKEY-199M13.4,0.9694889246587824,LYE,0.5811680985700317
23,LRRC8C,0.845138910221813,CPE,1.270861500799571,CLDNB,1.1389081227306377,ARL4AB,0.9738925574005435,SI:DKEY-163F14.5,0.7366232375786622,ARID3A,0.8516134008053758,SI:DKEY-5I16.2,0.661820671320704,EPHA2A,0.7844090416163831,RPS13,0.8131523019172782,ISG15,0.6558997062434753,BX511215.1,0.6562317876468755,TSR2,0.9691929537508726,FTR82,0.5704130410649011
