,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13
0,GATA2A,1.173211974913837,LYRM1,2.5761443136246465,KRT4,1.3721442776515407,TA,2.3621505484669973,NANOS3,1.4033505138171802,SI:CH211-242H13.4,1.357572556327793,SI:DKEYP-3B12.7,0.8946716939437266,CHD,1.700696583935609,SI:CH1073-80I24.3,0.8678453998032029,SI:DKEY-28A3.2,1.245773068885897,SI:DKEY-261M9.17,1.7131197338106354,PHLDA3,1.3772640812206618,RHEBL1,1.0890299079181462,TELO2,0.7459218615998541
1,BMP4,1.1071668810513267,MYO3A,2.333816528471308,KRT18,1.355900113944125,EVE1,2.0992918556235143,TDRD7A,1.20749614801536,SI:DKEY-234I14.20,0.9939490881506496,KIAA0101,0.8492396323144057,FOXD3,1.3574290675251655,SI:DKEY-95P16.2,0.8096572224639708,BX546500.1,1.0863873226958796,HIST2H3C,1.4923535403825534,MDM2,1.1585815603493073,GDF3,1.0697574122202413,AFP4,0.7052333898879354
2,APOC1,1.0766438708858763,RAPGEF6,2.299756949242299,CLDNE,1.3449606826213245,WNT11,1.9361717810191168,HSP90AA1.2,1.1513291688015843,SI:DKEY-48G21.5,0.9542594241492146,PRKRIP1,0.8252206540294459,ADMP,1.352495722731055,SI:DKEY-16M19.4,0.7821114606139107,PLECA,1.0681247489187178,SI:CH211-113A14.10,1.3862060659158453,SI:CH211-260E23.9,1.076256523491772,SI:DKEY-15H14.4,1.0184683143108082,SRRD,0.6735105925322867
3,BMP7A,1.040079235138726,CABZ01084942.1,2.2399776737233252,KRT5,1.3345932203549673,CDX4,1.8104446781511143,DND1,1.0716760915873846,RNASEP_NUC,0.9000076837596174,OTUD4,0.8221413599431763,ZIC3,1.1593059904602538,MAP2K6,0.7415528782185584,SYNGAP1A,1.0629919141463406,ZGC:153405,1.203843801905423,APLNRB,1.0078939179978808,P4HB,1.009417420311563,SI:CH211-117I10.10,0.655188769789709
4,SZL,1.0086755101485825,SI:CH73-195I19.3,2.2133653376082805,MID1IP1A,1.3198944199580196,ZNF703,1.7676531452533626,ACTL7A,0.9955264410276932,PGAM1A,0.823669825118828,HSP90AB1,0.814356951706334,PRICKLE1A,0.9178367431416042,SI:CH211-222L21.1,0.7279525663383195,JAG1B,1.0622312993461975,SI:DKEY-108K21.14,1.1978485369659366,FOXO3B,1.0031384326310215,NCALDA,0.9965865916127749,TSG101A,0.6551740843675482
5,ARID1AB,1.0060942235566783,AGRP2,2.1893396897165904,KRT92,1.3166328916169383,AXIN2,1.5100547565304332,CA15B,0.9857357548107959,SI:DKEYP-55H4.2,0.8221773219345343,SI:CH211-113A14.10,0.7898193971152039,FZD8A,0.9137362121381324,POLR3GLA,0.7251522532570963,CAMSAP2A,1.0597728825091954,SI:DKEY-23A13.15,1.192173921591928,CTSH,0.9879323894805964,BIRC5B,0.9953393647067557,SLC3A2B,0.654048779289992
6,CLUHA,0.9943800904693981,ZGC:171775,2.0255227537355474,LYE,1.311402446667287,MSX1B,1.4582686466408716,BTG4,0.9845638864387795,SI:CH1073-190K2.1,0.7773881027419258,SI:DKEYP-3B12.6,0.7885852067655008,ZEB1A,0.8774586335841191,SI:CH211-195B11.4,0.7239815390592503,CNNM1,1.0331298132657734,SI:CH211-113A14.24,1.159505246662027,RBL2,0.9836357774343315,SI:CH211-190K17.31,0.9890295380135068,FGF17,0.649165999123488
7,FOXI1,0.991077622699353,ANO9A,1.999142896874414,EPS8L1,1.285744521342356,TPBGA,1.4513301602436608,SI:DKEY-11O15.10,0.9029866916704888,SI:CH211-268B13.3,0.7409972643070796,SI:DKEY-261M9.15,0.7824188303496654,SESN3,0.8714709220942972,SI:ZFOS-44A5.1,0.7084982956425883,HS3ST3B1B,1.015090884839548,SI:CH1073-159D7.7,1.1203201277784032,SESN3,0.8882933807160626,BZW1A,0.9819527097775071,RAB3IL1,0.6349642946606424
8,PCM1,0.9897123366418689,TOP1,1.9817247303556609,KRT97,1.2693077466946687,SP5A,1.442902510710297,SKA2,0.8581202559771784,EIF5,0.7311279723770355,RPS17,0.7597055441165053,FOXB1A,0.86771872834423,SOX2,0.7048997925270355,NRXN1B,0.9763363913163544,SI:CH211-113A14.15,1.1184797523821652,BCL2L14,0.8875574582385265,MKRN4,0.9755175709846298,SLC7A8A,0.6311822926557763
9,CBFA2T2,0.9799606201256554,DIABLOA,1.9432942772105377,ZGC:101000,1.2686843816583335,MIXL1,1.351121775815272,BOKB,0.8548320450710076,PPIB,0.7292192239026655,SI:DKEY-261M9.17,0.7547332739476313,FOXD5,0.864175264574477,PRDM14,0.6947110499070481,SI:DKEY-186O21.1,0.9587628938680953,ZGC:165555,1.1046194689735958,TP53INP1,0.870195498713091,SI:DKEY-30F3.2,0.9577118537329141,SI:CH211-235I11.3,0.627491587817096
10,TFAP2C,0.9600181068455584,FNIP1,1.8236796674335436,CLDN23,1.267190161914568,GBX1,1.2826227073968404,FHDC3,0.8266468728967327,CPN1,0.7282986658056237,SI:CH211-113A14.16,0.7536995751139453,GSC,0.8372813997722669,UBA52,0.6868060039766323,HSD17B2,0.9361453579089004,ENSDART00000129497,1.0451324184739548,CASP8,0.8596712070970862,BX324155.1,0.9530785725754609,FTH1B,0.627213846753959
11,UBR5,0.9172201793300476,NME2A,1.7790897780116028,KRT8,1.2600194452702806,ZNF503,1.2313534941354285,DDX4,0.823638554957279,CR388042.3,0.6917942374849552,STM,0.7473590477815097,CDH2,0.8319338394876213,SI:CH211-139K8.4,0.6683611843437159,CPE,0.9228772667686358,SI:DKEY-261M9.15,1.0290955080407547,SESN1,0.8058795238827032,CR391944.1,0.9305815390731865,WDTC1,0.6252074504382602
