,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14
0,RHEBL1,1.0925358422724876,LYRM1,2.5901974290417487,KRT4,1.3689867892279404,TA,2.3851145978658943,NANOS3,1.561157892212369,SI:CH211-242H13.4,1.3705364571813992,SI:DKEYP-3B12.7,0.87629790269894,CHD,1.543788874590099,SI:CH1073-80I24.3,0.8209062751955324,SI:DKEY-28A3.2,1.1491339899844673,SI:DKEY-261M9.17,1.6651316520018784,PHLDA3,1.3830637929406624,HSP90AA1.2,1.80927078520334,TELO2,0.748106743924863,GATA2A,1.1767400470447138
1,SI:DKEY-199M13.4,0.975423732324563,MYO3A,2.3249430485421136,KRT18,1.3564688440787447,EVE1,2.0937734966143924,TDRD7A,1.3971896610551124,SI:DKEY-234I14.20,1.0101640446189049,KIAA0101,0.8630573512360824,ADMP,1.3516943676669615,SI:DKEY-95P16.2,0.8165483669883283,BX546500.1,1.1095454740929285,HIST2H3C,1.4393309155468228,MDM2,1.1663447586928575,HSP70.3,1.1821406279033528,AFP4,0.7330164504232656,BMP4,1.1269027752169738
2,GDF3,0.9732966540759428,RAPGEF6,2.297603107228387,CLDNE,1.34188520835231,WNT11,1.932681508159003,DND1,1.3696300012395015,SI:DKEY-48G21.5,0.9658844102251861,PRKRIP1,0.8329545439337727,FOXD3,1.3363475325833811,SI:DKEY-16M19.4,0.7990005545332959,SYNGAP1A,1.1086300272128498,SI:CH211-113A14.10,1.3464935790667398,SI:CH211-260E23.9,1.0867425237528117,HSP70.1,0.8619992734647259,SLC3A2B,0.6809712746188085,APOC1,1.1060257481655456
3,SI:DKEY-15H14.4,0.9618547680100524,CABZ01084942.1,2.229809194917053,KRT5,1.3371609111958798,CDX4,1.824647264027691,ACTL7A,1.3220878461018228,RNASEP_NUC,0.8915446325971201,HSP90AB1,0.8124954248944376,ZIC3,1.1912884538739925,SI:CH211-195B11.4,0.7435623765208866,PLECA,1.075086959271853,ZGC:153405,1.172470714565618,APLNRB,1.0206121055702058,CABZ01080568.1,0.7867645514221887,SRRD,0.6646772213476703,SZL,1.1034862698937522
4,NCALDA,0.9554274169134577,AGRP2,2.200242828737923,MID1IP1A,1.3203518811043877,ZNF703,1.7889752830819903,DDX4,1.146417347590261,SI:DKEYP-55H4.2,0.8356624446363904,OTUD4,0.8092807872206198,PRICKLE1A,0.9623699997707581,MAP2K6,0.7266592527642007,JAG1B,1.0275770060007907,SI:DKEY-23A13.15,1.1443048013356525,FOXO3B,1.0097730783416565,HSP70.2,0.7551844228245673,SI:CH211-117I10.10,0.6589659308150098,BMP7A,1.0308533050722744
5,BIRC5B,0.9385814314247344,SI:CH73-195I19.3,2.1980907647443337,LYE,1.311394921358369,AXIN2,1.517745188849015,CA15B,1.0605856732063625,PGAM1A,0.81577430966565,SI:DKEYP-3B12.6,0.7764906293551295,SESN3,0.9201685063112658,SI:CH211-222L21.1,0.7133203471396479,CAMSAP2A,1.019956817589988,SI:CH211-113A14.24,1.1259468665167478,CTSH,0.9957356584465963,HSPA4A,0.6659751486270892,FGF17,0.6574176477413798,ARID1AB,0.9965849797596386
6,P4HB,0.9372069535159194,ZGC:171775,2.029645712827529,KRT92,1.3002207159134946,SP5A,1.479118984254868,RGS14A,0.9740870551051022,SI:CH1073-190K2.1,0.7999880224915072,SI:DKEY-261M9.15,0.7756523705936259,FZD8A,0.8860931936669649,ENSDART00000172356,0.7109197872098642,HS3ST3B1B,0.9871273197753817,SI:DKEY-108K21.14,1.1204193275610415,RBL2,0.9914794592724249,SERPINH1B,0.6587675867861409,TSG101A,0.653639223037969,CLUHA,0.9918532573302878
7,SI:CH211-190K17.31,0.9150658139418637,TOP1,1.9861043283683641,EPS8L1,1.276017004899547,TPBGA,1.4665642078200027,GRA,0.9234417348533704,SI:CH211-268B13.3,0.7624731817783715,RPS17,0.770158948123902,ZEB1A,0.8724329589206175,POLR3GLA,0.704713388382327,NRXN1B,0.9581851193695269,SI:CH1073-159D7.7,1.066058792800109,SESN3,0.9069057035973178,ZNF1031,0.6493805964795154,SLC7A8A,0.6532563089873124,FOXI1,0.9858134378327492
8,BZW1A,0.9119825505459975,DIABLOA,1.9526614588169922,CLDN23,1.2687701418913697,MSX1B,1.4513676848234027,BTG4,0.8874944133043979,EIF5,0.7466703809299728,SI:CH211-113A14.10,0.7695928649438097,CST3,0.8595592396812866,SI:ZFOS-44A5.1,0.703716606487584,CNNM1,0.9520118812524897,SI:CH211-113A14.15,1.0548783570249651,BCL2L14,0.8873729712994423,ADGRE10,0.6465812233330993,RAB3IL1,0.6409536056651565,CBFA2T2,0.9572376115631712
9,MKRN4,0.9027919620937329,ANO9A,1.950543227207417,ZGC:101000,1.2674251431562464,MIXL1,1.367111976747839,SKA2,0.8124327586572823,CPN1,0.7332494504517622,SI:DKEY-261M9.17,0.7628132680505474,CDH2,0.8256092957891223,SI:DKEYP-3B12.10,0.6873481840326033,HSD17B2,0.9339871140215972,ZGC:165555,1.0514674705440188,TP53INP1,0.8665534987573736,SI:DKEY-146C18.5,0.6426345925157855,FTH1B,0.6361575966486107,TFAP2C,0.9356692022818386
10,SI:DKEY-156K2.3,0.9005736965622738,FNIP1,1.8380728360528904,CEBPB,1.2554356442262213,GBX1,1.302093327070298,ICE1,0.7716412515262471,PPIB,0.7277153554294153,SI:CH211-113A14.16,0.7521698878320016,NOTO,0.8242828359201307,SI:DKEYP-3B12.12,0.684557026289881,SI:DKEY-186O21.1,0.9258357708819596,ENSDART00000129497,1.0445129476219317,CASP8,0.8573702847594811,TMEM205,0.6075543795027517,WDTC1,0.620523769713445,UBR5,0.9317380241163884
11,SI:DKEY-30F3.2,0.8990556206615453,NME2A,1.7671150161890756,KRT97,1.2548354390368877,ZNF503,1.2290345533626965,SI:DKEY-11O15.10,0.7638693913400427,SI:DKEY-122C11.4,0.709539181280653,STM,0.7496189030830147,FOXD5,0.823657882285977,SI:CH211-113A14.16,0.679819153787393,CPE,0.9145716916011316,SI:DKEY-261M9.15,0.989485793312442,SESN1,0.8083104853365468,KAZALD2,0.6000616085838391,SI:CH211-235I11.3,0.6150543356842001,PCM1,0.9214972046458615
12,CR391944.1,0.887751554988558,HNRNPA0B,1.7353404001713555,KRT8,1.2543586823647532,APOC1,1.1447329030772948,NEK2,0.756277797860238,SI:DKEY-5I16.2,0.7082065243725281,CLIP4,0.746368791763739,PRDM14,0.8151765731339966,SI:CH211-130H14.6,0.6781882429342507,GBP3,0.8967431183592703,SI:DKEY-108K21.21,0.9143779664195559,CDKN1A,0.7830057723281394,TAOK3A,0.5968093935328715,HNF4A,0.6124277888509563,IPO9,0.8856074481298708
13,BX324155.1,0.8859102965345351,GPRC5BB,1.7248290905138632,SI:CH211-125O16.4,1.247812589605328,DLD,1.1233418555140087,OTX1B,0.7556653392857221,CR388042.3,0.7069260048508371,SI:CH211-117M22.2,0.7426839739830035,FOXB1A,0.7840255575480743,UBA52,0.676675245591403,SLC7A8A,0.8885223518941507,SI:DKEY-261M9.11,0.9085679110832685,ZGC:64022,0.7565328619539615,SI:DKEY-221L21.2,0.58709596518184,ZGC:113425,0.5992165551909794,KIF20A,0.8422670471084871
14,CR450785.2,0.8653323800855169,ZGC:173587,1.5856466686273802,CLDNB,1.2315591695468617,ZIC2A,1.1152643930742903,BOKB,0.7523543065639892,FXYD6,0.6892310803518638,TMEM258,0.7394691863848086,NET1,0.7771391327846247,KRT97,0.6619413412301359,NFKBIL1,0.8862987955203911,HIST1H4D,0.8187053620964466,EXO5,0.7294935577919086,ZGC:56231,0.5866241356723022,SI:DKEY-93M18.3,0.5948541155646735,CAPRIN2,0.8363176586040943
15,SKP2,0.8588425448421876,PON1,1.5194072702894679,FA2H,1.225328187829875,VED,1.1113503513141305,KLF2B,0.742842552075777,EPCAM,0.6887742181941797,SI:DKEY-23A13.4,0.736809847496996,LFNG,0.7600441263985904,SI:DKEY-23A13.4,0.6614934061443543,SI:CH211-171H4.5,0.8729338258971291,GBGT1L4,0.7889471167842945,SLC4A2A,0.721799744573622,SI:RP71-45K5.2,0.5667139700194087,FBXO30A,0.5907858387705216,VED,0.8305035377605343
16,SI:DKEYP-114G9.1,0.8501761912184084,KLHL22,1.3852599013043903,ZNF185,1.2091942637036317,IM:7138239,1.1073703119869907,BMI1B,0.7367211350381567,SI:DKEY-193H7.5,0.6858791690766707,SI:CH211-194E1.8,0.7310655248017954,SOX2,0.7432207534937597,CNIH4,0.6610651460984338,KCNK4,0.8715124638839596,BX324216.1,0.7616327366756241,SNX11,0.6968280012739165,UGCG,0.5597555254414379,SLC9A8,0.5872940032902418,ABCA5,0.8178581276876319
17,PRMT1,0.8469348128990797,NRXN1B,1.3678591379728975,MGLL,1.2084746171887173,NHSL1B,1.030282831811351,ZGC:158852,0.7346016483659386,SI:DKEY-19C16.12,0.6852403184692314,PSMA4,0.7293207167964395,GSC,0.7415226856927225,RPL6,0.659172536282707,GRB7,0.8573574002374564,TRIM105,0.7613464810966254,SI:DKEY-204L11.1,0.6834538068426523,ZNF1060,0.5577476990520228,ANXA1A,0.5865820207986578,KAZALD2,0.8117154605755672
18,RAC1A,0.8248341307310251,CABZ01001464.1,1.3329356658661131,EVPLA,1.198707744710517,ATP1B3A,1.0163745103974664,WDR62,0.7218453270346791,DUT,0.6847215993714143,SI:CH211-272F15.5,0.7273237722657445,TDGF1,0.7354798886882746,FAUA,0.6555573700621542,TNFAIP8L2A,0.8472547581049288,SI:DKEY-146C18.5,0.7537232944688544,SI:CH211-239D6.2,0.6751696717692348,SI:DKEY-11O15.10,0.5477204679643057,SI:DKEY-1D7.3,0.5800578888111735,VENT,0.7988932628667802
19,BX640584.2,0.8182389539353888,SI:CH211-241E1.5,1.3189813564642738,GRHL3,1.1781156226949656,SP5L,1.001738996378941,TRIM35-29,0.7171414012478258,IFI30,0.6750349059230472,RPL39,0.7196718017673644,TCF7L1A,0.728501930476142,ZGC:158463,0.6540936833314719,BAALC,0.8417397638542743,SI:CH211-113A14.18,0.7451945261599595,IGF2A,0.673472209195558,SI:DKEY-261J4.3,0.5409226861888026,MAL,0.5749698107269773,HIST1H2BA,0.7945079683093508
20,BX901907.2,0.8067741514273272,CPE,1.2993898218015107,ZGC:193505,1.1713132524497318,SZL,0.9861306201934493,CLDNG,0.7056308576466774,SI:CH211-147G21.5,0.6691108821722509,GTF2H5,0.7138140056720467,LRIG3,0.718079387824588,H2AFX,0.6520752958032264,SCOCB,0.8411279963733717,SI:DKEYP-14F10.3,0.7351441124997998,PLEKHN1,0.6635437390036728,HSP70L,0.5383074516809091,KIF18A,0.5719748241817273,BAMBIA,0.789485686905076
21,FAM78BB,0.806509551207592,DDC,1.2750657769154206,FTR83,1.1625968987162805,HER1,0.9792069900132784,CHD6,0.6782161300929259,OTUD4,0.6647422558461928,U1,0.7132749096309134,AMOTL2A,0.7143666139398751,SI:CH73-110P20.1,0.650080278022155,JAKMIP2,0.8391663653818551,BX511215.1,0.7271298413364649,BCL3,0.6621206598153165,CLDND,0.5262590583970521,METTL22,0.5718492594487823,PRKAR1AA,0.7804888279882649
22,SI:DKEY-1D7.3,0.8060101361130696,SI:CH211-168H21.2,1.2691751726874447,PLEKHF1,1.1562003413729156,HES6,0.9743850556554415,CNOT4B,0.677420324416954,SI:DKEY-97L11.1,0.6638798669961744,SI:DKEY-151G10.6,0.7131408281351208,SP5L,0.7137442016972211,CABZ01111915.1,0.649155005141741,KCTD5,0.8212082743582193,CA9,0.7228385256020926,E2F7,0.6539923507888353,ERCC8,0.5234860071308903,CECR1A,0.5603715594915636,ULK1B,0.7766625465460637
