,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15
0,BMP4,1.3585993818187176,LYRM1,2.5706787534115514,KRT18,1.3153254423971996,TA,2.3683307487423213,SPAW,0.8162451219174593,SI:CH211-242H13.4,1.2736768891279446,SI:DKEYP-3B12.7,1.055326209920105,CHD,1.7082991678337822,SI:CH1073-80I24.3,0.8303264535902635,SI:DKEY-28A3.2,1.2043251887588566,SI:DKEY-261M9.17,1.6724025326904288,PHLDA3,1.3880412283701955,BZW1A,1.1534345425721686,FTH1B,0.6988612656305041,EGLN3,1.1987311322952074,NANOS3,1.4477431752298802
1,GATA2A,1.2371810812551696,MYO3A,2.364811773442502,KRT4,1.3065542956955718,EVE1,2.1046736425031116,AFP4,0.7594464951623421,SI:DKEY-234I14.20,0.9074120082379744,SI:DKEYP-3B12.6,0.9574856507220917,FOXD3,1.3487711203626382,SI:DKEY-95P16.2,0.8274415864113,BX546500.1,1.0976268098867434,HIST2H3C,1.3685470316161819,MDM2,1.1790651897205306,GDF3,1.134293301109721,SI:CH211-235I11.3,0.683462493226726,DDIT4,1.067236874656888,TDRD7A,1.2784269597918552
2,PCM1,1.10461700564473,RAPGEF6,2.3022120428733546,KRT5,1.2873018820073165,WNT11,1.932520313907856,HSP90AA1.2,0.7563051786364191,SI:DKEY-48G21.5,0.8792233782918154,OTUD4,0.8575632553519937,ADMP,1.3420042068786537,SI:DKEY-16M19.4,0.7766521560504429,SYNGAP1A,1.0833716503329496,SI:CH211-113A14.10,1.3524574497824966,SI:CH211-260E23.9,1.0857655806924327,PPIB,1.073309951885883,TELO2,0.6563787289279319,BX324155.1,0.8180691032497848,DND1,1.1085075702235683
3,APOC1,1.0827471682310388,SI:CH73-195I19.3,2.2394568028144395,CLDNE,1.2861123180006682,CDX4,1.8064103962079388,SLC7A8A,0.7111652609889689,ZNF1125,0.8716595124072858,KIAA0101,0.8574546712972145,ZIC3,1.2291788790045437,SI:CH211-195B11.4,0.7558414812099612,JAG1B,1.078540069185074,SI:DKEY-23A13.15,1.1479116600039745,APLNRB,1.0239691117968952,P4HB,1.0605295150673402,SI:CH211-117I10.10,0.655726722162723,SI:DKEY-199M13.4,0.7381729189617258,ACTL7A,1.1040158801208495
4,BMP7A,1.0747052846874847,CABZ01084942.1,2.2275955746096976,MID1IP1A,1.279992036682466,ZNF703,1.7634539553798683,PNP4A,0.6986484932992044,SI:CH1073-190K2.1,0.8700818471045552,HSP90AB1,0.791507408023576,FOXB1A,0.8932852057286259,ENSDART00000172356,0.7502848725654228,PLECA,1.0776190384725615,ENSDART00000129497,1.1086326975323535,FOXO3B,1.0090454809864329,FAM78BB,0.9737552004443595,SRRD,0.6460198080164735,RHEBL1,0.7191882142714209,CA15B,0.9817853205722024
5,TFAP2C,1.0250409791233444,AGRP2,2.175487770251761,KRT92,1.276838546696485,AXIN2,1.4673076623664367,SI:DKEY-238D18.15,0.6692585662267673,SI:DKEY-122C11.4,0.8309980169169008,PRKRIP1,0.7660089361129019,FOXD5,0.8592442758734185,SI:DKEYP-3B12.12,0.7390358742177224,HS3ST3B1B,1.0407786343309717,SI:CH211-113A14.24,1.0713789912983411,CTSH,0.9894877786779408,RHEBL1,0.9468418028036971,RAB3IL1,0.6389727606658316,SI:CH1073-190K2.1,0.7106151646880263,SI:DKEY-11O15.10,0.9264043649685031
6,FOXI1,0.9628077979378485,ZGC:171775,2.0619478368304387,LYE,1.272511447879437,MSX1B,1.4577396250100287,CTSLL,0.6603946884537505,CR388042.3,0.7832592106761245,CLIP4,0.7636593562390067,PRICKLE1A,0.853996769883984,CNIH4,0.729494689513684,CNNM1,1.0400215405331308,ZGC:165555,1.0706500524466052,RBL2,0.9796919374229064,MKRN4,0.9225027427748492,SLC9A8,0.6362963000599222,ZGC:173702,0.6983589462144182,HSP90AA1.2,0.9144677577444045
7,PRKAR1AA,0.9591872766506098,TOP1,2.008335871271272,FA2H,1.255929373862478,TPBGA,1.4481491283028614,TMEM205,0.6555267107772949,RNASEP_NUC,0.7732430562579048,SI:CH211-113A14.10,0.757642985720659,FZD8A,0.8512801784085384,MAP2K6,0.7163855764330498,NRXN1B,1.02762080786997,ZGC:153405,1.0474904294251595,SESN3,0.8996382053276624,BIRC5B,0.9011567896062734,TSG101A,0.6294484712826561,ZNF1063,0.6912964260482204,BTG4,0.9113664703008034
8,UBR5,0.9393905433577393,ANO9A,1.9064639733343687,CEBPB,1.248982931740695,SP5A,1.4307220656764477,SI:DKEY-261J4.3,0.6475561333865557,CPN1,0.7612979567874286,SI:DKEY-23A13.4,0.7409636862779421,ZEB1A,0.8084500555376685,FAUA,0.6974038486246624,SI:DKEY-186O21.1,0.972235214570158,SI:DKEY-261M9.15,0.9655054809035352,BCL2L14,0.8995522882519145,TSR2,0.8989028681757443,KIF18A,0.6190684489007847,CR391944.1,0.6886954455023258,SKA2,0.8945238752228342
9,CBFA2T2,0.9392263750125031,DIABLOA,1.8953443240922696,EPS8L1,1.2458831644546557,MIXL1,1.355165056305265,BX005448.2,0.640226303177161,SI:DKEY-97L11.1,0.749721267734884,SI:CH211-113A14.16,0.7286349127753143,GSC,0.8069070963919593,SOX2,0.6964008649451101,CPE,0.9659631000560627,SI:CH211-113A14.15,0.9567964198891702,TP53INP1,0.876070459833994,SEL1L3,0.8780041634133205,WDTC1,0.617985142795799,SI:CH211-190K17.31,0.6732095714029525,DDX4,0.8659716259488772
10,CLUHA,0.9066902515691169,NME2A,1.8200342987474685,CLDN23,1.2296368643078308,GBX1,1.2825765006008838,SI:CH211-271G18.4,0.6209295656086081,SI:DKEY-108K21.21,0.7238286221476974,RPL35,0.7191992901709542,TDGF1,0.8041465672916596,SI:CH211-130H14.6,0.6857629341625944,HSD17B2,0.9657260350338526,SI:CH1073-159D7.7,0.9554546753963702,CASP8,0.872273836997942,CDKN1BB,0.8676062418650821,FBXO30A,0.6127637302360329,CT573263.1,0.6719245820365997,BOKB,0.8187996527586615
11,ARID1AB,0.9055074634478693,FNIP1,1.810676499855936,SI:CH211-125O16.4,1.221044307297259,ZNF503,1.2004475949971707,SI:DKEY-221L21.2,0.6188061002814653,ZNF995,0.7037293351840236,RPL27,0.7158418525062289,NOTO,0.8006807191796357,SI:DKEY-122C11.4,0.6839131297056082,CAMSAP2A,0.962155720620497,SI:DKEY-108K21.14,0.9449803461446638,SESN1,0.8217488042639356,RBM4.3,0.8560076650151144,ZGC:113425,0.6028471394608691,BX005448.2,0.6679755322347516,RGS14A,0.816920171776969
12,IPO9,0.8999596286634988,GPRC5BB,1.730015943626939,KRT8,1.2071965006809786,APOC1,1.188618416325988,SLC3A2B,0.6146890199846627,SI:DKEY-211G8.5,0.6854855466178653,SI:DKEY-153M14.1,0.7153454884784667,SESN3,0.7974072319235125,SI:CH211-222L21.1,0.6749564993232684,KCNK4,0.9247649572899419,HIST1H4D,0.8817068356825938,CDKN1A,0.7802664871819421,SI:CH73-1A9.3,0.8496629506040113,SI:DKEY-93M18.3,0.5805409976744426,BX901974.1,0.6665987834106949,BMI1B,0.8102362767259771
13,SZL,0.8988381505876608,HNRNPA0B,1.705218495628647,ZNF185,1.206019171755235,VED,1.1473781842965742,NR0B2A,0.6090878772248056,SI:CH211-212K5.1,0.6810283437724705,STM,0.7022858621166372,CST3,0.77890539764952,POLR3GLA,0.6749105602824775,SI:CH211-171H4.5,0.9201920445077607,SI:DKEY-261M9.11,0.858974764808082,ZGC:64022,0.7526321650654676,FTL,0.8394457601074192,FGF17,0.5693119351939561,MCL1B,0.66497312269588,FHDC3,0.7995245718905929
14,FGFR4,0.8749960726184445,ZGC:173587,1.5213307033181467,KRT97,1.2025790585582965,ZIC2A,1.1260025571944254,NFYC,0.6033408167202763,SI:DKEY-193H7.5,0.6795422762098353,SI:DKEY-261M9.15,0.6986321003623951,CDH2,0.7729004526242127,SI:CH211-113A14.16,0.6689293558549854,GBP3,0.9130085325080594,TRIM105,0.7759658918440725,EXO5,0.7284400641064038,WEE2,0.8337777383071499,TARS2,0.5675550801756548,SI:DKEY-156K2.3,0.6385639396424823,CHD6,0.7941353838882897
15,VED,0.8395789708995717,PON1,1.4451143757026848,ZGC:101000,1.1945813571730428,DLD,1.1069135605815799,SI:DKEY-85K7.7,0.6017119613703773,TMED9,0.6764534233182704,RPS17,0.6957189797308466,NET1,0.757710252769413,PRDM14,0.6680305452446809,TNFAIP8L2A,0.8914120132077893,SI:DKEY-108K21.21,0.743897770766511,SLC4A2A,0.7252681691337403,NCALDA,0.832843175927053,SI:DKEY-1D7.3,0.5675260028648692,SI:DKEY-1D7.3,0.6377545711152227,ANKRD12,0.7710515380820471
16,DPP3,0.8351020488609047,KLHL22,1.389344366154997,CLDNB,1.169022596865151,IM:7138239,1.0922270042355904,SI:DKEY-146C18.5,0.5938352124246667,ZNF1136,0.669126039239863,LYRM2,0.6865274583641453,DACT2,0.7304397175487547,SI:DKEYP-3B12.10,0.6618032533373188,GRB7,0.8859082180913813,SI:DKEY-146C18.5,0.7345199598532323,SI:DKEY-204L11.1,0.6801221975275761,MALAT1,0.8038562139689244,SI:DKEYP-117H8.4,0.5616476202939824,GBGT1L4,0.632840659017035,SLC25A25A,0.7633479580396656
17,KIF20A,0.8319472004139771,CABZ01001464.1,1.3848340675229935,SI:DKEYP-67A8.4,1.16252346157746,ATP1B3A,1.042816012697952,MTP,0.5857622818151145,TM4SF19,0.667786813752857,SI:DKEY-151G10.6,0.6864713625022366,GRA,0.7158914343649335,SI:CH73-110P20.1,0.6603445336311048,BAALC,0.8776224719745661,SI:DKEY-108K21.12,0.6894784402488328,SI:CH211-239D6.2,0.6733816260883393,SKP2,0.7728899147325075,METTL22,0.5612197662791123,BX901907.2,0.6299856866437028,OTX1B,0.7464557596099549
18,XRN1,0.8230706271141133,NRXN1B,1.3664147676360123,ZGC:193505,1.1499096692165325,NHSL1B,1.0180387355543068,CST3,0.5857307796401509,CR812792.1,0.660106982669812,SI:CH211-194E1.8,0.6860172955978063,TCF3B,0.7062938748722692,CABZ01111915.1,0.6517861366004734,NFKBIL1,0.8727504483044768,BX324216.1,0.6828148168211489,PLEKHN1,0.6725603912108281,SI:DKEY-15H14.4,0.7624091657708969,KLF17,0.5438483473628134,NCALDA,0.626178900219938,MAP7,0.7381549757598465
