,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SI:DKEY-153M14.1,0.0,0.0,0.17363668648716726,0.0,0.0,0.5758126836868233,0.715741016408076,0.0,0.5704996840631231,0.10091869632241082,0.42665605497121595,0.32166533516319235,0.11939943617424975,0.33554572928419374,0.0,0.06876459437896117,0.0
FXYD6,0.0,0.2752315556258661,0.20342671079587793,0.1058388670545882,0.0442117704675068,0.6823929562133658,0.4075183613897145,0.0377131428610485,0.43083684478995204,0.27891024923496854,0.24015953949634014,0.5495165513610119,0.17616099806606353,0.06723221764310341,0.10297993468261021,0.1982226639883025,0.11555791563846837
ZGC:158463,0.0,0.0,0.16900130734474278,0.010250513499118118,0.0,0.5799559680930289,0.6118897160669308,0.0,0.690539610553023,0.13315216981836003,0.5165207685201706,0.34993336118763996,0.11335157108395937,0.3066523803508231,0.0,0.04108835303497734,0.0
SI:DKEYP-3B12.10,0.027227775814745475,0.0,0.2075347009458851,0.0,0.05065387457078333,0.521530510567761,0.5726221681904781,0.0,0.7182372511074785,0.18556396386275334,0.376069764073167,0.13870068410616176,0.020639614411541295,0.3884033373374087,0.0,0.0,0.0
C1QB,0.18757821139485112,0.4148469084075619,0.2419504148354341,0.21941702889001968,0.060428404444334054,0.5140812654576697,0.6513584356657494,0.12320150799998608,0.3379674587657818,0.14235143694877758,0.18447990745586,0.3798161414894957,0.11705913173921316,0.03249793734267863,0.1314657977198071,0.18692377757954412,0.07803966172550784
SI:DKEY-108K21.12,0.0,0.0,0.016094195255388542,0.051212152761483914,0.04271425936106219,0.5448117770120412,0.6397999951076941,0.0,0.5315041950794488,0.20822813713068064,0.6007515444458394,0.18498879950531147,0.11753807988754314,0.221690042567888,0.0,0.0,0.0
SI:DKEY-16M19.4,0.0,0.0,0.0,0.125356465554759,0.0,0.3244636357805522,0.6408818148214444,0.0,0.7949688804907563,0.047027633301443605,0.1934001931711446,0.7789971908847436,0.041208193474147364,0.0,0.0,0.05035290679053962,0.0
ARL14,0.06842006308303412,0.4891965226292481,0.08750352537473993,0.14862019762273135,0.25114910990828837,0.2790368565458749,0.4188871246987591,0.17401463727407235,0.5367938596788285,0.0881789750266981,0.15447871648277245,0.5575968868101637,0.206981926002668,0.02893864368504375,0.1296729037985541,0.22295216700642478,0.07755742928183511
OTUD4,0.019783380538406985,0.0,0.21311917514556183,0.05912094081065346,0.0,0.6427050550918048,0.8599965592469956,0.0,0.5509423239948068,0.11597204129988117,0.5260380679109915,0.41710505683058097,0.0,0.3791167871986939,0.0,0.17538306044491767,0.0
RAB34B,0.0,0.0,0.3571357787823135,0.3867612505892429,0.0,0.5849242505115817,0.20212000143940903,0.0,0.45038532433530964,0.10677540789821652,0.43371875744935584,0.5605234016973593,0.03909117460432662,0.12115535755885008,0.0,0.04050297593307584,0.0
SI:CH211-267E7.11,0.0,0.0,0.3185854785561802,0.5188732364869056,0.0,0.574367854676402,0.18749853626122492,0.0,0.5817802700144692,0.22378895019351214,0.38304332125429763,0.5945392295239313,0.07820303975841615,0.04542356330599996,0.0,0.08826234501702342,0.0
SI:CH211-130H14.6,0.0,0.0,0.0379549049649411,0.017531527858452634,0.0,0.4499071343940532,0.346240084654943,0.0,0.6930315176699671,0.11616036140809442,0.3987810933630257,0.6104000728499698,0.1904864269117217,0.2376064871956415,0.0,0.07864302599241388,0.0
SI:CH211-195B11.4,0.015286001028859028,0.0,0.176868178391643,0.019689769055174115,0.0,0.48169354911313933,0.2811065476468136,0.023562939944575693,0.7585515741092037,0.1393806279619651,0.2975097489382789,0.7733592760087213,0.0,0.26393708804033106,0.0,0.1623718280192036,0.0
SI:DKEY-261M9.17,0.0,0.0,0.11986989432901819,0.0,0.0,0.12516201696540905,0.7084867017087645,0.0,0.2509017081975375,0.09680508246046576,1.6513406952092,0.25111195154400245,0.00520783211587413,0.15749127377939934,0.0,0.0,0.0
CR450785.2,0.00841021587516561,0.0,0.10142302994760229,0.0,0.0,0.4042641133888094,0.24801774264017776,0.01821258394216529,0.3488441617870959,0.06806425740896722,0.5228585319586911,0.8585429912885362,0.22643406842677508,0.05487854424001681,0.0,0.0,0.0
