,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16
0,GATA2A,1.2198477860531847,LYRM1,2.589071728358852,EVPLA,1.266433432247096,TA,2.4080637916301226,NANOS3,1.5582886469804142,SI:CH211-242H13.4,1.3818993557134376,SI:DKEYP-3B12.7,0.9276515021920859,CHD,1.4146572804282296,SI:DKEY-95P16.2,0.8217115385201966,PHLDA3,1.3813747306662412,SI:DKEY-261M9.17,1.6513406952092,RHEBL1,1.0941509441373034,HSP90AA1.2,1.8247679822215477,TELO2,0.7425033503655729,BX546500.1,1.2085104631297778,FGF17,0.8460964300427429,CAMSAP3,0.8552163345288601
1,BMP4,1.1467703829693605,MYO3A,2.311550282782228,EPS8L1,1.2559908580823198,EVE1,2.1065781124459204,TDRD7A,1.401764751929093,SI:DKEY-234I14.20,1.008408467339112,KIAA0101,0.8887272966567636,ADMP,1.3940113887038954,SI:DKEY-16M19.4,0.7949688804907563,MDM2,1.166332692454248,HIST2H3C,1.4105423395818848,SI:DKEY-199M13.4,1.0008742586447827,HSP70.3,1.1882133021147472,SRRD,0.6632842295151659,CAMSAP2A,1.0973017582624676,CEBPB,0.8412546741864134,AIM1B,0.8422145691061916
2,SZL,1.1210440862375206,RAPGEF6,2.271931257885029,KRT5,1.2338613765823196,WNT11,1.9464155179928504,DND1,1.3667056066236183,SI:DKEY-48G21.5,0.9634922581725631,PRKRIP1,0.8734877865116009,ZIC3,1.3320063045462593,SI:CH1073-80I24.3,0.7877555185425362,SI:CH211-260E23.9,1.0886424679567632,SI:CH211-113A14.10,1.3056519724844746,GDF3,0.9656992689122877,HSP70.1,0.8724073694327834,FGF17,0.657609267601447,SLC7A8A,1.028282345337151,NEURL1AB,0.8186982299131793,JAG1B,0.8093962233198534
3,APOC1,1.0889781710730535,SI:CH73-195I19.3,2.238662173063097,KRT4,1.2139780775260844,CDX4,1.841087584034185,ACTL7A,1.3311190679119704,RNASEP_NUC,0.8889432411671037,OTUD4,0.8599965592469956,FOXD3,1.294948243841783,ENSDART00000172356,0.7652059092740979,APLNRB,1.0221169524549774,SI:DKEY-23A13.15,1.1496954934581758,NCALDA,0.9473423577260616,CABZ01080568.1,0.8065593866187808,SI:CH211-117I10.10,0.6555822633362829,SYNGAP1A,1.026587435149214,CLDNB,0.8117867617348256,SI:CH211-69B7.6,0.7406357522446615
4,BMP7A,1.0732276285074203,CABZ01084942.1,2.2203457112984655,KRT97,1.2033098930715511,ZNF703,1.8045079085819358,DDX4,1.1305473424447823,PGAM1A,0.8499207402698115,HSP90AB1,0.8376597489732377,FZD8A,0.9413041914358146,SI:CH211-195B11.4,0.7585515741092037,FOXO3B,1.011209672240933,ZGC:153405,1.1279843684744866,SI:DKEY-15H14.4,0.9431648594671026,HSP70.2,0.7658657971103466,AFP4,0.6534146495001114,SI:DKEY-28A3.2,1.0254756391001314,GADD45BB,0.7875070773948836,EVPLA,0.7353724865273367
5,CLUHA,1.0313576293370605,AGRP2,2.2031349169858023,CYT1,1.192581565729395,AXIN2,1.509064644376583,CA15B,1.0800913110635946,SI:DKEYP-55H4.2,0.8421419473093908,SI:DKEYP-3B12.6,0.7897277238586922,PRICKLE1A,0.8808409901751788,MAP2K6,0.735119108177614,CTSH,0.996845857703676,SI:CH211-113A14.24,1.127684467832523,BZW1A,0.9187057181261454,ADGRE10,0.6704868216556438,TSG101A,0.6528702717632505,PLECA,0.9519435195945163,KRT18,0.7595093511838795,MCHR2,0.7332932038209388
6,FOXI1,0.9707148134227411,ZGC:171775,2.0171574793781626,KRT92,1.1861624416800243,SP5A,1.498045999069323,RGS14A,0.944166599880702,SI:CH1073-190K2.1,0.8302273945465075,STM,0.7862158015472078,PRDM14,0.8782307144114404,SI:CH211-113A14.16,0.721101795937143,RBL2,0.995438282111054,ENSDART00000129497,1.0738027863760675,P4HB,0.9184083499206832,SERPINH1B,0.6636202007466839,RAB3IL1,0.6345822766070094,HS3ST3B1B,0.9268329946047821,CLDNE,0.7583573852791645,NRXN1B,0.7205032495700626
7,PCM1,0.9407225129068941,TOP1,1.9850198592463755,CYT1L,1.163003530716145,TPBGA,1.4764115349572071,GRA,0.9346128045984817,SI:CH211-268B13.3,0.8059419857221881,RPS17,0.7853769170929572,ZEB1A,0.8771685603480219,SI:DKEYP-3B12.10,0.7182372511074785,SESN3,0.9145619357279379,ZGC:165555,1.029987234844762,SI:DKEY-156K2.3,0.9147647463853975,HSPA4A,0.6562349906360659,SLC3A2B,0.6310156545548512,SI:DKEY-186O21.1,0.8797859912510155,STARD14,0.7286053256922848,DSPA,0.7013209732441744
8,TFAP2C,0.9406762696794284,DIABLOA,1.9587088239416288,CLDNF,1.1544714810063263,MSX1B,1.4614871791008905,BTG4,0.8559910173877853,EIF5,0.7421999294699199,PSMA4,0.7707419475922802,SESN3,0.8572873494650975,SI:CH211-222L21.1,0.7102063166226786,BCL2L14,0.8828656954852775,SI:DKEY-108K21.14,1.0254782225818222,MKRN4,0.8932411550225475,SI:DKEY-146C18.5,0.6109176998389,SI:CH211-235I11.3,0.6260127448380756,JAG1B,0.861462726826046,SI:DKEY-157L19.2,0.7175510651111924,VPS13A,0.699753892330071
9,CBFA2T2,0.9346215198886085,ANO9A,1.8863812869637566,MID1IP1A,1.1533766348058518,MIXL1,1.3767768694734577,ICE1,0.7887365662833128,SI:DKEY-97L11.1,0.7303539269106661,SI:CH211-113A14.16,0.7703040877471795,FOXD5,0.824011056830084,SI:DKEYP-3B12.12,0.6977056816506708,TP53INP1,0.865053992664146,SI:CH1073-159D7.7,0.9955313761936023,SI:DKEY-30F3.2,0.8925758726897473,SI:RP71-45K5.2,0.6081366735017062,FTH1B,0.6221836770160079,HSD17B2,0.8612705378659603,ABCA1B,0.7018392655110098,SI:DKEY-234L24.10,0.6856383692086689
