,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17
0,GATA2A,1.2859467780805491,LYRM1,2.529799653238785,KRT18,1.3594583080551443,TA,2.404207383495793,DDIT4,0.8701301249015261,SI:CH211-242H13.4,1.2943026936037587,SI:DKEYP-3B12.7,1.0874775965908658,ZIC3,1.4042552528413799,SI:DKEY-95P16.2,0.8273841640495828,BX546500.1,1.2318586458332652,SI:DKEY-261M9.17,1.690658388353368,PHLDA3,1.3950855496213488,BZW1A,1.1766685935916015,TELO2,0.705359489957419,HSP90AA1.2,1.837826441530817,AIM1B,0.8747394873703327,NANOS3,1.5771264312052806,LYRM1,0.7750752611730003
1,BMP4,1.2274277396359052,MYO3A,2.2614735020131325,MID1IP1A,1.3582456067454205,EVE1,2.0955557395145767,BX324155.1,0.8511721134492138,ZNF1125,0.9070473094874245,SI:DKEYP-3B12.6,0.9434431905206753,ADMP,1.3945820230151826,SI:DKEY-16M19.4,0.7911702425270123,CAMSAP2A,1.1680144628338889,HIST2H3C,1.3829201976918066,MDM2,1.2032509020465199,PPIB,1.0962815308113047,FTH1B,0.7020978619110937,HSP70.3,1.2077317683188329,SI:CH211-69B7.6,0.859662024844665,TDRD7A,1.401953547411794,SI:CH211-276A17.5,0.7073151772603253
2,SZL,1.1891881322052862,RAPGEF6,2.2365733944658235,KRT4,1.3561395613444054,WNT11,1.9643042071672543,RHEBL1,0.8431519991480324,SI:DKEY-48G21.5,0.8963358945004841,KIAA0101,0.8453700558668731,CHD,1.3311561945780683,SI:CH211-195B11.4,0.767792022031349,SI:DKEY-28A3.2,1.0146010530753942,SI:CH211-113A14.10,1.283303310460653,SI:CH211-260E23.9,1.093603220904222,GDF3,1.0940519451824746,SI:CH211-117I10.10,0.6725629189029024,HSP70.1,0.8755410892003539,CAMSAP3,0.8186380067886679,DND1,1.3827003195727503,RYR1A,0.7030553770152282
3,APOC1,1.1820253877717861,CABZ01084942.1,2.1714659331968993,KRT5,1.3441214951364866,CDX4,1.8336521680932873,SI:DKEY-199M13.4,0.8300271262196909,SI:DKEY-234I14.20,0.8944954437678325,OTUD4,0.8206549509283804,FOXD3,1.2493393512997764,SI:CH1073-80I24.3,0.764400502411923,SLC7A8A,1.0107068477948784,SI:DKEY-23A13.15,1.1332371220616824,APLNRB,1.036124241536976,P4HB,1.0917099442816898,SRRD,0.6631561886355837,CABZ01080568.1,0.8052812179879908,JAG1B,0.7374251245552982,ACTL7A,1.311979677377799,RAPGEF6,0.6903857011258038
4,BMP7A,1.0915605287901422,SI:CH73-195I19.3,2.1685255440069797,CLDNE,1.3231108422740594,ZNF703,1.789723162404854,SI:DKEY-1D7.3,0.8122699294273824,SI:CH1073-190K2.1,0.8691665535518007,HSP90AB1,0.795678298156532,FZD8A,0.9079304544259627,ENSDART00000172356,0.7566649200537957,PLECA,0.9638813481812165,SI:CH211-113A14.24,1.0923907497002354,FOXO3B,1.0182388845569972,RHEBL1,0.9938378991401012,SI:CH211-235I11.3,0.6591053399911327,HSP70.2,0.777001999229163,EVPLA,0.7339473426935903,DDX4,1.1181697645430004,AGRP2,0.684824293525331
5,FOXI1,1.0581523918866593,AGRP2,2.1527429252655033,LYE,1.3163898840359343,SP5A,1.5040796435192816,CR391944.1,0.8058041219693554,SI:DKEY-97L11.1,0.8319971273921266,PRKRIP1,0.7839809461656532,PRDM14,0.8896364434059274,SI:DKEYP-3B12.12,0.7414041806073496,HS3ST3B1B,0.9580434545278865,ZGC:153405,1.0846742986160343,CTSH,1.0028889562149772,FAM78BB,0.9680515461331191,RAB3IL1,0.6425150763509562,SERPINH1B,0.6694230095808322,MCHR2,0.7219938462257136,CA15B,1.075582379944046,TTNA,0.6843121738746926
6,TFAP2C,0.9996468181772795,ZGC:171775,1.9835778826495505,ZGC:101000,1.3013735781485627,AXIN2,1.4838220964444218,EGLN3,0.7934717247785931,SI:DKEY-122C11.4,0.8133431275888932,CLIP4,0.7734273066060652,PRICKLE1A,0.8786748664754382,MAP2K6,0.724490792650571,SYNGAP1A,0.9471783323234894,ENSDART00000129497,1.08322493129005,RBL2,0.995194650219144,BIRC5B,0.9452283939933465,TSG101A,0.6309188081278763,HSPA4A,0.6531770368425756,DSPA,0.7208358165319299,GRA,0.9419157876134204,NRXN1B,0.6684668195817989
7,CBFA2T2,0.9880635151369089,TOP1,1.9289873747007127,KRT97,1.289314383449116,TPBGA,1.4699177226898485,SI:DKEY-15H14.4,0.7928484614907282,CPN1,0.7759719121053781,SI:CH211-113A14.10,0.7693282271287788,SESN3,0.8493501929321214,CNIH4,0.7213566612708183,JAKMIP2,0.8593070007974314,ZGC:165555,1.0300565368711545,SESN3,0.9217789837749046,TSR2,0.9319487896362998,WDTC1,0.622062564459356,ADGRE10,0.6180455264574192,PLECA,0.7093006767369688,RGS14A,0.9255848132093233,CABZ01084942.1,0.6595970423205526
8,CLUHA,0.956312600571532,DIABLOA,1.8754193868501012,KRT92,1.2891785339095316,MSX1B,1.4653075208759268,SI:CH211-190K17.31,0.7911727445337247,CR388042.3,0.7731508030074482,SI:DKEY-23A13.4,0.7350705992102959,FOXD5,0.8447389704292473,SI:DKEYP-3B12.10,0.7068937622046181,HSD17B2,0.8422191479777171,SI:DKEY-261M9.15,0.9740636220442032,BCL2L14,0.9018114873128239,CDKN1BB,0.9314395513241918,SLC9A8,0.6182483364579794,TMEM205,0.6023453139403587,VPS13A,0.6567634690576021,BTG4,0.8248444355147388,MYO3A,0.65065349721849
9,VED,0.947300905548991,ANO9A,1.8381002460771847,KRT8,1.2783668217872197,MIXL1,1.3877577857637522,SI:DKEY-30F3.2,0.7866076231580355,SI:DKEY-108K21.21,0.7552246314718817,RPL35,0.7208871020640519,TDGF1,0.8237283002441047,SI:DKEY-122C11.4,0.7042377917187119,RNF213,0.8270480761437403,SI:DKEY-108K21.14,0.9512204749480644,CASP8,0.8700251077853315,MKRN4,0.9249963185544628,FGF17,0.6064688298456036,SI:DKEY-146C18.5,0.599129897487968,ZNF185,0.6482584099440433,ICE1,0.7879495261269398,CPE,0.6504304478566598
10,PCM1,0.9167516752925372,FNIP1,1.7720833330095485,EPS8L1,1.2629521418834584,GBX1,1.328032398731415,CR450785.2,0.7747919290707629,RNASEP_NUC,0.7480363683111365,SI:DKEY-153M14.1,0.7208079652476751,LFNG,0.8236575687486023,SI:CH211-113A14.16,0.699499370764583,SI:DKEY-186O21.1,0.8219284108264946,SI:CH211-113A14.15,0.9439013107208926,TP53INP1,0.8632523224035508,RBM4.3,0.9059384245488968,KIF18A,0.6034648822519625,ERCC8,0.5715816326406673,NRXN1B,0.6329773006230074,SI:DKEY-11O15.10,0.7823389132832984,ADAM15,0.6138507660052759
11,BAMBIA,0.8898810804433788,NME2A,1.7222874599877505,CLDN23,1.2626809220417299,ZNF503,1.2116169821945437,SI:DKEY-156K2.3,0.7578223476069551,SI:DKEY-211G8.5,0.7295722068381169,SI:CH211-113A14.16,0.7152529878151025,TCF7L1A,0.8171391434306097,SI:CH211-130H14.6,0.698199648519516,FTR36,0.8094271172453462,SI:CH1073-159D7.7,0.9394445417463491,SESN1,0.8100877437746142,FTL,0.875707406236793,FBXO30A,0.5975555317014218,ZNF1031,0.5699505131638525,MYLK4B,0.6181055619773991,SKA2,0.7561765140163917,NME2A,0.6083203170176564
12,IPO9,0.859808996564814,GPRC5BB,1.7069314156603217,CEBPB,1.24797006855554,DLD,1.1605015784441521,SUPT4H1,0.740246460777568,TM4SF19,0.7105566007932165,RPL27,0.7095500053907664,ZEB1A,0.7801859001700829,FAUA,0.6830951622252225,PHYHIP,0.7965723076536327,GBGT1L4,0.8282313454653665,CDKN1A,0.7891821113192484,SI:CH73-1A9.3,0.8754794076316943,ZGC:113425,0.59153136761501,SI:DKEY-261J4.3,0.5636601013022147,CPE,0.6009162355948058,OTX1B,0.7532335670667272,ZGC:171775,0.6067028343145381
13,UBR5,0.8524333354118707,HNRNPA0B,1.6805060953817865,CLDNB,1.2448629683766828,ZIC2A,1.1395413318696568,NCALDA,0.7393166232046092,ZNF995,0.7055093232973958,STM,0.7062877307922436,SOX2,0.7600275245677164,SI:CH211-222L21.1,0.6789817728375056,GBP3,0.7894231626876805,SI:DKEY-261M9.11,0.8159284856571106,ZGC:64022,0.7839154729906814,NCALDA,0.8693061574626061,SLC3A2B,0.5742029352603257,CU655961.2,0.5629528891193407,SI:DKEY-28A3.2,0.5861469316750816,BMI1B,0.7322911180309194,CNNM1,0.6023486479090681
14,ARID1AB,0.8364070686899713,ZGC:173587,1.4698250796969496,SI:CH211-125O16.4,1.2013337128010337,APOC1,1.1145694553163017,SI:DKEY-47K16.4,0.7352741996463705,SI:CH211-212K5.1,0.7011545117034267,SLC35A4,0.7004827242575241,NOTO,0.743547220900934,POLR3GLA,0.676859786204022,TNFAIP8L2A,0.7859476569451127,HIST1H4D,0.8041456683839182,EXO5,0.7390927250227923,SKP2,0.8176648355019024,AFP4,0.5727126551353976,ZGC:56231,0.5597703624745527,CNNM1,0.5767872424082232,BOKB,0.7322747361683265,RBBP8NL,0.597533498729512
15,KIF20A,0.8174915990762095,PON1,1.4491968896223175,SI:DKEYP-67A8.4,1.1872941856539023,IM:7138239,1.1012622874467748,CT573263.1,0.731825430382236,SI:DKEY-193H7.5,0.6971665484690367,LYRM2,0.6945707055558347,CST3,0.7422834351945132,ZGC:158463,0.6750494100869138,KCNK4,0.78426144025878,TRIM105,0.7871748497686115,SLC4A2A,0.7343542151607813,WEE2,0.8128313491107284,METTL22,0.5702188521177305,KAZALD2,0.5595359214404431,SI:CH211-217K17.9,0.5750026493715036,TRIM35-29,0.7003447030697343,KLHL22,0.5975293330128137
16,VENT,0.8030511339579686,CABZ01001464.1,1.3883202717225889,FUT9B,1.1619840222122972,VED,1.0858853298079978,BX901907.2,0.7308079437278556,CR812792.1,0.6921190455076346,SI:DKEY-261M9.15,0.6934506126922769,NET1,0.7200280973692158,SI:DKEY-47K16.4,0.666354684005581,SI:CH211-171H4.5,0.7742673283100558,SI:DKEY-108K21.21,0.7408540734808129,SI:DKEY-204L11.1,0.6944440434881276,MALAT1,0.7967434420794562,SI:DKEY-93M18.3,0.5621887987310723,CLDND,0.5552412607511132,SI:DKEY-234L24.10,0.5736766755760793,KLF2B,0.6929342455454007,UPK1A,0.5834624126552218
17,LRRC8C,0.7987239852572496,KLHL22,1.3167848251290222,ZGC:193505,1.1609263001695644,NHSL1B,1.0347121873713605,BX005448.2,0.7212322432177479,SI:CH211-268B13.3,0.6762266594870064,SI:CH211-194E1.8,0.686659236805198,FGFR4,0.7193491316628602,FP236812.1,0.6656808727854263,CPE,0.7657935938834918,SI:CH211-113A14.26,0.6977852915278369,PLEKHN1,0.6925346503268671,SEL1L3,0.7827761306052595,FTR82,0.5612539236797249,NPLOC4,0.5509482240493118,PTPRFB,0.557678943788243,NEK2,0.6879261439119284,SI:CH73-195I19.3,0.5820861810917579
18,KRCP,0.798559129188427,SI:CH211-241E1.5,1.29625004103275,FA2H,1.1586086440073566,ATP1B3A,1.0093839656317039,SI:CH211-271G18.4,0.7210619905502804,ZNF644B,0.6721545950912267,SI:DKEY-151G10.6,0.6807703778780902,CDH2,0.717771060771563,SDC3,0.6596116777486299,ARID3A,0.7657399802920393,SI:DKEY-146C18.5,0.6745368374084805,SI:CH211-239D6.2,0.6837808792862828,SI:DKEY-15H14.4,0.7827562120416244,CECR1A,0.5608604071137349,SI:RP71-45K5.2,0.5426815766765797,ZNF644B,0.5520314344689592,WDR62,0.6671879404205964,OVOL1,0.5740565269761655
