,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
0,SPAW,0.9070892278347479,LYRM1,2.4830408611391857,KRT18,1.324050646837098,TA,2.345054453642862,NANOS3,1.5339282050294547,SI:CH211-242H13.4,1.3757054748593431,SI:DKEYP-3B12.7,1.0489150679196786,ADMP,1.4540782758170925,SI:DKEY-108K21.21,1.0686198940905853,BX546500.1,1.247198099082016,SI:DKEY-261M9.17,1.4953712102233192,PHLDA3,1.3724473377027935,HSP90AA1.2,1.783884249078649,FTH1B,0.7094011922589611,EGLN3,1.3378586504008223,BMP4,1.3653915889116786,SI:CH211-69B7.6,0.8500476399371284,SI:CH1073-80I24.3,1.0120616475763788,LYRM1,0.7675670903023896
1,SI:DKEY-1D7.3,0.6713993387145878,MYO3A,2.254025171848965,MID1IP1A,1.3176369445131149,EVE1,2.0919445649873576,TDRD7A,1.387183260478747,SI:DKEY-234I14.20,0.9662726220509817,SI:DKEYP-3B12.6,0.9770409304889371,CHD,1.4417886562253985,ENSDART00000172356,1.0544997311083821,CAMSAP2A,1.134289287255984,HIST2H3C,1.1838218497999098,MDM2,1.1371057759793834,HSP70.3,1.2146885660940423,SI:CH211-235I11.3,0.665552944826415,DDIT4,1.1510707681741328,SZL,1.2777254363232375,AIM1B,0.8256082759296665,RHEBL1,0.9250007732116929,RYR1A,0.7174340761660791
2,ZNF1136,0.616275119243887,RAPGEF6,2.157349423154773,KRT4,1.29449721534753,WNT11,1.9410244357460875,DND1,1.3860418369323533,RNASEP_NUC,0.947932554732115,OTUD4,0.8512722903109987,ZIC3,1.328592104939441,SI:DKEYP-3B12.10,1.045632839129812,SI:DKEY-28A3.2,0.997779476011118,SI:CH211-113A14.10,1.1076153813082479,SI:CH211-260E23.9,1.0802828503536612,HSP70.1,0.8702525906915998,SLC9A8,0.646642853652885,BX324155.1,0.7596189215757956,GATA2A,1.2455396138056432,CAMSAP3,0.8102056090388022,GDF3,0.8997421134535136,RAPGEF6,0.6842991089641526
3,SI:DKEY-238D18.15,0.6154984814147269,SI:CH73-195I19.3,2.156964377322212,KRT92,1.285403076971809,CDX4,1.8301869510317506,ACTL7A,1.3227127956207627,PGAM1A,0.9357405383153119,KIAA0101,0.8411906180852396,FOXD3,1.2992154625036436,SI:DKEY-97L11.1,1.0038658878047064,SLC7A8A,0.9778108053462732,SI:DKEY-23A13.15,1.0372071725522352,APLNRB,1.0204287994389745,CABZ01080568.1,0.8112609834735461,SI:CH211-117I10.10,0.6439327026565392,BX901974.1,0.7359383019519085,APOC1,1.1592160688511808,EVPLA,0.7430805123149068,SI:DKEY-16M19.4,0.8560779136526938,AGRP2,0.6833861683236452
4,NFYC,0.6082798095661798,CABZ01084942.1,2.123096750380366,KRT5,1.2797315491278585,ZNF703,1.7733609361562184,DDX4,1.0859118995442922,SI:DKEY-48G21.5,0.9285281537730312,HSP90AB1,0.7903014092073668,PRICKLE1A,0.924547963366215,SI:CH1073-159D7.7,1.0019676768188122,HS3ST3B1B,0.9774247130706214,ENSDART00000129497,1.015820538035754,FOXO3B,0.9993368966101414,HSP70.2,0.7927869279171278,TELO2,0.6431309657834213,GBGT1L4,0.7172308938566045,FOXI1,1.137468141517395,DSPA,0.724371902577957,SI:CH211-139K8.4,0.8378412365901524,SI:CH211-276A17.5,0.6827680156149276
5,NR0B2A,0.6067075281211156,AGRP2,2.115656482380842,CLDNE,1.274343417113581,SP5A,1.5140981309476862,CA15B,1.0451192650295642,PPIB,0.888546655971656,SI:CH211-113A14.10,0.7789430345990319,SESN3,0.8702795439126886,FP236812.2,0.9883701157448858,PLECA,0.9497011211974944,ZGC:165555,0.9136246017158132,CTSH,0.9791301884033673,ADGRE10,0.6638763362346368,SRRD,0.6330207902638068,SI:CH1073-190K2.1,0.6973147880864164,BMP7A,1.0467179215074376,PLECA,0.7056559605276594,BZW1A,0.8348412598719758,TTNA,0.6736753514655838
6,SLC7A8A,0.5993462969831928,ZGC:171775,1.932926676345306,LYE,1.259489783077705,TPBGA,1.4947448502868452,RGS14A,0.9324379393160225,SI:DKEYP-55H4.2,0.8254808870392656,CLIP4,0.7666712857750225,FOXD5,0.8377255220388617,ZGC:158463,0.9719247664464434,SYNGAP1A,0.942775147279596,ZGC:153405,0.9133479038339651,RBL2,0.9501911922807904,HSPA4A,0.6377280637346531,RAB3IL1,0.6297018946656872,SI:DKEY-199M13.4,0.6782126708099909,PCM1,0.9851466725356336,MCHR2,0.6925119480069774,SI:CH211-222L21.1,0.8297902606254397,NRXN1B,0.6695622836382038
7,BX640584.2,0.5953357693379628,ANO9A,1.8637502852670202,ZGC:101000,1.2479675719489245,AXIN2,1.4809266891205604,GRA,0.9127193832248077,CDKN1BB,0.7958701336713694,SI:DKEY-23A13.4,0.7562791795610695,FZD8A,0.8283183295848032,SI:DKEY-47K16.4,0.9525875126205775,HSD17B2,0.8795523252080102,SI:CH211-113A14.24,0.8916281608059667,SESN3,0.8968126374593466,SERPINH1B,0.6241486209696544,KIF18A,0.6214041821623361,MCL1B,0.6738235129616866,TFAP2C,0.9182593886276705,JAG1B,0.6663978143965119,RGCC,0.8260838807770857,CABZ01084942.1,0.6585086187413974
8,ASB11,0.5859692248910279,TOP1,1.854208251944506,CEBPB,1.2395311509757103,MSX1B,1.4705968200823387,BTG4,0.8001114408411693,EIF5,0.7561519066827234,PRKRIP1,0.751484595131406,NOTO,0.8225711843865756,ZNF995,0.9100974379482322,JAKMIP2,0.8593083937603773,SI:DKEY-261M9.15,0.8460234622324819,BCL2L14,0.8871607774315532,CU655961.2,0.5838114804112247,FBXO30A,0.6170619865071668,BIRC5B,0.6631578302997212,CBFA2T2,0.8989560560956924,NRXN1B,0.6259182236110852,SI:DKEY-95P16.2,0.8164299128289413,CPE,0.6479971932001936
9,SI:DKEY-30F3.2,0.5782109085476828,DIABLOA,1.8128997278738952,KRT8,1.2259177047280327,MIXL1,1.360651663781679,ICE1,0.7850131723180183,TSR2,0.7428224019346159,SI:DKEY-153M14.1,0.7454831319531217,CST3,0.7967315721381468,SI:DKEYP-3B12.12,0.903586944104207,RNF213,0.8325543541660135,SI:DKEY-108K21.14,0.8246918494611836,TP53INP1,0.8576342102908775,SI:DKEY-146C18.5,0.5475431682405753,TSG101A,0.6036007114466799,PGAM1A,0.6587371649556167,PRKAR1AA,0.8969266279795045,ZNF185,0.6249914992985971,POLR3GLA,0.8088904461521403,MYO3A,0.6405480268441921
