,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18,Module 19,Weights 19
0,SPAW,0.9379010866302583,LYRM1,2.439757820462382,EVPLA,1.2374580754981952,TA,2.373729042781315,EGLN3,1.406939717575751,SI:CH211-242H13.4,1.407430007567999,SI:DKEYP-3B12.7,1.0078025205309267,CHD,1.7547084607459111,SI:CH211-139K8.4,1.215743318893953,FGF17,0.8717368559639569,SI:DKEY-261M9.17,1.4438204898845177,PHLDA3,1.4112947405191103,GDF3,1.2958765446555685,FTH1B,0.6971563501274536,HSP90AA1.2,1.84710921770401,NANOS3,1.5788549344620464,BX546500.1,1.2201448265176171,CAMSAP3,0.8030699652848572,SI:DKEYP-3B12.10,1.119036038450761,SZL,1.6264129186244347
1,SLC7A8A,0.6907906825978485,MYO3A,2.2052350225529813,EPS8L1,1.2311088753575579,WNT11,2.0351931595345896,DDIT4,1.295950793336865,RNASEP_NUC,0.9708309101786997,SI:DKEYP-3B12.6,0.87623843280288,FOXD3,1.3899498835448278,PRDM14,1.178889168707202,CEBPB,0.8335909925976706,HIST2H3C,1.1883945059281356,MDM2,1.176134059479979,BZW1A,1.280551471010584,SI:CH211-235I11.3,0.6636263516133366,HSP70.3,1.2435111223727664,DND1,1.4231884255429652,SI:DKEY-28A3.2,1.099189058294319,EVPLA,0.7423912293442244,ENSDART00000172356,1.0371178470247209,BMP4,1.52156866517411
2,AFP4,0.6743914202009373,RAPGEF6,2.1275188958115154,CYT1,1.217138077103655,EVE1,2.0342576923128974,GBGT1L4,0.8432229128955988,SI:DKEY-48G21.5,0.9310159205460925,KIAA0101,0.8297917289522042,ADMP,1.217829672322641,SI:DKEY-188C14.4,1.157681857030965,NEURL1AB,0.8105353879572171,SI:CH211-113A14.10,1.153304794359544,SI:CH211-260E23.9,1.09786488197904,RHEBL1,1.2498658225458767,TELO2,0.6616182247791541,HSP70.1,0.8760905540027423,TDRD7A,1.3744354163395989,SYNGAP1A,1.0540891151637937,AIM1B,0.7226945332032899,SI:CH1073-159D7.7,1.0330346687964655,GATA2A,1.4727805243047973
3,SI:DKEY-238D18.15,0.670902918690314,AGRP2,2.123062633439406,CYT1L,1.1848485929568602,CDX4,1.8506140500798371,BX901974.1,0.8273034269833225,SI:DKEY-234I14.20,0.8993197922439322,HSP90AB1,0.7721005633764948,FOXB1A,0.9596255752266769,EFNB2A,1.0345923433575472,GADD45BB,0.7670971222930183,ENSDART00000129497,1.0440493029849949,APLNRB,1.059667296875716,P4HB,1.228712014259999,SRRD,0.6295674697048076,CABZ01080568.1,0.8514555957324771,ACTL7A,1.2762974195944772,CAMSAP2A,1.044940821161307,SI:CH211-69B7.6,0.7120918551520408,ZGC:158463,0.987225059052053,APOC1,1.3422887758620548
4,SI:DKEY-1D7.3,0.6306330153844522,SI:CH73-195I19.3,2.1041579902779812,KRT92,1.1812155400849698,ZNF703,1.8243236946496606,ZNF1125,0.8259945346992796,PGAM1A,0.8519143885900117,PRKRIP1,0.7708793387019557,ZIC3,0.9034649425430374,LHX5,0.9709029119895441,STARD14,0.7620363638979628,SI:DKEY-23A13.15,1.0391562977637132,FOXO3B,1.0414322833290677,FAM78BB,1.162513402699124,SLC9A8,0.6198153955779562,HSP70.2,0.808859320716992,DDX4,1.1089258132806483,PLECA,0.9636086990575071,MCHR2,0.7085394646268186,ZGC:113984,0.9799986088569541,FOXI1,1.3273037155176775
5,CTSLL,0.6212948763737861,CABZ01084942.1,2.1036953514254444,FTR83,1.1603919158314813,SP5A,1.6650929091177167,SI:DKEY-199K11.6,0.7896317892986535,SI:DKEYP-55H4.2,0.7957892729103657,CLIP4,0.731172245491136,NOTO,0.8498731563469057,PCDH18B,0.925620720443411,CLDNB,0.7605819791695047,SI:CH211-113A14.24,0.9411823422950583,CTSH,1.0110080171789775,SKP2,1.1168970738213106,FBXO30A,0.617879833131896,HSPA4A,0.6750689736214561,CA15B,1.1072124091139364,HSD17B2,0.9272904360598172,JAG1B,0.6903952258485798,FP236812.1,0.9655558346967785,VED,1.050674118617648
6,NR0B2A,0.6206811361236353,ANO9A,2.0223491868164265,KRT5,1.1590240118562156,AXIN2,1.5670214115146095,CLDN11B,0.7763263243995225,CPN1,0.7838226179409282,OTUD4,0.7095506510776736,GSC,0.8366543795212767,SOX2,0.9195787287591347,KRT18,0.7546135628347277,ZGC:153405,0.9359196749606351,RBL2,0.9844464057645659,NCALDA,1.1161498692593474,SI:CH211-117I10.10,0.6170383555308552,SERPINH1B,0.6352030138272167,GRA,0.9534048532564395,HS3ST3B1B,0.9250171278980391,NRXN1B,0.6805738053067459,FP236812.2,0.9504637666811963,BMP7A,1.027417270920857
7,BX005448.2,0.6147473912292467,FNIP1,1.845216980143641,KRT97,1.1539605011075396,TPBGA,1.5082650097347048,BX324155.1,0.7569835733360264,SI:CH1073-190K2.1,0.7372451973413124,RPL27,0.7037227225249127,TIAM1B,0.828474272264158,FZD7A,0.9179807573870904,CLDNE,0.7459640233168501,ZGC:165555,0.8964982852642321,SESN3,0.9445530542108241,SI:DKEY-6D5.4,1.1016597337368306,KIF18A,0.6124559431773341,MYCN,0.5768547715070422,RGS14A,0.9315687355906922,SLC7A8A,0.9114688891536906,SI:DKEY-234L24.10,0.668173999673498,SI:DKEY-108K21.21,0.9243257440466625,INSM1B,0.9420139753236927
8,SLC3A2B,0.6096520090782039,ZGC:171775,1.7947485061052322,ZGC:193505,1.145868470256587,MSX1B,1.4451346949604589,ZNF1063,0.7524223669391983,EIF5,0.731921837915295,SI:DKEY-23A13.4,0.702912279594705,SI:CH211-276A17.5,0.820295861900225,MIDN,0.883840788793841,SI:DKEY-157L19.2,0.733228295094557,SI:CH211-113A14.15,0.8478647309159979,BCL2L14,0.9344190449480516,MKRN4,1.083747587119994,TSG101A,0.6062356116295442,ADGRE10,0.5728989789172944,BTG4,0.801869909664743,SI:DKEY-186O21.1,0.9023538053852298,DSPA,0.6587037152576273,SI:CH211-113A14.25,0.9194669264989751,TFAP2C,0.8873112557865693
9,PNP4A,0.6036696887205222,TOP1,1.7799675214980935,KRT4,1.1328766433376474,MIXL1,1.4342802975501792,SI:DKEY-238O14.7,0.7077324787722298,VGLL4L,0.7123176949949415,RPL35,0.7007397330007273,ZEB1A,0.8015291870278184,OTX1A,0.8657962553381775,ABCA1B,0.7200765049497249,SI:DKEY-261M9.15,0.8264639180828195,CASP8,0.8829829178311971,SI:DKEY-16M19.4,1.0520819592459925,RAB3IL1,0.6010289503126248,HSP70L,0.558889174616583,ICE1,0.7929945627771225,JAG1B,0.8895015123657182,CPE,0.6383820684903018,ZGC:171759,0.9020036043688345,SMAD9,0.8865798220881342
