,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4
0,OTUD4,1.249531863846055,LYRM1,2.5473792055948317,KRT4,1.5154260581802266,TA,2.317524466067755,SI:RP71-45K5.2,1.172185212607056
1,SI:CH1073-159D7.7,1.2248083957105298,AGRP2,2.2061653623264754,KRT92,1.4384705259857926,EVE1,2.0754863831738115,TDRD7A,1.1184246144114358
2,SI:CH211-113A14.16,1.218795026442972,RAPGEF6,2.1619833845341123,KRT18,1.4362287680968677,WNT11,1.9433458926840899,BTG4,1.1094345746410255
3,SI:DKEY-23A13.4,1.1688714073439,ANO9A,2.138101889900962,LYE,1.4340174386778144,CDX4,1.807010044522511,DDIT4,1.0499737030717784
4,PPIB,1.1639296125894028,CABZ01084942.1,2.1227534391396072,KRT5,1.432603886734299,ZNF703,1.7288898456012347,RPAIN,1.03201699270094
5,ZGC:158463,1.1631838761046007,MYO3A,2.1003361242871463,KRT97,1.4143097742696975,AXIN2,1.4972375090543102,SI:DKEY-11O15.10,1.0220119195031268
6,SI:DKEY-234I14.20,1.1603024840518255,SI:CH73-195I19.3,2.049718761442223,MID1IP1A,1.401923146292925,TPBGA,1.4894213528399467,CLDNG,1.0040499776555063
7,SI:CH73-1A9.3,1.1363305219833373,ZGC:171775,1.9252803273875048,CLDNE,1.3969707683291652,SP5A,1.484569728285652,ZGC:56231,0.9887529575284764
8,SI:CH211-242H13.4,1.1291903412754312,TOP1,1.8538270812864202,KRT8,1.3635758089062846,MSX1B,1.4562866606215303,HSP90AA1.2,0.981391679151088
9,SI:DKEY-153M14.1,1.12052156888873,ZGC:173587,1.821513587131228,ZGC:101000,1.3520765158170904,MIXL1,1.3138022745613867,SI:DKEY-163F14.5,0.9706929263387927
10,DUT,1.111428870004001,DIABLOA,1.808992642356157,SI:CH211-125O16.4,1.338511208972228,GBX1,1.2808598190933693,SLC25A25A,0.9516469239555657
11,SI:DKEY-23A13.15,1.1095279957011486,FNIP1,1.7758548786074004,CEBPB,1.3294829961718635,ZNF503,1.2187716872650007,SI:DKEY-1D7.3,0.940590992769272
12,SI:DKEY-16M19.4,1.1093587500405846,HNRNPA0B,1.771673355713082,ZNF185,1.3157006561207922,IM:7138239,1.1729778098805113,ZGC:77112,0.9327162452132038
13,RPL12,1.107613501088309,NME2A,1.6469565244874984,EPS8L1,1.3109841813803191,DLD,1.1643577224936914,LSM14B,0.9191375851076771
14,SI:CH211-222L21.1,1.0979363498829389,GPRC5BB,1.5821454844126963,CLDN23,1.2874709425950797,ATP1B3A,1.1137545281549182,MID1IP1L,0.8966110408253125
15,SI:DKEY-122C11.4,1.0975666360688578,HUWE1,1.540369772395593,FTR83,1.275216440112364,ZIC2A,1.0783852042773392,NANOS3,0.8850388939945706
16,SI:DKEY-95P16.2,1.0890107076319688,NRXN1B,1.523887934632915,ZGC:193505,1.270538270956831,NHSL1B,1.0675038907765582,LPCAT4,0.8777267727850472
17,SI:CH211-147G21.5,1.0884751458107964,KLHL22,1.5047636014821708,MGLL,1.2307995276158787,APOC1,1.0504074586880177,FHDC3,0.8720232431542224
18,SI:DKEY-53F14.4,1.0880485348663915,CPE,1.4617557434651203,KLF17,1.2304017521252173,VED,1.047895600891121,PGK1,0.8718917064204348
19,SI:CH211-272F15.5,1.0861777420166987,PON1,1.4293584369055305,EVPLA,1.2265166300017571,PRICKLE1B,1.0197090226959322,NEK2,0.8684303592264583
20,KIAA0101,1.0794153124048609,CYR61L2,1.354698324250334,FA2H,1.2205115949439913,HES6,1.0170350611601089,BCL2L10,0.8626897828764459
21,SI:DKEY-206L1.3,1.0751063844750934,SETD2,1.2769449051796988,FTR82,1.2118272293825045,HER1,1.0015709606017362,CTH1,0.8616342379772921
22,SI:CH211-195B11.4,1.0722664275504932,CABZ01001464.1,1.2592893708016437,CLDNB,1.2104563070894236,MSX3,0.9878551838899788,SLBP2,0.8516609958250212
23,ELAVL1,1.0697626582017548,PCNT,1.2548838958191078,SI:DKEYP-67A8.4,1.2069047116721645,SZL,0.9820041516404231,CA15B,0.8494589900836711
24,FTL,1.0678150139509368,POLR2A,1.2494509398492637,FUT9B,1.1729337407867506,ARL4AB,0.9523619904702488,RAD18,0.8440972490475934
25,TSR2,1.0669184740448503,MLXIP,1.2315688170992276,CYT1L,1.1722519947987708,SP5L,0.9453983356869531,ACTL7A,0.844076833118097
26,SI:DKEY-261M9.17,1.0651398172543765,SI:DKEYP-79B7.4,1.2253432265698343,GRHL3,1.169689904896728,LEF1,0.9446371014553222,SI:DKEYP-114G9.1,0.838904176012796
27,SI:CH211-7C8.2,1.064103080858614,CHD7,1.2239318822418879,ZGC:153911,1.1647994924173084,WNT8A,0.9130627814396861,CIARTA,0.8385180527068005
28,RPL6,1.063995626209424,ZNF1057,1.2157989983917905,PERP,1.162118741834068,SI:DKEY-27I16.2,0.8999270935501588,PATL2,0.8263124547010191
29,SI:CH211-194E1.8,1.063429695457934,SI:CH211-241E1.5,1.203704358962601,CYT1,1.148996343522104,SI:DKEY-149I7.2,0.8979077492203603,BMI1B,0.8113587182758114
