,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
0,OTUD4,1.2513688101202214,LYRM1,2.547062329733228,KRT4,1.508673342082575,TA,2.3567679822444907,SI:RP71-45K5.2,1.147978456513952,SI:DKEY-28A3.2,1.1171017456610468
1,SI:CH73-1A9.3,1.2401982458533085,AGRP2,2.2056994406070523,KRT5,1.4300683784146002,EVE1,2.1007749597975773,BTG4,1.1173222571365575,KCNK4,1.0431699324520531
2,PPIB,1.2144792423108473,RAPGEF6,2.148262217136049,KRT92,1.4281984977216935,WNT11,1.9505570026942072,DDIT4,1.0668379318128771,FTR36,1.04245495544093
3,SI:CH211-222L21.1,1.2108251058992368,CABZ01084942.1,2.1248754691059957,KRT18,1.426741460968297,CDX4,1.83632995494604,SI:DKEY-11O15.10,1.0209633242854237,HS3ST3B1B,1.0327591445548587
4,KIAA0101,1.2050590305786864,MYO3A,2.0911768821706547,LYE,1.4158095646042541,ZNF703,1.7547715315191545,RPAIN,0.9911780112534839,JAG1B,1.0301273634636592
5,SI:DKEY-16M19.4,1.2000935360331126,ANO9A,2.088959307517778,KRT97,1.4061331861731847,AXIN2,1.5233163840636887,HSP90AA1.2,0.9822634216478516,NRXN1B,1.002872169329639
6,SI:DKEY-23A13.4,1.1869816554783075,SI:CH73-195I19.3,2.0473243951939537,CLDNE,1.3925491279614688,SP5A,1.5186854101286618,TDRD7A,0.9815686380553491,SI:CH211-171H4.5,0.973025703644667
7,SI:DKEY-95P16.2,1.1839551110669484,ZGC:171775,1.9093682427341898,MID1IP1A,1.3823520651503374,TPBGA,1.5123391838169338,CLDNG,0.9617671422489522,SI:DKEY-186O21.1,0.9711114778213886
8,SI:CH211-113A14.16,1.1799907219983896,TOP1,1.8496176323235092,KRT8,1.3609615264293065,MSX1B,1.4780384295246367,ZGC:56231,0.9512705705692587,RHD,0.952858337522128
9,FTL,1.1780199201336374,ZGC:173587,1.8219621436739064,SI:CH211-125O16.4,1.3498611947363555,MIXL1,1.3401804728695288,ZGC:77112,0.9509682359674633,TNFAIP8L2A,0.9520347910646629
10,RPL6,1.1668086961393735,DIABLOA,1.8086277626247882,ZGC:101000,1.3472127230484618,GBX1,1.3074225618227804,SLC25A25A,0.9503463884585814,RYR1A,0.9444530074653563
11,ZGC:158463,1.1601579611488735,FNIP1,1.7894760815837416,ZNF185,1.3348852043228356,ZNF503,1.2497636304037059,SI:DKEY-163F14.5,0.9430182839044015,GRB7,0.9432588609704663
12,TSR2,1.159894905650205,HNRNPA0B,1.7816795189642252,CEBPB,1.328395293255162,IM:7138239,1.1919143406530388,SI:DKEY-1D7.3,0.9299769241218618,CPE,0.9240206214105128
13,GTF2H5,1.1591920616430842,NME2A,1.6101503406447428,EPS8L1,1.3229110884867088,DLD,1.1767163895382748,LSM14B,0.8938799805726023,CNNM1,0.9218811274130365
14,DUT,1.158541148314112,GPRC5BB,1.587660857534732,CLDN23,1.2967427596968144,ATP1B3A,1.1324411948498172,MID1IP1L,0.8766615356133677,SI:DKEY-48G21.5,0.9063400042661344
15,ALDOB,1.1560222811879863,HUWE1,1.5174475466962791,FTR83,1.2685477361455422,ZIC2A,1.1117427828714752,NANOS3,0.8718875499604379,SI:CH211-178N15.1,0.8966610640364899
