,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6
0,GDF3,1.108309753330839,LYRM1,2.5345811058194943,KRT4,1.46401871332664,TA,2.344142233577695,TDRD7A,1.218415536852324,SI:DKEY-28A3.2,1.1728378267232187,OTUD4,1.1788232418452638
1,RHEBL1,1.0827611888857196,AGRP2,2.1954611708243466,KRT18,1.4323354450107517,EVE1,2.0903450662809506,NANOS3,1.174733509909278,JAG1B,1.0918686129346773,SI:CH211-242H13.4,1.1625080866540811
2,CR391944.1,1.0389028617942286,RAPGEF6,2.142662898968755,LYE,1.4205184177171288,WNT11,1.9346118221877386,BTG4,1.1463005935697048,FTR36,1.0854213486884041,PRKRIP1,1.0852141216910367
3,ALDOB,1.0388393016732527,CABZ01084942.1,2.1127208241623654,KRT92,1.4143523628230934,CDX4,1.8135927421395155,HSP90AA1.2,1.1054431663029705,HS3ST3B1B,1.084279219901214,SI:DKEY-153M14.1,1.0176293093370885
4,NCALDA,1.0283081366479383,MYO3A,2.1001738114556536,MID1IP1A,1.3944582297523285,ZNF703,1.7463405677373696,ACTL7A,1.0678464150282418,KCNK4,1.0687048579605782,HSP90AB1,1.0099736848694176
5,SI:CH211-195B11.4,1.0088554959690734,ANO9A,2.084899393539426,KRT5,1.3915701807309546,TPBGA,1.5207886284251342,CA15B,1.0467359011016597,TNFAIP8L2A,1.0173359478980524,SI:DKEY-23A13.4,1.0033002838905485
6,RGS3B,1.0066974933331108,SI:CH73-195I19.3,2.0636679714134076,KRT97,1.3810248318164022,SP5A,1.5182006304922953,CLDNG,1.0441569124519632,SI:DKEY-186O21.1,1.0022439452913152,SI:DKEY-108K21.12,0.9999107728239365
7,CR450785.2,0.9914443235113998,ZGC:171775,1.8886524006719028,CLDNE,1.3762439609233215,AXIN2,1.5034799775529413,MID1IP1L,1.0377077855959465,CNNM1,0.9956940921924563,SI:CH211-117M22.2,0.9933506660097503
8,BZW1A,0.9890901340359463,TOP1,1.8235326561137641,ZGC:101000,1.367605023316487,MSX1B,1.4737279049042764,SI:DKEY-163F14.5,0.9696689471565854,GRB7,0.9848624155405213,PPIB,0.9763898855707798
9,RAC1A,0.9887177206785251,ZGC:173587,1.8180802724221623,SI:CH211-125O16.4,1.3627685954931195,MIXL1,1.3343719942127272,ZGC:158852,0.9664458314818964,NRXN1B,0.9795310095654585,SI:DKEY-23A13.15,0.9689371018266202
10,BX640584.2,0.9885946342163323,HNRNPA0B,1.8046524282404193,KRT8,1.3450573936342678,GBX1,1.2979155860442797,SI:RP71-45K5.2,0.9646317672375939,RHD,0.9611411015401742,ZGC:158463,0.950097978368578
11,SI:DKEY-199M13.4,0.9872418653965402,DIABLOA,1.8027382888562886,CEBPB,1.3414177808323027,ZNF503,1.243101767647899,DND1,0.9182006602495882,SI:CH211-171H4.5,0.9527552060898847,STM,0.9493342954391678
12,BX901907.2,0.9794188505283158,FNIP1,1.7765385616152154,EPS8L1,1.32684253847209,IM:7138239,1.188463797342227,FHDC3,0.906222721945819,CPE,0.9508575856992549,GTF2H5,0.9449233205613645
13,SI:DKEY-156K2.3,0.9781657817405676,NME2A,1.6032623182056083,ZNF185,1.303598399449769,DLD,1.1318555572997364,RPAIN,0.8952440746122852,LAMC1,0.9325670961438011,DUT,0.9444185453872197
14,SEPT12,0.9770473893920918,GPRC5BB,1.594661648178617,CLDN23,1.2882660772832109,ZIC2A,1.107067576781298,DDX4,0.8927210193040833,SI:CH211-178N15.1,0.9237082312228105,KIAA0101,0.9424850659783232
15,PRMT1,0.9766801622970857,HUWE1,1.5155530669333832,ZGC:193505,1.2753860626987013,NHSL1B,1.0921916488835297,SLC25A25A,0.8881455698883173,PARP6A,0.9064434128361567,SI:CH211-113A14.16,0.9340401789876701
16,SI:DKEY-95P16.2,0.9742939631696468,KLHL22,1.37996072348271,FTR83,1.2571521503296816,ATP1B3A,1.0742467392167028,SI:DKEY-261J4.3,0.8745098431063977,HSD17B2,0.9060413521320583,SI:CH211-194E1.8,0.9247976430975338
17,SI:CH211-190K17.31,0.9738794581031088,NRXN1B,1.3715968179486244,KLF17,1.2550813795828992,APOC1,1.039923498719176,SI:DKEY-11O15.10,0.8737237091726242,NCOA7,0.9058108762584419,FTL,0.9225970115753507
18,SI:DKEY-15H14.4,0.9602582550485812,CPE,1.340210729881815,EVPLA,1.2405742175821992,PRICKLE1B,1.0251494656279085,SKA2,0.8683062971603119,RYR1A,0.9053999721418529,EIF5,0.9146751070030222
19,SKP2,0.9537987364630003,PON1,1.3289610779814127,FA2H,1.2363390524103801,HES6,1.0215126500345537,BMI1B,0.8589998505118878,SI:DKEY-58J15.10,0.9021668409306701,RPL12,0.9130560503394279
20,ZIC2B,0.9477029796262779,CABZ01001464.1,1.2926585149862297,CLDNB,1.2189402991743004,VED,1.0195168102172318,NEK2,0.8378026981674337,SYNGAP1A,0.9010413822447949,U1,0.9125840343249705
21,SLC38A3B,0.9446720073102249,CYR61L2,1.255648555782691,MGLL,1.2152765284837803,HER1,1.0012275085395705,ZGC:56231,0.8335683251448297,PDLIM5A,0.8881532166049111,SI:DKEYP-3B12.10,0.9103153049207335
22,SI:CH1073-80I24.3,0.9435914969523126,ZNF1057,1.2275092526755411,FTR82,1.2125008255437033,MSX3,0.979994712674303,MAP7,0.8333067026701437,RNF213,0.8774048866261203,SI:DKEY-234I14.20,0.9088364020691934
23,SSBP3B,0.9411127678648303,SI:CH73-46J18.5,1.222959324295243,SI:DKEYP-67A8.4,1.2088113501248798,SZL,0.9641138860607202,MAP1LC3C,0.8278044520643804,CR361561.2,0.8734209667571766,CLIP4,0.9066591502423428
24,BX324155.1,0.9385963808628657,SETD2,1.2117976680351068,FUT9B,1.2081283208232936,SP5L,0.9604370314252686,ZGC:77112,0.823248785970615,CSF1RB,0.8649846099489953,CDKN1BB,0.8967054850372228
25,SI:DKEY-30F3.2,0.9358003604066608,MLXIP,1.2027960360153633,GRHL3,1.1992375823810373,LEF1,0.9587179718821839,PGK1,0.819201663528752,ZNF644B,0.8600518928601698,SI:CH1073-159D7.7,0.896490970196143
26,SOX3,0.9350828681784719,ZNF1068,1.2025622810107248,PLEKHF1,1.1799121171670157,ARL4AB,0.9407022957768504,CTH1,0.8169250841698709,BX546500.1,0.8512224279031086,SI:DKEY-261M9.17,0.8939905542715242
27,SI:CH211-170D8.2,0.9318687627174569,CHD7,1.201704059748911,CYT1L,1.1770455630235472,WNT8A,0.900643369926155,CLDND,0.8125718349363497,GRNAS,0.8488193693427557,SI:CH211-113A14.10,0.8868540949439666
28,SI:CH211-271G18.4,0.9300236900251343,SI:CH211-241E1.5,1.1980843615039183,ZGC:153911,1.1677117515635675,LAMB1A,0.895538646597101,LPCAT4,0.7992276865860731,JAKMIP2,0.8398687445460166,SI:CH211-272F15.5,0.8860970903847433
29,SOX2,0.9280002977827992,POLR2A,1.1883034196362308,HSD17B14,1.1467180370155026,VENT,0.8946975641837076,ANKRD12,0.7987036366484842,PHYHIP,0.8392920655459051,TOP1L,0.8749365197054002
