,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7
0,GDF3,1.055215402929491,LYRM1,2.564337073087629,KRT4,1.4617897935760793,TA,2.3256160013422997,TDRD7A,1.2632375281466173,SI:DKEY-28A3.2,1.1954709403666923,OTUD4,1.2317624530666635,SOX2,1.1035650546085345
1,SI:DKEY-15H14.4,1.0393557378353653,AGRP2,2.2137290593514,KRT18,1.4363704527083365,EVE1,2.05404967662884,NANOS3,1.23392085105391,JAG1B,1.0993635897605463,SI:CH211-242H13.4,1.1405755707076184,PRDM14,1.036664165723507
2,RHEBL1,1.0117382810091051,RAPGEF6,2.1656391864139546,KRT92,1.4307014822831157,WNT11,1.926079832411747,ACTL7A,1.1182552628561042,HS3ST3B1B,1.094255653824354,PRKRIP1,1.1247802041147388,ZIC3,0.9374771601058975
3,SI:CH211-190K17.31,1.0012190955011078,CABZ01084942.1,2.1402848559295378,LYE,1.3986006194389826,CDX4,1.8078375335688643,BTG4,1.092653834977552,FTR36,1.0856209460370663,SI:DKEY-153M14.1,1.0588587633128141,PCDH18B,0.8560336434005749
4,MKRN4,0.9912495129230744,MYO3A,2.116257740587477,KRT5,1.385280079749591,ZNF703,1.7326120248047274,CA15B,1.083087134639872,KCNK4,1.050062817460483,SI:DKEY-108K21.12,1.0412279493869634,MCM6,0.8225098060971519
5,BZW1A,0.98367510019123,SI:CH73-195I19.3,2.083092999114954,MID1IP1A,1.3805807705891506,TPBGA,1.523289116722821,DND1,0.98800636042605,CNNM1,1.015435424475067,HSP90AB1,1.0409760297168944,SLC38A5B,0.8214728583923336
6,NCALDA,0.9604972416852599,ANO9A,2.0499518968751658,ZGC:101000,1.373781771935335,SP5A,1.5062895478465745,MID1IP1L,0.9562354587797222,SI:DKEY-186O21.1,1.0093750902140206,SI:CH211-117M22.2,1.0375274686535187,ADMP,0.8136769929351716
7,P4HB,0.9562183210470875,ZGC:171775,1.9034956180054998,CLDNE,1.3713498005162572,AXIN2,1.4946056615853376,CLDNG,0.9344404365590373,TNFAIP8L2A,1.0032195876092511,PPIB,1.0359511225411469,SP5L,0.7700692926099577
8,ZNF1060,0.9485320567143984,TOP1,1.8430304584099635,KRT97,1.369226382262089,MSX1B,1.461765018140366,SLC25A25A,0.9127164250909854,GRB7,0.9973138304160817,SI:DKEY-23A13.4,1.0343116350781796,FP236812.1,0.7618501440193749
9,BX640584.2,0.9390652566595157,DIABLOA,1.8176767214602179,SI:CH211-125O16.4,1.3632915064721485,MIXL1,1.3370160079019926,BMI1B,0.9082391234774907,NRXN1B,0.9971608701632472,SI:DKEY-23A13.15,0.9960556513469604,SEPT12,0.7569494941362873
10,ZNF1040,0.9220456525535788,FNIP1,1.7856379850242041,CEBPB,1.344046448406217,GBX1,1.2842310848668754,HSP90AA1.2,0.9055584698161032,CPE,0.9696515139369553,GTF2H5,0.9931064605683241,SLC38A3B,0.7547566662115127
11,CR450785.2,0.9137280698923775,HNRNPA0B,1.7797555128925966,KRT8,1.338226014856757,ZNF503,1.233235639363062,SI:DKEY-11O15.10,0.9034179823194227,SYNGAP1A,0.9606952810804661,ZGC:158463,0.9907202369703537,CABZ01070258.1,0.7425309078222108
12,BX005448.2,0.9128431109642655,ZGC:173587,1.7752671030117038,EPS8L1,1.3225139241637247,IM:7138239,1.1695268019434766,ZGC:158852,0.9016478693576523,RHD,0.9580917686628309,EIF5,0.9820010094260687,LFNG,0.7355195939888461
13,CR391944.1,0.9046202290658206,NME2A,1.635677674736151,ZNF185,1.2991455452758762,DLD,1.1292517746832786,DDX4,0.8982542065979446,SI:CH211-171H4.5,0.9508967714289536,DUT,0.9664921476928074,RGS3B,0.7340994197098364
14,SI:DKEY-30F3.2,0.9006991437609717,GPRC5BB,1.6224632397637246,CLDN23,1.280016511572607,ZIC2A,1.0704877618451085,SKA2,0.8948334781530461,LAMC1,0.9240974771097767,FTL,0.9639622138024904,ZIC2B,0.7248519587676733
15,FAM78BB,0.9002402466316476,HUWE1,1.4778239402164086,ZGC:193505,1.2699903964074362,NHSL1B,1.0643270157339197,SI:RP71-45K5.2,0.8880711765747411,HSD17B2,0.920082928048768,KIAA0101,0.9617948289325818,PFKFB4B,0.7136045280685805
16,BIRC5B,0.8996818743567534,KLHL22,1.3676890671851663,FTR83,1.251670499195914,ATP1B3A,1.054133195137701,FHDC3,0.8722047842603226,SI:CH211-178N15.1,0.9136164137883703,RPL12,0.9605635525981565,PKDCCB,0.7134956156905291
17,RAC1A,0.8973774536247029,NRXN1B,1.3557316546059748,KLF17,1.2505977708404303,PRICKLE1B,1.0143847416431964,NEK2,0.8317763519655837,SI:DKEY-58J15.10,0.9115691618323034,STM,0.9589398774292773,PCDH1B,0.7127540864306017
18,BX324155.1,0.8922733816461262,PON1,1.3400778043709578,FA2H,1.240498631498773,HES6,1.0089699985462834,SI:DKEY-163F14.5,0.8235348854206989,PARP6A,0.8868953312668181,SI:DKEY-234I14.20,0.955486557221009,OTX1A,0.709261023812195
19,DDX17,0.8843667112474523,CABZ01001464.1,1.3236265998081709,EVPLA,1.231391931245134,APOC1,1.0083450393189686,ANKRD12,0.8192266226925712,NCOA7,0.8866745104333459,SI:CH211-194E1.8,0.9535983857966165,CX43.4,0.7090138407862847
20,WEE2,0.8788889924563976,CPE,1.3108066503137177,SI:DKEYP-67A8.4,1.2237825577367942,HER1,1.0002075228422886,ZGC:56231,0.8129494401462181,BX546500.1,0.8806066965666854,SI:CH211-113A14.16,0.9534680480270447,ZGC:163040,0.7041174273773434
21,SI:DKEY-221L21.2,0.8716869968593098,CYR61L2,1.2698006961868264,FUT9B,1.21421840965616,SP5L,0.9810007748830735,LPCAT4,0.8066562401054895,RNF213,0.8777704315497513,SI:DKEY-261M9.17,0.9476644767459167,SI:CH1073-80I24.3,0.703107623909176
22,ADGRE10,0.8711807139671739,SETD2,1.2218264146170477,MGLL,1.2136541602560178,VED,0.9737303318053567,RPAIN,0.803579283218341,RYR1A,0.869420740181911,U1,0.9454109078515793,TCF7L1A,0.7029727775836594
23,SI:DKEY-1D7.3,0.870926470318062,MLXIP,1.2125395314712286,GRHL3,1.204508122337372,MSX3,0.9500517544077764,BOKB,0.799495377600799,PDLIM5A,0.8621951435833716,SI:DKEYP-3B12.10,0.9421857721705498,H2AFX,0.6912530491270936
24,ZGC:91910,0.8705783991997963,SI:CH211-241E1.5,1.2100704147814403,CLDNB,1.1939306007360233,LEF1,0.9437499463496188,MAP7,0.794475973972053,JAKMIP2,0.8556131906842852,CLIP4,0.931655381364686,KIF26AB,0.6890111246947008
25,SUPT4H1,0.8702465322891808,SI:CH73-46J18.5,1.2051659176605058,FTR82,1.1922245243865914,ARL4AB,0.9331734007240303,CNOT4B,0.7791077238732531,ZNF644B,0.8553002832891817,CDKN1BB,0.9310242881261078,ADD3B,0.688108625986127
