,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10
0,BX005448.2,1.0513522403434603,LYRM1,2.485700356264607,KRT4,1.411285541269453,TA,2.2815939511766694,NANOS3,1.2765040109821646,SI:DKEY-28A3.2,1.3887753341919158,SI:CH211-242H13.4,1.2217947568554506,CHD,1.8114092463053058,SI:CH1073-80I24.3,1.0530024969142366,PHLDA3,1.3731030107291398,SI:DKEY-261M9.17,1.388236398505234
1,SI:DKEY-15H14.4,1.006678296896725,MYO3A,2.1887388946845205,KRT18,1.4013886731059906,EVE1,2.0713117821265783,TDRD7A,1.2298676346187016,JAG1B,1.1998065270987366,PRKRIP1,1.024998712717165,FOXD3,1.3353084392525612,SI:CH211-139K8.4,0.9957827645200988,MDM2,1.193133225753367,HIST2H3C,1.3054504772626963
2,GDF3,1.0017875815250812,AGRP2,2.1343822794253997,LYE,1.3847007697965699,WNT11,1.925279974083785,HSP90AA1.2,1.1482451211511657,HS3ST3B1B,1.1842984779721,PPIB,0.9401551513636648,ADMP,1.3051150044094624,SI:DKEY-188C14.4,0.942557431088001,SI:CH211-260E23.9,1.0472903812969574,SI:CH211-113A14.10,1.2780487062959862
3,SI:CH211-190K17.31,0.9888808978532125,RAPGEF6,2.130168423711726,KRT92,1.3674547639377004,CDX4,1.7962811787208268,DND1,1.0328164991078803,NRXN1B,1.129829116856025,HSP90AB1,0.9023844857512962,CDH2,1.0058582149188886,PRDM14,0.8543528937620898,FOXO3B,0.9922196983697478,SI:CH1073-159D7.7,1.244754218449322
4,BX324155.1,0.9800667505669902,SI:CH73-195I19.3,2.0906447783777384,MID1IP1A,1.3582836701064245,ZNF703,1.7463277734496523,ACTL7A,1.0120254506027124,SI:DKEY-186O21.1,1.128153634559602,GTF2H5,0.9006744001685847,ZIC3,0.9659958082118215,SI:CH211-222L21.1,0.8251517554947465,CTSH,0.9865978555030653,SI:DKEY-108K21.14,1.2200931916409514
5,NCALDA,0.9727277041814151,CABZ01084942.1,2.065416071869848,CLDNE,1.34228930558014,AXIN2,1.4976776327070447,BTG4,1.011061078171594,HSD17B2,1.0980028607635524,OTUD4,0.8997447559303656,FOXB1A,0.9501961572207529,MAP2K6,0.8245460566930186,APLNRB,0.9813165870479456,ZGC:153405,1.1796290817754107
6,SI:DKEY-30F3.2,0.9483940841646558,ANO9A,2.0617146195517195,KRT5,1.3390244243289116,SP5A,1.486351796604692,CA15B,0.9481278856873591,CPE,1.0922245791553766,EIF5,0.8725053944746277,GSC,0.9421135261423902,UBA52,0.8244651675644684,RBL2,0.970516406769518,SI:CH211-113A14.15,1.1778244495571584
7,RHEBL1,0.9350460534915394,ZGC:171775,1.8297194908125414,ZGC:101000,1.3280849752885195,TPBGA,1.4851879264275731,SI:DKEY-11O15.10,0.9476859806489384,SYNGAP1A,1.0846940202840294,FTL,0.8673805713665991,PRICKLE1A,0.9223159140789076,RPS15A,0.7883540927518843,SESN3,0.9455507197613189,SI:CH211-113A14.24,1.152010525881368
8,MKRN4,0.9333829216013572,FNIP1,1.8064666270659404,SI:CH211-125O16.4,1.3217711407118764,MSX1B,1.4706390538037892,SKA2,0.8857239735908687,CNNM1,1.0755946540593542,STM,0.8442539075917099,FOXD5,0.8946621988626478,APOEB,0.7830654497225871,BCL2L14,0.8866351351232987,SI:DKEY-108K21.21,1.1259586401354518
9,CR391944.1,0.9317270275979495,TOP1,1.7844615326405984,CEBPB,1.3197678072461525,MIXL1,1.346098121710402,FHDC3,0.8755009333559073,BX546500.1,1.0730142671554133,RPL12,0.8342722442311441,IER2,0.8689261608821762,SI:DKEY-95P16.2,0.7799297057083889,CASP8,0.8669622981260136,SI:DKEY-23A13.15,1.09968953547446
10,ZNF1060,0.9151955929757347,ZGC:173587,1.741573307191089,KRT97,1.3167094339508716,GBX1,1.2714473105127069,CLDNG,0.8558641536415993,CAMSAP2A,1.0571588655910868,SI:DKEY-234I14.20,0.833894756895584,NOTO,0.8497915635169364,POLR3GLA,0.7715233226056476,TP53INP1,0.834093937348831,ZGC:165555,1.0184463477653447
11,BZW1A,0.9105492549342227,DIABLOA,1.727189978124605,KRT8,1.293111383429184,ZNF503,1.2113504625120717,BOKB,0.8503608487764421,FTR36,1.048624661794748,CDKN1BB,0.8294780923372894,ZEB1A,0.8198263481652187,PCDH18B,0.7712325816349758,SESN1,0.7910263030703328,FP236812.2,0.9892410188587599
12,P4HB,0.9054032955473018,HNRNPA0B,1.6956720981806108,EPS8L1,1.2872284422928544,DLD,1.179942354556048,ANKRD12,0.8462611020801808,GRB7,1.0297190559468015,SI:DKEY-48G21.5,0.8233427413025206,DACT2,0.7925344510150263,FAUA,0.7581973290969883,ZGC:64022,0.7707320708017731,SI:DKEY-261M9.11,0.9746628751829002
