,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14
0,GATA2A,1.1767490444883166,LYRM1,2.590195262902069,KRT4,1.3689859596852787,TA,2.385117112742787,NANOS3,1.5611538222765615,SI:CH211-242H13.4,1.3705394249466465,SI:DKEYP-3B12.7,0.8762993534925858,CHD,1.5437827297019389,SI:CH1073-80I24.3,0.8209107940773478,SI:DKEY-28A3.2,1.1491331264308924,SI:DKEY-261M9.17,1.6651348679261808,PHLDA3,1.3830642403807645,HSP90AA1.2,1.8092710445720424,TELO2,0.7481067859114531,RHEBL1,1.0925381797138292
1,BMP4,1.1269121214897628,MYO3A,2.3249401193159303,KRT18,1.3564666340973566,EVE1,2.093777434398495,TDRD7A,1.3971867018139432,SI:DKEY-234I14.20,1.0101669833467157,KIAA0101,0.8630554989172491,ADMP,1.3516948709959733,SI:DKEY-95P16.2,0.8165611268299718,BX546500.1,1.1095486093147442,HIST2H3C,1.4393398436178004,MDM2,1.1663460599180244,HSP70.3,1.18214118054612,AFP4,0.7330162104796192,SI:DKEY-199M13.4,0.9754228109319406
2,APOC1,1.1060471404900007,RAPGEF6,2.297594206601239,CLDNE,1.3418844939210186,WNT11,1.9326827837111675,DND1,1.3696284874918456,SI:DKEY-48G21.5,0.9658877542086679,PRKRIP1,0.8329511228505617,FOXD3,1.3363453734743036,SI:DKEY-16M19.4,0.7990175585553261,SYNGAP1A,1.108630565569407,SI:CH211-113A14.10,1.3465070402103545,SI:CH211-260E23.9,1.0867436038086662,HSP70.1,0.8619994768724198,SLC3A2B,0.6809714499535308,GDF3,0.9732967020225463
3,SZL,1.103486156588335,CABZ01084942.1,2.2298007155970545,KRT5,1.3371598763293293,CDX4,1.8246486433843518,ACTL7A,1.3220829900996263,RNASEP_NUC,0.8915484010514344,HSP90AB1,0.8124926884366218,ZIC3,1.1912932140285655,SI:CH211-195B11.4,0.743573051152367,PLECA,1.075087562620581,ZGC:153405,1.1724822033837032,APLNRB,1.0206120518109731,CABZ01080568.1,0.7867645483026174,SRRD,0.6646771781834269,SI:DKEY-15H14.4,0.9618584281836936
4,BMP7A,1.030862414627195,AGRP2,2.2002398891491524,MID1IP1A,1.3203510703487296,ZNF703,1.7889769316503694,DDX4,1.146413397918516,SI:DKEYP-55H4.2,0.8356688481647745,OTUD4,0.8092764439914035,PRICKLE1A,0.9623787654716506,MAP2K6,0.7266607750693159,JAG1B,1.0275765094172484,SI:DKEY-23A13.15,1.1443125932700937,FOXO3B,1.0097730484889507,HSP70.2,0.7551846361394714,SI:CH211-117I10.10,0.6589678447596484,NCALDA,0.9554301570246289
5,ARID1AB,0.996638354277342,SI:CH73-195I19.3,2.198090595135617,LYE,1.31139322853387,AXIN2,1.5177480670563253,CA15B,1.0605829446482289,PGAM1A,0.8157765058349703,SI:DKEYP-3B12.6,0.7764884992837654,SESN3,0.9201719482749968,SI:CH211-222L21.1,0.7133269216224459,CAMSAP2A,1.0199605814565986,SI:CH211-113A14.24,1.1259585586955745,CTSH,0.9957356858151898,HSPA4A,0.6659718166359324,FGF17,0.6574168057261833,BIRC5B,0.9385902657952039
6,CLUHA,0.9918546195739617,ZGC:171775,2.029644464512224,KRT92,1.3002193726406641,SP5A,1.479116694850332,RGS14A,0.9740851935894715,SI:CH1073-190K2.1,0.7999830534248463,SI:DKEY-261M9.15,0.7756526535306587,FZD8A,0.8860966804665902,ENSDART00000172356,0.7109208503479333,HS3ST3B1B,0.9871299241203971,SI:DKEY-108K21.14,1.1204345091137669,RBL2,0.9914779327080661,SERPINH1B,0.6587685259185575,TSG101A,0.6536365918769893,P4HB,0.9372097733770248
7,FOXI1,0.9858300898751906,TOP1,1.9860982038457151,EPS8L1,1.2760153858317551,TPBGA,1.466561296744876,GRA,0.9234394886075641,SI:CH211-268B13.3,0.7624736318564438,RPS17,0.7701560752779171,ZEB1A,0.8724424568671659,POLR3GLA,0.7047200481411416,NRXN1B,0.9581853174187838,SI:CH1073-159D7.7,1.0660731480675338,SESN3,0.9069077073583215,ZNF1031,0.6493821588157273,SLC7A8A,0.6532554773170689,SI:CH211-190K17.31,0.9150710000045112
8,CBFA2T2,0.9572455992322961,DIABLOA,1.9526568901632322,CLDN23,1.2687689894725565,MSX1B,1.451367325743612,BTG4,0.8874924263288729,EIF5,0.7466689069528282,SI:CH211-113A14.10,0.7695941299744187,CST3,0.8595597694627857,SI:ZFOS-44A5.1,0.703721914750646,CNNM1,0.9520128375364107,SI:CH211-113A14.15,1.0548935797415706,BCL2L14,0.8873735504556378,ADGRE10,0.6465815315964385,RAB3IL1,0.6409545805301338,BZW1A,0.9119816295132439
9,TFAP2C,0.935685513748773,ANO9A,1.950546358562469,ZGC:101000,1.2674240686077263,MIXL1,1.3671135013589393,SKA2,0.8124313888514709,CPN1,0.7332498517061284,SI:DKEY-261M9.17,0.7628128395923928,CDH2,0.825608299222185,SI:DKEYP-3B12.10,0.6873510316477333,HSD17B2,0.9339890420056434,ZGC:165555,1.05147512996538,TP53INP1,0.8665537249425093,SI:DKEY-146C18.5,0.6426342645372992,FTH1B,0.6361594323594949,MKRN4,0.9027944551515332
