,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4
0,OTUD4,1.249531862921932,LYRM1,2.547379207251077,KRT4,1.515426058107603,TA,2.3175244659493393,SI:RP71-45K5.2,1.1721852127309595
1,SI:CH1073-159D7.7,1.2248083947689137,AGRP2,2.2061653637329215,KRT92,1.438470525923655,EVE1,2.0754863830792716,TDRD7A,1.1184246141539433
2,SI:CH211-113A14.16,1.2187950255251523,RAPGEF6,2.16198338594313,KRT18,1.436228768029193,WNT11,1.9433458925828828,BTG4,1.1094345743146776
3,SI:DKEY-23A13.4,1.168871406470234,ANO9A,2.1381018912309617,LYE,1.434017438616439,CDX4,1.807010044418543,DDIT4,1.049973703154661
4,PPIB,1.1639296116356115,CABZ01084942.1,2.1227534405123887,KRT5,1.4326038866717108,ZNF703,1.7288898455189088,RPAIN,1.0320169926878973
5,ZGC:158463,1.1631838752311119,MYO3A,2.1003361256315674,KRT97,1.4143097741779507,AXIN2,1.4972375089816372,SI:DKEY-11O15.10,1.022011919466606
6,SI:DKEY-234I14.20,1.1603024831564395,SI:CH73-195I19.3,2.0497187627779776,MID1IP1A,1.4019231462345203,TPBGA,1.4894213527855964,CLDNG,1.0040499774942304
7,SI:CH73-1A9.3,1.1363305210053554,ZGC:171775,1.9252803286184352,CLDNE,1.3969707682659862,SP5A,1.4845697282213302,ZGC:56231,0.9887529573315866
8,SI:CH211-242H13.4,1.129190340442387,TOP1,1.8538270825179992,KRT8,1.3635758088512089,MSX1B,1.4562866605625524,HSP90AA1.2,0.9813916788671381
9,SI:DKEY-153M14.1,1.1205215680534142,ZGC:173587,1.8215135882845583,ZGC:101000,1.3520765157542554,MIXL1,1.3138022744849889,SI:DKEY-163F14.5,0.970692926234884
10,DUT,1.1114288691193486,DIABLOA,1.8089926435335768,SI:CH211-125O16.4,1.3385112089266626,GBX1,1.2808598190458804,SLC25A25A,0.9516469238888687
11,SI:DKEY-23A13.15,1.109527994896172,FNIP1,1.7758548797593714,CEBPB,1.3294829961125794,ZNF503,1.2187716871764962,SI:DKEY-1D7.3,0.9405909930894341
12,SI:DKEY-16M19.4,1.1093587491950025,HNRNPA0B,1.7716733568158116,ZNF185,1.3157006560142643,IM:7138239,1.1729778098292347,ZGC:77112,0.9327162449594726
13,RPL12,1.1076135002072305,NME2A,1.6469565255686354,EPS8L1,1.310984181301098,DLD,1.1643577224140562,LSM14B,0.9191375851157297
14,SI:CH211-222L21.1,1.0979363490213463,GPRC5BB,1.5821454854285404,CLDN23,1.287470942506842,ATP1B3A,1.113754528069835,MID1IP1L,0.8966110406377927
15,SI:DKEY-122C11.4,1.0975666350967626,HUWE1,1.5403697733782025,FTR83,1.2752164400559842,ZIC2A,1.0783852041871569,NANOS3,0.8850388935440104
16,SI:DKEY-95P16.2,1.0890107066748234,NRXN1B,1.5238879355423125,ZGC:193505,1.2705382709120325,NHSL1B,1.0675038907347434,LPCAT4,0.8777267726854394
17,SI:CH211-147G21.5,1.0884751449679948,KLHL22,1.5047636024057331,MGLL,1.230799527550515,APOC1,1.0504074586301224,FHDC3,0.8720232429586058
18,SI:DKEY-53F14.4,1.088048533965156,CPE,1.4617557443321711,KLF17,1.2304017520234392,VED,1.0478956008464266,PGK1,0.8718917061858789
19,SI:CH211-272F15.5,1.0861777411553217,PON1,1.4293584378528823,EVPLA,1.2265166299489791,PRICKLE1B,1.0197090226156051,NEK2,0.8684303591964638
20,KIAA0101,1.0794153115338914,CYR61L2,1.354698325104945,FA2H,1.2205115948909493,HES6,1.0170350611226369,BCL2L10,0.862689782866303
21,SI:DKEY-206L1.3,1.0751063836423287,SETD2,1.2769449060226283,FTR82,1.211827229319234,HER1,1.0015709605827376,CTH1,0.8616342380026747
22,SI:CH211-195B11.4,1.072266426588151,CABZ01001464.1,1.2592893716263978,CLDNB,1.2104563070224208,MSX3,0.9878551838330122,SLBP2,0.8516609956110252
23,ELAVL1,1.0697626573647774,PCNT,1.2548838966795999,SI:DKEYP-67A8.4,1.2069047116201876,SZL,0.9820041515854017,CA15B,0.8494589897398125
24,FTL,1.067815013092593,POLR2A,1.2494509406498238,FUT9B,1.1729337406683178,ARL4AB,0.9523619904079675,RAD18,0.844097249102104
25,TSR2,1.0669184731180512,MLXIP,1.2315688179191582,CYT1L,1.1722519947531023,SP5L,0.945398335657462,ACTL7A,0.8440768326989766
26,SI:DKEY-261M9.17,1.0651398164024002,SI:DKEYP-79B7.4,1.2253432273793288,GRHL3,1.1696899048552891,LEF1,0.944637101402305,SI:DKEYP-114G9.1,0.8389041762974427
27,SI:CH211-7C8.2,1.0641030800136166,CHD7,1.2239318829953556,ZGC:153911,1.1647994923149643,WNT8A,0.9130627814010635,CIARTA,0.8385180526712691
28,RPL6,1.0639956253235578,ZNF1057,1.2157989991337022,PERP,1.1621187417611194,SI:DKEY-27I16.2,0.8999270935216737,PATL2,0.8263124546361653
29,SI:CH211-194E1.8,1.0634296946348154,SI:CH211-241E1.5,1.2037043597555834,CYT1,1.1489963434735684,SI:DKEY-149I7.2,0.8979077492085132,BMI1B,0.8113587180925917
