,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8
0,GDF3,1.070531209863492,LYRM1,2.5613255661814875,KRT4,1.4490972000170226,TA,2.3316810616256585,TDRD7A,1.27355467929596,SI:DKEY-28A3.2,1.1961108171569825,OTUD4,1.2212829866832897,SOX2,1.07587065801482,PHLDA3,1.3113121385176403
1,SI:DKEY-15H14.4,1.068658701723484,AGRP2,2.2078824409931896,KRT18,1.423693440387081,EVE1,2.056588809716024,NANOS3,1.2651644161652718,HS3ST3B1B,1.0963258347311484,SI:CH211-242H13.4,1.1269298972667048,PRDM14,1.063281400100016,MDM2,1.2207504846944528
2,RHEBL1,1.0456021149551655,RAPGEF6,2.1703301971233167,KRT92,1.4108095366751816,WNT11,1.9333717343919679,ACTL7A,1.1354197379692679,FTR36,1.0859229734567497,PRKRIP1,1.1189762591526624,ZIC3,0.9048164792613347,CTSH,1.0136198710464668
3,SI:CH211-190K17.31,1.0407280898818805,CABZ01084942.1,2.150709033538032,LYE,1.3953152704915628,CDX4,1.8109619464722038,CA15B,1.0921284528432706,JAG1B,1.0841688669390313,SI:DKEY-153M14.1,1.047542201738491,PCDH18B,0.8494121044944233,FOXO3B,0.990398966002688
4,MKRN4,1.022758750986218,MYO3A,2.119349897328068,CLDNE,1.367608617407013,ZNF703,1.7417019894129067,BTG4,1.0820924255189368,KCNK4,1.0606691524577068,HSP90AB1,1.0331802949040476,ADMP,0.8286154568398841,SI:CH211-260E23.9,0.976112709206049
5,NCALDA,1.0211928171424476,SI:CH73-195I19.3,2.0901841767891027,KRT5,1.3674127990832983,TPBGA,1.5290668444622981,DND1,1.0095347644799468,SI:DKEY-186O21.1,1.017196003513207,SI:DKEY-108K21.12,1.0327434575034622,SLC38A5B,0.8126547464908027,RBL2,0.9675399569610772
6,BZW1A,1.0120579861290855,ANO9A,2.040107205074486,MID1IP1A,1.3626842972024522,SP5A,1.5101704981084594,MID1IP1L,0.9192275516511316,TNFAIP8L2A,1.00561164051096,SI:CH211-117M22.2,1.0285542710287152,FP236812.1,0.7983481494133352,SESN3,0.9544670308734086
7,P4HB,0.9989412875327118,ZGC:171775,1.904733578249156,ZGC:101000,1.3526593048553668,AXIN2,1.5024610324838834,SI:DKEY-11O15.10,0.9188554461655144,NRXN1B,1.0040437561281153,PPIB,1.028086236508256,MCM6,0.794530739591457,APLNRB,0.944268429313124
8,ZNF1060,0.9850322008075889,TOP1,1.8439284515580272,KRT97,1.3398834220135767,MSX1B,1.4664607806254462,DDX4,0.9177928561003453,GRB7,0.9940004742420726,SI:DKEY-23A13.4,1.0264620533972793,SP5L,0.777668276319719,CASP8,0.920223893890003
9,BX005448.2,0.9844707515610011,DIABLOA,1.8116659232035335,SI:CH211-125O16.4,1.3372345443454192,MIXL1,1.3472996475203614,SKA2,0.9126977456062735,CNNM1,0.9819468181620754,GTF2H5,0.9856161451660916,LFNG,0.7433878374423696,BCL2L14,0.8660779653221995
10,BX640584.2,0.9709355379941075,FNIP1,1.793504257725129,CEBPB,1.336625183467347,GBX1,1.2951505446584175,BMI1B,0.9107295393970709,CPE,0.9724185152559618,SI:DKEY-23A13.15,0.9830289790076907,SLC38A3B,0.7393094021123858,ZGC:64022,0.83069808190299
11,CR450785.2,0.9651292010008398,HNRNPA0B,1.7679984573039431,KRT8,1.324846563666042,ZNF503,1.2282395912476516,HSP90AA1.2,0.9066996735013613,RHD,0.9594042747771356,ZGC:158463,0.979151760490146,OTX1A,0.7375978644455132,FOXI1,0.8290504511435417
12,SI:DKEY-30F3.2,0.9628586713290093,ZGC:173587,1.7638737216909266,EPS8L1,1.3174906758475393,IM:7138239,1.1745181340232613,SLC25A25A,0.903015861528222,SYNGAP1A,0.9578120905407483,EIF5,0.9675999495891764,SEPT12,0.7242341226567133,IGF2A,0.7861762825463458
13,BX324155.1,0.9470101940158802,NME2A,1.6409291079878956,ZNF185,1.2938921104725531,DLD,1.1384933383231832,CLDNG,0.902769835156956,SI:CH211-171H4.5,0.9574095365620685,STM,0.9564483748617353,PKDCCB,0.7143230109091044,TP53INP1,0.7740400499144553
14,CR391944.1,0.9440459886348859,GPRC5BB,1.626998224715633,CLDN23,1.2771511093967651,ZIC2A,1.084886151967921,ZGC:158852,0.8792683982920094,SI:CH211-178N15.1,0.9196145784352259,FTL,0.9558635334209976,SI:CH1073-80I24.3,0.7141115094204135,EXO5,0.7411876032713594
15,ZNF1040,0.9278018944898222,HUWE1,1.4619079430114892,ZGC:193505,1.264385641319435,NHSL1B,1.066615869535167,FHDC3,0.862753899620727,LAMC1,0.9186396796626352,SI:CH211-194E1.8,0.9550630257027505,LHX5,0.7137528317958406,SESN1,0.7378287821937833
16,FAM78BB,0.9214849481114031,KLHL22,1.359298663271828,FTR83,1.252245413876183,ATP1B3A,1.0444727249755814,SI:RP71-45K5.2,0.8403794284447723,SI:DKEY-58J15.10,0.9123367132627117,DUT,0.9539153239784677,H2AFX,0.7079553215903802,PLEKHN1,0.7291098857859428
17,ADGRE10,0.9206167944589265,NRXN1B,1.3517972705204395,FA2H,1.2368303751097962,PRICKLE1B,1.0274675514383305,ANKRD12,0.8341253255193545,HSD17B2,0.9061462087305154,KIAA0101,0.9508723271895173,PCDH1B,0.707312291441287,RASL11B,0.7261148972904741
18,RAC1A,0.9204389228157642,PON1,1.334141926456918,EVPLA,1.2358874378446139,HES6,1.0080456677538783,BOKB,0.8124362431123073,NCOA7,0.8971766369166801,RPL12,0.9493420061579882,CABZ01070258.1,0.7049324831953889,SLC4A2A,0.7120524822474609
19,WEE2,0.91679214210159,CABZ01001464.1,1.3328505275761744,KLF17,1.2323934710444346,HER1,1.0039163203397516,ZGC:56231,0.8052173627418362,RYR1A,0.8845826608180115,SI:CH211-113A14.16,0.9425216383967708,ZGC:163040,0.7032571222810963,CDKN1A,0.6974742562318691
20,SKP2,0.9056137239735546,CPE,1.303446056753736,MGLL,1.2272489814551084,APOC1,1.0019531893501104,NEK2,0.8029831482168767,PARP6A,0.8843726102801985,SI:DKEY-261M9.17,0.9425034994971917,TIAM1B,0.6999739957165303,E2F7,0.6678853986370323
21,BIRC5B,0.904474881633925,CYR61L2,1.2695056158349762,SI:DKEYP-67A8.4,1.2124202309269105,SP5L,0.9940499972605179,LPCAT4,0.7998399837978242,BX546500.1,0.8803257349098752,SI:DKEY-234I14.20,0.9403183147859532,SI:CH211-139K8.4,0.6976385787743719,GATA2A,0.6657455927935458
22,ZNF986,0.8992276797900113,SETD2,1.2194855110380247,FUT9B,1.2010340173741743,VED,0.9606665226025154,GRA,0.7948991119253958,RNF213,0.8776503964311029,CDKN1BB,0.9318569338431807,PFKFB4B,0.6928857985844793,SI:DKEY-204L11.1,0.6649604809627074
23,ZGC:91910,0.897580618351664,MLXIP,1.2167707770805571,FTR82,1.1910526828641275,MSX3,0.9565960878124776,MAP7,0.7825684915041343,ZNF644B,0.8648983320243632,U1,0.9298340705033394,ZIC2B,0.6925775989089648,SZL,0.6530342281114998
24,SUPT4H1,0.8965962404899147,SI:CH211-241E1.5,1.2150219606765782,GRHL3,1.189253783411272,ARL4AB,0.9417091419833094,SI:DKEY-163F14.5,0.7790898145666705,PDLIM5A,0.8636308138524824,SI:DKEYP-3B12.10,0.9289362251088694,TCF7L1A,0.6901268922118586,SI:CH211-239D6.2,0.6070425105344884
25,DDX17,0.8934167740524972,SI:CH73-46J18.5,1.200954935281633,CLDNB,1.1831811169660753,LEF1,0.9319538843396025,CNOT4B,0.7770677858370407,CSF1RB,0.85919593573004,CLIP4,0.9285389462071382,CDH2,0.6884434883651209,HSD17B2,0.6041992715611376
26,PRMT1,0.8903515371784831,ZNF1068,1.1959253580877798,PLEKHF1,1.1721079538350232,LAMB1A,0.9058928471360763,RGS14A,0.7764365455717995,JAKMIP2,0.8529974042514009,SI:CH211-113A14.10,0.913171593000569,RGS3B,0.6835316169595477,RGS20,0.6006636208422723
