,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14
0,CR318603.2,0.888697914552965,LYRM1,4.768701501325732,SI:CH73-195I19.3,3.116294491326388,RAPGEF6,4.181443710108418,MYO3A,4.1773804566644275,DIABLOA,1.9816091387140224,CABZ01084942.1,1.4848715317335641,GPRC5BB,2.542728469120746,AGRP2,2.1225187532422347,FNIP1,1.21960088947072,ANO9A,1.3291020077099958,SI:CH73-195I19.3,1.6850787641555351,KLHL22,1.072791167126153,ANO9A,2.2325881420035825,NME2A,0.9702749698407249
1,SI:CH211-53F16.1,0.6630812843224972,AGRP2,1.0321748107028552,HNRNPA0B,0.9128035836023097,AGRP2,0.884449569955031,NME2A,1.0987406656303482,CABZ01084942.1,1.395416843226021,NCOA7,0.8948787474994858,NRXN1B,1.452194570269645,FNIP1,1.8341410560508153,SI:DKEY-261M9.17,0.8391351597087561,HNRNPA0B,0.8933210680695947,ZGC:171775,1.5937238719192446,NRXN1B,1.0485021833972668,AGRP2,0.8338754443207956,PON1,0.9256788391702978
2,AGAP1,0.6486752288061634,EVE1,0.7418733591473701,ANO9A,0.7937635172411875,SI:DKEYP-67A8.4,0.6636622651493437,DIABLOA,0.7776625891825941,ZGC:171775,1.3266281105349904,FTR83,0.8912628112381504,NME2A,0.9787714305628759,TOP1,1.358243542447034,TNFAIP8L2A,0.8287279290988439,GBP3,0.7979394229788506,TOP1,1.0345021309857179,PDXDC1,0.7320191972557204,IL6ST,0.8067623979892992,ZNF1082,0.7803483934799483
3,TRIM25L,0.6438771638286449,NUDT4A,0.5823178053981067,CABZ01084942.1,0.7809295911492513,ZGC:173587,0.6478678480582108,VPS13A,0.6741126851584006,RNF220B,0.9107510174722023,ZGC:171775,0.880620192989977,WNT11,0.8946129437629081,SFT2D1,0.8616422627258984,CABZ01084942.1,0.8075666498601951,KRT96,0.7729167847200504,TAOK1A,0.9428527659747821,ZGC:173587,0.6818871930941597,ZAR1L,0.7616201474025587,TAOK3A,0.7255353080361595
4,HSD17B2,0.6295689516580831,PLEKHN1,0.5720597790519495,CPE,0.7406443650625909,BX927193.1,0.5876843680779462,GBP3,0.6232695726296451,KLHL22,0.8827186430477588,DIABLOA,0.8373407040408204,ZGC:173587,0.7940426635659106,FA2H,0.7489926800812701,PPL,0.7198328932644474,EVPLA,0.7291032597043546,ACTL7A,0.9217029772457924,POLR2A,0.6673947697183997,TOP1,0.6810838258345004,BMP2B,0.6350985498863664
5,ABI1B,0.6176769875995883,SZL,0.5572397924591832,LYRM1,0.7204770281376721,DEGS2,0.5853592843769728,POLR3K,0.6107237403334843,HNRNPA0B,0.7127919030722795,SRCAP,0.7707635919544789,CYR61L2,0.6553553653592985,AK3,0.6759261679424493,SI:DKEY-23A13.15,0.6986604392126577,KCNK4,0.7223397449374083,HUWE1,0.8417376959468187,RN7SK,0.6557108935686882,WEE2,0.66066451724229,COPZ2,0.6201299144585395
6,SCOCB,0.6160749825674492,CABZ01001464.1,0.5511720810524957,SRCAP,0.6535683063782218,FTR36,0.5830690285730827,ADGRL2A,0.6052590435671872,SI:DKEY-23A13.15,0.6333055316326037,NFKBIL1,0.6998602455963294,SH3GL1B,0.6282516794551034,NRXN1B,0.64518444108758,SI:CH211-103E16.4,0.672656991677167,RRAGA,0.7213606493753698,B4GALT7,0.7679650349089927,CABZ01084942.1,0.6512340841770256,LYRM1,0.6597362542500284,PPIB,0.5970435188102894
7,PARP6A,0.5890737163131716,SESN3,0.5450503651151091,EVPLA,0.6336022838989417,TIAM1B,0.5750609482459929,HNRNPA0B,0.5912616667887644,FZD7A,0.6282296236438912,CABZ01001464.1,0.679352741094051,PLEKHM1,0.627252758644767,SI:CH211-268B13.3,0.6417439081362633,SLC35E1,0.6712513149341377,SI:CH1073-190K2.1,0.7087943822815113,ZGC:112977,0.7306814971014242,RBBP8NL,0.6319697173451398,CHD,0.6241521679080899,IRX7,0.5965708637028292
8,NET1,0.5859135145522332,HS3ST3B1B,0.53613291106489,KLHL22,0.6022874251637284,GRHL3,0.5632387484376895,ZNF1070,0.5901690589093278,CCDC186,0.6275706137259425,ZGC:152652,0.6417323307454273,MAP3K4,0.6266768840463717,ALOX5B.3,0.6379540844808824,SLC44A1B,0.6527881790085643,GLT8D1,0.6898720970641008,ANO9A,0.709594613275987,ARID3A,0.6282220851039432,SLC38A5B,0.6157369283692867,CPE,0.5960211491026306
9,NME2A,0.585200119691018,ZIC3,0.5308901835381019,PCDH1B,0.5794107276743129,LAMA1,0.5581750405637793,SI:CH211-196H16.12,0.5786105772471076,SI:DKEYP-3B12.6,0.6228528639557217,ZNF319,0.6363937756203976,BDP1,0.6263493913370346,FTH1B,0.6209735776402686,SP5A,0.6525090717067904,MAL,0.6211939670801997,ZNF644B,0.7088789325652315,CLUHA,0.6265359204303261,KLF17,0.6091895656507639,CDX4,0.5912164907634149
10,SI:CH211-69B7.6,0.5712015928072685,CYR61L2,0.5291483571264395,KCTD5,0.5793540302382999,SZL,0.5575456372501315,CABZ01117603.1,0.5320055805196872,CNNM1,0.6215138888021284,BMP7A,0.6268995803958187,ZNF644B,0.6035377282732901,EPPK1,0.6094955812076371,SI:DKEY-199K11.6,0.6523629163064265,UTP20,0.6123517422149618,SLC44A1B,0.7009601534891091,ZNF1044,0.6220877375927628,TNNI2A.2,0.590328481317834,GMDS,0.5901218883753494
11,ERLIN2,0.5439241856903508,SRSF5B,0.5278946086427478,ANO9,0.5757446243814396,EXD3,0.5366335681160813,NDUFB8,0.5278477043446765,SI:CH211-217K17.9,0.6125209372313977,SI:CH73-110P20.1,0.6260925564660523,DDX4,0.5853372042603925,KLHL22,0.5931718458351045,NR6A1B,0.6503448492090955,PLEKHF1,0.6094363977800523,DIP2BA,0.6664749770715052,KRT96,0.6076829335036519,UPK1A,0.5870723156196735,ARL13A,0.5708544452937199
12,PTGS2A,0.539449477387104,SETD2,0.5259117553221543,ABCA1B,0.568176981600746,PALLD,0.531375165679064,TP53INP1,0.5244891349639778,GMDS,0.6110878848396032,KIF18A,0.6157218281977215,CCDC106B,0.5849651168257878,CHD6,0.5873066398022783,SI:CH73-347E22.8,0.6422525001361316,SI:DKEY-56M15.3,0.5822482013834518,SI:DKEY-261M9.11,0.6447774117615811,SI:DKEY-13M3.1,0.5961619106509364,LRP5,0.5793359921097411,SI:DKEY-16P19.1,0.5702800168033552
13,MCHR2,0.5335137490634724,VENT,0.49243231547774463,VPS13A,0.5668727451513057,MID1IP1A,0.5255100137872563,CABZ01009880.1,0.5123460491050801,FKBP7,0.5727169641347615,ZGC:173587,0.601287182187729,ZGC:193505,0.5822053964575197,ZNF1065,0.5753284836746521,IL6ST,0.6318753379070754,PKP4,0.5791385035318501,PGAM1A,0.6263211231152587,CLEC3B,0.5940560115972141,APLNRA,0.5777062328084057,TMEM110,0.5694496809931983
14,FOXI1,0.5288777753926138,SI:CH211-217K17.9,0.4923956412578957,SI:DKEY-60A16.4,0.5473192451441687,KRT97,0.5225031146580635,AGRP2,0.5066004277596908,SDC3,0.5627337301405105,GBGT1L4,0.5980704073021951,SI:CH211-241E1.5,0.5782425657595247,ELOVL1A,0.5739110635322856,SCARNA6,0.6315242478206503,RABGAP1L2,0.5785069995502674,SLBP2,0.6085413832322101,HS3ST3B1B,0.5918454608658871,APOC1,0.5696041668938083,SI:CH211-217K17.9,0.5615913031293109
15,GBP3,0.5283426402404116,APAF1,0.48073584433540223,KRT4,0.5376766495889226,XRN1,0.51637058090142,FTR90,0.5065109327942157,ITSN2B,0.5611539463267278,ZNF1031,0.588687840882921,POLA1,0.5767841251214746,ARHGEF10LB,0.5594913569721444,PON1,0.6165126937966912,CAPN9,0.5738065725344644,HSP90AA1.2,0.5882879252112786,KRT5,0.5901419461195042,KLHL8,0.555031757215442,NOTO,0.5601232854409307
16,SPRY2,0.5246436127889137,CERS2B,0.47734574515236206,CR318603.2,0.5372692469179758,BX649497.2,0.4934979768830749,BMP7A,0.5024452011331919,SI:DKEY-188I13.8,0.5573072576677928,SI:DKEY-58J15.10,0.585054506692536,ZGC:171775,0.5528581238182366,SI:CH211-160O17.6,0.5582371339010243,AK4,0.6069576179804629,RBBP8NL,0.5736051386052733,GATA2A,0.5761083894400375,SI:DKEYP-14F10.3,0.577223957922534,SI:CH211-269I23.2,0.552724033109249,CCDC106B,0.5579023686182953
17,RHD,0.5224156970208461,MAP2,0.474417957419154,AKAP17A,0.5339880467301467,WDR77,0.4930088505202897,PEX1,0.4961717368915495,AGRP2,0.5567575407385438,ANKRD30B,0.5836120854558919,ZNF1125,0.5523357747967518,ZCCHC7,0.5526174533411016,MLXIP,0.5776836033345618,WDR62,0.5714791158994239,UTP20,0.5728030394669759,TNFAIP8L2A,0.5739509499224617,ABCA5,0.5458505546172908,CLDN11B,0.5557726692813119
18,GDF3,0.5219579096957888,ZGC:101000,0.4672776868750236,SI:CH1073-418F12.2,0.5172074466122397,SNAI2,0.4922733967425312,CNR1,0.49207605821821077,ZGC:163030,0.546577493177843,CABZ01066717.2,0.576983989868014,TRIM105,0.5475944624324852,KRT18,0.5417647448196061,FGF17,0.573137437224832,SI:DKEY-186O21.1,0.5681216854934196,POP1,0.5692257427167543,GOLGA4,0.5728483310858525,ZEB1A,0.5443108993554687,CPDA,0.545877360246024
19,SETD2,0.5178973106527903,PRICKLE1A,0.4646008629910116,WDR62,0.5170827256548522,PRKAR1AA,0.4889336220878916,UHRF1,0.4894507281731522,RYR1A,0.5463555549701672,CABZ01093075.1,0.5699873702476949,KIF13BB,0.5403962291644714,BX323023.2,0.5367743176926906,TOP1,0.5701339983849895,FKBP7,0.5668465956773036,ARHGEF10LB,0.5662041691522455,NFKBIL1,0.5710482717309184,SP5L,0.5415323095740202,CNOT1,0.5288173228447801
20,SI:DKEY-261J4.3,0.5176576071981362,PRICKLE1B,0.4576678949500571,CA15B,0.5167157048636467,HIRIP3,0.4858202271349771,ENSDART00000172356,0.4858485256642558,FTR76,0.544196876613755,LAMA1,0.5690695777475371,SCOCB,0.5397579935431218,MUL1A,0.5367705081248878,SI:RP71-45K5.2,0.5599042767588185,DDT,0.5661529227707112,TNKS1BP1,0.5651919916794804,PRCC,0.5699144367344732,LRRC8C,0.5405820997367432,SI:DKEY-43F9.4,0.5252561748476724
