,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16
0,CR318603.2,0.8518281864697447,LYRM1,4.870145357143315,DIABLOA,1.272132927758829,RAPGEF6,4.323111226694369,PON1,1.1628560526230776,MYO3A,4.338722855052742,SI:CH73-195I19.3,4.104296186129704,FNIP1,1.888884936019614,ANO9A,2.0723182188827938,ZGC:171775,2.5770506217837332,FNIP1,1.7627353620450186,AGRP2,1.7487606572715135,TPBGA,0.8302518688552839,NRXN1B,1.2190488635681946,CABZ01084942.1,1.907163023146409,ANO9A,1.5948634442597673,GPRC5BB,2.4342261962304983
1,SI:CH211-53F16.1,0.7362345737519246,AGRP2,0.8998657988411494,CABZ01084942.1,1.2540823737022109,AGRP2,0.9515917238324352,TAOK3A,0.8552128645282052,NME2A,1.1061511635670138,ANO9A,1.2295041497461676,AGRP2,1.5301126666186138,ZAR1L,0.7332188840956455,DIABLOA,1.457426368653241,WNK4B,1.1434833128007231,CABZ01084942.1,1.4551300033159975,TOP1,0.7718989410696613,KLHL22,0.8794897599870979,ZGC:171775,1.0000781572526378,HNRNPA0B,1.0372937168066305,NRXN1B,1.4608843536679252
2,TRIM25L,0.7148293948914456,EVE1,0.6827916962532996,SP5A,0.9832949556897035,SI:DKEYP-67A8.4,0.7073059890185308,SI:CH211-242H13.4,0.7463422492819574,POLR3K,0.6511109218753789,SRCAP,0.6643995830484424,TOP1,1.361273693705822,IL6ST,0.7217405286507864,RNF220B,0.7863738854446733,HUWE1,1.0356181601554926,HNRNPA0B,1.2232494975112855,SI:DKEY-58J15.10,0.7688638933906863,SI:DKEY-13M3.1,0.7278437054618031,NCOA7,0.8329584626217041,GBP3,0.8259034658131016,NME2A,1.130118514539885
3,ZGC:173587,0.6520452825233987,NUDT4A,0.5958631330177291,TBX6L,0.7804813666816636,ZGC:173587,0.6929065202692991,IL6ST,0.704225442928203,VPS13A,0.6386870474780026,TAOK3A,0.6247970065917217,SFT2D1,0.7903724574464158,TOP1,0.7113575193915461,JAG1B,0.7089216787979835,TOP1,0.9966629226945618,KLHL22,0.7558689524227372,AGRP2,0.692259097693636,RBBP8NL,0.7205070367406538,FTR83,0.7241177637057211,EVPLA,0.8240368884565477,WNT11,0.8859090580199492
4,SCOCB,0.6307655649731936,PLEKHN1,0.5574329227635872,SI:DKEY-23A13.15,0.7194511783000339,TIAM1B,0.6141683906925802,ZNF1084,0.6603211861518353,DIABLOA,0.6325130304248072,JAKMIP2,0.6119183772463843,CHD6,0.7175986198175197,WEE2,0.6731857465647995,SLC44A1B,0.6806064588330488,SCARNA6,0.9590172282397449,SI:CH211-242H13.4,0.7301098537736921,SI:CH73-275M14.1,0.6692445214121513,KRT96,0.6942828851461711,SRCAP,0.7127448921349249,SI:CH1073-190K2.1,0.7534556547160951,ZGC:173587,0.7851222022358124
5,ABI1B,0.625124101929621,SRSF5B,0.5425507487493667,KLHL22,0.716824791314939,BX927193.1,0.6123146575095191,CCDC106B,0.6579979510006574,ZNF1070,0.5724649329908631,B4GALT7,0.6051341707667739,FA2H,0.6858673270736169,CHD,0.6590926281372047,SI:DKEYP-3B12.6,0.6574584075593345,TAOK1A,0.9107402629549533,SI:CH211-160O17.6,0.6447398401455651,MAP2,0.6594837219239154,PDXDC1,0.6529560639693114,CABZ01001464.1,0.6654295872250943,SI:DKEY-186O21.1,0.6268503126939556,POLA1,0.6543222471306027
6,AGAP1,0.6070209712435826,SETD2,0.5399675357240964,IL6ST,0.7003848930307887,ANO9A,0.5511874094457548,DNAJC6,0.6155913222819871,ADGRL2A,0.5700729441039993,HNRNPA0B,0.5915506682445572,SI:CH211-268B13.3,0.6670371653222383,SLC38A5B,0.638801125640845,ACTL7A,0.6434586284141055,TNFAIP8L2A,0.7955578755786168,TNFAIP8L2A,0.6392229106489588,SI:DKEY-77P23.8,0.6470046216646096,COLEC12,0.6505313324821962,DIABLOA,0.6645509718941539,KRT96,0.6265061208579668,CCDC106B,0.6387542753658438
7,NET1,0.6060848376473662,NME2A,0.5362455104183432,ATCAYB,0.6805013255630864,XRN1,0.5278719273541028,SI:CH211-194I10.5,0.6148769046912198,CABZ01117603.1,0.5604814433469636,CHD6,0.5843939244987714,HMGA1B,0.6353905717840997,TNNI2A.2,0.6183407759884436,SI:CH73-167F18.3,0.6347996551467177,SI:CH211-103E16.4,0.774913591164575,DIABLOA,0.6192964851004205,PCNT,0.6340461303634196,PRCC,0.6489841468300854,NFKBIL1,0.6631649970153985,KCNK4,0.6244146138246703,CYR61L2,0.6325507463088139
8,PTGS2A,0.58028474240463,SESN3,0.5295745256889253,SI:DKEY-234L24.10,0.6753802086607368,LAMA1,0.5249206334454798,KLF2B,0.6109884031352505,CABZ01009880.1,0.5593904132592715,ARHGEF10LB,0.5807961759907261,NRXN1B,0.6283780740809528,KLF17,0.6122631532204648,SI:DKEY-261M9.11,0.6141810984652757,SYNGAP1A,0.7157917130771664,ZNF1125,0.5868975647715433,BMP4,0.6142949466661676,ARID3A,0.6441805519667658,LAMC1,0.6165891472367578,GLT8D1,0.6239886546691356,BDP1,0.6227669695058524
9,ERLIN2,0.5782872209582302,SZL,0.5225959404200382,SI:DKEY-60A16.4,0.6607608861787854,KRT97,0.5196797900501191,CR318603.2,0.609524364142824,HNRNPA0B,0.557199077431836,TAOK1A,0.5731487623575235,AK3,0.6141292638768173,UPK1A,0.591632933439671,FKBP7,0.5975464436540813,MGLL,0.7149256939918899,LAMA1,0.5743764828674552,ZNF1082,0.611744771238436,ANKRD12,0.6082059705239662,SI:CH73-110P20.1,0.597699893838314,PON1,0.6139837283434535,SH3GL1B,0.619859546702517
