,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4
0,AGRP2,1.636311917599847,LYRM1,4.364141516288482,RAPGEF6,3.871139951340373,SI:CH73-195I19.3,3.2941997008806903,MYO3A,3.784934289963021
1,CABZ01084942.1,1.4784084441254892,FNIP1,1.394591777325696,ANO9A,1.5660702466091891,NRXN1B,1.268871359035406,GPRC5BB,1.2692772823227985
2,DIABLOA,1.1659985082619895,CHD6,0.7581990536230447,NRXN1B,1.0127643967342816,ANO9A,1.2438654291401596,ZGC:171775,0.7639559275947984
3,TOP1,1.1617611257570566,HUWE1,0.6575266779633777,HNRNPA0B,0.9813142451857089,SLC44A1B,0.6795310819917568,DIABLOA,0.7353561594883866
4,CPE,1.11074683606269,NCOA7,0.624012942914876,SLC38A5B,0.8496124310346914,CHD6,0.6713343099371816,ARL13A,0.696583649595129
5,HNRNPA0B,1.1104697450732472,DCTN4,0.5974907966457604,GPRC5BB,0.8461800808557652,MLXIP,0.6485066736741398,AGAP1,0.6626082318803203
6,ZGC:171775,1.0981808456064759,KIF18A,0.596438027716213,ZGC:173587,0.8057826003712348,KMT2CA,0.6425043250664052,PITHD1,0.6332927248696618
7,LAMA1,1.0736814875111382,SLC44A1B,0.5933504812075961,SI:CH211-242H13.4,0.7252564056736593,ULK1B,0.631935066810957,HIST2H3C,0.5927963909829579
8,POLA1,1.0525009366515383,OTUD4,0.5832648348779842,SI:CH211-178N15.1,0.6797569909986853,CRABP2B,0.6160734974952408,SI:CH211-260E23.9,0.5867644692838733
9,CHD8,1.049712554222554,NRXN1B,0.5788116148347882,CYR61L2,0.656507894211749,MCHR2,0.6105776367280153,ANO9A,0.5798315307980598
10,SI:CH211-168H21.2,1.0321877890332618,MAP3K4,0.5784781388714507,SFT2D1,0.6396671641275814,KLF2B,0.5980019060386025,NFKBIL1,0.5764551549782342
11,NME2A,1.0255255729105184,PGAM1A,0.5750890665086438,PON1,0.6317400632322112,TOP1,0.5959642204706935,BIRC5B,0.5750751150664739
12,SETD2,1.0246985739621155,ZGC:173702,0.5704390195385394,NR6A1B,0.6287818641361742,SLC16A10,0.5896912755490538,RALBP1,0.5649833338916915
13,PAFAH1B1B,1.0051823073062733,SI:CH211-130H14.6,0.564976661990991,EVI5B,0.6230544841428725,SI:CH211-178N15.1,0.5870372580751542,SI:CH73-46J18.5,0.5546639742706152
14,KCNK4,1.0002969113426918,NEK2,0.5636932707412118,ZGC:171775,0.6159534945771161,OCLNA,0.5840787356456466,SI:DKEYP-79B7.4,0.5512178844665709
15,SI:CH211-125O16.4,0.9927623073368236,ZBTB33,0.562906608729412,CU655961.2,0.6053456722080893,CABZ01093075.1,0.5838442460638198,SIN3AB,0.5399494242669032
16,PKDCCB,0.9789862935292131,RBM27,0.5568359614566913,JAKMIP2,0.6013230334777638,PLEKHD1,0.5837921494930952,PON1,0.5318297345554407
17,GOLGA4,0.977871871280808,KLF17,0.5507645019833347,CA15B,0.5795553193324867,SI:DKEYP-75B4.7,0.5830814040753853,KLHL22,0.5305013716436683
18,SULT6B1,0.9764519885581954,SI:CH211-194E1.8,0.550296371500843,SI:DKEY-234I14.20,0.5764468268564709,CR388042.3,0.5826756963192248,TAOK1A,0.5221021406061086
19,FUBP1,0.9720074438407076,CENPE,0.5443171441504175,GRA,0.5750257457353415,WEE2,0.5782699521409554,FSCN1A,0.5219569594134658
20,RPS27.2,0.9671045382866124,UBN2A,0.5370164644621087,RGS3B,0.5739239691892761,NCOA7,0.5776537743316414,HMGA1B,0.5185643255904439
21,PPIG,0.9621347374809701,DND1,0.5358842619526573,ZNF1001,0.5706590039786079,WDR21,0.5772695600046485,SI:DKEY-63J12.4,0.5151467579385394
22,KLHL22,0.9614679540688779,SI:CH211-235I11.3,0.5331410029196123,KRT97,0.566435666915482,TTLL4,0.5763310257979294,LAMB1A,0.5087105267551891
23,SI:DKEY-149I7.2,0.9578495579545548,ASPM,0.5308245238471644,FTR36,0.5493531990583844,JAKMIP2,0.5763299627617583,KALRNB,0.5086176609677454
24,POLR2A,0.9565480508867744,CYT1,0.5296631862276255,TRIM25L,0.5456533952232151,LFNG,0.5747361508228768,FAM13A,0.505088659735442
25,KDM2AB,0.9539920165173175,SI:CH211-234C11.3,0.5268192281093803,CLINT1A,0.5444702330108749,ZGC:173587,0.5685369702471114,TCF3B,0.5024763078495081
26,CASP6,0.9531781871311239,HAS2,0.5247212998685027,NEU3.3,0.5378411651657048,NME2A,0.5674514243840416,MID1IP1A,0.49762193609361643
27,SI:DKEY-261J4.5,0.951671675321976,ZGC:193505,0.5155617340505114,APOC1,0.5337128083516287,SI:DKEY-199K11.6,0.565880072985083,AKAP17A,0.49665923614710555
28,JARID2B,0.9505558719686852,PERP,0.5059938464122529,TDGF1,0.5332882314420203,SI:CH1073-317D10.1,0.5646708819639302,MAP2,0.49098691925835486
29,SCOCB,0.9477367695447003,IGF2BP1,0.50480737680609,FBXO32,0.5327291926778285,SI:DKEY-43F9.4,0.5625262205586695,H2AFX,0.4889189614639853
