,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
0,AGRP2,1.3536262808255912,LYRM1,4.33226992692248,RAPGEF6,3.8823474662154953,SI:CH73-195I19.3,3.310827896324143,MYO3A,3.7539620495890005,ANO9A,1.7610982187005477
1,CABZ01084942.1,1.2572362047358023,FNIP1,1.2160578048443982,ANO9A,1.1077602032950102,NRXN1B,0.9826477558986147,GPRC5BB,1.2335350978600954,FNIP1,1.540325172643172
2,CPE,1.1124935400470017,CHD6,0.7394083410313778,HNRNPA0B,1.0301099447202573,ANO9A,0.8729889069715229,ZGC:171775,0.7605547077992898,AGRP2,1.0616061306983295
3,LAMA1,1.1021819120381378,HUWE1,0.6489178670745059,ZGC:173587,0.9264061393705982,CHD6,0.7410328591158284,DIABLOA,0.7520017900547875,NRXN1B,1.0206198207414947
4,NME2A,1.0407136242113746,KIF18A,0.6014817643631756,SLC38A5B,0.8846957625939541,ZGC:173587,0.6696721723798583,ARL13A,0.6781431741187961,CABZ01084942.1,0.9163595646879791
5,HNRNPA0B,1.018825049852552,NCOA7,0.5998699399331292,GPRC5BB,0.8649073427284512,ULK1B,0.6613324097359656,AGAP1,0.6574316456796326,BAALC,0.7674287000827883
6,DIABLOA,1.0135230262863515,DCTN4,0.587961716020636,SI:CH211-242H13.4,0.6520204740344598,CRABP2B,0.6523695854982133,PITHD1,0.6359088590175405,NR6A1B,0.7429962332053947
7,TOP1,1.000138064815493,SLC44A1B,0.5768048684868717,EVI5B,0.6344829859757343,SLC44A1B,0.6508945221168957,HIST2H3C,0.604760205609164,ZGC:64022,0.740861803738521
8,SETD2,0.9895633474619231,NEK2,0.5756357697805139,CYR61L2,0.62702496314571,MLXIP,0.6269602945410132,SI:CH211-260E23.9,0.5881719764559629,SI:DKEYP-3B12.7,0.7164045403439405
9,SI:CH211-168H21.2,0.9891513970338799,MAP3K4,0.5754963169738629,SI:CH211-178N15.1,0.6250148544811445,TOP1,0.6087776302897643,NFKBIL1,0.5721355470747101,RRBP1B,0.6706797605090574
10,CHD8,0.9785873421087758,OTUD4,0.573433097105266,JAKMIP2,0.594326438417608,CABZ01093075.1,0.6048270574105067,KLHL22,0.5692145057627409,KMT2CA,0.6651731945820468
11,POLA1,0.9619501601441225,ZGC:173702,0.5727569167879725,FTR36,0.5892262964412994,KLF2B,0.6044207436704557,BIRC5B,0.5657270270354581,ZGC:171775,0.6493752106876238
12,PKDCCB,0.945280296373712,SI:CH211-130H14.6,0.5622274750839402,SFT2D1,0.5706409086243603,KMT2CA,0.5995180111083274,RALBP1,0.5648654259609971,WNT11,0.6393519805166511
13,SI:CH211-125O16.4,0.9426960176689986,ZBTB33,0.5537060756050719,ZGC:171775,0.561027665406607,TTLL4,0.5937249629302503,SI:CH73-46J18.5,0.5615794057498932,MGLL,0.6329866518482813
14,KCNK4,0.9421423679822474,KLF17,0.5534510224148951,NRXN1B,0.5550701816065028,NCOA7,0.5878060256398125,SI:DKEYP-79B7.4,0.5562523201082309,THEMIS2,0.6300531451523786
15,ZGC:171775,0.9350739208174013,RBM27,0.5506464082011501,PON1,0.554679278280179,CABZ01084942.1,0.5844414398556272,ANO9A,0.553882169443876,FTR82,0.6190143065976642
16,PAFAH1B1B,0.9207360425291089,SI:CH211-235I11.3,0.5504217492726576,TAOK3A,0.5507053975030276,MCHR2,0.581596792118756,SIN3AB,0.5408209418409298,TRIM25L,0.6164177999859245
17,SRCAP,0.9158547106083389,SI:CH211-194E1.8,0.5494418627836096,RGS3B,0.5493333560404163,WDR21,0.5810841709639064,PON1,0.534490645066399,KRT97,0.6157288395553154
18,GOLGA4,0.9137328128560647,CENPE,0.5429041511534732,SI:DKEY-234I14.20,0.5437918690601424,OCLNA,0.5794038636662405,FSCN1A,0.5304692962918217,SI:DKEY-48G21.5,0.6106312510131512
19,SULT6B1,0.9134915463003027,PGAM1A,0.5413880639617037,NEU3.3,0.5435186775943885,NME2A,0.5791223504873728,SI:DKEY-63J12.4,0.5271669513175573,TOP1,0.6076798177352454
20,ZGC:173587,0.9118120893414564,UBN2A,0.5352472612791541,CLDNB,0.5324308869795346,JAKMIP2,0.5703959867238122,LAMB1A,0.525158748513411,SMARCD3A,0.6013546454705063
21,SI:DKEYP-114G9.1,0.9052024873093186,ZGC:193505,0.5221951965551804,FBXO32,0.5315238201280393,PRR12A,0.5669692048810732,HMGA1B,0.5172681775888756,MAP2,0.5905877241074908
22,KDM2AB,0.896421221619807,SI:CH211-234C11.3,0.5209702744778862,CABZ01064859.1,0.5240085183830612,LFNG,0.5667197269494813,TAOK1A,0.5168250813505164,PGAM1A,0.5869277098982383
23,PPIG,0.8949992056345784,CYT1,0.5209021988012739,RBMS2B,0.5214213166960686,LRP6,0.5662932148791127,AKAP17A,0.5148429442257239,PON1,0.586309281613571
24,SI:DKEY-261J4.5,0.8880144843942985,HAS2,0.5201122051677323,ZNF1001,0.5210612461974744,CPE,0.5662778762863033,TCF3B,0.5011975220903472,SCARNA6,0.584545001649745
25,ADIPOR2,0.8845493767642101,ASPM,0.5177861685815589,SI:CH211-113A14.25,0.5202673895014271,CR388042.3,0.565287114264662,FAM13A,0.5009848003138093,PPL,0.5842897664490987
26,CHD7,0.8835956867881604,PERP,0.5102256424473115,BZW1A,0.5189695992826765,SI:DKEYP-75B4.7,0.5640436017838362,MID1IP1A,0.4981980175230845,PRPF8,0.5815412018059964
27,IL6ST,0.8831582456018485,DND1,0.5003501642138566,STARD14,0.518518862655342,PLEKHD1,0.5595006303904845,DUT,0.4978709281592547,SI:DKEY-11O15.10,0.5772227880845018
28,ZNF1035,0.8807025623598921,IGF2BP1,0.4992613900580199,SI:DKEY-19C16.12,0.5182059116844139,ANKHD1,0.5549475470860058,RAB35,0.4974503353561321,DIABLOA,0.5696452618456147
29,PGPEP1,0.8805819131241224,DPP3,0.4917493927178122,APOC1,0.5157360016165922,LPAR2B,0.554030736029194,CU570684.4,0.49613129462353034,SI:DKEY-28A3.2,0.5654113888478767
