,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
0,GDF3,1.0396261206261845,LYRM1,2.552734951412739,KRT4,1.416289620137141,TA,2.3367589594555636,NANOS3,1.2369831824425948,SI:DKEY-28A3.2,1.299002264243479,SI:CH211-242H13.4,1.2204171227130742,CHD,1.1958621625159183,PRDM14,0.8995784097169094,PHLDA3,1.3687497454405915
1,RHEBL1,1.026185511115756,AGRP2,2.212752929741763,KRT18,1.4096033474454626,EVE1,2.0719176651021405,TDRD7A,1.1898025577458333,FTR36,1.169016217441471,OTUD4,1.1480986278628906,SI:DKEY-261M9.17,1.1869370205378071,SI:CH1073-80I24.3,0.8885568676931239,MDM2,1.2174227727494116
2,SI:DKEY-15H14.4,1.0185127334807078,RAPGEF6,2.173892735757889,LYE,1.381529594405471,WNT11,1.9179751817247712,HSP90AA1.2,1.1132498584160648,HS3ST3B1B,1.1644440127320794,PRKRIP1,1.080540956510528,HIST2H3C,0.9778472899278151,SI:CH211-139K8.4,0.8566487790825978,SI:CH211-260E23.9,1.0342749041144914
3,SI:CH211-190K17.31,1.0028321928026707,CABZ01084942.1,2.17236899021323,KRT92,1.3709169736884221,CDX4,1.8137165239621638,DND1,1.0430872498625594,JAG1B,1.1032351696508946,HSP90AB1,1.0000956630118012,ZIC3,0.9735826542849993,FP236812.1,0.8164330256514136,CTSH,0.9950253421416881
4,MKRN4,0.9958576791383137,MYO3A,2.138885707201416,MID1IP1A,1.351451556970795,ZNF703,1.7323447650081845,ACTL7A,1.0408936141966327,SI:DKEY-186O21.1,1.082735739033377,PPIB,0.9920632419080153,ADMP,0.9518361897553153,PCDH18B,0.8130836750046093,FOXO3B,0.992708711943999
5,NCALDA,0.9828478112986322,SI:CH73-195I19.3,2.0790043536562295,KRT5,1.3478858757986647,TPBGA,1.5178849717645357,BTG4,1.0210767149552742,TNFAIP8L2A,1.0725014648276137,SI:DKEY-153M14.1,0.9765502352404852,ZGC:153405,0.8783209614829375,SI:DKEY-188C14.4,0.8102606378843558,RBL2,0.9812268676321871
6,BZW1A,0.9796085340703788,ANO9A,2.0184189441515334,CLDNE,1.3474470670923357,SP5A,1.5036862986300892,FHDC3,0.9526806752800325,KCNK4,1.0613575658691352,SI:DKEY-23A13.15,0.9756519224801654,SI:DKEY-108K21.14,0.8637316838471981,SOX2,0.7902984072203598,APLNRB,0.9794299917625582
7,BX005448.2,0.975004556751905,ZGC:171775,1.8964294236663557,SI:CH211-125O16.4,1.3310739171890191,AXIN2,1.4964844506279396,SI:DKEY-11O15.10,0.9415172791887767,NRXN1B,1.0362263467070028,EIF5,0.9685836335947376,FOXD3,0.8449560163450882,SI:DKEY-95P16.2,0.7442008821206244,SESN3,0.9668304588815753
8,P4HB,0.967679431838276,TOP1,1.8470758168346553,CEBPB,1.3257989801745687,MSX1B,1.4765243682206426,CA15B,0.9224382366547023,CNNM1,1.0345906226634267,SI:DKEY-23A13.4,0.9643408322743164,FOXD5,0.8441076924118891,MAP2K6,0.7417601077022189,BCL2L14,0.897359801580544
9,BX640584.2,0.9520955895164942,DIABLOA,1.8012910650878664,ZGC:101000,1.3240383999412033,MIXL1,1.359830405751504,SKA2,0.9036570975298406,GRB7,1.0212524061920156,SI:CH211-117M22.2,0.9638472865102863,GBGT1L4,0.830364250226034,UBA52,0.7414143415688278,CASP8,0.8670558388647235
