,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10
0,BX005448.2,1.0513521991469599,LYRM1,2.485700330337885,KRT4,1.4112855470927181,TA,2.2815940071936436,NANOS3,1.276503999030802,SI:DKEY-28A3.2,1.3887753591434802,SI:CH211-242H13.4,1.2217948142927821,CHD,1.8114093026934113,SI:CH1073-80I24.3,1.0530024260619568,PHLDA3,1.373103022361514,SI:DKEY-261M9.17,1.3882364358533705
1,SI:DKEY-15H14.4,1.0066782952576088,MYO3A,2.18873886958791,KRT18,1.4013886778730273,EVE1,2.0713118322960336,TDRD7A,1.229867628698126,JAG1B,1.199806539622474,PRKRIP1,1.0249987566381535,FOXD3,1.3353084678799074,SI:CH211-139K8.4,0.9957826958830606,MDM2,1.1931332348795127,HIST2H3C,1.3054504947686731
2,GDF3,1.0017876305376647,AGRP2,2.1343822508905093,LYE,1.384700770927841,WNT11,1.925280025735599,HSP90AA1.2,1.1482451477062834,HS3ST3B1B,1.1842984892027388,PPIB,0.9401552003171033,ADMP,1.3051150212976488,SI:DKEY-188C14.4,0.942557361351662,SI:CH211-260E23.9,1.047290387370815,SI:CH211-113A14.10,1.2780486876070443
3,SI:CH211-190K17.31,0.9888808945346768,RAPGEF6,2.130168402639286,KRT92,1.3674547667181338,CDX4,1.7962812218777822,DND1,1.0328164901975203,NRXN1B,1.1298291359076713,HSP90AB1,0.9023845204394026,CDH2,1.005858220079235,PRDM14,0.854352855586577,FOXO3B,0.9922197088679224,SI:CH1073-159D7.7,1.2447541778529647
4,BX324155.1,0.9800667426401724,SI:CH73-195I19.3,2.090644759606298,MID1IP1A,1.3582836733678043,ZNF703,1.7463278148601273,ACTL7A,1.0120254412382872,SI:DKEY-186O21.1,1.1281536391366562,GTF2H5,0.9006744463689463,ZIC3,0.9659958151597293,SI:CH211-222L21.1,0.8251517209590575,CTSH,0.9865978615583669,SI:DKEY-108K21.14,1.2200932267330276
5,NCALDA,0.9727277164686864,CABZ01084942.1,2.0654160540125623,CLDNE,1.342289309941353,AXIN2,1.497677663633425,BTG4,1.0110610970122988,HSD17B2,1.0980028640099895,OTUD4,0.8997447810483117,FOXB1A,0.9501961759355618,MAP2K6,0.8245460194013976,APLNRB,0.9813165956753557,ZGC:153405,1.1796290585216407
6,SI:DKEY-30F3.2,0.9483940823880445,ANO9A,2.0617145843322104,KRT5,1.3390244289733537,SP5A,1.4863518287595865,CA15B,0.9481278837137521,CPE,1.0922245920690326,EIF5,0.8725054307475114,GSC,0.9421135495988453,UBA52,0.824465153606406,RBL2,0.9705164170045342,SI:CH211-113A14.15,1.1778244195444805
7,RHEBL1,0.9350461303191864,ZGC:171775,1.8297194714658571,ZGC:101000,1.3280849985953231,TPBGA,1.4851879561808188,SI:DKEY-11O15.10,0.947685993317205,SYNGAP1A,1.084694033077283,FTL,0.8673806120446657,PRICKLE1A,0.9223159238763595,RPS15A,0.7883540739105341,SESN3,0.9455507283155533,SI:CH211-113A14.24,1.1520104860888523
8,MKRN4,0.9333829251553601,FNIP1,1.8064666107831504,SI:CH211-125O16.4,1.3217711519983921,MSX1B,1.4706390857114682,SKA2,0.8857239956577139,CNNM1,1.0755946751615049,STM,0.8442539409020143,FOXD5,0.8946622328403212,APOEB,0.7830653781603721,BCL2L14,0.8866351404450097,SI:DKEY-108K21.21,1.1259586257798497
9,CR391944.1,0.9317270493516919,TOP1,1.7844615170209381,CEBPB,1.319767813600283,MIXL1,1.3460981553701612,FHDC3,0.8755009430409192,BX546500.1,1.0730142891837864,RPL12,0.8342722815238718,IER2,0.8689261854369569,SI:DKEY-95P16.2,0.7799296693747968,CASP8,0.8669623089078637,SI:DKEY-23A13.15,1.0996895624756973
10,ZNF1060,0.9151955927477606,ZGC:173587,1.7415732927265737,KRT97,1.3167094432609188,GBX1,1.2714473424393513,CLDNG,0.855864168962002,CAMSAP2A,1.0571588880705558,SI:DKEY-234I14.20,0.8338947909410385,NOTO,0.8497915937765235,POLR3GLA,0.7715232704987308,TP53INP1,0.8340939451795111,ZGC:165555,1.0184463602447713
11,BZW1A,0.910549294397612,DIABLOA,1.7271899677746136,KRT8,1.2931113888073993,ZNF503,1.2113504940157787,BOKB,0.8503608596531126,FTR36,1.0486246686295857,CDKN1BB,0.829478129290335,ZEB1A,0.8198263620119627,PCDH18B,0.77123254489941,SESN1,0.7910263111510528,FP236812.2,0.9892409985769848
12,P4HB,0.9054033015917269,HNRNPA0B,1.695672093892049,EPS8L1,1.287228450525092,DLD,1.1799423808044294,ANKRD12,0.8462611243803186,GRB7,1.0297190545082615,SI:DKEY-48G21.5,0.8233427779464101,DACT2,0.7925344732692783,FAUA,0.7581973020099044,ZGC:64022,0.7707320750161986,SI:DKEY-261M9.11,0.974662850570777
13,BX640584.2,0.9049332413758492,NME2A,1.6136471695260866,ZGC:193505,1.2584827864493346,IM:7138239,1.1400610746234974,KLF2B,0.8348800716198552,KCNK4,1.0022515765061955,U1,0.8213899620500622,FZD8A,0.7872867935496548,PSMA4,0.756065125743326,CDKN1A,0.7532558332015807,ZNF995,0.9382236412881716
14,BIRC5B,0.9044949546580503,GPRC5BB,1.606596084103597,CLDN23,1.2400602583350042,APOC1,1.108744220379599,OTX1B,0.8176555532838743,SCOCB,0.9934791284625865,KIAA0101,0.8208526138961366,DDX4,0.7862343872594192,SOX2,0.7556747699652135,SLC4A2A,0.7322124536110458,BX324216.1,0.9331931725461328
15,CR450785.2,0.9024342783567981,HUWE1,1.4316286084669574,FA2H,1.2385450096719326,ATP1B3A,1.0751335361704615,DDX4,0.809433509992934,NFKBIL1,0.9846426930932324,SI:CH211-7C8.2,0.8036450905963206,GRA,0.7457243032643363,RPS2,0.7506493497222704,EXO5,0.7230609480419287,SI:DKEYP-14F10.3,0.9213202242263532
16,SI:DKEY-1D7.3,0.8974101410507984,PON1,1.3959834175021737,FTR83,1.2318814426525535,VED,1.0692562681101212,BMI1B,0.8089383370052671,KCTD5,0.983568808943198,SI:CH211-117M22.2,0.7987215892089395,CST3,0.7208740028254447,SI:DKEY-16M19.4,0.7456116433279165,PLEKHN1,0.707210517913586,SI:CH73-36P18.5,0.9208060001092355
17,ZNF995,0.871287442314037,CABZ01001464.1,1.318237505509526,ZNF185,1.222033803134965,ZIC2A,1.0647607923271978,ZGC:56231,0.805108518018857,SI:CH211-171H4.5,0.9743642231477785,SI:CH211-194E1.8,0.7947942053280102,ETS2,0.7096481696746101,SLC38A3B,0.7449509570059686,IGF2A,0.69097783729086,SI:DKEY-261M9.15,0.9108398398573669
18,ADGRE10,0.8699995102078054,SETD2,1.2453062604247107,MGLL,1.2068188841099308,SP5L,1.0621110715671538,MID1IP1L,0.8023688247493325,JAKMIP2,0.9721243761105969,SI:DKEY-23A13.4,0.7937301933269969,SP5L,0.6969972039051167,ADD3B,0.7388916511898277,SI:DKEY-204L11.1,0.6702941417948964,ENSDART00000172356,0.9090045942792262
19,ZNF1040,0.8676656527144296,CYR61L2,1.2378140188206503,CLDNB,1.1965453168898907,HES6,1.0485563841251184,CHD6,0.7875837321818673,GBP3,0.9680558477097964,TOP1L,0.7912540527568084,TDGF1,0.6897228561105103,GNL3,0.7362558898167699,E2F7,0.6605641549412095,HIST1H4D,0.9029944228232946
20,SI:DKEY-146C18.5,0.864252809594702,KLHL22,1.2321101602511937,EVPLA,1.1860027496549965,NHSL1B,1.0452098892293054,RGS14A,0.7851641147815219,SI:DKEY-58J15.10,0.9651646483945141,RNASEP_NUC,0.7873378391985604,FAM13A,0.6748995729516266,HSPB1,0.7327529215430323,SI:CH211-239D6.2,0.6573545463291277,ZGC:158463,0.9025629065489099
