,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11
0,BX005448.2,1.044127046568593,LYRM1,2.469116046604708,KRT4,1.4176371846091065,TA,2.283913157269104,NANOS3,1.3578871977387834,SI:CH211-242H13.4,1.37596587611816,SI:DKEYP-3B12.7,0.9325779367857694,CHD,1.8259469230383762,SI:CH1073-80I24.3,1.059973966776224,SI:DKEY-28A3.2,1.2555900852214956,SI:DKEY-261M9.17,1.3980397988755802,PHLDA3,1.3809838185517227
1,BX324155.1,0.991941575307723,MYO3A,2.1512005970334616,KRT18,1.390370970098246,EVE1,2.0639238008568137,TDRD7A,1.2688001787157412,SI:DKEY-234I14.20,0.9685221941297266,SI:DKEY-261M9.17,0.8863860968400182,FOXD3,1.3816537661415493,SI:CH211-139K8.4,0.9802895764684981,CAMSAP2A,1.1233506583243282,HIST2H3C,1.3557268518480332,MDM2,1.188483346688834
2,SI:DKEY-1D7.3,0.963466907522931,AGRP2,2.139619568436109,CLDNE,1.3519121208630835,WNT11,1.9192129028651317,HSP90AA1.2,1.1460275294486015,RNASEP_NUC,0.8983911971896573,SI:CH211-113A14.10,0.8540515085946406,ADMP,1.324625907094243,SI:DKEY-188C14.4,0.9370613508827468,JAG1B,1.1055429882374999,SI:CH211-113A14.10,1.3061107590193748,SI:CH211-260E23.9,1.071883625505261
3,SI:DKEY-15H14.4,0.9516820950270295,RAPGEF6,2.12734372781392,MID1IP1A,1.351637434957455,CDX4,1.7894929192079796,DND1,1.0623404883356407,SI:DKEY-48G21.5,0.8955773960523553,SI:DKEY-261M9.15,0.8292935489435571,ZIC3,1.005310193125561,PRDM14,0.8516978759264844,SYNGAP1A,1.0909805549694922,SI:CH1073-159D7.7,1.2447143849851305,FOXO3B,1.0131622013107966
4,GDF3,0.9153283606898877,SI:CH73-195I19.3,2.070826433323735,KRT5,1.351187519482867,ZNF703,1.744251288755698,ACTL7A,1.0156996042906659,SI:DKEYP-55H4.2,0.8416567938142003,KIAA0101,0.8285029615763752,CDH2,0.9512034602384652,SI:DKEY-95P16.2,0.8355012549530598,BX546500.1,1.0843643371243563,SI:DKEY-108K21.14,1.2238527331458715,CTSH,0.9964577199292849
5,BIRC5B,0.9121608484058531,CABZ01084942.1,2.063860229290437,LYE,1.3510061418753514,TPBGA,1.4908806505132903,CA15B,0.9745218375347174,PGAM1A,0.8205609952176777,SI:DKEYP-3B12.6,0.8223357040252164,GSC,0.9440179808956967,APOEB,0.8276816164354576,CNNM1,1.0677414458818124,ZGC:153405,1.2036263701757737,APLNRB,0.9962611293413494
6,SI:CH211-190K17.31,0.8963062065134887,ANO9A,2.062989565906843,KRT92,1.344166869328254,AXIN2,1.4904991226232556,BTG4,0.962691237981929,PPIB,0.805424577987677,OTUD4,0.8197410402637796,FOXB1A,0.9407249917498899,SI:CH211-222L21.1,0.8276385494529511,PLECA,1.0583944688959368,SI:CH211-113A14.15,1.1875082878079655,RBL2,0.9713709629269659
7,SI:DKEYP-114G9.1,0.8879972935433298,ZGC:171775,1.8260310088805811,ZGC:101000,1.3127132260604086,SP5A,1.476626282142407,SI:DKEY-11O15.10,0.906589176367072,EIF5,0.7827011053579983,SI:CH211-117M22.2,0.8139322058921564,PRICKLE1A,0.9381127524144485,MAP2K6,0.8257962672284396,HS3ST3B1B,1.0436940663070893,SI:CH211-113A14.24,1.1846211531553277,SESN3,0.9314475957158769
8,SI:DKEY-30F3.2,0.8600244808647175,TOP1,1.794238116892201,KRT97,1.3082075683671084,MSX1B,1.4657219414290938,BOKB,0.8733803651595147,SI:CH1073-190K2.1,0.7350810098088852,CLIP4,0.7920053338676245,NOTO,0.9041247504652647,POLR3GLA,0.8205081517822997,HSD17B2,1.0144966147736527,SI:DKEY-23A13.15,1.09730572466289,BCL2L14,0.9001057059744009
9,P4HB,0.8441429094651992,FNIP1,1.7821837833327725,SI:CH211-125O16.4,1.299643926973356,MIXL1,1.3386796908566954,SKA2,0.8442367333831032,EPCAM,0.7343770078608729,HSP90AB1,0.7738721107982179,FOXD5,0.8762303700857015,UBA52,0.7985227146905378,SLC7A8A,0.9963695500907805,SI:DKEY-108K21.21,1.0895996765253666,CASP8,0.8695892263448556
