,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12
0,GATA2A,1.145820143393355,LYRM1,2.559223073834696,KRT4,1.4128868166137423,TA,2.3327854017598377,NANOS3,1.4149622449899548,SI:CH211-242H13.4,1.358701651076478,SI:DKEYP-3B12.7,0.9721886980597987,CHD,1.7623235926403986,SI:CH1073-80I24.3,0.9627173887587525,SI:DKEY-28A3.2,1.210713584336714,SI:DKEY-261M9.17,1.5910984820119491,PHLDA3,1.37597914841286,GDF3,0.9699253777739666
1,BMP4,1.1085373291617295,MYO3A,2.322294558084952,KRT18,1.3768284315818957,EVE1,2.0855408567010887,TDRD7A,1.272370342783918,SI:DKEY-234I14.20,0.9870795848096524,SI:DKEYP-3B12.6,0.9260574293004853,ADMP,1.3616536356618054,SI:DKEY-95P16.2,0.8458059294644176,BX546500.1,1.0807025024455932,HIST2H3C,1.4568845599907738,MDM2,1.154521267262396,SI:DKEY-15H14.4,0.9695597115757524
2,SZL,1.0342927572257643,RAPGEF6,2.267173649796851,CLDNE,1.3562078800527175,WNT11,1.9221753105786534,HSP90AA1.2,1.1248770039491651,SI:DKEY-48G21.5,0.9320140647003103,OTUD4,0.8922994389727608,FOXD3,1.3571253912238448,SI:DKEY-16M19.4,0.8172732804903039,PLECA,1.072708427079937,SI:CH211-113A14.10,1.3204851501323434,SI:CH211-260E23.9,1.072492773865203,BX324155.1,0.9636661894688998
3,APOC1,1.0063995257494975,CABZ01084942.1,2.2382369289278454,KRT5,1.3533490363303933,CDX4,1.7918544163971553,DND1,1.0972517833090976,RNASEP_NUC,0.9067658084637186,KIAA0101,0.8676012205409008,ZIC3,1.1262012345527028,SI:CH211-139K8.4,0.8127080343321242,SYNGAP1A,1.0673378836501293,SI:DKEY-23A13.15,1.192507574618234,APLNRB,1.0094260972123381,SI:DKEYP-114G9.1,0.9515178014439301
4,FOXI1,0.9841066802148907,AGRP2,2.2024372322073513,MID1IP1A,1.3436001559714117,ZNF703,1.747897421543027,ACTL7A,1.0219330227126315,SI:DKEYP-55H4.2,0.8729604594925444,SI:CH211-113A14.10,0.8673556771662563,PRICKLE1A,0.9398596362671434,MAP2K6,0.7942555817507297,JAG1B,1.0558364048466313,ZGC:153405,1.1809000218062506,FOXO3B,0.9989371592098409,BIRC5B,0.938695928442737
5,BMP7A,0.9628250120138542,SI:CH73-195I19.3,2.194043107890231,KRT92,1.3390017512365395,AXIN2,1.4908123330692382,CA15B,0.9953994375373211,PGAM1A,0.852226315205739,HSP90AB1,0.8011885695139954,FZD8A,0.9041598805662229,SI:CH211-222L21.1,0.7900741953511613,CAMSAP2A,1.0526170157499914,SI:DKEY-108K21.14,1.17043321702897,CTSH,0.9882025041862287,BX005448.2,0.937448134685635
6,PCM1,0.9583822425341629,ZGC:171775,2.003823720529239,LYE,1.3319132135632208,MSX1B,1.4573418153143345,BTG4,0.9512273673605773,PPIB,0.8414675597963148,SI:DKEY-261M9.17,0.7839317389507432,FOXB1A,0.8990689650696887,POLR3GLA,0.7826689315320845,CNNM1,1.0275642205278697,SI:CH1073-159D7.7,1.1604226858261502,RBL2,0.982374513024953,MKRN4,0.9201833789111584
7,ARID1AB,0.9537640466743618,ANO9A,2.00358006317123,KRT97,1.3143310320503623,TPBGA,1.4518104220089578,SI:DKEY-11O15.10,0.9076492224902362,EIF5,0.7654626609006362,SI:DKEY-261M9.15,0.7807321675701833,GSC,0.8788842652515612,SOX2,0.7789860668785761,HS3ST3B1B,1.010067854556777,SI:CH211-113A14.15,1.1523215786088488,SESN3,0.8884653742841738,SI:CH211-190K17.31,0.9163396180597981
8,CBFA2T2,0.950074734281096,TOP1,1.9734928910206073,ZGC:101000,1.3061673258882776,SP5A,1.44210555197688,SKA2,0.8637773108001272,SI:CH1073-190K2.1,0.7521462128571592,CLIP4,0.7801554492518086,ZEB1A,0.8661812275537014,PRDM14,0.7643357577425421,SLC7A8A,0.9782794702393249,SI:CH211-113A14.24,1.148459793893746,BCL2L14,0.8868319078585866,SI:DKEY-1D7.3,0.9115773400980514
9,CLUHA,0.9122621197257252,DIABLOA,1.9167817564184275,EPS8L1,1.2965290567492198,MIXL1,1.3394848566980306,BOKB,0.8599410986048852,CDKN1BB,0.7410498368510514,SI:CH211-113A14.16,0.7713775116314575,FOXD5,0.8453893953515272,SI:DKEY-188C14.4,0.7601942546439039,SI:DKEY-186O21.1,0.9441567432635132,ZGC:165555,1.0850932572341319,TP53INP1,0.8664698551454059,P4HB,0.9096820335543085
10,TFAP2C,0.9070873459414687,FNIP1,1.8290921773527922,CEBPB,1.2876752356478929,GBX1,1.2797757070912643,DDX4,0.8255403198213647,ZGC:173742,0.7221540483949717,PRKRIP1,0.7634170875924696,SESN3,0.8442955135418778,UBA52,0.7497363168015202,NRXN1B,0.9387898077469533,SI:DKEY-108K21.21,1.0510526016918333,CASP8,0.8594188071343122,RHEBL1,0.9033532210949761
11,PRKAR1AA,0.8707651456808526,NME2A,1.7658184605686236,SI:CH211-125O16.4,1.2859896172160306,ZNF503,1.22769324276655,RGS14A,0.8159174910046779,TSR2,0.7206432762702422,SI:CH1073-159D7.7,0.7516953734944628,NOTO,0.8441156418708676,APOEB,0.7271929153979836,HSD17B2,0.936538921127256,SI:DKEY-261M9.15,1.020361548511561,SESN1,0.8067468383494251,SI:DKEY-30F3.2,0.8730721732537682
12,KIF20A,0.842637534823725,HNRNPA0B,1.7075213087901635,KRT8,1.2803149365310482,APOC1,1.1608324022075238,FHDC3,0.8106609195602729,EPCAM,0.7184280056418852,SI:DKEY-153M14.1,0.7513925853061076,CST3,0.8154347205013521,SI:ZFOS-44A5.1,0.7256398070830313,CPE,0.9189288657727485,SI:DKEY-261M9.11,0.9909824849553499,CDKN1A,0.7769901579563615,BZW1A,0.860592707080028
13,UBR5,0.8426234853685977,GPRC5BB,1.6823695485133585,CLDN23,1.2670647119399452,DLD,1.1400740191939613,BMI1B,0.7993776513962442,SI:CH211-268B13.3,0.7143991174763605,SI:DKEY-23A13.4,0.750574065482147,CDH2,0.8059988052983071,ADD3B,0.7162648735836485,GBP3,0.8915780538632913,ENSDART00000129497,0.9826832234904066,ZGC:64022,0.734514198523106,ADGRE10,0.8542898999457242
14,CAPRIN2,0.8177097376524566,ZGC:173587,1.6311039839786092,FA2H,1.259266919000309,ZIC2A,1.1074135359131139,ANKRD12,0.783359242150828,FXYD6,0.7142291590310109,SI:CH211-272F15.5,0.7486077679687081,DACT2,0.783194520985829,RPS15A,0.7077103876171762,KCNK4,0.8636050741995598,SI:DKEYP-14F10.3,0.9034555306879298,SLC4A2A,0.7177171569794267,SI:RP71-45K5.2,0.853570133098947
15,IPO9,0.8145141129909703,PON1,1.459316918669512,CLDNB,1.2440841616799223,IM:7138239,1.1026478265976127,CLDNG,0.7815312968179349,IFI30,0.707772648893205,SI:CH211-117M22.2,0.7450671826479323,IER2,0.7659575682182962,ALDOB,0.7061074710972277,GRB7,0.856610698171697,HIST1H4D,0.8651593908618054,EXO5,0.7161204279526211,ZGC:91910,0.8514697464287132
16,ANKRD30B,0.7961374000077694,NRXN1B,1.3680742218941442,MGLL,1.2328150338976014,VED,1.101246838591102,CHD6,0.7670420331804886,PRKRIP1,0.6992332737424543,SI:CH211-194E1.8,0.7391463636340952,TDGF1,0.7630546985440353,GNL3,0.7015339806525652,BAALC,0.8529776407420705,BX324216.1,0.8519925934174254,SNX11,0.6933599904688246,NCALDA,0.8490025158263951
17,ABCA5,0.7851967865990778,KLHL22,1.354456627860689,FTR83,1.2080857641962517,ATP1B3A,1.065134063537066,OTX1B,0.7586990855319223,CPN1,0.6931281721930435,RPS17,0.7389558368997519,NET1,0.7268675193459749,PFKFB4B,0.6936305693020262,NFKBIL1,0.8434978371834077,ENSDART00000172356,0.8227707835758037,SI:DKEY-204L11.1,0.6732441730221728,CR391944.1,0.8315415245862554
18,HIST1H2BA,0.7687503461792302,CABZ01001464.1,1.347723053543969,EVPLA,1.2043304015507574,HES6,1.0288193068344296,ZGC:56231,0.7586689897020483,CLDND,0.692605241701366,LYRM2,0.7349404425840758,AMOTL2A,0.7183836297836098,PCDH18B,0.6904256150701272,SI:CH211-171H4.5,0.8330574109429127,SI:DKEY-146C18.5,0.8219241110714722,SI:CH211-239D6.2,0.6676197273190144,CR450785.2,0.8220072057862149
19,PALLD,0.767518995810147,SI:CH211-241E1.5,1.297127032003317,ZGC:193505,1.1961107007293474,NHSL1B,1.0173364415930901,KLF2B,0.7523651119238911,FTL,0.6897133177585527,RPL39,0.7156770496352184,GRA,0.7147542925190402,FAUA,0.6881022555391502,JAKMIP2,0.8305444670915991,SI:CH211-113A14.16,0.8115874813778893,IGF2A,0.6602412219450048,SI:DKEY-146C18.5,0.8139205565301003
20,ULK1B,0.762324116349304,HUWE1,1.271438979478188,ZNF185,1.1942556000055262,SP5L,1.0144192793606082,GRA,0.7430465859525864,SI:CH211-147G21.5,0.6885931353966619,SI:DKEY-151G10.6,0.7037599233054418,LFNG,0.7115928698840448,RHEBL1,0.6850371841104341,TNFAIP8L2A,0.8299977035811658,SI:DKEY-97L11.1,0.8105379224022418,ISG15,0.6601924967398672,PRMT1,0.8039744939696404
21,LFNG,0.751225991620255,CPE,1.2669452743434992,SI:DKEYP-67A8.4,1.188851497564169,SZL,0.9841384063253439,ZGC:158852,0.7334936101436459,SI:DKEY-13I19.8,0.6880708465713462,STM,0.7011776622171201,SP5L,0.703121050168895,RPS2,0.6847621789961112,SCOCB,0.8165364070227589,SI:CH211-113A14.18,0.8028159373045429,BCL3,0.6569120996894199,WEE2,0.8020998694815649
