,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14
0,GATA2A,1.1767481640610038,LYRM1,2.590194500623473,KRT4,1.3689858022472166,TA,2.385116798448085,NANOS3,1.5611538370133433,SI:CH211-242H13.4,1.3705392938563616,SI:DKEYP-3B12.7,0.8762986276281665,CHD,1.5437831825670267,SI:CH1073-80I24.3,0.8209100586974374,SI:DKEY-28A3.2,1.1491335493459562,SI:DKEY-261M9.17,1.665134755986218,PHLDA3,1.383064230004656,RHEBL1,1.0925392874584667,TELO2,0.748107288851963,HSP90AA1.2,1.809270456356484
1,BMP4,1.1269112648175126,MYO3A,2.3249394347408376,KRT18,1.3564667399295725,EVE1,2.0937770158594433,TDRD7A,1.3971867712140769,SI:DKEY-234I14.20,1.0101668601191227,KIAA0101,0.8630556861854229,ADMP,1.3516943992655868,SI:DKEY-95P16.2,0.8165602446614052,BX546500.1,1.1095482507211518,HIST2H3C,1.4393393960685628,MDM2,1.1663460345855352,SI:DKEY-199M13.4,0.975424593228034,AFP4,0.7330167353514394,HSP70.3,1.1821409498969961
2,APOC1,1.1060460617152383,RAPGEF6,2.2975939561598624,CLDNE,1.341884429144172,WNT11,1.932682507588416,DND1,1.3696280762184752,SI:DKEY-48G21.5,0.9658875575412411,PRKRIP1,0.832951788827957,FOXD3,1.336345584259508,SI:DKEY-16M19.4,0.7990163946963794,SYNGAP1A,1.10863068762549,SI:CH211-113A14.10,1.3465068938627578,SI:CH211-260E23.9,1.0867435368078302,GDF3,0.9732975760844853,SLC3A2B,0.6809722125762205,HSP70.1,0.8619994452244504
3,SZL,1.1034865570522403,CABZ01084942.1,2.229800423585248,KRT5,1.3371598079469762,CDX4,1.8246484212091918,ACTL7A,1.3220828918696985,RNASEP_NUC,0.8915479246994114,HSP90AB1,0.8124930056402854,ZIC3,1.1912921055057808,SI:CH211-195B11.4,0.7435724723343112,PLECA,1.075087400936669,ZGC:153405,1.1724818288788486,APLNRB,1.0206120619443846,SI:DKEY-15H14.4,0.961859217933119,SRRD,0.6646777538138074,CABZ01080568.1,0.7867642653501701
4,BMP7A,1.0308617928782329,AGRP2,2.2002393898645964,MID1IP1A,1.3203510625235249,ZNF703,1.788976666936452,DDX4,1.1464135188728597,SI:DKEYP-55H4.2,0.8356680897076599,OTUD4,0.8092765523150254,PRICKLE1A,0.9623781198806597,MAP2K6,0.726660557094664,JAG1B,1.0275767810209562,SI:DKEY-23A13.15,1.1443123154128825,FOXO3B,1.0097730856913738,NCALDA,0.9554311449170807,SI:CH211-117I10.10,0.6589685709527948,HSP70.2,0.7551844192687825
5,ARID1AB,0.9966366726027118,SI:CH73-195I19.3,2.198089968968776,LYE,1.3113934521748292,AXIN2,1.5177477706703955,CA15B,1.0605830717124594,PGAM1A,0.815776251051004,SI:DKEYP-3B12.6,0.7764876293950296,SESN3,0.9201717733705175,SI:CH211-222L21.1,0.7133262730452691,CAMSAP2A,1.019959933289121,SI:CH211-113A14.24,1.1259583622058018,CTSH,0.9957357782469614,BIRC5B,0.9385904477695788,FGF17,0.6574173915210347,HSPA4A,0.665972140767192
6,CLUHA,0.991854007330184,ZGC:171775,2.0296437164967807,KRT92,1.3002192709962295,SP5A,1.4791167289447054,RGS14A,0.9740851767105515,SI:CH1073-190K2.1,0.7999840571172037,SI:DKEY-261M9.15,0.7756527428841729,FZD8A,0.8860959452063475,ENSDART00000172356,0.7109210389790961,HS3ST3B1B,0.9871299956954523,SI:DKEY-108K21.14,1.120433898330702,RBL2,0.9914780909839253,P4HB,0.9372103856957478,TSG101A,0.6536369217244803,SERPINH1B,0.6587683513674639
7,FOXI1,0.9858293649407459,TOP1,1.9860981210899509,EPS8L1,1.276015370341569,TPBGA,1.46656134101864,GRA,0.9234392557811,SI:CH211-268B13.3,0.7624738415590303,RPS17,0.7701566984240943,ZEB1A,0.8724417609611533,POLR3GLA,0.7047193444318757,NRXN1B,0.958185747240981,SI:CH1073-159D7.7,1.0660725642107443,SESN3,0.9069074780044892,SI:CH211-190K17.31,0.915071762151421,SLC7A8A,0.6532559705270884,ZNF1031,0.6493821590891209
8,CBFA2T2,0.9572456917057087,DIABLOA,1.952656837856078,CLDN23,1.2687689917820644,MSX1B,1.4513671202423184,BTG4,0.8874925910353173,EIF5,0.7466689613902862,SI:CH211-113A14.10,0.7695934318291286,CST3,0.8595600042261932,SI:ZFOS-44A5.1,0.7037211830632182,CNNM1,0.9520128232570242,SI:CH211-113A14.15,1.0548929032738659,BCL2L14,0.8873735779983281,BZW1A,0.9119824259278084,RAB3IL1,0.6409551575147571,ADGRE10,0.6465825761650996
9,TFAP2C,0.9356843217682614,ANO9A,1.950545740578572,ZGC:101000,1.2674240407018174,MIXL1,1.3671132393983159,SKA2,0.8124313935177707,CPN1,0.7332500033371413,SI:DKEY-261M9.17,0.7628130569129418,CDH2,0.8256086513774886,SI:DKEYP-3B12.10,0.6873512493203134,HSD17B2,0.9339890336960761,ZGC:165555,1.0514747746796729,TP53INP1,0.8665537979084926,MKRN4,0.9027950788857452,FTH1B,0.6361602976008939,SI:DKEY-146C18.5,0.6426351073859725
