,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SI:DKEY-153M14.1,0.0,0.0,0.1761522475221176,0.002011354736994964,0.3257086549739642,0.5539953717661965,0.7400909656062564,0.0,0.5253724916339195,0.0,0.4435435299619873,0.10261515584076447,0.12128136906443288,0.330451938124414,0.0,0.0
FXYD6,0.0,0.2812311364493367,0.24860260149276311,0.10962060720907234,0.5530244076004466,0.6767980961007894,0.4205944597617518,0.031125364460370477,0.4196604966233763,0.10896757304689081,0.23933563595785667,0.2797039456120617,0.17374012066601485,0.06669621230416432,0.055037084900152265,0.10315331818016027
ZGC:158463,0.0,0.0,0.1533768754332181,0.019599996826071962,0.34778552797042045,0.5593802678607939,0.635711141713221,0.0,0.6484798037214585,0.0,0.534651655389184,0.13527528545605141,0.1201054847605709,0.30386673769037154,0.0,0.0
SI:DKEYP-3B12.10,0.028679270963991275,0.0,0.167982649687334,0.00016758692092556476,0.1303479390815441,0.5017552376146677,0.60113197428569,0.0,0.6788015988550739,0.0,0.4055400815366424,0.18790808688846125,0.033603662780542345,0.3899446164405555,0.0346311911476758,0.0
C1QB,0.18699175082340885,0.4207961521039167,0.28226068334166576,0.2195825764471684,0.3879272123948238,0.5035313357425913,0.6644895879028052,0.12001309271948178,0.32048307013312655,0.12446501629929085,0.1877914248581159,0.14128089426052598,0.10943286266131828,0.025504177462402945,0.06384692277285253,0.0838866886875092
SI:DKEY-108K21.12,0.0,0.0,0.0,0.060200261071423344,0.18927810952401244,0.523649385298129,0.6677978680268256,0.0,0.47318670950280933,0.0,0.6201949553755923,0.21080175041819857,0.12407263775126695,0.2158548595510273,0.027370921228852062,0.0
SI:DKEY-16M19.4,0.0,0.0,0.0,0.14079604534602766,0.7708951807029953,0.31752183536570644,0.6598373000170515,0.0,0.7660510847471028,0.0,0.19346367046939958,0.05189041796808432,0.04530079712886618,0.0,0.0,0.0
ARL14,0.07050027253449695,0.48789189731104904,0.1501189275330688,0.16127369471148076,0.5571921488479097,0.27864091965430426,0.4251622841607314,0.1923450944657648,0.5222648278943071,0.1321193430945382,0.1432920127653688,0.09094002809906322,0.19948997584313247,0.02047297489812364,0.26197720696608356,0.06567628553391129
OTUD4,0.02286258111765798,0.0,0.2580807226757626,0.06743917615998073,0.4308433690559674,0.6157873153267994,0.8854376018206201,0.0,0.4927642246865169,0.0,0.5416612220462719,0.11723404854053247,0.0,0.3695514990830425,0.0,0.0
RAB34B,0.0,0.0,0.32729948377075857,0.3901107047755806,0.5587464623127643,0.5753980685300158,0.21829633381950925,0.0,0.4290237545560889,0.0,0.449690649474094,0.11038570832629643,0.048766286943315265,0.122448155836962,0.0,0.0
SI:CH211-267E7.11,0.0,0.0,0.3143468210004725,0.5267450521984072,0.5934617406545909,0.569749689857188,0.20338165844184491,0.0,0.556376706688925,0.0,0.39649267108566005,0.22721225477081203,0.08530277400835615,0.04207373320217009,0.0,0.0
SI:CH211-130H14.6,0.0,0.0,0.04368391731298354,0.03142344875293997,0.6035689217305997,0.4470162575212137,0.35787022120049766,0.0,0.6789472054622575,0.0,0.3961815069623826,0.12112183996550127,0.19681581199929324,0.23690332625415872,0.0,0.0
SI:CH211-195B11.4,0.02025329603277988,0.0,0.2048869626210796,0.037266049800040064,0.7671640719532805,0.4793911185870968,0.2961940213237249,0.03201424731522996,0.7436294023194161,0.0,0.29639968984053083,0.14369794920293524,0.0,0.2609520784427585,0.0,0.0
SI:DKEY-261M9.17,0.0,0.0,0.07380279218268501,0.0,0.2836820969125304,0.08257921120138517,0.7383657238849927,0.0,0.17841258815436933,0.0,1.6688868237232453,0.09690030948216297,0.00023699066218117845,0.15647804750109,0.0,0.0
CR450785.2,0.027022979676936083,0.0,0.05554143255345682,0.0,0.8567770177530412,0.39207728017421856,0.2609808738321666,0.005369590010692901,0.33891880476069997,0.0,0.5339924817621606,0.06912515518469092,0.23556004081082074,0.05562798239316513,0.0,0.0
CFD,0.16861384156023812,0.7629008593879034,0.0013575374866576857,0.11797754076079156,0.5775006192339626,0.2874048320369603,0.3566955773293418,0.0,0.4601131476768983,0.09326692119917411,0.22174575358035084,0.021923178041228397,0.14417863888874932,0.05527229359579976,0.22833679384956004,0.0
BX640584.2,0.0,0.0,0.0,0.0,0.8183475877886753,0.6321282943150407,0.03131268585296969,0.0,0.4589139535161444,0.0,0.2598818010386438,0.18085263065793125,0.2850232655644794,0.10889240165696538,0.0,0.0
SI:CH1073-418F12.2,0.0,0.0,0.0,0.04105789187389008,0.6552098612908208,0.5158752256547562,0.15043718686131508,0.0,0.4365235136391448,0.0,0.235697658113477,0.23265371669991608,0.2045131699436181,0.38882632359342256,0.0,0.0
SI:CH1073-159D7.7,0.31852981573986816,0.0,0.12762672624634477,0.12415656394223609,0.10412490586363703,0.37405855793477943,0.6952351330792229,0.12452366363986969,0.4979256999486188,0.10133672738858263,1.0132424259083777,0.08033003159570032,0.14621057942153126,0.2734858778359593,0.055603909700289,0.09656523112979662
DUT,0.0,0.0,0.23631147747037792,0.04848547559082879,0.4938422259330859,0.6604068496306464,0.6159111872880564,0.01211566990219176,0.4698251685102384,0.0,0.2961813391927515,0.1519099255386289,0.03581572613198553,0.27986585406221587,0.08022724499108752,0.0
ZNF981,0.0,0.0,0.0,0.11808305361867476,0.568040326751965,0.47947440639585925,0.1528640167999607,0.0,0.5859093601400719,0.0,0.5643056358432419,0.0,0.12326868900520804,0.0,0.07831891686391174,0.0
SI:CH211-113A14.16,0.16097929913309778,0.0,0.0,0.10745311900717056,0.353141777252925,0.3557782419018608,0.7945193378440705,0.05281688177630543,0.6717937990178514,0.012100004150424204,0.6595108690349373,0.09136580311039885,0.16380452028478215,0.11476016978856801,0.0021259430594912127,0.0032154962678166694
SI:DKEY-6D5.4,0.0,0.0,0.30823000931081285,0.5126027863230516,0.6529775679364843,0.5477634085225039,0.22649469055314,0.0,0.595632724423561,0.0,0.38964563375451927,0.22299981989461623,0.07607861126468246,0.023329963110427603,0.0,0.0
SI:DKEY-23A13.15,0.0,0.1692566557040783,0.0,0.10214774585690152,0.2966606201816694,0.6351646523198287,0.5920697589997915,0.02952313582863444,0.23007289499444417,0.0,1.154272698250151,0.23713876049776023,0.1092444136028973,0.0,0.17880590433063892,0.0
ADGRE10,0.0,0.0,0.1384287584052273,0.027274265110409025,0.6879085425880215,0.39684927532753755,0.24460941026164074,0.06875446127241414,0.4372117830012989,0.0,0.35267749769163975,0.1310712056524338,0.6718116758257369,0.35152140820017386,0.025359564907436256,0.0
CU655961.2,0.06295102427547898,0.0,0.06552348597558402,0.10560577317698555,0.40484511263449613,0.3826154469249538,0.3938055457596577,0.0,0.4637701913515036,0.0,0.1961999639926318,0.0,0.514980724165944,0.0,0.11784916891777124,0.0
SI:CH211-190K17.31,0.0007853534595903186,0.0,0.12043209558065354,0.10284857974231049,0.9007749408874314,0.5623731588717403,0.17972168652226597,0.03880917969310095,0.270603656257766,0.0,0.335531559952853,0.19524294146493795,0.2934295565302789,0.14451735125817777,0.0,0.0
SI:DKEYP-3B12.8,0.0,0.0,0.036297965275960714,0.06317448666589659,0.19258512328003916,0.4789985875111929,0.3886861451898752,0.0,0.35169598606463454,0.0,0.47593601612840414,0.07130353056274366,0.20668811019216254,0.0,0.0,0.0
FAM78BB,0.0,0.0,0.0049704287988982755,0.11456590131714764,0.8071910152457588,0.4718889992278362,0.3905374505263258,0.0,0.4351590487293513,0.0,0.1965142136717086,0.17338385373077853,0.3318477133257487,0.14804161404882255,0.0,0.0
CABZ01111915.1,0.0,0.0,0.0004782824620866761,0.09847991264099544,0.7113279495686373,0.14349483137386998,0.23392712684942252,0.0,0.6398034240520345,0.0,0.1644984386053948,0.1250335548413861,0.2517899333745587,0.21968643242200828,0.0,0.0
WDR21,0.00209548437650101,0.0,0.04244976058739316,0.0,0.6429415351943492,0.5111508707603627,0.0,0.025649440777000976,0.44898743844060074,0.0,0.5327457620029303,0.16207071311592075,0.2850394031950184,0.09818478832429135,0.18945337720257913,0.0
SI:DKEY-95P16.2,0.07006481737882797,0.0,0.023132665962824435,0.19400158224006983,0.7114330613888484,0.3503837478624549,0.48358399158272486,0.07807091027338905,0.8027668079327248,0.019474263984347498,0.2176809695528799,0.10800592242313933,0.0904050717396766,0.0,0.0,0.0
NCALDA,0.0,0.004423790241485076,0.15025300502209532,0.0503358229343695,0.9502451586035944,0.6185767066765119,0.14714674503792582,0.05014339616057936,0.4350029767403206,0.0,0.3778914064075608,0.13544418233837086,0.2941130504672331,0.0,0.15624294255073332,0.030341186580946714
SI:DKEY-15H14.4,0.0,0.0,0.015052130565079721,0.01696312288314921,0.958612998658025,0.44770721384539536,0.2631189121726299,0.0,0.21882374495302132,0.0,0.3236345676777667,0.20234072226914177,0.27310272446345835,0.21372983316518998,0.0,0.013058431480010735
SI:CH211-117M22.2,0.0,0.0,0.20684050108809313,0.0,0.2943539861714985,0.40179494094534424,0.776131263011426,0.008505850184304135,0.31885781425568216,0.0,0.5990768590030975,0.0,0.2785120322277933,0.20892983675092017,0.0,0.0
SI:DKEY-23A13.18,0.4231038906213854,0.4083686592917034,0.07613099507427097,0.2753287591958166,0.09715694094310345,0.2579972971951377,0.5921880428136029,0.2194044863292239,0.4141766427446823,0.2529201747001544,0.42629699507300856,0.07116052215325937,0.14082619840059885,0.1548261514440566,0.18826042050857025,0.1909255190981487
NDUFB4,0.0,0.0,0.0,0.0,0.6075317501529479,0.11908918847086565,0.2500715710952454,0.0,0.4222393358965445,0.0,0.13096812354357923,0.24917191353982757,0.2658794672076295,0.0,0.018380844085030584,0.0
MCL1B,0.0,0.07473758376756205,0.44010028584918454,0.12243897570649495,0.7450705022828548,0.4224627449324122,0.31273887886645385,0.051040187217548424,0.24719901376172157,0.0,0.4692412302198162,0.000614782975702805,0.2209820721896254,0.21887904497446278,0.10118621534643113,0.18040326258762845
RPL6,0.0,0.0,0.11426819462252998,0.21015072085069994,0.6691654917239453,0.45470031877867684,0.6180579557941831,0.0865602932894623,0.6281742759541228,0.0,0.13814726497891788,0.21094539020679065,0.10144864871040785,0.0570690151990351,0.1328554299795611,0.06909010273592146
PDIA3,0.1120619598041929,0.0,0.04619329280701976,0.2578626450176024,0.50003350163151,0.6215536144348248,0.40230227292150156,0.08410582028849266,0.3596091709221667,0.0,0.40037852390693407,0.258238430065072,0.3004433365643216,0.010724268885907948,0.08036371614392945,0.029028988769361778
SI:CH1073-190K2.1,0.0,0.0,0.05354624837705274,0.07193558464640455,0.43739456503427554,0.8157311063602366,0.35744425797539353,0.0,0.0,0.0,0.589418501163213,0.09943217569359314,0.0,0.0,0.0,0.0
SI:CH1073-26E8.2,0.0,0.0,0.0,0.0,0.4650237117513549,0.38125157279535415,0.27212990226081335,0.0,0.29171684726023256,0.0,0.3999769287541646,0.020844796548131334,0.17033009885591985,0.3062582882472464,0.0334637114783088,0.0
HIST1H4D,0.0,0.0,0.0,0.0,0.0,0.37882637809637976,0.41639250454729215,0.031561511363830896,0.34028523398408894,0.0,0.7918442064666951,0.0,0.26176074871387395,0.04553494239114795,0.0,0.0
ZGC:165555,0.022324641875224337,0.0,0.0744178569588412,0.0,0.05782580910483496,0.2795997271299732,0.42487410679358534,0.0,0.22252958856009322,0.0,1.0563767013551415,0.0,0.0,0.017564980452782042,0.07419760881810962,0.0
FP016247.1,0.0,0.0,0.21750107941227348,0.06624532192565359,0.0,0.39956723649599324,0.4514452212897236,0.0,0.1336701271217966,0.0,0.5098002083874185,0.0,0.20304355626496257,0.4038696382018024,0.0,0.0
TADA1,0.0817357504042364,0.0,0.022874505498171268,0.0,0.5115736068980179,0.3924189035153495,0.5958364271789302,0.0,0.3838733046187876,0.0,0.4064241915293959,0.050854661770142064,0.28470741452640513,0.08408000132056853,0.19798349088534062,0.0
SI:DKEY-193H7.5,0.0,0.0,0.14613887461955868,0.018181443106387113,0.532137232644958,0.7156149510919251,0.08598873437200837,0.0008844056400370044,0.515611109191052,0.08184076283530899,0.360120863734658,0.11518388057467918,0.3299559983861308,0.044725277111171455,0.0,0.07742809915761432
SI:CH211-210C8.5,0.0,0.0,0.03404352739441605,0.15145048380410608,0.4757601039658514,0.25313462013475313,0.0,0.0,0.5466729180607811,0.0,0.15371942782694495,0.08937995222373071,0.4753144346571162,0.0,0.07728140941928661,0.0
