,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15
0,GATA2A,1.1995862072122312,LYRM1,2.583689810276009,KRT18,1.3457961730899872,TA,2.4008709717530934,RHEBL1,1.089932421940463,SI:CH211-242H13.4,1.3694077586104025,SI:DKEYP-3B12.7,0.9361649994100406,CHD,1.5247538687577744,SI:DKEY-95P16.2,0.8027668079327248,BX546500.1,1.2063070365000805,SI:DKEY-261M9.17,1.6688868237232453,PHLDA3,1.3811681560881854,HSP90AA1.2,1.8188062520307475,TELO2,0.7416303886087127,NANOS3,1.5713465320672528,CAMSAP3,0.8688912005346212
1,BMP4,1.1599017558396065,MYO3A,2.3051271662546884,KRT4,1.341474187417686,EVE1,2.106078968498314,GDF3,0.9818628554626956,SI:DKEY-234I14.20,0.9986851055902867,KIAA0101,0.9079040850132303,ADMP,1.3884836569299792,SI:CH1073-80I24.3,0.7956954724279858,CAMSAP2A,1.05976677002956,HIST2H3C,1.4295009125210247,MDM2,1.1682255899285552,HSP70.3,1.1909261666476745,SRRD,0.6645095588107485,TDRD7A,1.3821123597147789,AIM1B,0.8642971616599622
2,SZL,1.126398632354315,RAPGEF6,2.267940682576759,MID1IP1A,1.3337700516885374,WNT11,1.9451903032002182,SI:DKEY-199M13.4,0.9780906957336108,SI:DKEY-48G21.5,0.9544119686804372,PRKRIP1,0.8900206403503061,FOXD3,1.3055727212291055,SI:DKEY-16M19.4,0.7660510847471028,SI:DKEY-28A3.2,1.0277881233278765,SI:CH211-113A14.10,1.3349496178913058,SI:CH211-260E23.9,1.085461701890303,HSP70.1,0.8716864091904966,SI:CH211-117I10.10,0.6608395827643246,DND1,1.3643373830489463,JAG1B,0.846456024909233
3,APOC1,1.1208649091533858,SI:CH73-195I19.3,2.2256268449462717,KRT5,1.3197956361439442,CDX4,1.8362771652268195,SI:DKEY-15H14.4,0.958612998658025,RNASEP_NUC,0.8763400097667063,OTUD4,0.8854376018206201,ZIC3,1.290353596826054,SI:CH211-195B11.4,0.7436294023194161,SLC7A8A,1.0189889557933594,SI:DKEY-23A13.15,1.154272698250151,APLNRB,1.019516626465412,CABZ01080568.1,0.7947613985857626,AFP4,0.6591510485647404,ACTL7A,1.3011051185957592,SI:CH211-69B7.6,0.818526091205493
4,BMP7A,1.080927156711177,CABZ01084942.1,2.22118974396739,CLDNE,1.3076222084856257,ZNF703,1.7974688698680255,NCALDA,0.9502451586035944,SI:DKEYP-55H4.2,0.8484019763133414,HSP90AB1,0.8560997268194619,FZD8A,0.9387039627951194,MAP2K6,0.7422087633296156,SYNGAP1A,1.0178265293736102,SI:CH211-113A14.24,1.1439187451599082,FOXO3B,1.013348181347567,HSP70.2,0.7630362040641985,TSG101A,0.6557915440045464,DDX4,1.1274989351339053,EVPLA,0.7833508253288123
5,CLUHA,1.0216726939339658,AGRP2,2.2015332614512024,ZGC:101000,1.298777220627484,AXIN2,1.5004187834655496,P4HB,0.9351716054709646,PGAM1A,0.8438511348129958,SI:DKEYP-3B12.6,0.8130793836565093,PRICKLE1A,0.883428151327292,ENSDART00000172356,0.7306557536970713,PLECA,0.950893291511339,ZGC:153405,1.1433383458541153,CTSH,0.9988143729491582,ADGRE10,0.6718116758257369,FTH1B,0.6419539516666659,CA15B,1.0579477638316988,DSPA,0.7276235085544427
6,FOXI1,0.9671288303210126,ZGC:171775,2.0122923419440055,LYE,1.2912276786056074,SP5A,1.481877744533253,BZW1A,0.9190901183975879,SI:CH1073-190K2.1,0.8157311063602366,RPS17,0.8029676398838901,FOXD5,0.8732231176624368,SI:DKEYP-3B12.12,0.7127033779694676,HS3ST3B1B,0.92698334800092,ENSDART00000129497,1.0660883193902984,RBL2,0.9967533690720392,HSPA4A,0.6653568236707775,RAB3IL1,0.6383604854528875,RGS14A,0.958543400566084,MCHR2,0.7105783676850599
7,TFAP2C,0.9645542577979851,TOP1,1.9796119966072452,KRT92,1.2725741664075696,TPBGA,1.474691288861367,BIRC5B,0.9090589659921068,SI:CH211-268B13.3,0.8082112488471869,STM,0.8017023745973748,SESN3,0.8399520708440574,SI:CH211-222L21.1,0.7005493314415165,SI:DKEY-186O21.1,0.8793717764612269,ZGC:165555,1.0563767013551415,SESN3,0.9082878274198551,SERPINH1B,0.660418227197721,SI:CH211-235I11.3,0.6348911662034344,GRA,0.8956662351882437,VPS13A,0.7006150740978017
8,CBFA2T2,0.949451577813391,DIABLOA,1.948962526840125,KRT97,1.2635109528445005,MSX1B,1.4588385419424277,SI:CH211-190K17.31,0.9007749408874314,SI:DKEY-97L11.1,0.7318075516523208,SI:CH211-113A14.16,0.7945193378440705,ZEB1A,0.8197754038809697,POLR3GLA,0.6910586725392031,JAG1B,0.8718587316357573,SI:DKEY-108K21.14,1.0531611261379628,BCL2L14,0.8832007049164943,SI:DKEY-146C18.5,0.6131011884332214,WDTC1,0.624712330984784,BTG4,0.8908308815442659,NRXN1B,0.6839005943294115
9,PCM1,0.9399781679835152,ANO9A,1.8997659405938692,KRT8,1.251902563145939,MIXL1,1.3717598313219213,MKRN4,0.8981679467040129,EIF5,0.730253218316648,SI:DKEY-23A13.4,0.7921587953312775,TDGF1,0.8167813921781759,SI:ZFOS-44A5.1,0.6792837658491201,NRXN1B,0.8596605754445257,SI:CH1073-159D7.7,1.0132424259083777,TP53INP1,0.8640300948395312,ZNF1031,0.6023416077590877,SLC3A2B,0.6221727921310876,SKA2,0.806595264069631,CPE,0.652959936119998
10,ARID1AB,0.9366212959310191,FNIP1,1.8145164686009996,CLDN23,1.2498816513870565,GBX1,1.3139530679636098,SI:DKEY-156K2.3,0.897836380202035,CPN1,0.7295213274092265,PSMA4,0.7825983631082832,PRDM14,0.8097539715846911,SI:CH211-130H14.6,0.6789472054622575,CPE,0.8569758578497807,SI:CH211-113A14.15,1.0058451225222773,CASP8,0.8615221969596145,SI:RP71-45K5.2,0.5922072980673145,FGF17,0.6207646022415269,ICE1,0.778102452765783,PLECA,0.6520377967142996
11,IPO9,0.9046372260041171,NME2A,1.7562833532217557,CLDNB,1.2452520609565905,ZNF503,1.231769463319727,SI:DKEY-30F3.2,0.890044663019486,SI:DKEY-19C16.12,0.7237245531356435,CLIP4,0.7820717783463466,FOXB1A,0.809488823493993,SI:DKEYP-3B12.10,0.6788015988550739,HSD17B2,0.8540156300358098,SI:DKEY-261M9.15,1.0036190737438935,SESN1,0.8046449124917743,TMEM205,0.5920023936174643,ZGC:113425,0.6081621196612895,SI:DKEY-11O15.10,0.7698772634087057,ZNF185,0.6474740885779833
12,CAPRIN2,0.8980659820010475,GPRC5BB,1.7472693501871888,EPS8L1,1.2437806775388216,DLD,1.1551495678060963,CR391944.1,0.8781511548942529,SI:DKEY-193H7.5,0.7156149510919251,SI:CH211-117M22.2,0.776131263011426,TCF7L1A,0.7765476608612834,SI:CH211-113A14.16,0.6717937990178514,CNNM1,0.8501640864306487,SI:DKEY-261M9.11,0.8744387726661593,CDKN1A,0.7815198805517622,SI:DKEY-221L21.2,0.5695467110530756,SLC7A8A,0.601558203040802,OTX1B,0.7632006189274272,SI:DKEY-234L24.10,0.64637640857617
13,UBR5,0.8836997394145336,HNRNPA0B,1.7463280146701228,CEBPB,1.2283380547766616,APOC1,1.1435831689393194,PRMT1,0.8626589412073032,SI:DKEY-5I16.2,0.7063915939063885,TMEM258,0.7753032077620376,NOTO,0.7733003845934917,FP236812.1,0.6701461108407811,TNFAIP8L2A,0.8495332147544054,SI:DKEY-108K21.21,0.869220011955019,ZGC:64022,0.7584442079401295,KAZALD2,0.5647827791710724,SI:DKEY-93M18.3,0.5993702396677726,NEK2,0.7599246869202211,CNNM1,0.6408517236346355
