,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16
0,SZL,1.1728807642213064,LYRM1,2.6538835307095594,KRT18,1.3231853983010806,TA,2.4291671206910395,NANOS3,1.60000121966588,SI:CH211-242H13.4,1.3438633627479788,SI:DKEYP-3B12.7,0.9657065338489695,CHD,1.6030942098676866,SI:DKEY-95P16.2,0.7809449608663338,BX546500.1,1.21096383552415,SI:DKEY-261M9.17,1.686253114957445,PHLDA3,1.3892811036028248,HSP90AA1.2,1.818474360250587,TELO2,0.7504342217341575,RHEBL1,1.1571660120214207,SI:DKEY-199K11.6,1.061301633614257,CAMSAP3,0.840292934273407
1,GATA2A,1.1363130110467718,MYO3A,2.3828366195304493,MID1IP1A,1.3155974245051103,EVE1,2.1173821475128354,DND1,1.5099654323264702,SI:DKEY-234I14.20,0.998405471333611,KIAA0101,0.8938756679077046,FOXD3,1.3457143734554888,SI:CH1073-80I24.3,0.7649517310739002,SI:DKEY-28A3.2,1.0423450021184395,HIST2H3C,1.4068843474640405,MDM2,1.1769690778932085,HSP70.3,1.2103147588939156,AFP4,0.6770485869563314,GDF3,1.0479328671041497,DDIT4,0.9791495013735562,JAG1B,0.8295605548746109
2,BMP4,1.1316596934525585,RAPGEF6,2.3143591766405613,KRT4,1.304582077376263,WNT11,1.9705767405793553,TDRD7A,1.3287442708802324,SI:DKEY-48G21.5,0.9538122852015974,OTUD4,0.8687291882634304,ADMP,1.3311143793638505,ENSDART00000172356,0.7528222323637066,CAMSAP2A,1.006788156082298,SI:CH211-113A14.10,1.365148236583108,SI:CH211-260E23.9,1.0923758296849466,HSP70.1,0.8870171268452922,SRRD,0.6662604868422662,SI:DKEY-15H14.4,1.0124558633024896,CNOT4B,0.9644629548628486,SI:CH211-69B7.6,0.8209900349168047
3,APOC1,1.094531903387416,SI:CH73-195I19.3,2.2858815630986467,KRT5,1.2896800533674468,CDX4,1.8556982114264322,ACTL7A,1.303108658514073,RNASEP_NUC,0.9102246062478512,PRKRIP1,0.8519774005674178,ZIC3,1.234396676980995,SI:CH211-195B11.4,0.7409767657531143,SYNGAP1A,0.9763339132262774,SI:DKEY-23A13.15,1.1825846054818816,APLNRB,1.0378138474676983,CABZ01080568.1,0.8094500116347755,SI:CH211-117I10.10,0.6616614801529095,P4HB,1.0122801371595693,SI:DKEY-11O15.10,0.8406207480025754,EVPLA,0.8182935285425511
4,BMP7A,1.041030787679478,CABZ01084942.1,2.2825352080027845,ZGC:101000,1.2819744524833423,ZNF703,1.8110476253955436,DDX4,1.1223402339775073,SI:DKEYP-55H4.2,0.8469929390568345,SI:DKEYP-3B12.6,0.8517607086491423,PRICKLE1A,0.8974521804182121,SI:DKEYP-3B12.12,0.7402921417332401,SLC7A8A,0.9552351010757922,SI:CH211-113A14.24,1.1569756813988124,FOXO3B,1.0156822022940295,HSP70.2,0.7755628214378368,TSG101A,0.6601952889629568,NCALDA,0.996057365046191,CIARTA,0.8313340680195903,AIM1B,0.792869237222357
5,FOXI1,0.984749506171957,AGRP2,2.256832934179064,CLDNE,1.271169138927876,AXIN2,1.5335103226290132,CA15B,1.0995252043338446,PGAM1A,0.8318956940073786,HSP90AB1,0.845088032616263,FOXD5,0.8703625662078449,SI:DKEY-16M19.4,0.7365610873197195,PLECA,0.9301950821866798,ZGC:153405,1.1475799155832809,CTSH,0.9943965697314988,SERPINH1B,0.6781064081139643,SLC3A2B,0.6471751943757199,BZW1A,0.9857680551558853,ZGC:77112,0.8115145654224944,MCHR2,0.7011079741603498
6,CBFA2T2,0.935234433431138,TOP1,2.0748109856075705,LYE,1.263981384079767,TPBGA,1.4945340394973339,RGS14A,0.9753334501206514,SI:CH1073-190K2.1,0.786737278375065,SI:DKEY-23A13.4,0.7786414281922355,FOXB1A,0.8569111887431452,MAP2K6,0.7261816166395745,HS3ST3B1B,0.9257599835965099,ENSDART00000129497,1.090011601762709,RBL2,0.9900524712444808,ADGRE10,0.6722038517949926,RAB3IL1,0.6431569118797363,SI:DKEY-199M13.4,0.9771254477681506,CLDN11B,0.7911580526585696,DSPA,0.6893392816851106
7,TFAP2C,0.9094193778018521,ZGC:171775,2.0442058780929497,CLDN23,1.25172417071834,SP5A,1.4935919829064597,GRA,0.9017379299489977,SI:CH211-268B13.3,0.7738681000047007,STM,0.7735488916150025,ZEB1A,0.8196738229884222,SI:DKEYP-3B12.10,0.7055913170160139,TNFAIP8L2A,0.9234244281946312,ZGC:165555,1.0789038900664056,SESN3,0.9085462966148239,HSPA4A,0.656964322990766,FTH1B,0.6362008960487691,BIRC5B,0.9676636212501555,ZGC:163077,0.7876615733917444,PLECA,0.6791775472912185
8,CLUHA,0.8835922250824149,ANO9A,1.9992526675775149,KRT97,1.2511670203745466,MSX1B,1.474909886092462,ICE1,0.8185651591835714,EIF5,0.7615655277788865,CLIP4,0.7731484288047203,SESN3,0.8171756490929504,SI:ZFOS-44A5.1,0.6979498784670087,SI:DKEY-186O21.1,0.8843160449522586,SI:DKEY-261M9.15,1.0341078924116944,BCL2L14,0.9027554748693101,SI:DKEY-221L21.2,0.5956009807064807,SI:CH211-235I11.3,0.6355302051976938,MKRN4,0.9546438484219248,KIF13BB,0.7699863077914376,ZNF185,0.66829090083152
9,ARID1AB,0.861700045247079,DIABLOA,1.9929864765204355,KRT92,1.2507454865842678,MIXL1,1.3987519855187132,BTG4,0.7187618649150611,PPIB,0.7385638108795665,SI:CH211-113A14.16,0.7672681674823646,FZD8A,0.8161805190045603,SI:CH211-130H14.6,0.6874613880786764,CPE,0.8830195973950815,SI:CH211-113A14.15,1.0334180935078114,CASP8,0.8617417677358431,ZNF1031,0.5930878288078708,WDTC1,0.6270181124435943,SI:CH211-190K17.31,0.932947464879418,MAP3K4,0.7579875591713067,VPS13A,0.6643884636740522
