,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
0,BMP4,1.3915302764259092,LYRM1,2.5142226773027354,KRT18,1.3290869686448261,TA,2.3929273046583894,NANOS3,1.561692063459548,SI:CH211-242H13.4,1.4172830584098515,SI:DKEYP-3B12.7,1.0539752459560987,CHD,1.7766422307562908,ENSDART00000172356,1.0846591102799774,SPAW,0.9071334091232873,SI:DKEY-261M9.17,1.4585698107777207,PHLDA3,1.420213386741124,HSP90AA1.2,1.8457015648043695,FTH1B,0.6899052449070906,BZW1A,1.115199246631633,EGLN3,1.3210576152013236,SI:CH211-139K8.4,1.1684845644893536,CAMSAP3,0.8485615323422535,BX546500.1,1.2077574850277633
1,SZL,1.293489584175326,MYO3A,2.2519297153435702,MID1IP1A,1.3151479914451483,EVE1,2.098640471435205,DND1,1.412103644041869,RNASEP_NUC,0.9597465515112051,SI:DKEYP-3B12.6,0.9859692109483145,FOXD3,1.382116764699394,SI:DKEYP-3B12.10,1.0522850211109676,SI:DKEY-1D7.3,0.6639005222110004,HIST2H3C,1.1925502963283672,MDM2,1.1860160009821377,HSP70.3,1.236230739323714,TELO2,0.6671174660422547,GDF3,1.1032107624199348,DDIT4,1.1543326859866618,SI:DKEY-188C14.4,1.1136742870803584,SI:CH211-69B7.6,0.8274463415741625,SI:DKEY-28A3.2,1.055886189340658
2,GATA2A,1.261395115554285,RAPGEF6,2.1904514461719073,KRT4,1.2970072437850297,WNT11,1.9885199379957896,TDRD7A,1.3864054288511451,SI:DKEY-48G21.5,0.9229119012718653,KIAA0101,0.8560053247163116,ADMP,1.3031921723476991,ZGC:158463,0.9840626219600009,SI:DKEY-238D18.15,0.6321327121477863,SI:CH211-113A14.10,1.1527149438224977,SI:CH211-260E23.9,1.1134904871613591,HSP70.1,0.8645986600608915,SI:CH211-235I11.3,0.663815644262838,P4HB,1.015011953820723,BX324155.1,0.7638768412419302,PRDM14,1.0861026082102134,EVPLA,0.8053331956115641,SYNGAP1A,1.0343796593457724
3,APOC1,1.16423542432094,SI:CH73-195I19.3,2.184891910933732,KRT92,1.289497136177216,CDX4,1.8627430476460367,ACTL7A,1.293665969418718,SI:DKEY-234I14.20,0.9061091312224722,OTUD4,0.8118069716157533,ZIC3,1.063209932506631,ZGC:113984,0.9765130170032025,NFYC,0.6147175317549594,ENSDART00000129497,1.0407929050210671,APLNRB,1.0635973550123798,CABZ01080568.1,0.835352151226362,SRRD,0.6378691229230394,RHEBL1,1.0008515470259605,BX901974.1,0.7357168258535954,EFNB2A,1.0273965585198825,AIM1B,0.7878575502743089,CAMSAP2A,1.014686640430933
4,FOXI1,1.1371996030252696,CABZ01084942.1,2.1591694559775707,CLDNE,1.271674473718337,ZNF703,1.815248321631932,DDX4,1.0888452226377763,PGAM1A,0.8824960795588916,HSP90AB1,0.7793314270199512,FOXB1A,0.9209514629796215,SI:CH1073-159D7.7,0.9731178503943746,SLC7A8A,0.6075687696887003,SI:DKEY-23A13.15,1.0298412766883218,FOXO3B,1.046680664451728,HSP70.2,0.8033114462269514,FBXO30A,0.6342986719834467,FAM78BB,0.9341836316154519,GBGT1L4,0.7221211592518617,LHX5,0.9784253422189082,JAG1B,0.7519976736511076,SLC7A8A,0.9316193769670758
5,BMP7A,1.0260276687065624,AGRP2,2.1374649202595006,KRT5,1.2688095711769527,AXIN2,1.5797440159146614,CA15B,1.0885928109028962,CPN1,0.7970480235965325,CLIP4,0.7772492586074378,FOXD5,0.8793059669542185,SI:DKEY-108K21.21,0.9672783142396907,ZNF1136,0.5955293796350238,SI:CH211-113A14.24,0.9379415419049255,CTSH,1.025317801999231,HSPA4A,0.6740708562815633,KIF18A,0.6189587775928419,SI:DKEY-6D5.4,0.8886297278305896,SI:CH1073-190K2.1,0.6689507756565308,PCDH18B,0.9035796745802175,DSPA,0.7085429074456489,PLECA,0.9295186236937717
6,PRKAR1AA,0.9513977482965061,ANO9A,1.9436961419914416,LYE,1.264496400375537,SP5A,1.574581422923449,GRA,0.9641986925643222,SI:CH1073-190K2.1,0.7694093779522947,SI:CH211-113A14.10,0.7641152257779441,NOTO,0.8675679720735128,SI:DKEYP-3B12.12,0.9566520086956681,ACO2,0.592386398933517,ZGC:153405,0.9358480813950277,RBL2,0.9944965938258452,SERPINH1B,0.6308064307780674,TSG101A,0.6185927875892936,MKRN4,0.887492086484335,BX005448.2,0.6684422484376076,SOX2,0.88201548180129,MCHR2,0.677721589003293,HS3ST3B1B,0.9149522111316344
7,PCM1,0.9187438689550732,ZGC:171775,1.9046436135863407,ZGC:101000,1.2581553530457001,TPBGA,1.507057333429938,RGS14A,0.9305884476943481,SI:DKEYP-55H4.2,0.7632195630384658,SI:DKEY-23A13.4,0.758603682311056,PRICKLE1A,0.8655093280225196,FP236812.2,0.91226978084704,NR0B2A,0.5888720451489551,ZGC:165555,0.9023127715095731,SESN3,0.9429840630164518,MYCN,0.5931255186015147,SLC9A8,0.6172653884239891,SKP2,0.8768596129481998,SI:DKEY-199M13.4,0.6465752528187657,LAMA1,0.8807792415672855,PLECA,0.6694425442916905,SI:DKEY-186O21.1,0.8963404716133856
8,CBFA2T2,0.895210246340441,TOP1,1.8425063592521134,CEBPB,1.227755514095771,MSX1B,1.472123686392948,ICE1,0.7945205912638292,EIF5,0.7316513238239902,SI:CH211-113A14.16,0.7489206846983608,GSC,0.8446248848934592,SI:CH211-113A14.16,0.912142654474037,AFP4,0.5867538829261517,SI:DKEY-261M9.15,0.8302237016102543,BCL2L14,0.9300396256395689,ADGRE10,0.577792251043799,RAB3IL1,0.6112866029681886,PPIB,0.8742395843290707,ZNF1063,0.642193348194939,FZD7A,0.8757415515107653,NRXN1B,0.6567760270809028,HSD17B2,0.8859518897498582
9,TFAP2C,0.8832481692073944,FNIP1,1.8038535262932673,KRT97,1.2262599998427766,MIXL1,1.3973623485615203,BTG4,0.7593166410201553,PPIB,0.7157099067601977,PRKRIP1,0.7451522469288961,SESN3,0.8155980234505832,SI:CH73-36P18.2,0.8964200661280092,ASB11,0.5787724096499629,SI:CH211-113A14.15,0.8286334266349208,CASP8,0.8942870060925315,CU655961.2,0.5768068883703139,SI:CH211-117I10.10,0.607887605233331,NCALDA,0.8655161830889022,ZGC:173702,0.6339251778254138,MIDN,0.8535555993461666,VPS13A,0.6403284878063393,TNFAIP8L2A,0.8841592262838649
